Eventid,Name,Starttime,Endtime,Latitude,Longitude,Type,AreaTotal,AreaSource,AreaSourceLow,AreaSourceHigh,Volume,VolumeLow,VolumeHigh,Mass,MassLow,MassHigh,H,HLow,HHigh,StationNetwork,StationName,StationChannel,StationLocationCode,StationLatitude,StationLongitude,StationElevation,RecordSource,StationDistance,DetectHF,DetectLP,DetectVHF,if_downloaded,StationChannel_Available,SignalSamplingRate,if_processed,SNR,Spec2VecProcessed
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKN,EHZ,,61.2234,-152.1838,735.0,IRIS,0.86,1.0,,,True,EHZ,100.0,True,6.541626235427491,True
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKT,EHZ,,61.2002,-152.2085,975.0,IRIS,3.579,1.0,,,True,EHZ,100.0,True,3.133810696898418,False
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCR,BHZ,,61.2003,-152.2091,984.0,IRIS,3.589,1.0,,,True,BHZ,50.0,True,3.096590432676672,False
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCP,BHZ,,61.2655,-152.155,1616.0,IRIS,4.469,1.0,,,True,BHZ,50.0,True,3.748706830776169,True
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CRP,EHZ,,61.2664,-152.1578,1622.0,IRIS,4.546,1.0,,,True,EHZ,100.0,True,3.800877879004921,True
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKL,EHZ,,61.1934,-152.3401,1281.0,IRIS,9.902,1.0,,,True,EHZ,100.0,True,3.1261205316405776,False
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCG,BHZ,,61.2913,-152.0228,1329.0,IRIS,10.693,1.0,,,True,BHZ,50.0,True,4.124125628932742,True
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CGL,EHZ,,61.3071,-152.009,1082.0,IRIS,12.458,1.0,,,True,EHZ,100.0,True,3.3936425621540467,False
1,Mount Spurr,2014-09-10 19:21:15,2014-09-10 20:05:05,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,BGL,EHZ,,61.2663,-152.3913,1127.0,IRIS,12.77,1.0,,,True,EHZ,100.0,True,3.518591473557075,True
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKN,EHZ,,61.2234,-152.1838,735.0,IRIS,0.86,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKT,EHZ,,61.2002,-152.2085,975.0,IRIS,3.579,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCR,BHZ,,61.2003,-152.2091,984.0,IRIS,3.589,1.0,,,True,BHZ,50.0,True,6.756996084381418,True
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCP,BHZ,,61.2655,-152.155,1616.0,IRIS,4.469,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CRP,EHZ,,61.2664,-152.1578,1622.0,IRIS,4.546,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CP2,EHZ,,61.2636,-152.2441,1981.0,IRIS,5.832,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPU,EHZ,,61.1811,-152.0566,800.0,IRIS,7.828,1.0,,,True,EHZ,100.0,True,7.397586672538149,True
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,CKL,EHZ,,61.1934,-152.3401,1281.0,IRIS,9.902,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,SPCG,BHZ,,61.2913,-152.0228,1329.0,IRIS,10.693,1.0,,,False,,,False,0.0,False
2,Mount Spurr,2012-06-25 12:52:39,2012-06-25 13:38:42,61.22594,-152.168681,outburst flood,,,,,,,,,,,,,,AV,BGL,EHZ,,61.2663,-152.3913,1127.0,IRIS,12.77,1.0,,,False,,,False,0.0,False
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LGB,EHZ,02,41.334183,-122.187706,1952.0,NCEDC,7.197,1.0,,,True,EHZ,100.0,True,9.624607387126296,True
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LMP,EHZ,,41.487965,-122.154762,1860.0,NCEDC,10.419,1.0,,,True,EHZ,100.0,True,9.90527546839544,True
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LBO,EHZ,,41.4921,-122.24427,1544.0,NCEDC,11.189,1.0,,,True,EHZ,100.0,True,10.014061299505885,True
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LMC,HHZ,,41.274158,-122.121971,1062.0,NCEDC,15.09,1.0,,,True,HHZ,100.0,True,4.141464388586053,False
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,PB,B039,EHZ,,41.4667,-122.4847,923.9,IRIS,25.468,1.0,,,True,EHZ,100.0,True,4.369780078803404,False
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LHE,EHZ,02,41.628582,-122.231636,2117.0,NCEDC,25.713,1.0,,,True,EHZ,100.0,True,5.221001482895295,False
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LBF,EHZ,,41.347065,-121.890976,1961.0,NCEDC,25.966,1.0,,,True,EHZ,100.0,True,7.040449542374782,True
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LPK,EHZ,,41.455257,-122.543716,1880.0,NCEDC,29.925,1.0,,,True,EHZ,100.0,True,6.331985709015412,True
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LSR,EHZ,,41.106956,-122.270615,1524.0,NCEDC,33.051,1.0,,,True,EHZ,100.0,True,4.257139585845443,False
3,"Mud Creek, Mount Shasta",2014-09-20 20:49:18,2014-09-20 23:10:11,41.399468,-122.197318,"outburst flood, debris flow",,,,,838000.0,822000.0,853000.0,,,,2870.0,2670.0,3170.0,NC,LGM,EHZ,,41.599316,-121.836304,1607.0,NCEDC,37.23,1.0,,,True,EHZ,100.0,True,5.309471546446389,False
4,"Nuugaatsiaq, Greenland",2017-06-17 23:39:12,2017-06-17 23:49:06,71.64375,-52.32878,landslide,2400000.0,760000.0,,,43000000.0,33400000.0,58000000.0,,,,,900.0,,DK,NUUG,HHZ,,71.53838,-53.19958,36.0,IRIS,32.879,1.0,1.0,,True,HHZ,100.0,True,55.15519285873834,True
4,"Nuugaatsiaq, Greenland",2017-06-17 23:39:12,2017-06-17 23:49:06,71.64375,-52.32878,landslide,2400000.0,760000.0,,,43000000.0,33400000.0,58000000.0,,,,,900.0,,KP,UPNV,BHZ,,72.7829,-56.1395,38.0,"IRIS,GEOFON",181.744,1.0,1.0,,True,HHZ,100.0,True,48.84409902051557,True
4,"Nuugaatsiaq, Greenland",2017-06-17 23:39:12,2017-06-17 23:49:06,71.64375,-52.32878,landslide,2400000.0,760000.0,,,43000000.0,33400000.0,58000000.0,,,,,900.0,,KP,UPNV,HHZ,,72.7829,-56.1395,38.0,"IRIS,GEOFON",181.744,1.0,1.0,,True,HHZ,100.0,True,48.84409902051557,True
5,Mount St Helens,2014-10-22 13:07:00,2014-10-22 21:28:00,46.213,-122.191,debris flow,,,,,,,,,,,,,,CC,VALT,BHZ,,46.21422,-122.18925,1681.0,IRIS,0.191,1.0,,,True,BHZ,50.0,True,4.743796345228191,True
5,Mount St Helens,2014-10-22 13:07:00,2014-10-22 21:28:00,46.213,-122.191,debris flow,,,,,,,,,,,,,,CC,SUG,EHZ,,46.21555,-122.17626,1859.0,IRIS,1.172,1.0,,,True,EHZ,50.0,True,4.480625417435375,True
5,Mount St Helens,2014-10-22 13:07:00,2014-10-22 21:28:00,46.213,-122.191,debris flow,,,,,,,,,,,,,,CC,SEP,EHZ,,46.20021,-122.1906,2116.0,IRIS,1.422,1.0,,,True,EHZ,50.0,True,4.298694828542135,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,DOG,EHZ,,46.206001,-122.176208,2317.0,IRIS,2.009,1.0,,,True,EHZ,104.07801418439716,True,3.2613495971895348,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,SHW,EHZ,,46.19347,-122.23635,1425.0,IRIS,3.624,1.0,,,True,EHZ,104.07801418439716,True,3.2235987205007115,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,JUN,EHZ,,46.14706,-122.15243,1049.0,IRIS,5.617,1.0,,,True,EHZ,104.07801418439716,True,5.043538756253829,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,SOS,EHZ,,46.24386,-122.13787,1270.0,IRIS,7.149,1.0,,,True,EHZ,104.07801418439716,True,3.5615134732933926,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,ELK,EHZ,,46.30539,-122.34205,1270.0,IRIS,17.358,1.0,,,True,EHZ,104.07801418439716,True,4.069209407810301,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,MTM,EHZ,,46.02533,-122.21287,1121.0,IRIS,18.447,1.0,,,True,EHZ,104.07801418439716,True,4.558775807325576,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,LVP,EHZ,,46.06595,-122.40193,1130.0,IRIS,21.47,1.0,,,True,EHZ,104.07801418439716,True,4.4666080672871225,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,RAN,EHZ,,46.408169,-121.864807,1620.0,IRIS,34.808,1.0,,,True,EHZ,104.07801418439716,True,5.249395676010927,True
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,COW,EHZ,,46.49083,-122.01332,305.0,IRIS,36.037,1.0,,,True,EHZ,104.07801418439716,True,4.409977686820114,False
6,Mount St Helens,1980-05-18 15:32:11,1980-05-18 15:44:00,46.1905,-122.1896,rock slide-debris avalanche,60000000.0,,,,2500000000.0,2300000000.0,2800000000.0,4600000000000.0,2500000000000.0,5800000000000.0,2550.0,,,UW,LMW,EHZ,,46.66783,-122.29255,1195.0,IRIS,53.647,1.0,,,True,EHZ,104.07801418439716,True,6.013895746333112,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,LON,BHZ,,46.7506,-121.8096,853.0,IRIS,66.103,1.0,1.0,,False,,,False,0.0,False
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,RAI,BHZ,,46.0403,-122.8851,1520.0,IRIS,109.894,1.0,0.0,,True,BHZ,20.0,True,5.181778956963714,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,TTW,BHZ,,47.69445,-121.69011,542.0,IRIS,166.819,1.0,1.0,,True,BHZ,50.0,True,4.024619357244646,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,RWW,BHZ,,46.96473,-123.54341,15.0,IRIS,179.364,1.0,1.0,,True,BHZ,50.0,True,6.086472893312525,True
7,Mount Adams,1997-10-20 07:31:22,1997-10-20 07:36:56,46.20171,-121.48164,rock and ice avalanche,,,,,3600000.0,2700000.0,4600000.0,,,,1700.0,1800.0,1600.0,UW,GNW,BHZ,,47.56413,-122.82498,220.0,IRIS,182.892,1.0,1.0,,True,BHZ,50.0,True,7.251362309056701,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,ASR,EHZ,,46.15259,-121.60164,1357.0,IRIS,9.157,1.0,,,True,EHZ,100.0,True,63.08905976514231,True
8,Mount Adams,2008-08-01 14:42:38,2008-08-01 14:46:13,46.200424,-121.499309,rock and ice avalanche,880000.0,73000.0,50000.0,110000.0,1700000.0,1200000.0,2500000.0,,,,1300.0,1000.0,1400.0,UW,GUL,EHZ,,45.92401,-121.59675,1189.0,IRIS,31.453,1.0,,,True,EHZ,100.0,True,36.99142498499167,True
