Event_OriginTime,Network,Station,Channel,Location,Sampling_Rate,NPTS,FilePath,Spec2VecProcessed
2023-04-02T18:04:11.000000Z,AU,MANU,BHZ,1.0,40.0,52601,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/au_manu_bhz_2023_04_02_18_04_11.sac,True
2020-07-22T06:12:44.000000Z,AV,AKRB,BHZ,,50.0,65600,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/av_akrb_bhz_2020_07_22_06_12_44.sac,True
2020-07-22T06:12:44.000000Z,AV,DT1,BHZ,,50.0,64301,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/av_dt1_bhz_2020_07_22_06_12_44.sac,True
2020-07-22T06:12:44.000000Z,AV,DTN,BHZ,,50.0,64351,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/av_dtn_bhz_2020_07_22_06_12_44.sac,True
2020-07-22T06:12:44.000000Z,AV,PLK5,BHZ,,50.0,64801,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/av_pkl5_bhz_2020_07_22_06_12_44.sac,True
2020-07-22T06:12:44.000000Z,AV,PN7A,BHZ,,50.0,64250,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/av_pn7a_bhz_2020_07_22_06_12_44.sac,True
2019-07-06T03:19:53.000000Z,AZ,SIO5,BHZ,,40.0,51840,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/az_sio5_bhz_2019_07_06_03_19_53.sac,True
2011-03-11T06:15:37.000000Z,G,INU,BHZ,0.0,20.0,26000,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/g_inu_bhz_2011_03_11_06_15_37.sac,True
2018-09-28T10:02:43.000000Z,GE,BKB,BHZ,,20.0,26167,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ge_bkb_bhz_2018_09_28_10_02_43.sac,True
2018-09-28T10:02:43.000000Z,GE,LUWI,BHZ,,20.0,26382,/data/sswar_files/PRJ_GIS_QA/esce_catalog_test/final_test_results_for_production/eq_processed_vel/ge_luwi_bhz_2018_09_28_10_02_43.sac,True
