# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
102|Half Dome|2006-07-28 01:45:16|2006-07-28 01:46:37|37.749|-119.5432|None|None|None|None|None|rock fall|None|None|None|None|735.0|None|None|None|None|None|None|None|None|None|None|None|5|0|76.0|1|0.0|None|IRIS, NCEDC|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
184|87|67|Volume estimate from Zimmer and Sitar (2015)|None|None|88,89,90,91,92,93,94,95,96,97,99,102

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
286|102|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/102_HalfDome_28Jul2006/photos_figures/102_HalfDome_28Jul2006_waveforms_raw.png|None
287|102|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/102_HalfDome_28Jul2006/photos_figures/102_HalfDome_28Jul2006_waveforms_1-5Hz.png|None
288|102|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/102_HalfDome_28Jul2006/photos_figures/102_HalfDome_28Jul2006_spectrogram.png|None
289|102|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/102_HalfDome_28Jul2006/photos_figures/102_HalfDome_28Jul2006_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
108649|102|2586|200.148|277.86|96.48|None|None
108650|102|2587|200.148|277.86|96.48|None|None
108651|102|2588|200.148|277.86|96.48|None|None
108652|102|2589|200.148|277.86|96.48|None|None
108653|102|2590|200.148|277.86|96.48|None|None
108654|102|2591|200.148|277.86|96.48|None|None
108655|102|20439|199.571|277.56|96.18|None|None
108656|102|20440|199.571|277.56|96.18|None|None
108657|102|20441|199.571|277.56|96.18|None|None
108658|102|2616|76.319|296.63|116.15|None|None
108659|102|2617|76.319|296.63|116.15|None|None
108660|102|2618|76.319|296.63|116.15|None|None
108661|102|2619|76.319|296.63|116.15|None|None
108662|102|2620|76.319|296.63|116.15|None|None
108663|102|2621|76.319|296.63|116.15|None|None
108664|102|20442|75.44|296.02|115.55|0|None
108665|102|20443|75.44|296.02|115.55|0|None
108666|102|20444|75.44|296.02|115.55|0|None
108667|102|4643|127.512|155.72|336.07|None|None
108668|102|4644|127.512|155.72|336.07|None|None
108669|102|4645|127.512|155.72|336.07|None|None
108670|102|4646|127.512|155.72|336.07|None|None
108671|102|4647|127.512|155.72|336.07|None|None
108672|102|4648|127.512|155.72|336.07|None|None
108673|102|20445|128.702|155.74|336.1|None|None
108674|102|20446|128.702|155.74|336.1|None|None
108675|102|20447|128.702|155.74|336.1|None|None
108676|102|4649|51.802|150.17|330.35|0|None
108677|102|4650|51.802|150.17|330.35|0|None
108678|102|4651|51.802|150.17|330.35|0|None
108679|102|4652|51.802|150.17|330.35|0|None
108680|102|4653|51.802|150.17|330.35|0|None
108681|102|4654|51.802|150.17|330.35|0|None
108682|102|20448|52.98|150.36|330.54|0|None
108683|102|20449|52.98|150.36|330.54|0|None
108684|102|20450|52.98|150.36|330.54|0|None
108685|102|2664|184.764|257.17|75.93|None|None
108686|102|2665|184.764|257.17|75.93|None|None
108687|102|2666|184.764|257.17|75.93|None|None
108688|102|2667|184.764|257.17|75.93|None|None
108689|102|2668|184.764|257.17|75.93|None|None
108690|102|2669|184.764|257.17|75.93|None|None
108691|102|20451|184.593|256.8|75.56|None|None
108692|102|20452|184.593|256.8|75.56|None|None
108693|102|20453|184.593|256.8|75.56|None|None
108694|102|2688|168.768|242.21|61.19|None|None
108695|102|2689|168.768|242.21|61.19|None|None
108696|102|2690|168.768|242.21|61.19|None|None
108697|102|2691|168.768|242.21|61.19|None|None
108698|102|2692|168.768|242.21|61.19|None|None
108699|102|2693|168.768|242.21|61.19|None|None
108700|102|20454|168.908|241.81|60.79|None|None
108701|102|20455|168.908|241.81|60.79|None|None
108702|102|20456|168.908|241.81|60.79|None|None
108703|102|4670|195.07|237.27|56.15|None|None
108704|102|4671|195.07|237.27|56.15|None|None
