# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
103|Mount Spurr 1|2016-08-16 08:12:40|2016-08-16 08:36:49|61.2259|-152.1687|None|None|None|None|None|outburst flood|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|11.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
264|103|81|J. Paskievitch (written communication)  "These are jokulhlaup induced flows and probably fairly turbid by the time they pass by CKN/SPCN (stations)"|None|None|104
344|103|None|Elevated noise levels after the main signal has passed suggests higher water flow for hours after the event.|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
282|103|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/103_MountSpurr1_16Aug2016/photos_figures/103_MountSpurr1_16Aug2016_waveforms_raw.png|None
283|103|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/103_MountSpurr1_16Aug2016/photos_figures/103_MountSpurr1_16Aug2016_waveforms_1-5Hz.png|None
284|103|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/103_MountSpurr1_16Aug2016/photos_figures/103_MountSpurr1_16Aug2016_spectrogram.png|None
285|103|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/103_MountSpurr1_16Aug2016/photos_figures/103_MountSpurr1_16Aug2016_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
81|103|104|Paskievitch, P., 2016, written communication|Paskievitch (written commun., 2016)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
109811|103|2616|80.665|293.39|112.87|None|None
109812|103|2617|80.665|293.39|112.87|None|None
109813|103|2618|80.665|293.39|112.87|None|None
109814|103|2619|80.665|293.39|112.87|None|None
109815|103|2620|80.665|293.39|112.87|None|None
109816|103|2621|80.665|293.39|112.87|None|None
109817|103|4649|51.217|157.14|337.28|None|None
109818|103|4650|51.217|157.14|337.28|None|None
109819|103|4651|51.217|157.14|337.28|None|None
109820|103|4652|51.217|157.14|337.28|None|None
109821|103|4653|51.217|157.14|337.28|None|None
109822|103|4654|51.217|157.14|337.28|None|None
109823|103|2664|190.955|256.94|75.66|None|None
109824|103|2665|190.955|256.94|75.66|None|None
109825|103|2666|190.955|256.94|75.66|None|None
109826|103|2667|190.955|256.94|75.66|None|None
109827|103|2668|190.955|256.94|75.66|None|None
109828|103|2669|190.955|256.94|75.66|None|None
109829|103|2706|195.774|266.55|85.2|None|None
109830|103|2707|195.774|266.55|85.2|None|None
109831|103|2708|195.774|266.55|85.2|None|None
109832|103|2709|195.774|266.55|85.2|None|None
109833|103|2710|195.774|266.55|85.2|None|None
109834|103|2711|195.774|266.55|85.2|None|None
109835|103|4773|194.999|137.72|318.6|None|None
109836|103|4774|194.999|137.72|318.6|None|None
109837|103|4775|194.999|137.72|318.6|None|None
109838|103|4776|194.999|137.72|318.6|None|None
109839|103|4777|194.999|137.72|318.6|None|None
109840|103|4778|194.999|137.72|318.6|None|None
109841|103|4858|63.749|101.73|282.16|None|None
109842|103|4859|63.749|101.73|282.16|None|None
109843|103|4860|63.749|101.73|282.16|None|None
109844|103|4861|63.749|101.73|282.16|None|None
109845|103|4862|63.749|101.73|282.16|None|None
109846|103|4863|63.749|101.73|282.16|None|None
109847|103|12260|162.433|170.47|350.65|None|None
109848|103|12261|162.433|170.47|350.65|None|None
109849|103|12262|162.433|170.47|350.65|None|None
109850|103|12263|162.433|170.47|350.65|None|None
109851|103|12264|162.433|170.47|350.65|None|None
109852|103|12265|162.433|170.47|350.65|None|None
109853|103|13875|190.575|159.77|340.21|None|None
109854|103|13876|190.575|159.77|340.21|None|None
109855|103|13877|190.575|159.77|340.21|None|None
109856|103|13878|190.575|159.77|340.21|None|None
109857|103|13879|190.575|159.77|340.21|None|None
109858|103|13880|190.575|159.77|340.21|None|None
109859|103|4992|139.511|123.16|303.95|None|None
109860|103|4993|139.511|123.16|303.95|None|None
109861|103|4994|139.511|123.16|303.95|None|None
109862|103|4995|139.511|123.16|303.95|None|None
109863|103|4996|139.511|123.16|303.95|None|None
109864|103|4997|139.511|123.16|303.95|None|None
109865|103|2782|143.456|57.63|238.49|None|None
109866|103|2783|143.456|57.63|238.49|None|None
109867|103|2784|143.456|57.63|238.49|None|None
109868|103|13909|127.035|58.86|239.63|None|None
109869|103|13910|127.035|58.86|239.63|None|None
109870|103|13911|127.035|58.86|239.63|None|None
109871|103|13912|128.073|50.03|230.72|None|None
109872|103|13913|128.073|50.03|230.72|None|None
109873|103|13914|128.073|50.03|230.72|None|None
109874|103|4247|156.833|299.3|118.33|None|None
109875|103|13916|137.812|304.16|123.35|None|None
109876|103|13917|182.165|317.27|136.38|None|None
109877|103|13918|180.252|323.04|142.26|None|None
109878|103|13919|181.515|313.02|132.07|None|None
109879|103|13920|153.612|306.67|125.8|None|None
109880|103|13922|141.594|313.1|132.37|None|None
109881|103|13923|196.605|306.66|125.53|None|None
109882|103|13924|192.705|311.04|130.0|None|None
109883|103|13925|161.75|310.46|129.59|None|None
109884|103|13926|181.797|308.84|127.83|None|None
109885|103|5025|180.04|227.61|46.71|None|None
109886|103|15587|180.04|227.61|46.71|None|None
109887|103|15588|180.04|227.61|46.71|None|None
109888|103|15589|180.04|227.61|46.71|None|None
109889|103|13929|185.867|226.09|45.18|None|None
109890|103|5029|193.651|225.2|44.28|None|None
109891|103|5030|197.009|234.71|53.62|None|None
109892|103|5031|188.339|230.79|49.8|None|None
109893|103|5032|183.301|229.27|48.33|None|None
109894|103|5033|190.361|233.97|52.93|None|None
109895|103|5038|194.991|232.49|51.44|None|None
109896|103|5039|163.809|223.01|42.25|None|None
109897|103|5044|151.576|228.94|48.17|None|None
109898|103|12153|197.03|222.21|41.32|None|None
109899|103|5046|193.23|236.59|55.5|None|None
109900|103|5049|195.901|228.8|47.81|None|None
