# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
104|Mount Spurr 2|2016-08-16 10:53:43|2016-08-16 11:08:22|61.2259|-152.1687|None|None|None|None|None|outburst flood|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|1.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
264|103|81|J. Paskievitch (written communication)  "These are jokulhlaup induced flows and probably fairly turbid by the time they pass by CKN/SPCN (stations)"|None|None|104

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
278|104|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/104_MountSpurr2_16Aug2016/photos_figures/104_MountSpurr2_16Aug2016_waveforms_raw.png|None
279|104|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/104_MountSpurr2_16Aug2016/photos_figures/104_MountSpurr2_16Aug2016_waveforms_1-5Hz.png|None
280|104|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/104_MountSpurr2_16Aug2016/photos_figures/104_MountSpurr2_16Aug2016_spectrogram.png|None
281|104|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/104_MountSpurr2_16Aug2016/photos_figures/104_MountSpurr2_16Aug2016_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
110710|104|959|178.373|156.55|337.65|None|None
110711|104|960|178.373|156.55|337.65|None|None
110712|104|961|178.373|156.55|337.65|None|None
110713|104|2329|183.04|153.99|335.23|None|None
110714|104|2330|183.04|153.99|335.23|None|None
110715|104|2331|183.04|153.99|335.23|None|None
110716|104|2335|74.937|132.44|313.32|None|None
110717|104|2336|74.937|132.44|313.32|None|None
110718|104|2337|74.937|132.44|313.32|None|None
110719|104|2347|196.342|164.42|345.23|None|None
110720|104|2348|196.342|164.42|345.23|None|None
110721|104|2349|196.342|164.42|345.23|None|None
110722|104|2350|165.471|36.55|218.23|None|None
110723|104|2351|165.471|36.55|218.23|None|None
110724|104|2352|165.471|36.55|218.23|None|None
110725|104|2359|105.426|94.2|275.91|None|None
110726|104|2360|105.426|94.2|275.91|None|None
110727|104|2361|105.426|94.2|275.91|None|None
110728|104|15311|105.426|94.2|275.91|None|None
110729|104|15312|105.426|94.2|275.91|None|None
110730|104|15313|105.426|94.2|275.91|None|None
110731|104|2362|183.044|69.2|252.05|None|None
110732|104|2363|183.044|69.2|252.05|None|None
110733|104|2364|183.044|69.2|252.05|None|None
110734|104|15314|183.175|69.19|252.05|None|None
110735|104|15315|183.175|69.19|252.05|None|None
110736|104|15316|183.175|69.19|252.05|None|None
110737|104|2375|177.091|170.52|350.97|None|None
110738|104|2376|177.091|170.52|350.97|None|None
110739|104|2377|177.091|170.52|350.97|None|None
110740|104|2381|199.793|82.38|265.64|None|None
110741|104|2382|199.793|82.38|265.64|None|None
110742|104|2383|199.793|82.38|265.64|None|None
110743|104|1126|186.148|359.68|179.66|None|None
110744|104|1127|186.148|359.68|179.66|None|None
110745|104|1128|186.148|359.68|179.66|None|None
110746|104|965|131.693|95.59|277.72|None|None
110747|104|966|131.693|95.59|277.72|None|None
110748|104|967|131.693|95.59|277.72|None|None
110749|104|968|90.577|21.64|202.2|None|None
110750|104|969|90.577|21.64|202.2|None|None
110751|104|970|90.577|21.64|202.2|None|None
110752|104|2408|132.306|126.12|307.82|None|None
110753|104|2409|132.306|126.12|307.82|None|None
110754|104|2410|132.306|126.12|307.82|None|None
110755|104|971|80.579|70.19|251.44|None|None
110756|104|972|80.579|70.19|251.44|None|None
110757|104|973|80.579|70.19|251.44|None|None
110758|104|974|194.068|128.89|311.26|None|None
110759|104|975|194.068|128.89|311.26|None|None
110760|104|976|194.068|128.89|311.26|None|None
110761|104|1132|167.292|74.55|257.22|None|None
110762|104|1133|167.292|74.55|257.22|None|None
110763|104|1134|167.292|74.55|257.22|None|None
110764|104|977|186.293|267.48|84.45|None|None
110765|104|978|186.293|267.48|84.45|None|None
110766|104|979|186.293|267.48|84.45|None|None
110767|104|993|12.77|290.72|110.52|None|None
110768|104|995|54.004|194.69|14.47|None|None
110769|104|996|18.177|196.62|16.54|None|None
110770|104|998|12.458|43.38|223.52|None|None
110771|104|999|9.902|248.59|68.44|None|None
110772|104|1000|0.86|250.8|70.78|1|None
110773|104|1001|3.579|216.74|36.71|None|None
110774|104|1002|5.832|316.06|135.99|None|None
110775|104|1003|4.546|7.38|187.39|None|None
110776|104|1004|4.546|7.38|187.39|None|None
110777|104|1005|4.546|7.38|187.39|None|None
110778|104|1006|76.128|201.96|21.51|None|None
110779|104|1007|76.128|201.96|21.51|None|None
110780|104|1011|134.755|199.1|18.4|None|None
110781|104|13013|149.769|199.66|18.87|None|None
110782|104|13014|149.769|199.66|18.87|None|None
110783|104|13015|149.769|199.66|18.87|None|None
110784|104|1012|149.769|199.66|18.87|None|None
110785|104|13016|148.385|201.49|20.65|None|None
110786|104|13017|148.385|201.49|20.65|None|None
110787|104|13018|148.385|201.49|20.65|None|None
110788|104|2465|140.425|202.64|21.8|None|None
110789|104|2466|140.425|202.64|21.8|None|None
110790|104|2467|140.425|202.64|21.8|None|None
110791|104|1013|140.425|202.64|21.8|None|None
110792|104|1014|138.856|201.06|20.28|None|None
110793|104|2468|142.583|199.42|18.68|None|None
110794|104|2469|142.583|199.42|18.68|None|None
110795|104|2470|142.583|199.42|18.68|None|None
110796|104|1015|142.583|199.42|18.68|None|None
110797|104|1016|142.583|199.42|18.68|None|None
110798|104|1017|142.583|199.42|18.68|None|None
110799|104|1018|144.581|200.66|19.86|None|None
110800|104|1020|19.749|1.5|181.51|None|None
110801|104|2472|84.713|209.5|28.84|None|None
110802|104|2473|84.713|209.5|28.84|None|None
110803|104|2474|84.713|209.5|28.84|None|None
