# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
107|Oso scarp failure|2014-04-25 22:41:01|2014-04-25 22:41:37|48.286633|-121.850263|0.05|48.286633|-121.850263|48.285856|-121.850174|debris fall|None|None|None|None|800.0|60.0|2600.0|None|None|None|40.0|20.0|60.0|90.0|70.0|110.0|None|None|None|None|None|None|None|None|None|None|3|0|None|None|12.0|1|None|None|0.0|None|0|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
232|107|None|Video screenshots of scarp failing used to estimate volume. Video from Jeff Jones, Snohomish County Public Works.|77|None|None
235|107|None|Estimated volume using tree for scale in video. Assume tree height of 5m for low volume, 10m for best volume, and 15m for high volume. Values chosen based on measured lengths of small trees in deposit area on google earth. Calculated and then combined the volumes of the two failures in the video. More in InfoFiles/Oso_25Apr2014/Volume_estimate.doc
Toe location estimated using landmarks in the video compared to pre- and post- event imagery, L was estimated based on the distance from the crown to this point with a wide uncertainty margin of 20 meters. H was estimated by taking the pre-event elevation at the location of the crown minus the lowest elevation of the depression behind the top slump block from Figure 1 of Iverson and others (2014) with a large uncertainty margin of +/- 20 meters. This low point was chosen because in the video, the event appears to end in that depression.|78|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
77|107|Brennah McVey|Screenshots of Scarp failure video (photo_id 78) with measurements that were used to estimate volume labeled.||||EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-BrennahMcVey_1.png|None
78|107|Jeff Jones, Snohomish County Public Works|Video of scarp failure from west side of scarp|None|None|None|EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-JeffJones-SnohomishCountyPublicWorks_6.mp4|None
270|107|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_waveforms_raw.png|None
271|107|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_waveforms_1-5Hz.png|None
272|107|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_spectrogram.png|None
273|107|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_spectra.png|None
1374|107|Brennah McVey|Screenshots of Scarp failure video (photo_id 78) with measurements that were used to estimate volume labeled.||||EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-BrennahMcVey_2.png|None
1375|107|Brennah McVey|Screenshots of Scarp failure video (photo_id 78) with measurements that were used to estimate volume labeled.||||EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-BrennahMcVey_3.png|None
1376|107|Brennah McVey|Screenshots of Scarp failure video (photo_id 78) with measurements that were used to estimate volume labeled.||||EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-BrennahMcVey_4.png|None
1377|107|Brennah McVey|Screenshots of Scarp failure video (photo_id 78) with measurements that were used to estimate volume labeled.||||EventData/107_Ososcarpfailure_25Apr2014/photos_figures/107_Ososcarpfailure_25Apr2014_source-BrennahMcVey_5.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
129205|107|19289|74.803|196.0|15.79|None|None|None|None|None
129206|107|19290|74.803|196.0|15.79|None|None|None|None|None
129207|107|19291|74.803|196.0|15.79|None|None|None|None|None
129208|107|19292|74.7|196.22|16.01|None|None|None|None|None
129209|107|19293|74.7|196.22|16.01|None|None|None|None|None
129210|107|19294|74.7|196.22|16.01|None|None|None|None|None
129211|107|19319|71.442|196.99|16.79|None|None|None|None|None
129212|107|19320|71.442|196.99|16.79|None|None|None|None|None
129213|107|19321|71.442|196.99|16.79|None|None|None|None|None
129214|107|3277|18.412|262.27|82.09|None|None|None|None|None
129215|107|3278|18.412|262.27|82.09|None|None|None|None|None
129216|107|3279|18.412|262.27|82.09|None|None|None|None|None
129217|107|19364|18.412|262.27|82.09|None|None|None|None|None
129218|107|19365|18.412|262.27|82.09|None|None|None|None|None
129219|107|19366|18.412|262.27|82.09|None|None|None|None|None
129220|107|19451|72.496|191.2|11.06|None|None|None|None|None
129221|107|19452|72.496|191.2|11.06|None|None|None|None|None
129222|107|19453|72.496|191.2|11.06|None|None|None|None|None
129223|107|19475|51.307|218.55|38.23|None|None|None|None|None
129224|107|19476|51.307|218.55|38.23|None|None|None|None|None
129225|107|19477|51.307|218.55|38.23|None|None|None|None|None
129226|107|349|51.863|195.33|15.19|None|None|None|None|None
129227|107|19481|67.575|209.17|28.84|None|None|None|None|None
129228|107|19482|67.575|209.17|28.84|None|None|None|None|None
129229|107|19483|67.575|209.17|28.84|None|None|None|None|None
129230|107|465|25.141|307.36|127.16|None|None|None|None|None
129231|107|19514|62.375|193.46|13.31|None|None|None|None|None
129232|107|19515|62.375|193.46|13.31|None|None|None|None|None
129233|107|19516|62.375|193.46|13.31|None|None|None|None|None
129234|107|19523|60.346|288.25|107.67|None|None|None|None|None
129235|107|19524|60.346|288.25|107.67|None|None|None|None|None
129236|107|19525|60.346|288.25|107.67|None|None|None|None|None
129237|107|19526|40.709|220.45|40.19|None|None|None|None|None
129238|107|19527|40.709|220.45|40.19|None|None|None|None|None
129239|107|19528|40.709|220.45|40.19|None|None|None|None|None
129240|107|19529|53.105|205.29|25.06|None|None|None|None|None
129241|107|19530|53.105|205.29|25.06|None|None|None|None|None
129242|107|19531|53.105|205.29|25.06|None|None|None|None|None
129243|107|19535|69.201|204.46|24.18|None|None|None|None|None
129244|107|19536|69.201|204.46|24.18|None|None|None|None|None
129245|107|19537|69.201|204.46|24.18|None|None|None|None|None
129246|107|612|56.179|109.25|289.78|None|None|None|None|None
129247|107|373|54.032|173.52|353.58|None|None|None|None|None
129248|107|446|11.66|209.49|29.43|None|1|None|None|None
129249|107|19678|60.979|199.04|18.84|None|None|None|None|None
129250|107|19679|60.979|199.04|18.84|None|None|None|None|None
129251|107|19680|60.979|199.04|18.84|None|None|None|None|None
129252|107|19693|61.007|212.99|32.66|None|None|None|None|None
129253|107|19694|61.007|212.99|32.66|None|None|None|None|None
129254|107|19695|61.007|212.99|32.66|None|None|None|None|None
129255|107|19696|72.206|196.34|16.14|None|None|None|None|None
129256|107|19697|72.206|196.34|16.14|None|None|None|None|None
129257|107|19698|72.206|196.34|16.14|None|None|None|None|None
129258|107|19702|73.254|343.04|162.82|None|None|None|None|None
129259|107|19703|73.254|343.04|162.82|None|None|None|None|None
129260|107|19704|73.254|343.04|162.82|None|None|None|None|None
129261|107|19705|43.276|183.95|3.93|None|None|None|None|None
129262|107|19706|43.276|183.95|3.93|None|None|None|None|None
129263|107|19707|43.276|183.95|3.93|None|None|None|None|None
129264|107|469|55.416|356.15|176.11|None|None|None|None|None
129265|107|19732|37.377|46.3|226.57|None|None|None|None|None
129266|107|19733|37.377|46.3|226.57|None|None|None|None|None
129267|107|19734|37.377|46.3|226.57|None|None|None|None|None
129268|107|3342|37.377|46.3|226.57|None|None|None|None|None
129269|107|3343|37.377|46.3|226.57|None|None|None|None|None
129270|107|3344|37.377|46.3|226.57|None|None|None|None|None
129271|107|19741|66.645|204.69|24.41|None|None|None|None|None
129272|107|19742|66.645|204.69|24.41|None|None|None|None|None
129273|107|19743|66.645|204.69|24.41|None|None|None|None|None
129274|107|19747|73.252|204.47|24.17|None|None|None|None|None
129275|107|19748|73.252|204.47|24.17|None|None|None|None|None
129276|107|19749|73.252|204.47|24.17|None|None|None|None|None
129277|107|19801|73.003|210.9|30.53|None|None|None|None|None
129278|107|19802|73.003|210.9|30.53|None|None|None|None|None
129279|107|19803|73.003|210.9|30.53|None|None|None|None|None
129280|107|19810|31.065|220.53|40.33|None|None|None|None|None
129281|107|19811|31.065|220.53|40.33|None|None|None|None|None
129282|107|19812|31.065|220.53|40.33|None|None|None|None|None
129283|107|19816|26.727|256.74|76.48|None|None|None|None|None
129284|107|19817|26.727|256.74|76.48|None|None|None|None|None
129285|107|19818|26.727|256.74|76.48|None|None|None|None|None
129286|107|19819|58.569|249.53|68.98|None|None|None|None|None
129287|107|19820|58.569|249.53|68.98|None|None|None|None|None
129288|107|19821|58.569|249.53|68.98|None|None|None|None|None
129289|107|19831|37.147|279.42|99.05|None|None|None|None|None
129290|107|19832|37.147|279.42|99.05|None|None|None|None|None
129291|107|19833|37.147|279.42|99.05|None|None|None|None|None
129292|107|19846|43.225|218.74|38.47|None|None|None|None|None
129293|107|19847|43.225|218.74|38.47|None|None|None|None|None
129294|107|19848|43.225|218.74|38.47|None|None|None|None|None
129295|107|19900|71.104|318.06|137.58|None|None|None|None|None
129296|107|19901|71.104|318.06|137.58|None|None|None|None|None
129297|107|19902|71.104|318.06|137.58|None|None|None|None|None
129298|107|19915|69.364|201.83|21.57|None|None|None|None|None
129299|107|19916|69.364|201.83|21.57|None|None|None|None|None
129300|107|19917|69.364|201.83|21.57|None|None|None|None|None
129301|107|19921|73.405|223.86|43.35|None|None|None|None|None
129302|107|19922|73.405|223.86|43.35|None|None|None|None|None
129303|107|19923|73.405|223.86|43.35|None|None|None|None|None
129304|107|19960|74.147|211.77|31.38|None|None|None|None|None
129305|107|19961|74.147|211.77|31.38|None|None|None|None|None
129306|107|19962|74.147|211.77|31.38|None|None|None|None|None
129307|107|19984|64.553|213.55|33.2|None|None|None|None|None
129308|107|19985|64.553|213.55|33.2|None|None|None|None|None
129309|107|19986|64.553|213.55|33.2|None|None|None|None|None
129310|107|19993|48.761|192.57|12.46|None|None|None|None|None
129311|107|19994|48.761|192.57|12.46|None|None|None|None|None
129312|107|19995|48.761|192.57|12.46|None|None|None|None|None
129313|107|20002|69.684|215.45|35.05|None|None|None|None|None
129314|107|20003|69.684|215.45|35.05|None|None|None|None|None
129315|107|20004|69.684|215.45|35.05|None|None|None|None|None
129316|107|20017|70.957|208.22|27.89|None|None|None|None|None
129317|107|20018|70.957|208.22|27.89|None|None|None|None|None
129318|107|20019|70.957|208.22|27.89|None|None|None|None|None
129319|107|20032|46.804|216.71|36.44|None|None|None|None|None
129320|107|20033|46.804|216.71|36.44|None|None|None|None|None
129321|107|20034|46.804|216.71|36.44|None|None|None|None|None
129322|107|480|30.664|54.02|234.27|None|None|None|None|None
129323|107|2279|67.934|322.23|141.8|None|None|None|None|None
129324|107|20083|67.934|322.23|141.8|None|None|None|None|None
129325|107|20084|67.934|322.23|141.8|None|None|None|None|None
129326|107|20085|67.934|322.23|141.8|None|None|None|None|None
129327|107|20086|70.83|212.74|32.36|None|None|None|None|None
129328|107|20087|70.83|212.74|32.36|None|None|None|None|None
129329|107|20088|70.83|212.74|32.36|None|None|None|None|None
129330|107|3354|64.249|11.42|191.55|None|None|None|None|None
129331|107|3355|64.249|11.42|191.55|None|None|None|None|None
129332|107|3356|64.249|11.42|191.55|None|None|None|None|None
129333|107|633|58.099|270.57|89.99|None|None|None|None|None
129334|107|20132|58.099|270.57|89.99|None|None|None|None|None
129335|107|20133|58.099|270.57|89.99|None|None|None|None|None
129336|107|20134|58.099|270.57|89.99|None|None|None|None|None
129337|107|20135|51.65|234.09|53.68|None|None|None|None|None
129338|107|20136|51.65|234.09|53.68|None|None|None|None|None
129339|107|20137|51.65|234.09|53.68|None|None|None|None|None
129340|107|20147|67.103|169.59|349.71|None|None|None|None|None
129341|107|20148|67.103|169.59|349.71|None|None|None|None|None
129342|107|20149|67.103|169.59|349.71|None|None|None|None|None
129343|107|178|66.902|169.61|349.73|None|None|None|None|None
129344|107|179|66.902|169.61|349.73|None|None|None|None|None
129345|107|180|66.902|169.61|349.73|None|None|None|None|None
129346|107|20153|66.902|169.61|349.73|None|None|None|None|None
129347|107|20154|66.902|169.61|349.73|None|None|None|None|None
129348|107|20155|66.902|169.61|349.73|None|None|None|None|None
129349|107|79|154.223|179.01|359.04|None|None|None|None|None
129350|107|80|154.223|179.01|359.04|None|None|None|None|None
129351|107|81|154.223|179.01|359.04|None|None|None|None|None
129352|107|82|159.494|174.3|354.45|None|None|None|None|None
129353|107|83|159.494|174.3|354.45|None|None|None|None|None
129354|107|84|159.494|174.3|354.45|None|None|None|None|None
129355|107|482|164.616|319.93|138.83|None|None|None|None|None
129356|107|483|164.616|319.93|138.83|None|None|None|None|None
129357|107|484|164.616|319.93|138.83|None|None|None|None|None
129358|107|3172|153.997|298.08|116.69|None|None|None|None|None
129359|107|3173|153.997|298.08|116.69|None|None|None|None|None
129360|107|3174|153.997|298.08|116.69|None|None|None|None|None
129361|107|2105|142.873|301.67|120.42|None|None|None|None|None
129362|107|2106|142.873|301.67|120.42|None|None|None|None|None
129363|107|2107|142.873|301.67|120.42|None|None|None|None|None
129364|107|7616|123.299|334.76|154.22|None|None|None|None|None
129365|107|7617|123.299|334.76|154.22|None|None|None|None|None
129366|107|7618|123.299|334.76|154.22|None|None|None|None|None
129367|107|3184|126.401|14.29|194.62|None|None|None|None|None
129368|107|3185|126.401|14.29|194.62|None|None|None|None|None
129369|107|3186|126.401|14.29|194.62|None|None|None|None|None
129370|107|2111|150.382|284.64|103.17|None|None|None|None|None
129371|107|2112|150.382|284.64|103.17|None|None|None|None|None
129372|107|2113|150.382|284.64|103.17|None|None|None|None|None
129373|107|3190|188.809|304.45|122.84|None|None|None|None|None
129374|107|3191|188.809|304.45|122.84|None|None|None|None|None
129375|107|3192|188.809|304.45|122.84|None|None|None|None|None
129376|107|3196|124.885|289.61|108.42|None|None|None|None|None
