# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
10|Mount St Helens|2006-05-29 16:08:08|2006-05-29 16:11:21|46.1957|-122.188|0.2|46.1957|-122.188|46.2069|-122.1871|rock fall|None|None|None|None|75000.0|50000.0|100000.0|None|None|None|380.0|330.0|400.0|1300.0|None|None|5|0|365.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
56|10|None|Height (H) estimates were made in google earth and may be underestimated because elevation is current, not the elevation of the dome in 2006|None|None|None
66|10|30|Volume estimates from Moran and others (2008), geometry estimates were made in Google earth based on information and figures in this paper.|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
656|10|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/10_MountStHelens_29May2006/photos_figures/10_MountStHelens_29May2006_waveforms_raw.png|None
657|10|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/10_MountStHelens_29May2006/photos_figures/10_MountStHelens_29May2006_waveforms_1-5Hz.png|None
658|10|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/10_MountStHelens_29May2006/photos_figures/10_MountStHelens_29May2006_spectrogram.png|None
659|10|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/10_MountStHelens_29May2006/photos_figures/10_MountStHelens_29May2006_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
30|10|None|Moran, S., Matoza, R., Garcés, M., Hedlin, M., Bowers, D., Scott, W., Sherrod, D., and Vallance, J., 2008, Seismic and acoustic recordings of an unusually large rockfall at Mount St. Helens, Washington: Geophysical research letters, v. 35, no. 19.|Moran and others (2008)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
5068|10|76|8.904|344.44|164.41|None|None
5069|10|77|8.904|344.44|164.41|0|None
5070|10|78|8.904|344.44|164.41|0|None
5071|10|888|0.069|186.99|6.99|None|None
5072|10|490|0.276|21.48|201.48|0|None
5073|10|889|0.254|171.58|351.58|None|None
5074|10|85|0.387|310.75|130.75|1|None
5075|10|86|0.387|310.75|130.75|1|None
5076|10|87|0.387|310.75|130.75|1|None
5077|10|88|5.26|326.98|146.96|1|None
5078|10|89|5.26|326.98|146.96|1|None
5079|10|90|5.26|326.98|146.96|1|None
5080|10|504|150.351|358.18|178.13|None|None
5081|10|505|150.351|358.18|178.13|None|None
5082|10|506|150.351|358.18|178.13|None|None
5083|10|437|199.435|206.43|25.64|1|None
5084|10|438|199.435|206.43|25.64|1|None
5085|10|439|199.435|206.43|25.64|1|None
5086|10|101|107.834|323.98|143.37|1|None
5087|10|102|107.834|323.98|143.37|1|None
5088|10|103|107.834|323.98|143.37|1|None
5089|10|531|137.61|259.29|78.04|1|None
5090|10|532|137.61|259.29|78.04|1|None
5091|10|533|137.61|259.29|78.04|1|None
5092|10|537|143.664|244.92|63.72|None|None
5093|10|538|143.664|244.92|63.72|None|None
5094|10|539|143.664|244.92|63.72|None|None
5095|10|552|95.599|216.48|35.95|None|None
5096|10|696|179.167|340.81|160.24|None|None
5097|10|697|179.167|340.81|160.24|None|None
5098|10|698|179.167|340.81|160.24|None|None
5099|10|2187|170.647|12.64|193.0|1|None
5100|10|2188|170.647|12.64|193.0|1|None
5101|10|2189|170.647|12.64|193.0|1|None
5102|10|2190|158.513|310.66|129.5|1|None
5103|10|2191|158.513|310.66|129.5|1|None
5104|10|2192|158.513|310.66|129.5|1|None
5105|10|2193|111.929|335.28|154.83|1|None
5106|10|2194|111.929|335.28|154.83|1|None
5107|10|2195|111.929|335.28|154.83|0|None
5108|10|555|111.108|7.76|187.91|1|None
5109|10|556|111.108|7.76|187.91|1|None
5110|10|557|111.108|7.76|187.91|1|None
5111|10|561|112.744|290.56|109.56|1|None
5112|10|562|112.744|290.56|109.56|1|None
5113|10|563|112.744|290.56|109.56|1|None
5114|10|890|60.138|317.16|136.77|1|None
5115|10|891|60.138|317.16|136.77|1|None
5116|10|892|60.138|317.16|136.77|1|None
5117|10|893|51.945|38.96|219.27|1|None
5118|10|894|51.945|38.96|219.27|1|None
5119|10|895|51.945|38.96|219.27|1|None
5120|10|570|110.258|254.86|73.87|1|None
5121|10|571|110.258|254.86|73.87|1|None
5122|10|572|110.258|254.86|73.87|1|None
5123|10|573|34.556|211.45|31.29|1|None
5124|10|574|34.556|211.45|31.29|1|None
5125|10|575|34.556|211.45|31.29|1|None
5126|10|896|66.286|121.51|302.04|1|None
5127|10|897|66.286|121.51|302.04|1|None
5128|10|898|66.286|121.51|302.04|1|None
5129|10|579|112.575|191.74|11.53|1|None
5130|10|580|112.575|191.74|11.53|1|None
5131|10|581|112.575|191.74|11.53|1|None
5132|10|2196|125.985|147.16|327.79|1|None
5133|10|2197|125.985|147.16|327.79|1|None
5134|10|2198|125.985|147.16|327.79|1|None
5135|10|2202|189.928|207.49|26.7|1|None
5136|10|2203|189.928|207.49|26.7|1|None
