# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
112|Mount Sulzer 3 secondary|2015-07-31 01:32:39|2015-07-31 01:42:16|61.640185|-141.5603|1.0|None|None|None|None|rock and ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|0|None|None|207.0|1|None|None|0.0|None|0|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.



# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
248|112|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/112_MountSulzer3secondary_31Jul2015/photos_figures/112_MountSulzer3secondary_31Jul2015_waveforms_raw.png|None
249|112|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/112_MountSulzer3secondary_31Jul2015/photos_figures/112_MountSulzer3secondary_31Jul2015_waveforms_1-5Hz.png|None
250|112|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/112_MountSulzer3secondary_31Jul2015/photos_figures/112_MountSulzer3secondary_31Jul2015_spectrogram.png|None
251|112|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/112_MountSulzer3secondary_31Jul2015/photos_figures/112_MountSulzer3secondary_31Jul2015_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
126716|112|1524|64.938|184.86|4.77|None|1|None|None|None
126717|112|1525|64.938|184.86|4.77|None|1|None|None|None
126718|112|1526|64.938|184.86|4.77|None|1|None|None|None
126719|112|1599|69.961|224.21|43.41|None|1|None|None|None
126720|112|1600|69.961|224.21|43.41|None|1|None|None|None
126721|112|1601|69.961|224.21|43.41|None|1|None|None|None
126722|112|1662|40.508|69.3|249.93|None|None|None|None|None
126723|112|1663|40.508|69.3|249.93|None|None|None|None|None
126724|112|1664|40.508|69.3|249.93|None|None|None|None|None
126725|112|1665|60.152|75.0|255.97|None|None|None|None|None
126726|112|1666|60.152|75.0|255.97|None|None|None|None|None
126727|112|1667|60.152|75.0|255.97|None|None|None|None|None
126728|112|1515|131.378|192.84|12.38|None|0|None|None|None
126729|112|1516|131.378|192.84|12.38|None|0|None|None|None
126730|112|1517|131.378|192.84|12.38|None|0|None|None|None
126731|112|1518|79.389|212.35|31.66|None|1|None|None|None
126732|112|1519|79.389|212.35|31.66|None|1|None|None|None
126733|112|1520|79.389|212.35|31.66|None|1|None|None|None
126734|112|1521|146.792|200.5|19.69|None|None|None|None|None
126735|112|1522|146.792|200.5|19.69|None|None|None|None|None
126736|112|1523|146.792|200.5|19.69|None|None|None|None|None
126737|112|1530|181.013|220.76|38.88|None|0|None|None|None
126738|112|1531|181.013|220.76|38.88|None|0|None|None|None
126739|112|1532|181.013|220.76|38.88|None|0|None|None|None
126740|112|1536|193.476|209.69|28.19|None|None|None|None|None
126741|112|1537|193.476|209.69|28.19|None|None|None|None|None
126742|112|1538|193.476|209.69|28.19|None|None|None|None|None
126743|112|1539|179.532|246.67|64.0|None|0|None|None|None
126744|112|1540|179.532|246.67|64.0|None|0|None|None|None
126745|112|1541|179.532|246.67|64.0|None|0|None|None|None
126746|112|1542|128.749|220.46|39.12|None|1|None|None|None
126747|112|1543|128.749|220.46|39.12|None|1|None|None|None
126748|112|1544|128.749|220.46|39.12|None|1|None|None|None
126749|112|1545|76.169|170.99|351.18|None|1|None|None|None
126750|112|1546|76.169|170.99|351.18|None|1|None|None|None
126751|112|1547|76.169|170.99|351.18|None|1|None|None|None
126752|112|12904|180.746|196.59|15.78|None|0|None|None|None
126753|112|12905|180.746|196.59|15.78|None|0|None|None|None
126754|112|12906|180.746|196.59|15.78|None|0|None|None|None
126755|112|1551|121.791|260.53|78.55|None|1|None|None|None
126756|112|1552|121.791|260.53|78.55|None|1|None|None|None
126757|112|1553|121.791|260.53|78.55|None|1|None|None|None
126758|112|1557|179.019|212.97|31.43|None|0|None|None|None
126759|112|1558|179.019|212.97|31.43|None|0|None|None|None
126760|112|1559|179.019|212.97|31.43|None|0|None|None|None
126761|112|1560|101.801|186.01|5.84|None|None|None|None|None
126762|112|1561|101.801|186.01|5.84|None|None|None|None|None
126763|112|1562|101.801|186.01|5.84|None|None|None|None|None
126764|112|1566|123.05|200.33|19.65|None|0|None|None|None
126765|112|1567|123.05|200.33|19.65|None|0|None|None|None
126766|112|1568|123.05|200.33|19.65|None|1|None|None|None
126767|112|1575|161.703|215.14|33.66|None|0|None|None|None
126768|112|1576|161.703|215.14|33.66|None|0|None|None|None
126769|112|1577|161.703|215.14|33.66|None|0|None|None|None
126770|112|1578|90.7|208.59|27.89|None|1|None|None|None
126771|112|1579|90.7|208.59|27.89|None|1|None|None|None
126772|112|1580|90.7|208.59|27.89|None|1|None|None|None
126773|112|1581|167.505|202.62|21.6|None|1|None|None|None
126774|112|1582|167.505|202.62|21.6|None|0|None|None|None
126775|112|1583|167.505|202.62|21.6|None|0|None|None|None
126776|112|1584|95.718|161.59|342.08|None|1|None|None|None
126777|112|1585|95.718|161.59|342.08|None|1|None|None|None
126778|112|1586|95.718|161.59|342.08|None|1|None|None|None
126779|112|1587|82.998|250.49|69.21|None|1|None|None|None
126780|112|1588|82.998|250.49|69.21|None|1|None|None|None
126781|112|1589|82.998|250.49|69.21|None|1|None|None|None
126782|112|1590|164.242|187.58|7.24|None|0|None|None|None
126783|112|1591|164.242|187.58|7.24|None|0|None|None|None
126784|112|1592|164.242|187.58|7.24|None|0|None|None|None
126785|112|10385|186.159|156.99|338.13|None|None|None|None|None
126786|112|10386|186.159|156.99|338.13|None|None|None|None|None
126787|112|10387|186.159|156.99|338.13|None|None|None|None|None
126788|112|1605|149.844|175.5|355.69|None|None|None|None|None
126789|112|1606|149.844|175.5|355.69|None|None|None|None|None
126790|112|1607|149.844|175.5|355.69|None|None|None|None|None
126791|112|1608|173.553|165.58|346.26|None|0|None|None|None
126792|112|1609|173.553|165.58|346.26|None|0|None|None|None
126793|112|1610|173.553|165.58|346.26|None|0|None|None|None
126794|112|1611|176.978|203.64|22.53|None|0|None|None|None
126795|112|1612|176.978|203.64|22.53|None|0|None|None|None
126796|112|1613|176.978|203.64|22.53|None|0|None|None|None
126797|112|23259|176.978|203.64|22.53|None|None|None|None|None
126798|112|23260|176.978|203.64|22.53|None|None|None|None|None
126799|112|23261|176.978|203.64|22.53|None|None|None|None|None
126800|112|1617|135.623|170.28|350.64|None|0|None|None|None
126801|112|1618|135.623|170.28|350.64|None|0|None|None|None
126802|112|1619|135.623|170.28|350.64|None|0|None|None|None
126803|112|1620|120.015|215.2|34.09|None|1|None|None|None
126804|112|1621|120.015|215.2|34.09|None|1|None|None|None
126805|112|1622|120.015|215.2|34.09|None|1|None|None|None
126806|112|1623|111.053|246.37|64.71|None|1|None|None|None
126807|112|1624|111.053|246.37|64.71|None|1|None|None|None
126808|112|1625|111.053|246.37|64.71|None|1|None|None|None
126809|112|1626|150.079|208.3|27.17|None|0|None|None|None
126810|112|1627|150.079|208.3|27.17|None|0|None|None|None
126811|112|1628|150.079|208.3|27.17|None|0|None|None|None
126812|112|1629|143.211|184.22|4.05|None|1|None|None|None
126813|112|1630|143.211|184.22|4.05|None|0|None|None|None
126814|112|1631|143.211|184.22|4.05|None|0|None|None|None
126815|112|2438|182.956|323.19|141.27|None|0|None|None|None
126816|112|2439|182.956|323.19|141.27|None|0|None|None|None
126817|112|2440|182.956|323.19|141.27|None|0|None|None|None
126818|112|1739|151.023|285.99|103.55|None|None|None|None|None
126819|112|1740|151.023|285.99|103.55|None|None|None|None|None
126820|112|1741|151.023|285.99|103.55|None|None|None|None|None
126821|112|1742|138.395|288.08|105.86|None|None|None|None|None
126822|112|1743|141.61|284.23|101.92|None|None|None|None|None
126823|112|1744|144.877|290.66|108.37|None|None|None|None|None
126824|112|1644|93.705|22.7|203.32|None|None|None|None|None
126825|112|1645|93.705|22.7|203.32|None|None|None|None|None
126826|112|1646|93.705|22.7|203.32|None|None|None|None|None
126827|112|1659|78.812|43.03|223.94|None|None|None|None|None
126828|112|1660|78.812|43.03|223.94|None|None|None|None|None
126829|112|1661|78.812|43.03|223.94|None|None|None|None|None
126830|112|1668|161.928|96.8|279.45|None|None|None|None|None
126831|112|1669|161.928|96.8|279.45|None|None|None|None|None
126832|112|1670|161.928|96.8|279.45|None|None|None|None|None
126833|112|1674|188.178|112.97|295.77|None|None|None|None|None
126834|112|1675|188.178|112.97|295.77|None|None|None|None|None
126835|112|1676|188.178|112.97|295.77|None|None|None|None|None
126836|112|9326|103.625|111.7|293.28|None|None|None|None|None
126837|112|9327|103.625|111.7|293.28|None|None|None|None|None
126838|112|9328|103.625|111.7|293.28|None|None|None|None|None
126839|112|5677|180.03|329.82|148.24|None|0|None|None|None
126840|112|5678|180.03|329.82|148.24|None|0|None|None|None
126841|112|5679|180.03|329.82|148.24|None|0|None|None|None
126842|112|12928|159.044|355.13|174.89|None|1|None|None|None
126843|112|12929|159.044|355.13|174.89|None|1|None|None|None
126844|112|12930|159.044|355.13|174.89|None|0|None|None|None
126845|112|12932|113.348|319.08|137.81|None|1|None|None|None
126846|112|12933|113.348|319.08|137.81|None|1|None|None|None
126847|112|12934|113.348|319.08|137.81|None|1|None|None|None
126848|112|12936|81.7|348.38|168.1|None|1|None|None|None
126849|112|12937|81.7|348.38|168.1|None|1|None|None|None
126850|112|12938|81.7|348.38|168.1|None|1|None|None|None
126851|112|12940|161.173|269.99|87.31|None|0|None|None|None
126852|112|12941|161.173|269.99|87.31|None|0|None|None|None
126853|112|12942|161.173|269.99|87.31|None|0|None|None|None
126854|112|1527|215.141|150.03|331.71|None|None|None|None|None
126855|112|1528|215.141|150.03|331.71|None|None|None|None|None
126856|112|1529|215.141|150.03|331.71|None|None|None|None|None
126857|112|1709|232.317|257.67|73.97|None|None|None|None|None
126858|112|1710|232.317|257.67|73.97|None|None|None|None|None
126859|112|1711|232.317|257.67|73.97|None|None|None|None|None
126860|112|1715|258.129|331.21|148.98|None|None|None|None|None
126861|112|1716|258.129|331.21|148.98|None|None|None|None|None
126862|112|1717|258.129|331.21|148.98|None|None|None|None|None
126863|112|1721|256.6|243.56|59.89|None|None|None|None|None
126864|112|1722|256.6|243.56|59.89|None|None|None|None|None
126865|112|1723|256.6|243.56|59.89|None|None|None|None|None
126866|112|2356|289.39|251.66|67.24|None|None|None|None|None
126867|112|2357|289.39|251.66|67.24|None|None|None|None|None
126868|112|2358|289.39|251.66|67.24|None|None|None|None|None
126869|112|1554|207.663|236.75|53.97|None|None|None|None|None
126870|112|1555|207.663|236.75|53.97|None|None|None|None|None
126871|112|1556|207.663|236.75|53.97|None|None|None|None|None
126872|112|1563|206.218|226.35|43.99|None|0|None|None|None
126873|112|1564|206.218|226.35|43.99|None|1|None|None|None
126874|112|1565|206.218|226.35|43.99|None|1|None|None|None
126875|112|1572|246.32|220.46|37.96|None|None|None|None|None
126876|112|1573|246.32|220.46|37.96|None|None|None|None|None
126877|112|1574|246.32|220.46|37.96|None|None|None|None|None
126878|112|2378|232.365|267.86|84.02|None|None|None|None|None
126879|112|2379|232.365|267.86|84.02|None|None|None|None|None
126880|112|2380|232.365|267.86|84.02|None|None|None|None|None
126881|112|1593|203.768|220.91|38.8|None|0|None|None|None
126882|112|1594|203.768|220.91|38.8|None|0|None|None|None
126883|112|1595|203.768|220.91|38.8|None|0|None|None|None
126884|112|1730|251.113|307.88|124.41|None|None|None|None|None
126885|112|1731|251.113|307.88|124.41|None|None|None|None|None
126886|112|1732|251.113|307.88|124.41|None|None|None|None|None
126887|112|1596|249.583|150.85|332.73|None|None|None|None|None
126888|112|1597|249.583|150.85|332.73|None|None|None|None|None
126889|112|1598|249.583|150.85|332.73|None|None|None|None|None
126890|112|1602|218.916|231.72|48.99|None|None|None|None|None
126891|112|1603|218.916|231.72|48.99|None|None|None|None|None
126892|112|1604|218.916|231.72|48.99|None|None|None|None|None
126893|112|1733|288.133|325.76|142.84|None|None|None|None|None
126894|112|1734|288.133|325.76|142.84|None|None|None|None|None
126895|112|1735|288.133|325.76|142.84|None|None|None|None|None
126896|112|1736|288.309|335.62|153.46|None|None|None|None|None
126897|112|1737|288.309|335.62|153.46|None|None|None|None|None
126898|112|1738|288.309|335.62|153.46|None|None|None|None|None
126899|112|1700|232.192|239.55|56.36|None|None|None|None|None
126900|112|1701|232.192|239.55|56.36|None|None|None|None|None
126901|112|1702|232.192|239.55|56.36|None|None|None|None|None
126902|112|1614|212.284|215.58|33.65|None|None|None|None|None
126903|112|1615|212.284|215.58|33.65|None|None|None|None|None
126904|112|1616|212.284|215.58|33.65|None|None|None|None|None
126905|112|1641|258.726|155.58|337.22|None|None|None|None|None
126906|112|1642|258.726|155.58|337.22|None|None|None|None|None
126907|112|1643|258.726|155.58|337.22|None|None|None|None|None
126908|112|5996|291.989|21.27|203.2|None|None|None|None|None
126909|112|5997|291.989|21.27|203.2|None|None|None|None|None
126910|112|5998|291.989|21.27|203.2|None|None|None|None|None
126911|112|1650|236.007|110.85|294.4|None|None|None|None|None
