# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
113|Mount Sulzer 4|2015-07-31 01:57:08|2015-07-31 02:02:08|61.640185|-141.5603|1.0|None|None|None|None|rock and ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|1|None|None|412.0|1|None|None|500.0|0|0|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.



# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
242|113|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_waveforms_raw.png|None
243|113|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_waveforms_1-5Hz.png|None
244|113|Kate Allstadt|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_waveforms_20-60sec.png|None
245|113|Kate Allstadt|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_displspectra.png|None
246|113|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_spectrogram.png|None
247|113|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/113_MountSulzer4_31Jul2015/photos_figures/113_MountSulzer4_31Jul2015_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
127010|113|1524|64.938|184.86|4.77|None|1|None|0|None
127011|113|1525|64.938|184.86|4.77|None|1|None|0|None
127012|113|1526|64.938|184.86|4.77|None|1|None|1|None
127013|113|1599|69.961|224.21|43.41|None|1|None|0|None
127014|113|1600|69.961|224.21|43.41|None|1|None|0|None
127015|113|1601|69.961|224.21|43.41|None|1|None|1|None
127016|113|1662|40.508|69.3|249.93|None|None|None|None|None
127017|113|1663|40.508|69.3|249.93|None|None|None|None|None
127018|113|1664|40.508|69.3|249.93|None|None|None|None|None
127019|113|1665|60.152|75.0|255.97|None|None|None|None|None
127020|113|1666|60.152|75.0|255.97|None|None|None|None|None
127021|113|1667|60.152|75.0|255.97|None|None|None|None|None
127022|113|1515|131.378|192.84|12.38|None|1|None|0|None
127023|113|1516|131.378|192.84|12.38|None|1|None|0|None
127024|113|1517|131.378|192.84|12.38|None|1|None|0|None
127025|113|1518|79.389|212.35|31.66|None|1|None|0|None
127026|113|1519|79.389|212.35|31.66|None|1|None|0|None
127027|113|1520|79.389|212.35|31.66|None|1|None|0|None
127028|113|1521|146.792|200.5|19.69|None|None|None|None|None
127029|113|1522|146.792|200.5|19.69|None|None|None|None|None
127030|113|1523|146.792|200.5|19.69|None|None|None|None|None
127031|113|1527|215.141|150.03|331.71|None|0|None|0|None
127032|113|1528|215.141|150.03|331.71|None|0|None|0|None
127033|113|1529|215.141|150.03|331.71|None|0|None|0|None
127034|113|1530|181.013|220.76|38.88|None|1|None|0|None
127035|113|1531|181.013|220.76|38.88|None|1|None|0|None
127036|113|1532|181.013|220.76|38.88|None|1|None|0|None
127037|113|1536|193.476|209.69|28.19|None|None|None|None|None
127038|113|1537|193.476|209.69|28.19|None|None|None|None|None
127039|113|1538|193.476|209.69|28.19|None|None|None|None|None
127040|113|1539|179.532|246.67|64.0|None|1|None|0|None
127041|113|1540|179.532|246.67|64.0|None|1|None|0|None
127042|113|1541|179.532|246.67|64.0|None|1|None|0|None
127043|113|1542|128.749|220.46|39.12|None|1|None|0|None
127044|113|1543|128.749|220.46|39.12|None|1|None|0|None
127045|113|1544|128.749|220.46|39.12|None|1|None|0|None
127046|113|1545|76.169|170.99|351.18|None|1|None|0|None
127047|113|1546|76.169|170.99|351.18|None|1|None|0|None
127048|113|1547|76.169|170.99|351.18|None|1|None|1|None
127049|113|12904|180.746|196.59|15.78|None|0|None|0|None
127050|113|12905|180.746|196.59|15.78|None|0|None|0|None
127051|113|12906|180.746|196.59|15.78|None|0|None|0|None
127052|113|1709|232.317|257.67|73.97|None|0|None|0|None
127053|113|1710|232.317|257.67|73.97|None|0|None|0|None
127054|113|1711|232.317|257.67|73.97|None|0|None|0|None
127055|113|1551|121.791|260.53|78.55|None|1|None|0|None
127056|113|1552|121.791|260.53|78.55|None|1|None|0|None
127057|113|1553|121.791|260.53|78.55|None|1|None|0|None
127058|113|1554|207.663|236.75|53.97|None|1|None|0|None
127059|113|1555|207.663|236.75|53.97|None|1|None|0|None
127060|113|1556|207.663|236.75|53.97|None|1|None|0|None
127061|113|1557|179.019|212.97|31.43|None|0|None|0|None
127062|113|1558|179.019|212.97|31.43|None|0|None|0|None
127063|113|1559|179.019|212.97|31.43|None|0|None|0|None
127064|113|1560|101.801|186.01|5.84|None|None|None|None|None
127065|113|1561|101.801|186.01|5.84|None|None|None|None|None
127066|113|1562|101.801|186.01|5.84|None|None|None|None|None
127067|113|1563|206.218|226.35|43.99|None|1|None|0|None
127068|113|1564|206.218|226.35|43.99|None|1|None|0|None
127069|113|1565|206.218|226.35|43.99|None|1|None|0|None
127070|113|1566|123.05|200.33|19.65|None|1|None|0|None
127071|113|1567|123.05|200.33|19.65|None|1|None|0|None
127072|113|1568|123.05|200.33|19.65|None|1|None|0|None
127073|113|1572|246.32|220.46|37.96|None|0|None|0|None
127074|113|1573|246.32|220.46|37.96|None|0|None|0|None
