# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
128|Ingraham Glacier, Mount Rainier|2018-07-07 05:38:14|2018-07-07 05:41:14|46.8481|-121.7458|0.5|None|None|None|None|ice fall|40000.0|None|None|None|40000.0|80000.0|160000.0|None|None|None|200.0|None|None|4000.0|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|21.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
470|128|180|H, L, total area, and deposit thickness were estimated using images posted to Mount Rainier Park Service Climbing Rangers blog and GoogleEarth. Volumes were estimated using the total area and low, best, and high deposit thicknesses of 1 m, 2 m, and 4 m, respectively.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
889|128|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/128_IngrahamGlacierMountRainier_07Jul2018/photos_figures/128_IngrahamGlacierMountRainier_07Jul2018_waveforms_raw.png|None
890|128|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/128_IngrahamGlacierMountRainier_07Jul2018/photos_figures/128_IngrahamGlacierMountRainier_07Jul2018_waveforms_1-5Hz.png|None
891|128|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/128_IngrahamGlacierMountRainier_07Jul2018/photos_figures/128_IngrahamGlacierMountRainier_07Jul2018_spectrogram.png|None
892|128|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/128_IngrahamGlacierMountRainier_07Jul2018/photos_figures/128_IngrahamGlacierMountRainier_07Jul2018_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
180|128|None|Mount Rainier Park Service Climbing Rangers, 9 Jul 2018, DC Update: Objective hazards become palpable [BlogPost]: Mount Rainier Climbing, Accessed 30 Aug 2021, at http://mountrainierclimbing.blogspot.com/2018/07/dc-update-objective-hazards-become.html|Mount Rainier PSCR (2018)|None|http://mountrainierclimbing.blogspot.com/2018/07/dc-update-objective-hazards-become.html

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
134993|128|79|7.812|317.3|137.25|None|1|None|None|None
134994|128|80|7.812|317.3|137.25|None|1|None|None|None
134995|128|81|7.812|317.3|137.25|None|1|None|None|None
134996|128|82|7.962|81.21|261.28|None|None|None|None|None
134997|128|83|7.962|81.21|261.28|None|None|None|None|None
134998|128|84|7.962|81.21|261.28|None|None|None|None|None
134999|128|24385|23.284|287.33|107.11|None|None|None|None|None
135000|128|24386|23.284|287.33|107.11|None|None|None|None|None
135001|128|24387|23.284|287.33|107.11|None|None|None|None|None
135002|128|24388|24.366|288.79|108.57|None|None|None|None|None
135003|128|24389|24.366|288.79|108.57|None|None|None|None|None
135004|128|24390|24.366|288.79|108.57|None|None|None|None|None
135005|128|24391|22.719|285.81|105.61|None|None|None|None|None
135006|128|24392|22.719|285.81|105.61|None|None|None|None|None
135007|128|24393|22.719|285.81|105.61|None|None|None|None|None
135008|128|24394|20.606|296.22|116.05|None|1|None|None|None
135009|128|24395|20.606|296.22|116.05|None|1|None|None|None
135010|128|24396|20.606|296.22|116.05|None|1|None|None|None
135011|128|24397|15.505|267.45|87.31|None|1|None|None|None
135012|128|24398|15.505|267.45|87.31|None|1|None|None|None
135013|128|24399|15.505|267.45|87.31|None|1|None|None|None
135014|128|5579|16.514|74.87|255.02|None|None|None|None|None
135015|128|5580|16.514|74.87|255.02|None|None|None|None|None
135016|128|5581|16.514|74.87|255.02|None|None|None|None|None
135017|128|23051|35.347|336.44|156.31|None|None|None|None|None
135018|128|23052|35.347|336.44|156.31|None|None|None|None|None
135019|128|23053|35.347|336.44|156.31|None|None|None|None|None
135020|128|23054|36.049|335.13|154.98|None|None|None|None|None
135021|128|23055|36.049|335.13|154.98|None|None|None|None|None
135022|128|23058|47.871|356.25|176.22|None|None|None|None|None
135023|128|23059|47.871|356.25|176.22|None|None|None|None|None
135024|128|23060|47.871|356.25|176.22|None|None|None|None|None
135025|128|116|39.204|293.33|112.99|None|None|None|None|None
135026|128|117|39.204|293.33|112.99|None|None|None|None|None
135027|128|118|39.204|293.33|112.99|None|None|None|None|None
135028|128|23970|39.205|293.33|112.99|None|None|None|None|None
135029|128|23971|39.205|293.33|112.99|None|None|None|None|None
135030|128|23972|39.205|293.33|112.99|None|None|None|None|None
135031|128|134|11.834|28.76|208.82|None|1|None|None|None
135032|128|135|45.582|298.33|117.95|None|None|None|None|None
135033|128|19541|45.582|298.33|117.95|None|None|None|None|None
135034|128|19542|45.582|298.33|117.95|None|None|None|None|None
135035|128|19543|45.582|298.33|117.95|None|None|None|None|None
135036|128|19544|45.582|298.33|117.95|None|None|None|None|None
135037|128|19545|45.582|298.33|117.95|None|None|None|None|None
135038|128|19546|45.582|298.33|117.95|None|None|None|None|None
135039|128|138|39.636|354.52|174.49|None|None|None|None|None
135040|128|24400|39.737|354.5|174.47|None|None|None|None|None
135041|128|24401|39.737|354.5|174.47|None|None|None|None|None
135042|128|24402|39.737|354.5|174.47|None|None|None|None|None
135043|128|143|11.883|204.22|24.17|None|1|None|None|None
135044|128|144|11.883|204.22|24.17|None|1|None|None|None
135045|128|145|11.883|204.22|24.17|None|1|None|None|None
135046|128|146|11.883|204.22|24.17|None|1|None|None|None
135047|128|147|11.883|204.22|24.17|None|None|None|None|None
135048|128|19684|11.883|204.22|24.17|None|0|None|None|None
135049|128|19685|11.883|204.22|24.17|None|0|None|None|None
135050|128|19686|11.883|204.22|24.17|None|0|None|None|None
135051|128|19882|90.928|338.19|157.86|None|None|None|None|None
135052|128|19883|90.928|338.19|157.86|None|None|None|None|None
135053|128|19884|90.928|338.19|157.86|None|None|None|None|None
135054|128|158|1.696|144.77|324.78|None|0|None|None|None
135055|128|159|1.696|144.77|324.78|None|0|None|None|None
135056|128|160|1.696|144.77|324.78|None|1|None|None|None
135057|128|161|2.728|22.15|202.16|None|1|None|None|None
135058|128|162|8.027|246.31|66.24|None|0|None|None|None
135059|128|163|20.414|301.59|121.43|None|0|None|None|None
135060|128|169|3.609|274.88|94.84|None|0|None|None|None
135061|128|170|3.609|274.88|94.84|None|0|None|None|None
135062|128|171|3.609|274.88|94.84|None|0|None|None|None
135063|128|20122|3.609|274.88|94.84|None|0|None|None|None
135064|128|20123|42.072|334.04|153.86|None|None|None|None|None
135065|128|20124|42.072|334.04|153.86|None|None|None|None|None
135066|128|20125|42.072|334.04|153.86|None|None|None|None|None
135067|128|173|42.072|334.04|153.86|None|None|None|None|None
135068|128|174|42.072|334.04|153.86|None|None|None|None|None
135069|128|175|42.072|334.04|153.86|None|None|None|None|None
135070|128|183|23.012|136.14|316.3|None|None|None|None|None
135071|128|24403|78.221|181.45|1.43|None|None|None|None|None
135072|128|24404|78.221|181.45|1.43|None|None|None|None|None
135073|128|24405|78.221|181.45|1.43|None|None|None|None|None
135074|128|76|73.259|209.78|29.43|None|None|None|None|None
135075|128|77|73.259|209.78|29.43|None|None|None|None|None
135076|128|78|73.259|209.78|29.43|None|None|None|None|None
135077|128|85|79.697|205.52|25.19|None|None|None|None|None
135078|128|86|79.697|205.52|25.19|None|None|None|None|None
135079|128|87|79.697|205.52|25.19|None|None|None|None|None
135080|128|88|77.139|208.56|28.22|None|None|None|None|None
135081|128|89|77.139|208.56|28.22|None|None|None|None|None
135082|128|90|77.139|208.56|28.22|None|None|None|None|None
135083|128|24406|77.684|205.31|25.0|None|None|None|None|None
135084|128|24407|77.684|205.31|25.0|None|None|None|None|None
135085|128|91|77.684|205.31|25.0|None|None|None|None|None
135086|128|92|82.76|206.07|25.73|None|None|None|None|None
135087|128|93|82.76|206.07|25.73|None|None|None|None|None
135088|128|94|82.76|206.07|25.73|None|None|None|None|None
135089|128|95|78.246|205.93|25.61|None|None|None|None|None
135090|128|96|78.246|205.93|25.61|None|None|None|None|None
135091|128|97|78.246|205.93|25.61|None|None|None|None|None
135092|128|19220|102.119|332.57|152.11|None|None|None|None|None
135093|128|19221|102.119|332.57|152.11|None|None|None|None|None
135094|128|19222|102.119|332.57|152.11|None|None|None|None|None
135095|128|19226|92.743|332.46|152.05|None|None|None|None|None
135096|128|19227|92.743|332.46|152.05|None|None|None|None|None
135097|128|19228|92.743|332.46|152.05|None|None|None|None|None
135098|128|19232|87.837|332.6|152.21|None|None|None|None|None
135099|128|19233|87.837|332.6|152.21|None|None|None|None|None
135100|128|19234|87.837|332.6|152.21|None|None|None|None|None
135101|128|19238|102.041|333.06|152.61|None|None|None|None|None
135102|128|19239|102.041|333.06|152.61|None|None|None|None|None
135103|128|19240|102.041|333.06|152.61|None|None|None|None|None
135104|128|19247|97.368|332.12|151.68|None|None|None|None|None
135105|128|19248|97.368|332.12|151.68|None|None|None|None|None
135106|128|19249|97.368|332.12|151.68|None|None|None|None|None
135107|128|19253|102.079|333.33|152.88|None|None|None|None|None
135108|128|19254|102.079|333.33|152.88|None|None|None|None|None
135109|128|19255|102.079|333.33|152.88|None|None|None|None|None
135110|128|19256|101.942|334.21|153.78|None|None|None|None|None
135111|128|19257|101.942|334.21|153.78|None|None|None|None|None
135112|128|19258|101.942|334.21|153.78|None|None|None|None|None
135113|128|19262|85.913|335.3|154.95|None|None|None|None|None
135114|128|19263|85.913|335.3|154.95|None|None|None|None|None
135115|128|19264|85.913|335.3|154.95|None|None|None|None|None
135116|128|19265|102.059|332.95|152.49|None|None|None|None|None
135117|128|19266|102.059|332.95|152.49|None|None|None|None|None
135118|128|19267|102.059|332.95|152.49|None|None|None|None|None
