# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
130|Johns Hopkins Glacier|2013-06-14 12:48:18|2013-06-14 12:49:25|58.7906|-137.3528|0.0|58.7906|-137.3528|58.800746|-137.349967|rock avalanche|595000.0|None|None|None|None|None|None|None|None|None|318.0|None|None|1230.0|None|None|None|None|None|None|None|None|None|None|None|None|4|0|None|None|251.0|1|None|None|0.0|None|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
143|130|GIS shapefile|QGIS - ebessettekirton, ecollins|Original outline of runout from Bessette-Kirton, E., based on Landsat-8 imagery.  The runout outline was modified and source areas were digitized using Planet RapidEye imagery.|EventData/130_JohnsHopkinsGlacier_14Jun2013/maps_gis/130_JohnsHopkins_20130614_outlines_UTM7N.zip|None
144|130|Static map - pdf|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on Planet RapidEye satellite imagery (6.5 m resolution, captured 2013-07-14).|EventData/130_JohnsHopkinsGlacier_14Jun2013/maps_gis/130_JohnsHopkins_20130614_map.pdf|None
145|130|GIS shapefile|QGIS - ebessettekirton, ecollins|Original centerline from Bessette-Kirton, E., and modified based on outline (gis_id 143).|EventData/130_JohnsHopkinsGlacier_14Jun2013/maps_gis/130_JohnsHopkins_20130614_centerline_UTM7N.zip|None
179|130|Static map - png|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on Planet RapidEye satellite imagery (6.5 m resolution, captured 2013-07-14).|EventData/130_JohnsHopkinsGlacier_14Jun2013/maps_gis/130_JohnsHopkins_20130614_map.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
480|130|184|Original outline, centerline, total area, location coordinates,type, H, and L provided by Bessette-Kirton and Coe (2016) and digitized using Landsat-8 imagery.  H was rounded to the nearest meter. Outline and centerline were modified using Planet RapidEye imagery and used to reestimate L, total area, and estimate source areas.|None|144|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
936|130|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/130_JohnsHopkinsGlacier_14Jun2013/photos_figures/130_JohnsHopkinsGlacier_14Jun2013_waveforms_raw.png|None
937|130|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/130_JohnsHopkinsGlacier_14Jun2013/photos_figures/130_JohnsHopkinsGlacier_14Jun2013_waveforms_1-5Hz.png|None
938|130|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/130_JohnsHopkinsGlacier_14Jun2013/photos_figures/130_JohnsHopkinsGlacier_14Jun2013_spectrogram.png|None
939|130|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/130_JohnsHopkinsGlacier_14Jun2013/photos_figures/130_JohnsHopkinsGlacier_14Jun2013_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
184|130|131,133|Bessette-Kirton, E.K. and Coe, J.A., 2016, Inventory of rock avalanches in western Glacier Bay National Park and Preserve, Alaska, 1984-2016: a baseline data set for evaluating the impact of climate change on avalanche magnitude, mobility, and frequency: U.S. Geological Survey Data Release, doi: https://doi.org/10.5066/F7C827F8|Bessette-Kirton and Coe (2016)|None|https://doi.org/10.5066/F7C827F8

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
136259|130|1515|327.394|307.33|123.24|None|None|None|None|None
136260|130|1516|327.394|307.33|123.24|None|None|None|None|None
136261|130|1517|327.394|307.33|123.24|None|None|None|None|None
136262|130|1518|374.816|313.99|129.66|None|None|None|None|None
136263|130|1519|374.816|313.99|129.66|None|None|None|None|None
136264|130|1520|374.816|313.99|129.66|None|None|None|None|None
136265|130|23768|374.816|313.99|129.66|None|None|None|None|None
136266|130|23769|374.816|313.99|129.66|None|None|None|None|None
136267|130|23770|374.816|313.99|129.66|None|None|None|None|None
136268|130|1521|341.25|303.95|119.51|None|None|None|None|None
136269|130|1522|341.25|303.95|119.51|None|None|None|None|None
136270|130|1523|341.25|303.95|119.51|None|None|None|None|None
136271|130|1524|349.123|318.22|134.49|None|None|None|None|None
136272|130|1525|349.123|318.22|134.49|None|None|None|None|None
136273|130|1526|349.123|318.22|134.49|None|None|None|None|None
136274|130|1527|183.403|315.91|133.94|None|1|None|None|None
136275|130|1528|183.403|315.91|133.94|None|1|None|None|None
136276|130|1529|183.403|315.91|133.94|None|1|None|None|None
136277|130|1530|400.449|299.16|113.68|None|None|None|None|None
136278|130|1531|400.449|299.16|113.68|None|None|None|None|None
136279|130|1532|400.449|299.16|113.68|None|None|None|None|None
136280|130|1533|146.712|98.17|280.3|None|1|None|None|None
136281|130|1534|146.712|98.17|280.3|None|1|None|None|None
136282|130|1535|146.712|98.17|280.3|None|1|None|None|None
136283|130|1536|367.401|296.31|111.2|None|None|None|None|None
136284|130|1537|367.401|296.31|111.2|None|None|None|None|None
136285|130|1538|367.401|296.31|111.2|None|None|None|None|None
136286|130|1539|472.684|303.95|117.67|None|None|None|None|None
136287|130|1540|472.684|303.95|117.67|None|None|None|None|None
136288|130|1541|472.684|303.95|117.67|None|None|None|None|None
136289|130|1542|389.355|306.58|121.62|None|None|None|None|None
136290|130|1543|389.355|306.58|121.62|None|None|None|None|None
136291|130|1544|389.355|306.58|121.62|None|None|None|None|None
136292|130|1545|329.353|319.04|135.59|None|None|None|None|None
136293|130|1546|329.353|319.04|135.59|None|None|None|None|None
136294|130|1547|329.353|319.04|135.59|None|None|None|None|None
136295|130|1548|59.86|304.31|123.57|None|None|None|None|None
136296|130|1549|59.86|304.31|123.57|None|None|None|None|None
136297|130|1550|59.86|304.31|123.57|None|None|None|None|None
136298|130|1554|460.533|298.79|112.42|None|None|None|None|None
136299|130|1555|460.533|298.79|112.42|None|None|None|None|None
136300|130|1556|460.533|298.79|112.42|None|None|None|None|None
136301|130|1557|376.086|298.73|113.58|None|None|None|None|None
136302|130|1558|376.086|298.73|113.58|None|None|None|None|None
136303|130|1559|376.086|298.73|113.58|None|None|None|None|None
136304|130|1560|328.498|313.03|129.23|None|None|None|None|None
136305|130|1561|328.498|313.03|129.23|None|None|None|None|None
136306|130|1562|328.498|313.03|129.23|None|None|None|None|None
136307|130|1563|426.576|296.73|110.77|None|None|None|None|None
136308|130|1564|426.576|296.73|110.77|None|None|None|None|None
136309|130|1565|426.576|296.73|110.77|None|None|None|None|None
136310|130|1566|345.725|307.84|123.53|None|None|None|None|None
136311|130|1567|345.725|307.84|123.53|None|None|None|None|None
136312|130|1568|345.725|307.84|123.53|None|None|None|None|None
136313|130|1569|182.133|107.08|289.61|None|1|None|None|None
136314|130|1570|182.133|107.08|289.61|None|1|None|None|None
136315|130|1571|182.133|107.08|289.61|None|1|None|None|None
136316|130|23316|182.133|107.08|289.61|None|0|None|None|None
136317|130|23317|182.133|107.08|289.61|None|0|None|None|None
136318|130|23318|182.133|107.08|289.61|None|0|None|None|None
136319|130|1572|421.11|290.5|104.42|None|None|None|None|None
136320|130|1573|421.11|290.5|104.42|None|None|None|None|None
136321|130|1574|421.11|290.5|104.42|None|None|None|None|None
136322|130|1575|380.215|301.46|116.37|None|None|None|None|None
136323|130|1576|380.215|301.46|116.37|None|None|None|None|None
136324|130|1577|380.215|301.46|116.37|None|None|None|None|None
136325|130|1578|367.524|312.4|128.07|None|None|None|None|None
136326|130|1579|367.524|312.4|128.07|None|None|None|None|None
136327|130|1580|367.524|312.4|128.07|None|None|None|None|None
136328|130|1581|344.483|300.39|115.76|None|None|None|None|None
136329|130|1582|344.483|300.39|115.76|None|None|None|None|None
136330|130|1583|344.483|300.39|115.76|None|None|None|None|None
136331|130|1584|305.412|319.43|136.27|None|None|None|None|None
136332|130|1585|305.412|319.43|136.27|None|None|None|None|None
136333|130|1586|305.412|319.43|136.27|None|None|None|None|None
136334|130|1587|427.604|314.9|129.98|None|None|None|None|None
136335|130|1588|427.604|314.9|129.98|None|None|None|None|None
136336|130|1589|427.604|314.9|129.98|None|None|None|None|None
136337|130|1590|302.86|302.65|118.69|None|None|None|None|None
136338|130|1591|302.86|302.65|118.69|None|None|None|None|None
136339|130|1592|302.86|302.65|118.69|None|None|None|None|None
136340|130|1593|407.52|296.09|110.39|None|None|None|None|None
136341|130|1594|407.52|296.09|110.39|None|None|None|None|None
136342|130|1595|407.52|296.09|110.39|None|None|None|None|None
136343|130|10385|219.533|312.72|130.22|None|None|None|None|None
