# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
131|East Crillon|2010-08-12 16:42:38|2010-08-12 16:45:05|58.6475|-137.0812|0.0|58.6475|-137.0812|58.649401|-137.042875|rock avalanche|740000.0|56000.0|47000.0|73000.0|1200000.0|860000.0|1600000.0|None|None|None|1020.0|950.0|1050.0|2340.0|2300.0|2400.0|None|None|None|None|None|None|None|None|None|None|4|0|None|None|136.0|1|None|None|0.0|None|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
140|131|Static map - pdf|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on RapidEye satellite imagery (6.5 resolution, captured 2010-08-14).|EventData/131_EastCrillon_12Aug2010/maps_gis/131_EastCrillon_20100812_map.pdf|None
141|131|GIS shapefile|QGIS - ebessettekirton, ecollins|Original outline of source and runout from Bessette-Kirton, E., based on Landsat 5 imagery. Outline modified using Planet RapidEye imagery.|EventData/131_EastCrillon_12Aug2010/maps_gis/131_EastCrillon_20100812_outlines_UTM7N.zip|None
142|131|GIS shapefile|QGIS - ebessettekirton, ecollins|Original centerline from Bessette-Kirton, E., and modified based on outline (gis_id 141).|EventData/131_EastCrillon_12Aug2010/maps_gis/131_EastCrillon_20100812_centerline_UTM7N.zip|None
178|131|Static map - png|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on RapidEye satellite imagery (6.5 resolution, captured 2010-08-14).|EventData/131_EastCrillon_12Aug2010/maps_gis/131_EastCrillon_20100812_map.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
477|131|184|Original outlines, centerline, location coordinates, type, and H and L provided by Bessette-Kirton and Coe (2016) using Landsat-5 imagery.  Total area, source areas, and centerline were modified using Planet RapidEye imagery and used to reestimate total area, H, L, and estimate source areas.|None|140|None
502|131|57|Volume estimates determined by bedrock landslide values in Larsen and others (2010) with bedrock scar geometry. Volume_high and Volume_low estimates made by propagating uncertainties in alpha and gamma values (Larsen and others, 2010) and standard deviation of source areas (Area_Source_high, Area_source_low, Area_source). Estimates rounded to two significant digits.|None|None|133,153,161,186,187,188,190

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
940|131|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/131_EastCrillon_12Aug2010/photos_figures/131_EastCrillon_12Aug2010_waveforms_raw.png|None
941|131|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/131_EastCrillon_12Aug2010/photos_figures/131_EastCrillon_12Aug2010_waveforms_1-5Hz.png|None
942|131|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/131_EastCrillon_12Aug2010/photos_figures/131_EastCrillon_12Aug2010_spectrogram.png|None
943|131|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/131_EastCrillon_12Aug2010/photos_figures/131_EastCrillon_12Aug2010_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
136460|131|10382|137.496|313.94|132.44|None|None|None|None|None
136461|131|10383|137.496|313.94|132.44|None|None|None|None|None
136462|131|10384|137.496|313.94|132.44|None|None|None|None|None
136463|131|1518|397.21|314.29|129.73|None|None|None|None|None
136464|131|1519|397.21|314.29|129.73|None|None|None|None|None
136465|131|1520|397.21|314.29|129.73|None|None|None|None|None
136466|131|23768|397.21|314.29|129.73|None|None|None|None|None
136467|131|23769|397.21|314.29|129.73|None|None|None|None|None
136468|131|23770|397.21|314.29|129.73|None|None|None|None|None
136469|131|1533|129.548|92.42|274.32|None|1|None|None|None
136470|131|1534|129.548|92.42|274.32|None|1|None|None|None
136471|131|1535|129.548|92.42|274.32|None|1|None|None|None
136472|131|1539|494.668|304.69|118.18|None|None|None|None|None
136473|131|1540|494.668|304.69|118.18|None|None|None|None|None
136474|131|1541|494.668|304.69|118.18|None|None|None|None|None
136475|131|1542|411.512|307.28|122.09|None|None|None|None|None
136476|131|1543|411.512|307.28|122.09|None|None|None|None|None
136477|131|1544|411.512|307.28|122.09|None|None|None|None|None
136478|131|1545|351.707|319.03|135.35|None|None|None|None|None
136479|131|1546|351.707|319.03|135.35|None|None|None|None|None
136480|131|1547|351.707|319.03|135.35|None|None|None|None|None
136481|131|1548|81.962|307.51|126.54|None|1|None|None|None
136482|131|1549|81.962|307.51|126.54|None|1|None|None|None
136483|131|1550|81.962|307.51|126.54|None|1|None|None|None
136484|131|10385|241.912|313.18|130.45|None|None|None|None|None
136485|131|10386|241.912|313.18|130.45|None|None|None|None|None
136486|131|10387|241.912|313.18|130.45|None|None|None|None|None
136487|131|1596|174.699|311.48|129.49|None|None|None|None|None
136488|131|1597|174.699|311.48|129.49|None|None|None|None|None
136489|131|1598|174.699|311.48|129.49|None|None|None|None|None
136490|131|1602|471.283|297.49|110.94|None|None|None|None|None
136491|131|1603|471.283|297.49|110.94|None|None|None|None|None
136492|131|1604|471.283|297.49|110.94|None|None|None|None|None
136493|131|1620|399.543|308.41|123.44|None|None|None|None|None
136494|131|1621|399.543|308.41|123.44|None|None|None|None|None
136495|131|1622|399.543|308.41|123.44|None|None|None|None|None
136496|131|1632|427.597|144.17|327.49|None|None|None|None|None
136497|131|1633|427.597|144.17|327.49|None|None|None|None|None
136498|131|1634|427.597|144.17|327.49|None|None|None|None|None
136499|131|1635|205.567|148.76|330.25|None|None|None|None|None
136500|131|1636|205.567|148.76|330.25|None|None|None|None|None
136501|131|1637|205.567|148.76|330.25|None|None|None|None|None
136502|131|1638|135.287|47.26|228.76|None|1|None|None|None
136503|131|1639|135.287|47.26|228.76|None|1|None|None|None
136504|131|1640|135.287|47.26|228.76|None|1|None|None|None
136505|131|1641|176.986|304.07|121.85|None|None|None|None|None
136506|131|1642|176.986|304.07|121.85|None|None|None|None|None
136507|131|1643|176.986|304.07|121.85|None|None|None|None|None
136508|131|1647|411.274|90.25|276.27|None|None|None|None|None
136509|131|1648|411.274|90.25|276.27|None|None|None|None|None
136510|131|1649|411.274|90.25|276.27|None|None|None|None|None
136511|131|9250|243.751|354.59|174.22|None|None|None|None|None
136512|131|9251|243.751|354.59|174.22|None|None|None|None|None
136513|131|9252|243.751|354.59|174.22|None|None|None|None|None
136514|131|1653|98.875|24.22|204.84|None|None|None|None|None
136515|131|1654|98.875|24.22|204.84|None|None|None|None|None
136516|131|1655|98.875|24.22|204.84|None|None|None|None|None
136517|131|1656|256.185|28.02|209.92|None|None|None|None|None
136518|131|1657|256.185|28.02|209.92|None|None|None|None|None
136519|131|1658|256.185|28.02|209.92|None|None|None|None|None
136520|131|23343|159.872|102.83|285.1|None|None|None|None|None
136521|131|23344|159.872|102.83|285.1|None|None|None|None|None
136522|131|23345|159.872|102.83|285.1|None|None|None|None|None
136523|131|23346|149.755|101.38|283.52|None|None|None|None|None
136524|131|23347|149.755|101.38|283.52|None|None|None|None|None
136525|131|23348|149.755|101.38|283.52|None|None|None|None|None
136526|131|23349|144.6|100.51|282.58|None|None|None|None|None
136527|131|23350|144.6|100.51|282.58|None|None|None|None|None
136528|131|23351|144.6|100.51|282.58|None|None|None|None|None
136529|131|1686|319.549|127.97|311.46|None|None|None|None|None
136530|131|1687|319.549|127.97|311.46|None|None|None|None|None
136531|131|1688|136.465|47.39|228.9|None|None|None|None|None
136532|131|9266|376.702|129.17|313.17|None|None|None|None|None
136533|131|9267|376.702|129.17|313.17|None|None|None|None|None
136534|131|1691|376.702|129.17|313.17|None|None|None|None|None
136535|131|12200|297.526|306.22|122.49|None|None|None|None|None
136536|131|12201|297.526|306.22|122.49|None|None|None|None|None
136537|131|12202|297.526|306.22|122.49|None|None|None|None|None
136538|131|12203|295.951|307.33|123.67|None|None|None|None|None
