# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
133|East Crillon|2016-05-30 10:16:28|2016-05-30 10:19:35|58.6313|-137.0251|0.0|58.6313|-137.0251|58.638157|-137.012471|rock avalanche|240000.0|11000.0|5000.0|23000.0|120000.0|65000.0|210000.0|None|None|None|374.0|None|None|1073.0|None|None|None|None|None|None|None|None|None|None|None|None|4|0|None|None|358.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
154|133|Static map - pdf|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on RapidEye satellite imagery (6.5 resolution, captured 2016-06-18).|EventData/133_EastCrillon_30May2016/maps_gis/133_EastCrillon_30May2016_map.pdf|None
155|133|GIS shapefile|QGIS - ebessettekirton, ecollins|Original outline of runout from Bessette-Kirton, E., based on Landsat-8 imagery.  The runout outline was modified and source areas were digitized using Planet RapidEye imagery.|EventData/133_EastCrillon_30May2016/maps_gis/133_EastCrillon_30May2016_outlines_UTM7N.zip|None
156|133|GIS shapefile|QGIS - ebessettekirton, ecollins|Original centerline from Bessette-Kirton, E., and modified based on outline (gis_id 155).|EventData/133_EastCrillon_30May2016/maps_gis/133_EastCrillon_30May2016_centerline_UTM7N.zip|None
177|133|Static map - png|QGIS - ecollins, ebessettekirton; Planet|Static map with runout and centerline overlain on RapidEye satellite imagery (6.5 resolution, captured 2016-06-18).|EventData/133_EastCrillon_30May2016/maps_gis/133_EastCrillon_30May2016_map.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
516|133|184|Original outlines, centerline, location coordinates, type, and H and L provided by Bessette-Kirton and Coe (2016) using Landsat-8 imagery.  H and L were rounded to the nearest meter. Total area, source areas, and centerline were modified using Planet RapidEye imagery and used to reestimate total area and source areas.|None|154|None
502|131|57|Volume estimates determined by bedrock landslide values in Larsen and others (2010) with bedrock scar geometry. Volume_high and Volume_low estimates made by propagating uncertainties in alpha and gamma values (Larsen and others, 2010) and standard deviation of source areas (Area_Source_high, Area_source_low, Area_source). Estimates rounded to two significant digits.|None|None|133,153,161,186,187,188,190

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1329|133|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/133_EastCrillon_30May2016/photos_figures/133_EastCrillon_30May2016_waveforms_raw.png|None
1330|133|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/133_EastCrillon_30May2016/photos_figures/133_EastCrillon_30May2016_waveforms_1-5Hz.png|None
1331|133|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/133_EastCrillon_30May2016/photos_figures/133_EastCrillon_30May2016_spectrogram.png|None
1332|133|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/133_EastCrillon_30May2016/photos_figures/133_EastCrillon_30May2016_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
136874|133|23498|227.632|37.02|219.15|None|1|None|None|None
136875|133|23499|227.632|37.02|219.15|None|1|None|None|None
136876|133|23500|227.632|37.02|219.15|None|None|None|None|None
136877|133|23501|227.632|37.02|219.15|None|1|None|None|None
136878|133|23502|227.632|37.02|219.15|None|1|None|None|None
136879|133|23503|227.632|37.02|219.15|None|None|None|None|None
136880|133|23504|256.722|40.81|223.43|None|None|None|None|None
136881|133|23505|256.722|40.81|223.43|None|None|None|None|None
136882|133|23506|256.722|40.81|223.43|None|None|None|None|None
136883|133|23507|256.722|40.81|223.43|None|None|None|None|None
136884|133|23508|256.722|40.81|223.43|None|None|None|None|None
136885|133|23509|256.722|40.81|223.43|None|None|None|None|None
136886|133|23522|294.528|43.95|227.16|None|None|None|None|None
136887|133|23523|294.528|43.95|227.16|None|None|None|None|None
136888|133|23524|294.528|43.95|227.16|None|None|None|None|None
136889|133|23525|294.528|43.95|227.16|None|None|None|None|None
136890|133|23526|294.528|43.95|227.16|None|None|None|None|None
136891|133|23527|294.528|43.95|227.16|None|None|None|None|None
136892|133|1515|353.272|308.02|123.65|None|0|None|None|None
136893|133|1516|353.272|308.02|123.65|None|0|None|None|None
136894|133|1517|353.272|308.02|123.65|None|0|None|None|None
136895|133|1518|400.803|314.2|129.59|None|None|None|None|None
136896|133|1519|400.803|314.2|129.59|None|None|None|None|None
136897|133|1520|400.803|314.2|129.59|None|None|None|None|None
136898|133|1521|366.947|304.86|120.14|None|None|None|None|None
136899|133|1522|366.947|304.86|120.14|None|None|None|None|None
136900|133|1523|366.947|304.86|120.14|None|None|None|None|None
136901|133|1524|375.011|318.13|134.12|None|None|None|None|None
136902|133|1525|375.011|318.13|134.12|None|None|None|None|None
136903|133|1526|375.011|318.13|134.12|None|None|None|None|None
136904|133|1527|209.363|315.82|133.57|None|0|None|None|None
136905|133|1528|209.363|315.82|133.57|None|0|None|None|None
136906|133|1529|209.363|315.82|133.57|None|0|None|None|None
136907|133|1530|425.74|300.27|114.51|None|None|None|None|None
136908|133|1531|425.74|300.27|114.51|None|None|None|None|None
136909|133|1532|425.74|300.27|114.51|None|None|None|None|None
136910|133|1533|126.227|91.71|273.56|None|1|None|None|None
136911|133|1534|126.227|91.71|273.56|None|1|None|None|None
136912|133|1535|126.227|91.71|273.56|None|1|None|None|None
136913|133|1536|392.379|297.67|112.28|None|None|None|None|None
136914|133|1537|392.379|297.67|112.28|None|None|None|None|None
136915|133|1538|392.379|297.67|112.28|None|None|None|None|None
136916|133|1539|498.374|304.69|118.14|None|None|None|None|None
136917|133|1540|498.374|304.69|118.14|None|None|None|None|None
136918|133|1541|498.374|304.69|118.14|None|None|None|None|None
136919|133|1542|415.198|307.26|122.02|None|None|None|None|None
136920|133|1543|415.198|307.26|122.02|None|None|None|None|None
136921|133|1544|415.198|307.26|122.02|None|None|None|None|None
136922|133|1545|355.207|318.87|135.14|None|0|None|None|None
136923|133|1546|355.207|318.87|135.14|None|0|None|None|None
136924|133|1547|355.207|318.87|135.14|None|0|None|None|None
136925|133|12904|350.069|299.82|115.12|None|0|None|None|None
136926|133|12905|350.069|299.82|115.12|None|0|None|None|None
136927|133|12906|350.069|299.82|115.12|None|0|None|None|None
136928|133|1548|85.647|307.19|126.17|None|None|None|None|None
136929|133|1549|85.647|307.19|126.17|None|None|None|None|None
136930|133|1550|85.647|307.19|126.17|None|None|None|None|None
136931|133|1551|490.657|312.52|126.64|None|None|None|None|None
136932|133|1552|490.657|312.52|126.64|None|None|None|None|None
136933|133|1553|490.657|312.52|126.64|None|None|None|None|None
136934|133|1554|485.781|299.82|113.17|None|None|None|None|None
136935|133|1555|485.781|299.82|113.17|None|None|None|None|None
136936|133|1556|485.781|299.82|113.17|None|None|None|None|None
136937|133|1557|401.335|299.92|114.49|None|None|None|None|None
136938|133|1558|401.335|299.92|114.49|None|None|None|None|None
136939|133|1559|401.335|299.92|114.49|None|None|None|None|None
136940|133|1560|354.49|313.31|129.22|None|0|None|None|None
136941|133|1561|354.49|313.31|129.22|None|0|None|None|None
136942|133|1562|354.49|313.31|129.22|None|0|None|None|None
136943|133|1563|451.595|297.92|111.69|None|None|None|None|None
136944|133|1564|451.595|297.92|111.69|None|None|None|None|None
136945|133|1565|451.595|297.92|111.69|None|None|None|None|None
136946|133|1566|371.622|308.47|123.89|None|None|None|None|None
136947|133|1567|371.622|308.47|123.89|None|None|None|None|None
136948|133|1568|371.622|308.47|123.89|None|None|None|None|None
136949|133|1569|159.142|103.28|285.53|None|1|None|None|None
136950|133|1570|159.142|103.28|285.53|None|1|None|None|None
136951|133|1571|159.142|103.28|285.53|None|1|None|None|None
136952|133|23316|159.142|103.28|285.53|None|0|None|None|None
