# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
137|USGS Debris-flow flume sand and gravel|2016-06-14 21:53:58|2016-06-14 21:54:53|44.215019|-122.25469286060002|0.0|44.215019|-122.25469286060002|None|None|debris flow flume experiment|9.32|None|None|None|8.0|8.0|8.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|5|0|0.05928390009313551|None|None|None|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
483|137|None|These experiments were conducted by the USGS in a debris-flow flume near Blue River, Oregon.|None|None|138,139,140,141,142
597|137|239|Volumes from Table 1 of Iverson and George (2019). Talbe also contains more details about experiments (bulk densities, porosity, saturation)|None|None|138, 139, 140, 141,142
598|137|238|Allstadt and others (2019) uses seismic data from some of these experiments.|None|None|138, 139, 140, 141,142
599|137|240|Non-seismic sensor data from these experiments (basal stresses, flow thickness) is available at Iverson and Logan (2017)|None|None|138, 139, 140, 141,142
600|137|None|Note that the highest amplitude signals on most of the seismic traces for these experiments come at the onset of the signal due to the gate latch opening and then the gates hitting the wall about a second later. The signal of the gate should be excluded from analysis.|None|None|138, 139, 140, 141,142

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
978|137|Elaine Collins|Raw waveforms from closest broadband stations. Data was demeaned but no other processing was applied. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/137_USGSDebris-flowflumesandandgravel_14Jun2016/photos_figures/137_USGSDebris-flowflumesandandgravel_14Jun2016_waveforms_raw.png|None
979|137|Elaine Collins|Very high frequency (15+ Hz) ground velocity waveforms for station response from closest broadband stations. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/137_USGSDebris-flowflumesandandgravel_14Jun2016/photos_figures/137_USGSDebris-flowflumesandandgravel_14Jun2016_waveforms_VHF.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
238|137|138,139,140,141,142|Allstadt, K.E., Farin, M., Lockhart, A.B., McBride, S.K., Kean, J.W., Iverson, R.M., Logan, M., Smith, J.B., Tsai, V.C., George, D., 2019, Overcoming barriers to progress in seismic monitoring and characterization of debris flows and lahars, in Debris-Flow Hazards Mitigation: Mechanics, Monitoring, Modeling, and Assessment; proceedings of the Seventh International Conference on Debris-Flow Hazards Mitigation, Golden, Colorado, USA, June 10-13, 2019, edited by Kean, J.W., Coe, J.A., Santi, P.M., and Guillen, B.K., Association of Environmental and Engineering Geologists, Special Publication 28, p.77-84.|Allstadt and others (2019)|None|http://dx.doi.org/10.25676/11124/173234
239|137|138,139,140,141,142|Iverson, R.M., and George, D.L., 2019, Basal Stress Equations for Granular Debris Masses on Smooth or Discretized Slopes: Journal of Geophysical Research: Earth Surface, v. 124, no. 6, p. 1464–1484.|Iverson and George (2019)|None|https://doi.org/10.1029/2018JF004802
240|137|138,139,140,141,142|Iverson, R.M. and Logan, Matthew, 2017, Sensor data from debris-flow experiments conducted in June, 2016, at the USGS debris-flow flume, HJ Andrews Experimental Forest, Blue River, Oregon: U.S. Geological Survey data release, https://doi.org/10.5066/F7N58JKH.|Iverson and Logan (2017)|None|https://www.sciencebase.gov/catalog/item/58a77bdee4b025c464286deb
241|137|138,139,140,141,142|Allstadt, K., 2016, Seismic signature of debris flume experiments: International Federation of Digital Seismograph Networks,doi:10.7914/SN/ZK_2016.|Allstadt (2016)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
137429|137|24634|0.04|155.6|335.6|1|None|None|None|None
137430|137|24635|0.04|158.69|338.69|1|None|None|None|None
137431|137|24636|0.04|161.16|341.16|1|None|None|None|None
137432|137|24637|0.04|163.88|343.88|1|None|None|None|None
137433|137|24638|0.04|166.76|346.76|1|None|None|None|None
137434|137|24639|0.04|169.46|349.46|1|None|None|None|None
137435|137|24640|0.041|172.1|352.1|1|None|None|None|None
137436|137|24641|0.04|174.62|354.62|1|None|None|None|None
137437|137|24642|0.039|177.23|357.23|1|None|None|None|None
137438|137|24643|0.041|180.8|0.8|1|None|None|None|None
137439|137|24644|0.041|183.39|3.39|1|None|None|None|None
137440|137|24645|0.042|185.73|5.73|1|None|None|None|None
137441|137|24646|0.043|187.99|7.99|1|None|None|None|None
137442|137|24647|0.044|189.47|9.47|1|None|None|None|None
137443|137|24648|0.046|191.49|11.49|1|None|None|None|None
137444|137|24649|0.047|193.49|13.49|1|None|None|None|None
137445|137|24650|0.047|195.67|15.67|1|None|None|None|None
137446|137|24651|0.048|198.53|18.53|1|None|None|None|None
137447|137|24652|0.048|200.78|20.78|1|None|None|None|None
137448|137|24653|0.049|202.8|22.8|1|None|None|None|None
137449|137|24654|0.045|202.29|22.29|1|None|None|None|None
137450|137|24655|0.045|202.29|22.29|1|None|None|None|None
137451|137|24656|0.045|202.29|22.29|1|None|None|None|None
137452|137|24657|0.046|205.6|25.6|1|None|None|None|None
137453|137|24658|0.046|205.6|25.6|1|None|None|None|None
137454|137|24659|0.046|205.6|25.6|1|None|None|None|None
137455|137|24660|0.047|199.65|19.65|1|None|None|None|None
137456|137|24661|0.047|199.65|19.65|1|None|None|None|None
137457|137|24662|0.047|199.65|19.65|1|None|None|None|None
137458|137|24663|0.042|202.0|22.0|1|None|None|None|None
137459|137|24664|0.042|202.0|22.0|1|None|None|None|None
137460|137|24665|0.042|202.0|22.0|1|None|None|None|None
137461|137|24666|0.053|208.35|28.35|1|None|None|None|None
137462|137|24667|0.053|208.35|28.35|1|None|None|None|None
137463|137|24668|0.053|208.35|28.35|1|None|None|None|None
137464|137|24669|0.042|211.64|31.64|1|None|None|None|None
137465|137|24670|0.042|211.64|31.64|1|None|None|None|None
137466|137|24671|0.042|211.64|31.64|1|None|None|None|None
137467|137|24672|0.043|191.45|11.45|1|None|None|None|None
137468|137|24673|0.043|191.45|11.45|1|None|None|None|None
137469|137|24674|0.043|191.45|11.45|1|None|None|None|None
137470|137|24675|0.049|217.72|37.72|1|None|None|None|None
137471|137|24676|0.049|217.72|37.72|1|None|None|None|None
137472|137|24677|0.049|217.72|37.72|1|None|None|None|None
137473|137|24678|0.059|204.88|24.88|1|None|None|None|None
137474|137|24679|0.059|204.88|24.88|1|None|None|None|None
137475|137|24680|0.059|204.88|24.88|1|None|None|None|None
137476|137|24681|0.05|187.7|7.7|1|None|None|None|None
137477|137|24682|0.05|187.7|7.7|1|None|None|None|None
137478|137|24683|0.05|187.7|7.7|1|None|None|None|None
137479|137|24684|0.035|183.92|3.92|1|None|None|None|None
137480|137|24685|0.035|183.92|3.92|1|None|None|None|None
137481|137|24686|0.035|183.92|3.92|1|None|None|None|None
137482|137|24687|0.034|212.76|32.76|1|None|None|None|None
137483|137|24688|0.034|212.76|32.76|1|None|None|None|None
137484|137|24689|0.034|212.76|32.76|1|None|None|None|None
137485|137|24690|0.046|111.56|291.56|1|None|None|None|None
137486|137|24691|0.046|111.56|291.56|1|None|None|None|None
137487|137|24692|0.046|111.56|291.56|1|None|None|None|None
137488|137|24693|0.05|110.48|290.48|1|None|None|None|None
137489|137|24694|0.046|108.28|288.28|1|None|None|None|None
137490|137|24695|0.044|114.87|294.87|1|None|None|None|None
137491|137|24696|0.046|110.89|290.89|1|None|None|None|None
137492|137|24697|0.045|111.73|291.73|1|None|None|None|None
137493|137|24698|0.047|111.78|291.78|1|None|None|None|None
137494|137|24699|0.048|107.0|287.0|1|None|None|None|None
137495|137|24700|0.043|106.39|286.39|1|None|None|None|None
137496|137|24701|0.042|113.68|293.68|1|None|None|None|None
137497|137|24702|0.047|117.06|297.06|1|None|None|None|None
137498|137|24703|0.052|113.57|293.57|1|None|None|None|None
137499|137|24704|0.014|14.97|194.97|1|None|None|None|None
137500|137|24705|0.014|14.97|194.97|1|None|None|None|None
137501|137|24706|0.014|14.97|194.97|1|None|None|None|None
137502|137|24707|0.058|155.63|335.63|1|None|None|None|None
137503|137|24708|0.058|155.63|335.63|1|None|None|None|None
137504|137|24709|0.058|155.63|335.63|1|None|None|None|None
137505|137|24710|0.044|156.88|336.88|1|None|None|None|None
137506|137|24711|0.044|156.88|336.88|1|None|None|None|None
137507|137|24712|0.044|156.88|336.88|1|None|None|None|None
