# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
138|USGS Debris-flow flume sand and gravel|2016-06-15 21:47:29|2016-06-15 21:48:20|44.215019|-122.25469286060002|0.0|44.215019|-122.25469286060002|None|None|debris flow flume experiment|9.32|None|None|None|8.0|8.0|8.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|5|0|0.05928390009313551|None|None|None|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
483|137|None|These experiments were conducted by the USGS in a debris-flow flume near Blue River, Oregon.|None|None|138,139,140,141,142
597|137|239|Volumes from Table 1 of Iverson and George (2019). Talbe also contains more details about experiments (bulk densities, porosity, saturation)|None|None|138, 139, 140, 141,142
598|137|238|Allstadt and others (2019) uses seismic data from some of these experiments.|None|None|138, 139, 140, 141,142
599|137|240|Non-seismic sensor data from these experiments (basal stresses, flow thickness) is available at Iverson and Logan (2017)|None|None|138, 139, 140, 141,142
600|137|None|Note that the highest amplitude signals on most of the seismic traces for these experiments come at the onset of the signal due to the gate latch opening and then the gates hitting the wall about a second later. The signal of the gate should be excluded from analysis.|None|None|138, 139, 140, 141,142

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
980|138|Elaine Collins|Raw waveforms from closest broadband stations. Data was demeaned but no other processing was applied. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/138_USGSDebris-flowflumesandandgravel_15Jun2016/photos_figures/138_USGSDebris-flowflumesandandgravel_15Jun2016_waveforms_raw.png|None
981|138|Elaine Collins|Very high frequency (15+ Hz) ground velocity waveforms for station response from closest broadband stations. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/138_USGSDebris-flowflumesandandgravel_15Jun2016/photos_figures/138_USGSDebris-flowflumesandandgravel_15Jun2016_waveforms_VHF.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
137514|138|24634|0.04|155.6|335.6|1|None|None|None|None
137515|138|24635|0.04|158.69|338.69|1|None|None|None|None
137516|138|24636|0.04|161.16|341.16|1|None|None|None|None
137517|138|24637|0.04|163.88|343.88|1|None|None|None|None
137518|138|24638|0.04|166.76|346.76|1|None|None|None|None
137519|138|24639|0.04|169.46|349.46|1|None|None|None|None
137520|138|24640|0.041|172.1|352.1|1|None|None|None|None
137521|138|24641|0.04|174.62|354.62|1|None|None|None|None
137522|138|24642|0.039|177.23|357.23|1|None|None|None|None
137523|138|24643|0.041|180.8|0.8|1|None|None|None|None
137524|138|24644|0.041|183.39|3.39|1|None|None|None|None
137525|138|24645|0.042|185.73|5.73|1|None|None|None|None
137526|138|24646|0.043|187.99|7.99|1|None|None|None|None
137527|138|24647|0.044|189.47|9.47|1|None|None|None|None
137528|138|24648|0.046|191.49|11.49|1|None|None|None|None
137529|138|24649|0.047|193.49|13.49|1|None|None|None|None
137530|138|24650|0.047|195.67|15.67|1|None|None|None|None
137531|138|24651|0.048|198.53|18.53|1|None|None|None|None
137532|138|24652|0.048|200.78|20.78|1|None|None|None|None
137533|138|24653|0.049|202.8|22.8|1|None|None|None|None
137534|138|24654|0.045|202.29|22.29|1|None|None|None|None
137535|138|24655|0.045|202.29|22.29|1|None|None|None|None
137536|138|24656|0.045|202.29|22.29|1|None|None|None|None
137537|138|24657|0.046|205.6|25.6|1|None|None|None|None
137538|138|24658|0.046|205.6|25.6|1|None|None|None|None
137539|138|24659|0.046|205.6|25.6|1|None|None|None|None
137540|138|24660|0.047|199.65|19.65|1|None|None|None|None
137541|138|24661|0.047|199.65|19.65|1|None|None|None|None
137542|138|24662|0.047|199.65|19.65|1|None|None|None|None
137543|138|24663|0.042|202.0|22.0|1|None|None|None|None
137544|138|24664|0.042|202.0|22.0|1|None|None|None|None
137545|138|24665|0.042|202.0|22.0|1|None|None|None|None
137546|138|24666|0.053|208.35|28.35|1|None|None|None|None
137547|138|24667|0.053|208.35|28.35|1|None|None|None|None
137548|138|24668|0.053|208.35|28.35|1|None|None|None|None
137549|138|24669|0.042|211.64|31.64|1|None|None|None|None
137550|138|24670|0.042|211.64|31.64|1|None|None|None|None
137551|138|24671|0.042|211.64|31.64|1|None|None|None|None
137552|138|24672|0.043|191.45|11.45|1|None|None|None|None
137553|138|24673|0.043|191.45|11.45|1|None|None|None|None
137554|138|24674|0.043|191.45|11.45|1|None|None|None|None
137555|138|24675|0.049|217.72|37.72|1|None|None|None|None
137556|138|24676|0.049|217.72|37.72|1|None|None|None|None
137557|138|24677|0.049|217.72|37.72|1|None|None|None|None
137558|138|24678|0.059|204.88|24.88|1|None|None|None|None
137559|138|24679|0.059|204.88|24.88|1|None|None|None|None
137560|138|24680|0.059|204.88|24.88|1|None|None|None|None
137561|138|24681|0.05|187.7|7.7|1|None|None|None|None
137562|138|24682|0.05|187.7|7.7|1|None|None|None|None
137563|138|24683|0.05|187.7|7.7|1|None|None|None|None
137564|138|24684|0.035|183.92|3.92|1|None|None|None|None
137565|138|24685|0.035|183.92|3.92|1|None|None|None|None
137566|138|24686|0.035|183.92|3.92|1|None|None|None|None
