# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
140|USGS Debris-flow flume sand gravel and cobbles|2016-06-21 18:57:21|2016-06-21 18:58:02|44.215019|-122.25469286060002|0.0|44.215019|-122.25469286060002|None|None|debris flow flume experiment|9.32|None|None|None|8.0|8.0|8.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|5|0|0.05928390009313551|None|None|None|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
483|137|None|These experiments were conducted by the USGS in a debris-flow flume near Blue River, Oregon.|None|None|138,139,140,141,142

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
984|140|Elaine Collins|Raw waveforms from closest broadband stations. Data was demeaned but no other processing was applied. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/140_USGSDebris-flowflumesandgravelandcobbles_21Jun2016/photos_figures/140_USGSDebris-flowflumesandgravelandcobbles_21Jun2016_waveforms_raw.png|None
985|140|Elaine Collins|Very high frequency (15+ Hz) ground velocity waveforms for station response from closest broadband stations. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/140_USGSDebris-flowflumesandgravelandcobbles_21Jun2016/photos_figures/140_USGSDebris-flowflumesandgravelandcobbles_21Jun2016_waveforms_VHF.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
137684|140|24634|0.04|155.6|335.6|1|None|None|None|None
137685|140|24635|0.04|158.69|338.69|1|None|None|None|None
137686|140|24636|0.04|161.16|341.16|1|None|None|None|None
137687|140|24637|0.04|163.88|343.88|1|None|None|None|None
137688|140|24638|0.04|166.76|346.76|1|None|None|None|None
137689|140|24639|0.04|169.46|349.46|1|None|None|None|None
137690|140|24640|0.041|172.1|352.1|1|None|None|None|None
137691|140|24641|0.04|174.62|354.62|1|None|None|None|None
137692|140|24642|0.039|177.23|357.23|1|None|None|None|None
137693|140|24643|0.041|180.8|0.8|1|None|None|None|None
137694|140|24644|0.041|183.39|3.39|1|None|None|None|None
137695|140|24645|0.042|185.73|5.73|1|None|None|None|None
137696|140|24646|0.043|187.99|7.99|1|None|None|None|None
137697|140|24647|0.044|189.47|9.47|1|None|None|None|None
137698|140|24648|0.046|191.49|11.49|1|None|None|None|None
137699|140|24649|0.047|193.49|13.49|1|None|None|None|None
137700|140|24650|0.047|195.67|15.67|1|None|None|None|None
137701|140|24651|0.048|198.53|18.53|1|None|None|None|None
137702|140|24652|0.048|200.78|20.78|1|None|None|None|None
137703|140|24653|0.049|202.8|22.8|1|None|None|None|None
137704|140|24654|0.045|202.29|22.29|1|None|None|None|None
137705|140|24655|0.045|202.29|22.29|1|None|None|None|None
137706|140|24656|0.045|202.29|22.29|1|None|None|None|None
137707|140|24657|0.046|205.6|25.6|1|None|None|None|None
137708|140|24658|0.046|205.6|25.6|1|None|None|None|None
137709|140|24659|0.046|205.6|25.6|1|None|None|None|None
137710|140|24660|0.047|199.65|19.65|1|None|None|None|None
137711|140|24661|0.047|199.65|19.65|1|None|None|None|None
137712|140|24662|0.047|199.65|19.65|1|None|None|None|None
137713|140|24663|0.042|202.0|22.0|1|None|None|None|None
137714|140|24664|0.042|202.0|22.0|1|None|None|None|None
137715|140|24665|0.042|202.0|22.0|1|None|None|None|None
137716|140|24666|0.053|208.35|28.35|1|None|None|None|None
137717|140|24667|0.053|208.35|28.35|1|None|None|None|None
137718|140|24668|0.053|208.35|28.35|1|None|None|None|None
137719|140|24669|0.042|211.64|31.64|1|None|None|None|None
137720|140|24670|0.042|211.64|31.64|1|None|None|None|None
137721|140|24671|0.042|211.64|31.64|1|None|None|None|None
137722|140|24672|0.043|191.45|11.45|1|None|None|None|None
137723|140|24673|0.043|191.45|11.45|1|None|None|None|None
137724|140|24674|0.043|191.45|11.45|1|None|None|None|None
137725|140|24675|0.049|217.72|37.72|1|None|None|None|None
137726|140|24676|0.049|217.72|37.72|1|None|None|None|None
137727|140|24677|0.049|217.72|37.72|1|None|None|None|None
