# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
148|Mount Joffre 2|2019-05-16 16:03:02|2019-05-16 16:06:06|50.3431|-122.4488|0.0|50.3431|-122.4488|50.3672|-122.4154|rock avalanche, debris flow|None|34200.0|None|None|3100000.0|None|None|None|None|None|1370.0|None|None|4000.0|None|None|None|None|None|None|None|None|None|None|None|None|5|1|None|None|500.0|0|None|None|500.0|0|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
458|147|173|"Progressive glacier retreat and permafrost degradation were likely the conditioning factors; pre-cursor rockfall activity was noted at least ~6 months previous; thus, the mountain was primed to fail...The 13 May landslide was apparently triggered by rapid snowmelt, with debuttressing triggering the 16 May event" - Quote from Friele and others (2020).|None|None|148
459|147|173|Values for H, L, source area, and volume were taken from Friele and others (2020). The type for both events includes only rock avalanche and debris flow due to the attenuation of the seismic signal during the transition to a debris flood. Crown coordinates for each event represent the highest point of their headscarp. The toe coordinates are the same for both events and were estimated based on the toe of the debris flow deposit in Fig. 1, Friele and others (2020).|None|None|148
460|147|173|"...both began as rock avalanches, rapidly transforming into debris flows along middle Cerise Creek, and finally into debris floods affecting the fan. Beyond the fan margin, a flood surge on cayoosh Creek reached bankfull and attenuated rapidly downstream" - Quote from Friele and others (2020).|None|None|148

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
905|148|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_waveforms_raw.png|None
906|148|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_waveforms_1-5Hz.png|None
907|148|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_waveforms_20-60sec.png|None
908|148|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_displspectra.png|None
909|148|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_spectrogram.png|None
910|148|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/148_MountJoffre2_16May2019/photos_figures/148_MountJoffre2_16May2019_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
139903|148|24403|469.545|173.59|354.1|None|0|None|0|None
139904|148|24404|469.545|173.59|354.1|None|0|None|0|None
139905|148|24405|469.545|173.59|354.1|None|0|None|0|None
139906|148|76|452.67|177.74|357.92|None|0|None|0|None
139907|148|77|452.67|177.74|357.92|None|0|None|0|None
139908|148|78|452.67|177.74|357.92|None|0|None|0|None
139909|148|79|385.756|172.81|353.28|None|0|None|0|None
139910|148|80|385.756|172.81|353.28|None|0|None|0|None
139911|148|81|385.756|172.81|353.28|None|0|None|1|None
139912|148|82|391.979|170.97|351.58|None|0|None|0|None
139913|148|83|391.979|170.97|351.58|None|0|None|0|None
139914|148|84|391.979|170.97|351.58|None|0|None|0|None
139915|148|24385|382.968|175.31|355.61|None|0|None|0|None
139916|148|24386|382.968|175.31|355.61|None|0|None|0|None
139917|148|24387|382.968|175.31|355.61|None|0|None|0|None
139918|148|24388|381.996|175.42|355.72|None|0|None|0|None
139919|148|24389|381.996|175.42|355.72|None|0|None|0|None
139920|148|24390|381.996|175.42|355.72|None|0|None|1|None
139921|148|24391|383.737|175.26|355.57|None|0|None|0|None
139922|148|24392|383.737|175.26|355.57|None|0|None|0|None
139923|148|24393|383.737|175.26|355.57|None|0|None|1|None
139924|148|24394|381.096|174.72|355.07|None|0|None|0|None
139925|148|24395|381.096|174.72|355.07|None|0|None|0|None
139926|148|24396|381.096|174.72|355.07|None|0|None|0|None
139927|148|24397|391.11|174.4|354.78|None|1|None|0|None
139928|148|24398|391.11|174.4|354.78|None|1|None|0|None
139929|148|24399|391.11|174.4|354.78|None|1|None|0|None
139930|148|85|461.069|177.52|357.71|None|0|None|0|None
139931|148|86|461.069|177.52|357.71|None|0|None|0|None
139932|148|87|461.069|177.52|357.71|None|0|None|0|None
139933|148|5579|390.203|169.73|350.42|None|0|None|0|None
139934|148|5580|390.203|169.73|350.42|None|0|None|0|None
139935|148|5581|390.203|169.73|350.42|None|0|None|0|None
139936|148|88|456.818|177.82|357.99|None|0|None|0|None
139937|148|89|456.818|177.82|357.99|None|0|None|0|None
139938|148|90|456.818|177.82|357.99|None|0|None|0|None
139939|148|24820|459.411|177.37|357.58|None|0|None|0|None
139940|148|24821|459.411|177.37|357.58|None|0|None|0|None
139941|148|24822|459.411|177.37|357.58|None|0|None|0|None
139942|148|92|463.42|177.78|357.96|None|0|None|0|None
139943|148|93|463.42|177.78|357.96|None|0|None|0|None
139944|148|94|463.42|177.78|357.96|None|0|None|0|None
139945|148|95|459.517|177.5|357.69|None|0|None|0|None
139946|148|96|459.517|177.5|357.69|None|0|None|0|None
139947|148|97|459.517|177.5|357.69|None|0|None|0|None
139948|148|3779|445.135|299.58|115.16|None|0|None|0|None
139949|148|3780|445.135|299.58|115.16|None|0|None|0|None
139950|148|3781|445.135|299.58|115.16|None|0|None|1|None
139951|148|7589|256.762|230.2|48.15|None|1|None|0|None
139952|148|7590|256.762|230.2|48.15|None|1|None|0|None
139953|148|7591|256.762|230.2|48.15|None|1|None|1|None
139954|148|24823|256.762|230.2|48.15|None|0|None|0|None
139955|148|24824|256.762|230.2|48.15|None|0|None|0|None
139956|148|24825|256.762|230.2|48.15|None|0|None|0|None
139957|148|482|120.847|211.17|30.51|None|None|None|None|None
139958|148|483|120.847|211.17|30.51|None|None|None|None|None
139959|148|484|120.832|211.17|30.51|None|None|None|None|None
139960|148|3785|293.304|48.61|231.11|None|None|None|0|None
139961|148|3786|293.304|48.61|231.11|None|None|None|0|None
139962|148|3787|293.304|48.61|231.11|None|None|None|0|None
139963|148|3172|182.092|210.36|29.4|None|None|None|None|None
139964|148|3173|182.092|210.36|29.4|None|None|None|None|None
139965|148|3174|182.092|210.36|29.4|None|None|None|None|None
139966|148|24826|380.155|268.92|84.83|None|0|None|0|None
139967|148|24827|380.155|268.92|84.83|None|0|None|0|None
139968|148|24828|380.155|268.92|84.83|None|0|None|0|None
139969|148|24829|380.155|268.92|84.83|None|0|None|0|None
139970|148|24830|380.155|268.92|84.83|None|0|None|0|None
139971|148|24831|380.155|268.92|84.83|None|0|None|0|None
139972|148|3175|241.206|247.39|65.04|None|None|None|0|None
139973|148|3176|241.206|247.39|65.04|None|None|None|0|None
139974|148|3177|241.206|247.39|65.04|None|None|None|0|None
139975|148|24832|211.129|261.67|79.43|None|1|None|0|None
139976|148|24833|211.129|261.67|79.43|None|1|None|0|None
139977|148|24834|211.129|261.67|79.43|None|1|None|1|None
139978|148|24835|211.129|261.67|79.43|None|None|None|None|None
139979|148|24836|211.129|261.67|79.43|None|None|None|None|None
139980|148|24837|211.129|261.67|79.43|None|None|None|None|None
139981|148|7601|208.512|216.33|35.05|None|1|None|0|None
139982|148|7602|208.512|216.33|35.05|None|1|None|0|None
139983|148|7603|208.512|216.33|35.05|None|1|None|1|None
