# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
158|Montecito subevent|2018-01-09 12:05:09|2018-01-09 12:10:28|34.4254|-119.61|0.1|None|None|None|None|debris flow|600000.0|None|None|None|140000.0|None|None|None|None|None|220.0|210.0|230.0|3000.0|None|None|None|None|None|4.8|None|None|None|4.2|3.5|4.9|5|0|0.20360789291482054|1|0.20360789291482054|1|None|None|0.0|None|None|None|None|SCEDC, IRIS, NCEDC|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
392|157|136|The Montecito debris flows are split into two events based off of their seismic signals. "Montecito" represents the aggregate signal recorded at a distance from multiple debris flows in Montecito Creek, Oak Creek, San Ysidro Creek, Romero Creek and Buena Vista Creek. "Montecito subevent" represents the signal recorded at close distances (within ~240 m) of an individual debris flow that passed near the QAD seismic station that includes material from both Buena Vista Creek and Romero Creek. Total areas, volumes, and peak flow heights are taken from Table 5., Kean and others (2019). Crown and toe locations for Montecito were chosen near the center of the debris flows based off Fig. 1., Kean and others (2019). Location coordinates for Montecito subevent were chosen near the center of the debris flow channel adjacent to the QAD seismic station. Upstream drainage area was estimated using drainage area and percent burned at medium to high severity from Table 1., Kean and others (2019).|None|None|158
393|157|136|"In the early hours of 9 January 2018, intense rain above Montecito, California (USA), triggered a series of debris flows from steep catchments in the Santa Ynez Mountains. These catchments had been burned three weeks earlier by the 1140 km2 Thomas fire. After exiting the mountain front, the debris flows traveled across a distance of 3 km down a series of alluvial fans developed primarily with residential construction (Fig. 1), killing 23 people, injuring at least 167 others, and damaging 408 homes" -- Quote from Kean and others (2019).|None|None|158

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
781|158|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/158_Montecitosubevent_09Jan2018/photos_figures/158_Montecitosubevent_09Jan2018_waveforms_raw.png|None
782|158|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/158_Montecitosubevent_09Jan2018/photos_figures/158_Montecitosubevent_09Jan2018_waveforms_1-5Hz.png|None
783|158|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/158_Montecitosubevent_09Jan2018/photos_figures/158_Montecitosubevent_09Jan2018_spectrogram.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
156260|158|16383|97.438|104.98|285.55|None|None|None|None|None
156261|158|16384|97.438|104.98|285.55|None|None|None|None|None
156262|158|16385|97.438|104.98|285.55|None|None|None|None|None
156263|158|16395|93.179|116.99|297.49|None|None|None|None|None
156264|158|16396|93.179|116.99|297.49|None|None|None|None|None
156265|158|16397|93.179|116.99|297.49|None|None|None|None|None
156266|158|16446|99.1|89.14|269.75|None|None|None|None|None
156267|158|16447|99.1|89.14|269.75|None|None|None|None|None
156268|158|16448|99.1|89.14|269.75|None|None|None|None|None
156269|158|16473|80.855|100.57|281.05|None|None|None|None|None
156270|158|16474|80.855|100.57|281.05|None|None|None|None|None
156271|158|16475|80.855|100.57|281.05|None|None|None|None|None
156272|158|16479|70.257|102.36|282.78|None|None|None|None|None
156273|158|16480|70.257|102.36|282.78|None|None|None|None|None
156274|158|16481|70.257|102.36|282.78|None|None|None|None|None
156275|158|16485|98.591|77.84|258.44|None|None|None|None|None
156276|158|16486|98.591|77.84|258.44|None|None|None|None|None
156277|158|16487|98.591|77.84|258.44|None|None|None|None|None
156278|158|28727|74.949|92.86|273.32|None|None|None|None|None
156279|158|28728|74.949|92.86|273.32|None|None|None|None|None
156280|158|28729|74.949|92.86|273.32|None|None|None|None|None
156281|158|16488|88.15|87.29|267.83|None|None|None|None|None
156282|158|16489|88.15|87.29|267.83|None|None|None|None|None
156283|158|16490|88.15|87.29|267.83|None|None|None|None|None
156284|158|16491|99.113|92.16|272.77|None|None|None|None|None
156285|158|16492|99.113|92.16|272.77|None|None|None|None|None
156286|158|16493|99.113|92.16|272.77|None|None|None|None|None
156287|158|16500|97.26|91.48|272.08|None|None|None|None|None
156288|158|16501|97.26|91.48|272.08|None|None|None|None|None
156289|158|16502|97.26|91.48|272.08|None|None|None|None|None
156290|158|28750|78.764|87.09|267.57|None|None|None|None|None
156291|158|28751|78.764|87.09|267.57|None|None|None|None|None
156292|158|28752|78.764|87.09|267.57|None|None|None|None|None
156293|158|16503|87.402|121.39|301.85|None|None|None|None|None
156294|158|16504|87.402|121.39|301.85|None|None|None|None|None
156295|158|16505|87.402|121.39|301.85|None|None|None|None|None
156296|158|28768|87.488|43.6|223.98|None|None|None|None|None
156297|158|28769|87.488|43.6|223.98|None|None|None|None|None
156298|158|28770|87.488|43.6|223.98|None|None|None|None|None
156299|158|28774|87.511|101.01|281.53|None|None|None|None|None
156300|158|28775|87.511|101.01|281.53|None|None|None|None|None
156301|158|28776|87.511|101.01|281.53|None|None|None|None|None
156302|158|16536|88.595|66.32|246.82|None|None|None|None|None
156303|158|16537|88.595|66.32|246.82|None|None|None|None|None
156304|158|16538|88.595|66.32|246.82|None|None|None|None|None
156305|158|16563|94.599|106.05|286.61|None|None|None|None|None
156306|158|16564|94.599|106.05|286.61|None|None|None|None|None
156307|158|16565|94.599|106.05|286.61|None|None|None|None|None
156308|158|16566|93.23|103.93|284.49|None|None|None|None|None
156309|158|16567|93.23|103.93|284.49|None|None|None|None|None
156310|158|16568|93.23|103.93|284.49|None|None|None|None|None
156311|158|16572|98.217|103.0|283.59|None|None|None|None|None
156312|158|16573|98.217|103.0|283.59|None|None|None|None|None
156313|158|16574|98.217|103.0|283.59|None|None|None|None|None
156314|158|16575|97.565|106.8|287.37|None|None|None|None|None
156315|158|16576|97.565|106.8|287.37|None|None|None|None|None
156316|158|16577|97.565|106.8|287.37|None|None|None|None|None
156317|158|16638|74.786|90.78|271.24|None|None|None|None|None
156318|158|16639|74.786|90.78|271.24|None|None|None|None|None
156319|158|16640|74.786|90.78|271.24|None|None|None|None|None
156320|158|28801|71.864|111.59|292.0|None|None|None|None|None
156321|158|28802|71.864|111.59|292.0|None|None|None|None|None
156322|158|16643|71.864|111.59|292.0|None|None|None|None|None
