# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
159|Iliamna|2017-03-06 23:26:27|2017-03-06 23:45:41|60.033|-153.0987|1.0|None|None|None|None|ice avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|1|None|None|319.0|1|None|None|136.0|1|1|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
401|159|None|The location and type were estimated based on photographs taken by Gary Nielsen.|722|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
721|159|Matthew Haney|Spectrograms provided by Matthew Haney.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_source-MatthewHaney_1.jpg|None
722|159|Gary Nielsen|Photographs taken by Gary Nielsen, looking towards the west flank near the peak.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_source-GaryNielsen_3.jpg|None
785|159|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_waveforms_raw.png|None
786|159|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_waveforms_1-5Hz.png|None
787|159|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_waveforms_20-60sec.png|None
788|159|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_displspectra.png|None
789|159|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_spectrogram.png|None
790|159|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_spectra.png|None
1323|159|Matthew Haney|Spectrograms provided by Matthew Haney.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_source-MatthewHaney_11.png|None
1324|159|Gary Nielsen|Photographs taken by Gary Nielsen, looking towards the west flank near the peak.|None|None|None|EventData/159_Iliamna_06Mar2017/photos_figures/159_Iliamna_06Mar2017_source-GaryNielsen_13.jpg|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
157717|159|959|126.133|103.31|285.2|None|0|None|0|None
157718|159|960|126.133|103.31|285.2|None|0|None|0|None
157719|159|961|126.133|103.31|285.2|None|0|None|1|None
157720|159|2329|135.361|102.71|284.74|None|0|None|0|None
157721|159|2330|135.361|102.71|284.74|None|0|None|0|None
157722|159|2331|135.361|102.71|284.74|None|0|None|1|None
157723|159|2335|134.743|51.54|233.22|None|0|None|0|None
157724|159|2336|134.743|51.54|233.22|None|0|None|0|None
157725|159|2337|134.743|51.54|233.22|None|0|None|0|None
157726|159|2347|118.296|117.59|299.19|None|0|None|0|None
157727|159|2348|118.296|117.59|299.19|None|0|None|0|None
157728|159|2349|118.296|117.59|299.19|None|0|None|0|None
157729|159|24754|128.997|102.75|284.69|None|None|None|None|None
157730|159|24755|128.997|102.75|284.69|None|None|None|None|None
157731|159|24756|128.997|102.75|284.69|None|None|None|None|None
157732|159|24757|128.771|102.78|284.71|None|None|None|None|None
157733|159|24758|128.771|102.78|284.71|None|None|None|None|None
157734|159|24759|128.771|102.78|284.71|None|None|None|None|None
157735|159|2375|90.711|116.63|297.87|None|0|None|0|None
157736|159|2376|90.711|116.63|297.87|None|0|None|0|None
157737|159|2377|90.711|116.63|297.87|None|0|None|0|None
157738|159|2408|167.479|70.07|252.56|None|0|None|None|None
157739|159|2409|167.479|70.07|252.56|None|0|None|None|None
157740|159|2410|167.479|70.07|252.56|None|0|None|None|None
157741|159|977|183.574|311.97|129.76|None|1|None|None|None
157742|159|978|183.574|311.97|129.76|None|1|None|None|None
157743|159|979|183.574|311.97|129.76|None|1|None|None|None
157744|159|2450|78.657|191.15|10.92|None|0|None|0|None
157745|159|2451|78.657|191.15|10.92|None|0|None|0|None
157746|159|2452|78.657|191.15|10.92|None|0|None|0|None
157747|159|2453|76.989|195.19|14.88|None|0|None|0|None
157748|159|2454|76.989|195.19|14.88|None|0|None|0|None
157749|159|2455|76.989|195.19|14.88|None|0|None|0|None
157750|159|980|75.167|192.55|12.3|None|0|None|None|None
157751|159|15329|75.167|192.55|12.3|None|None|None|None|None
157752|159|981|76.934|195.23|14.92|None|0|None|None|None
157753|159|982|79.814|194.03|13.73|None|0|None|None|None
157754|159|983|79.814|194.03|13.73|None|0|None|None|None
157755|159|984|79.814|194.03|13.73|None|0|None|None|None
157756|159|2456|79.176|193.84|13.55|None|0|None|0|None
157757|159|2457|79.176|193.84|13.55|None|0|None|0|None
157758|159|2458|79.176|193.84|13.55|None|0|None|0|None
157759|159|2459|77.955|193.53|13.25|None|None|None|None|None
157760|159|985|74.844|195.32|15.02|None|0|None|0|None
157761|159|986|74.844|195.32|15.02|None|0|None|0|None
157762|159|987|74.844|195.32|15.02|None|0|None|0|None
157763|159|988|74.844|195.32|15.02|None|0|None|None|None
157764|159|989|75.92|196.93|16.6|None|0|None|None|None
157765|159|15330|75.92|196.93|16.6|None|0|None|None|None
157766|159|990|76.665|194.28|14.0|None|0|None|None|None
157767|159|2460|77.396|193.79|13.51|None|None|None|None|None
157768|159|2461|77.396|193.79|13.51|None|0|None|0|None
157769|159|2462|77.396|193.79|13.51|None|0|None|0|None
157770|159|13004|79.956|193.94|13.65|None|0|None|0|None
157771|159|13005|79.956|193.94|13.65|None|0|None|0|None
157772|159|13006|79.956|193.94|13.65|None|0|None|0|None
157773|159|13007|77.19|194.55|14.25|None|None|None|None|None
157774|159|13008|77.19|194.55|14.25|None|None|None|None|None
157775|159|13009|77.19|194.55|14.25|None|None|None|None|None
157776|159|992|76.69|196.5|16.17|None|0|None|None|None
157777|159|13010|77.669|195.76|15.44|None|0|None|0|None
157778|159|13011|77.669|195.76|15.44|None|0|None|0|None
157779|159|13012|77.669|195.76|15.44|None|0|None|0|None
157780|159|993|142.955|15.2|195.81|None|0|None|None|None
157781|159|994|139.923|240.4|58.55|None|None|None|None|None
157782|159|995|89.019|24.23|204.81|None|None|None|None|None
157783|159|996|124.363|20.99|201.71|None|None|None|None|None
157784|159|997|126.632|194.62|14.14|None|0|None|None|None
157785|159|998|154.078|22.08|203.03|None|0|None|None|None
157786|159|999|135.977|17.25|197.91|None|0|None|None|None
157787|159|1000|141.92|20.06|200.85|None|0|None|None|None
157788|159|1001|139.032|19.93|200.7|None|0|None|None|None
157789|159|1002|145.03|18.24|198.98|None|0|None|None|None
157790|159|1003|146.896|19.91|200.72|None|0|None|None|None
157791|159|1004|146.896|19.91|200.72|None|0|None|None|None
157792|159|1005|146.896|19.91|200.72|None|0|None|None|None
157793|159|1006|66.365|19.38|199.73|None|None|None|None|None
157794|159|1007|66.365|19.38|199.73|None|1|None|None|None
157795|159|1008|141.314|199.84|19.12|None|None|None|None|None
157796|159|15331|141.314|199.84|19.12|None|None|None|None|None
