# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
15|Redoubt 3|2009-03-23 12:37:53|2009-03-23 13:41:27|60.49044|-152.76269|1.0|60.49044|-152.76269|60.57392|-152.16445|lahar, explosions|None|None|None|None|50000000.0|10000000.0|100000000.0|None|None|None|2400.0|2200.0|2600.0|44000.0|42000.0|45000.0|None|None|None|None|None|None|None|None|None|None|5|1|None|None|379.0|1|None|None|1000.0|0|None|None|None|IRIS, EventData/15_Redoubt3_23Mar2009/15_Redoubt3_23Mar2009_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
9|15|6|Waythomas and others (2013) states that Lahar 3 was triggered by an explosion at 12:30UTC, and there is another explosion just before 13:00 during the lahar (included in the signal). Travel time estimate of 1-1.5h and average flow-front velocity of 8-12 m/s. Lahar 3 reached Drift River Marine (oil) Terminal|None|None|None
181|14|6|Volume and geometry estimates from information in Waythomas and others (2013)|None|None|15,16,63,64
320|14|6|Start time and duration, therefore end times, guided by Waythomas and others (2013), particularly Figure 3.|None|None|15,16,63,64
339|14|None|It is not clear if the long period signals visible during some of the Redoubt lahars were due to the lahar or other volcanic processes such as explosions or tremor.|None|None|15,16,63,64

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
626|15|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_waveforms_raw.png|None
627|15|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_waveforms_1-5Hz.png|None
628|15|Kate Allstadt|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_waveforms_20-60sec.png|None
629|15|Kate Allstadt|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_displspectra.png|None
630|15|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_spectrogram.png|None
631|15|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/15_Redoubt3_23Mar2009/photos_figures/15_Redoubt3_23Mar2009_spectra.png|None
56|14|Google Earth|Satellite image showing extent of lahars in 2009|None|None|None|EventData/14_Redoubt2_23Mar2009/photos_figures/14_Redoubt2_23Mar2009_source-GoogleEarth_1.jpg|15,16,63,64


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
12920|15|1539|448.009|79.64|266.76|None|None|None|0|None
12921|15|1540|448.009|79.64|266.76|None|None|None|0|None
12922|15|1541|448.009|79.64|266.76|None|None|None|1|None
12923|15|2326|412.626|12.12|193.69|None|None|None|None|None
12924|15|2327|412.626|12.12|193.69|None|None|None|None|None
12925|15|2328|412.626|12.12|193.69|None|None|None|None|None
12926|15|959|132.042|127.79|309.4|None|None|None|None|None
12927|15|960|132.042|127.79|309.4|None|None|None|None|None
12928|15|961|132.042|127.79|309.4|None|None|None|None|None
12929|15|2338|328.281|5.93|186.52|None|None|None|None|None
12930|15|2339|328.281|5.93|186.52|None|None|None|None|None
12931|15|2340|328.281|5.93|186.52|None|None|None|None|None
12932|15|2344|378.715|3.32|183.71|None|1|None|0|None
12933|15|2345|378.715|3.32|183.71|None|1|None|0|None
12934|15|2346|378.715|3.32|183.71|None|1|None|0|None
12935|15|2353|404.454|42.27|227.02|None|None|None|None|None
12936|15|2354|404.454|42.27|227.02|None|None|None|None|None
12937|15|2355|404.454|42.27|227.02|None|None|None|None|None
12938|15|1709|386.755|76.36|262.46|None|None|None|1|None
12939|15|1710|386.755|76.36|262.46|None|None|None|1|None
12940|15|1711|386.755|76.36|262.46|None|None|None|1|None
12941|15|1712|386.755|76.36|262.46|None|None|None|None|None
12942|15|1713|386.755|76.36|262.46|None|None|None|None|None
12943|15|1714|386.755|76.36|262.46|None|None|None|None|None
12944|15|1721|385.028|85.98|272.09|None|None|None|1|None
12945|15|1722|385.028|85.98|272.09|None|None|None|1|None
12946|15|1723|385.028|85.98|272.09|None|None|None|1|None
12947|15|962|159.476|60.73|242.99|None|1|None|0|None
12948|15|963|159.476|60.73|242.99|None|1|None|0|None
12949|15|964|159.476|60.73|242.99|None|1|None|0|None
12950|15|1724|458.221|58.93|245.61|None|None|None|None|None
12951|15|1725|458.221|58.93|245.61|None|None|None|None|None
12952|15|1726|458.221|58.93|245.61|None|None|None|None|None
12953|15|1727|457.728|59.04|245.72|None|None|None|0|None
12954|15|1728|457.728|59.04|245.72|None|None|None|0|None
12955|15|1729|457.728|59.04|245.72|None|None|None|1|None
12956|15|2384|354.569|14.95|196.58|None|None|None|None|None
12957|15|2385|354.569|14.95|196.58|None|None|None|None|None
12958|15|2386|354.569|14.95|196.58|None|None|None|None|None
12959|15|2387|412.606|27.26|210.64|None|None|None|None|None
12960|15|2388|412.606|27.26|210.64|None|None|None|None|None
12961|15|2389|412.606|27.26|210.64|None|None|None|None|None
12962|15|1730|473.86|51.19|237.62|None|None|None|0|None
12963|15|1731|473.86|51.19|237.62|None|None|None|0|None
12964|15|1732|473.86|51.19|237.62|None|None|None|1|None
12965|15|1126|269.808|6.2|186.71|None|None|None|None|None
12966|15|1127|269.808|6.2|186.71|None|None|None|None|None
12967|15|1128|269.808|6.2|186.71|None|None|None|None|None
12968|15|1602|445.054|87.97|275.01|None|None|None|None|None
12969|15|1603|445.054|87.97|275.01|None|None|None|None|None
12970|15|1604|445.054|87.97|275.01|None|None|None|None|None
12971|15|965|177.653|66.64|249.28|None|1|None|0|None
12972|15|966|177.653|66.64|249.28|None|1|None|0|None
12973|15|967|177.653|66.64|249.28|None|1|None|1|None
12974|15|2402|383.907|30.52|213.97|None|None|None|None|None
12975|15|2403|383.907|30.52|213.97|None|None|None|None|None
12976|15|2404|383.907|30.52|213.97|None|None|None|None|None
12977|15|1129|280.026|56.49|240.37|None|1|None|0|None
12978|15|1130|280.026|56.49|240.37|None|1|None|0|None
12979|15|1131|280.026|56.49|240.37|None|1|None|1|None
12980|15|4203|445.613|191.32|10.11|None|None|None|None|None
12981|15|4204|445.613|191.32|10.11|None|None|None|None|None
12982|15|4205|445.613|191.32|10.11|None|None|None|None|None
12983|15|968|178.66|21.18|202.26|None|None|None|None|None
12984|15|969|178.66|21.18|202.26|None|None|None|None|None
12985|15|970|178.66|21.18|202.26|None|None|None|None|None
12986|15|971|153.852|44.31|226.07|None|None|None|None|None
12987|15|972|153.852|44.31|226.07|None|None|None|None|None
12988|15|973|153.852|44.31|226.07|None|None|None|None|None
12989|15|974|188.009|101.79|284.66|None|1|None|0|None
12990|15|975|188.009|101.79|284.66|None|1|None|0|None
12991|15|976|188.009|101.79|284.66|None|1|None|1|None
12992|15|2411|354.38|20.38|202.57|None|1|None|0|None
12993|15|2412|354.38|20.38|202.57|None|1|None|0|None
12994|15|2413|354.38|20.38|202.57|None|1|None|1|None
12995|15|2441|377.735|105.46|291.02|None|0|None|0|None
12996|15|2442|377.735|105.46|291.02|None|0|None|0|None
12997|15|2443|377.735|105.46|291.02|None|0|None|0|None
12998|15|2444|365.279|184.98|4.53|None|0|None|0|None
12999|15|2445|365.279|184.98|4.53|None|0|None|0|None
13000|15|2446|365.279|184.98|4.53|None|0|None|0|None
13001|15|1132|231.444|56.39|239.57|None|1|None|1|None
