# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
160|Red Glacier, Iliamna|2018-07-11 00:24:06|2018-07-11 00:37:49|60.0336|-153.076|0.3|60.0336|-153.076|60.0211|-153.0205|ice avalanche|1400000.0|170000.0|110000.0|260000.0|2460000.0|1230000.0|6150000.0|None|None|None|1300.0|1100.0|1400.0|3600.0|2900.0|4100.0|None|None|None|None|None|None|None|None|None|None|4|0|None|None|172.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
116|160|GIS shapefile|QGIS - ecollins|Outline of source and runout based on PlanetScope satellite imagery.|EventData/160_RedGlacierIliamna_11Jul2018/maps_gis/160_Iliamna_20180711_outlines_UTM5N.zip|None
117|160|Static map - pdf|QGIS - ecollins; Planet|Static map with outlines and centerline overlain on PlanetScope satellite imagery (3.7m resolution, captured on 2018-08-28).|EventData/160_RedGlacierIliamna_11Jul2018/maps_gis/160_RedGlacierIliamna_20180711_map.pdf|None
118|160|GIS shapefile|QGIS - ecollins|Centerline based on outline (gis_id 116).|EventData/160_RedGlacierIliamna_11Jul2018/maps_gis/160_Iliamna_20180711_centerline_UTM5N.zip|None
171|160|Static map - png|QGIS - ecollins; Planet|Static map with outlines and centerline overlain on PlanetScope satellite imagery (3.7m resolution, captured on 2018-08-28).|EventData/160_RedGlacierIliamna_11Jul2018/maps_gis/160_RedGlacierIliamna_20180711_map.png|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
503|160|112|Centerline, total area, and source areas were digitized using PlanetScope satellite imagery. L and H were estimated using the centerline and crown and toe locations. Volume was estimated using the same approach used for Eid 75: "For volume estimates, we subtracted the best estimate of the source area from the total area and assumed an average deposit thickness of 1-5 meters, best estimate 2m based on the thickness of previous deposits from similar events made by Waythomas and others (2000)."|None|117|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
724|160|Dennis Anderson|Photo taken from Diamond Ridge near Homer by Dennis Anderson, Night Trax Photography.|None|None|None|EventData/160_RedGlacierIliamna_11Jul2018/photos_figures/160_RedGlacierIliamna_11Jul2018_source-DennisAnderson_1.jpg|None
791|160|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/160_RedGlacierIliamna_11Jul2018/photos_figures/160_RedGlacierIliamna_11Jul2018_waveforms_raw.png|None
792|160|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/160_RedGlacierIliamna_11Jul2018/photos_figures/160_RedGlacierIliamna_11Jul2018_waveforms_1-5Hz.png|None
793|160|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/160_RedGlacierIliamna_11Jul2018/photos_figures/160_RedGlacierIliamna_11Jul2018_spectrogram.png|None
794|160|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/160_RedGlacierIliamna_11Jul2018/photos_figures/160_RedGlacierIliamna_11Jul2018_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
158514|160|959|125.467|103.59|285.46|None|0|None|None|None
158515|160|960|125.467|103.59|285.46|None|0|None|None|None
158516|160|961|125.467|103.59|285.46|None|0|None|None|None
158517|160|2329|134.689|102.96|284.98|None|0|None|None|None
158518|160|2330|134.689|102.96|284.98|None|0|None|None|None
158519|160|2331|134.689|102.96|284.98|None|0|None|None|None
158520|160|2335|133.883|51.48|233.15|None|0|None|None|None
158521|160|2336|133.883|51.48|233.15|None|0|None|None|None
158522|160|2337|133.883|51.48|233.15|None|0|None|None|None
158523|160|2347|117.793|117.95|299.54|None|0|None|None|None
158524|160|2348|117.793|117.95|299.54|None|0|None|None|None
158525|160|2349|117.793|117.95|299.54|None|0|None|None|None
158526|160|24754|128.325|103.01|284.94|None|None|None|None|None
158527|160|24755|128.325|103.01|284.94|None|None|None|None|None
158528|160|24756|128.325|103.01|284.94|None|None|None|None|None
158529|160|24757|128.1|103.04|284.97|None|None|None|None|None
158530|160|24758|128.1|103.04|284.97|None|None|None|None|None
158531|160|24759|128.1|103.04|284.97|None|None|None|None|None
158532|160|2359|199.549|50.51|233.0|None|None|None|None|None
158533|160|2360|199.549|50.51|233.0|None|None|None|None|None
158534|160|2361|199.549|50.51|233.0|None|None|None|None|None
158535|160|15311|199.549|50.51|233.0|None|None|None|None|None
158536|160|15312|199.549|50.51|233.0|None|None|None|None|None
158537|160|15313|199.549|50.51|233.0|None|None|None|None|None
158538|160|2375|90.196|117.09|298.32|None|0|None|None|None
158539|160|2376|90.196|117.09|298.32|None|0|None|None|None
158540|160|2377|90.196|117.09|298.32|None|0|None|None|None
158541|160|2408|166.608|70.12|252.6|None|0|None|None|None
158542|160|2409|166.608|70.12|252.6|None|0|None|None|None
158543|160|2410|166.608|70.12|252.6|None|0|None|None|None
158544|160|977|183.888|311.72|129.51|None|None|None|None|None
158545|160|978|183.888|311.72|129.51|None|None|None|None|None
158546|160|979|183.888|311.72|129.51|None|None|None|None|None
158547|160|2450|79.205|191.66|11.42|None|0|None|None|None
158548|160|2451|79.205|191.66|11.42|None|0|None|None|None
158549|160|2452|79.205|191.66|11.42|None|0|None|None|None
158550|160|2453|77.583|195.68|15.36|None|0|None|None|None
158551|160|2454|77.583|195.68|15.36|None|0|None|None|None
158552|160|2455|77.583|195.68|15.36|None|0|None|None|None
158553|160|980|75.731|193.07|12.81|None|0|None|None|None
158554|160|15329|75.731|193.07|12.81|None|None|None|None|None
158555|160|981|77.529|195.72|15.4|None|0|None|None|None
158556|160|982|80.395|194.51|14.2|None|0|None|None|None
158557|160|983|80.395|194.51|14.2|None|0|None|None|None
158558|160|984|80.395|194.51|14.2|None|0|None|None|None
158559|160|2456|79.755|194.32|14.02|None|0|None|None|None
158560|160|2457|79.755|194.32|14.02|None|0|None|None|None
158561|160|2458|79.755|194.32|14.02|None|0|None|None|None
158562|160|2459|78.53|194.03|13.74|None|0|None|None|None
158563|160|985|75.44|195.82|15.51|None|0|None|None|None
158564|160|986|75.44|195.82|15.51|None|0|None|None|None
158565|160|987|75.44|195.82|15.51|None|0|None|None|None
158566|160|988|75.44|195.82|15.51|None|0|None|None|None
158567|160|33196|77.258|199.04|18.65|None|0|None|None|None
158568|160|33197|77.258|199.04|18.65|None|0|None|None|None
158569|160|33198|77.258|199.04|18.65|None|0|None|None|None
158570|160|989|76.534|197.42|17.07|None|0|None|None|None
158571|160|15330|76.534|197.42|17.07|None|0|None|None|None
158572|160|990|77.249|194.78|14.48|None|0|None|None|None
158573|160|2460|77.975|194.29|14.0|None|None|None|None|None
158574|160|2461|77.975|194.29|14.0|None|None|None|None|None
158575|160|2462|77.975|194.29|14.0|None|None|None|None|None
158576|160|13004|80.536|194.42|14.12|None|0|None|None|None
158577|160|13005|80.536|194.42|14.12|None|0|None|None|None
158578|160|13006|80.536|194.42|14.12|None|0|None|None|None
158579|160|13007|77.777|195.04|14.74|None|None|None|None|None
158580|160|13008|77.777|195.04|14.74|None|None|None|None|None
158581|160|13009|77.777|195.04|14.74|None|None|None|None|None
158582|160|992|77.298|196.98|16.64|None|0|None|None|None
158583|160|13010|78.27|196.24|15.91|None|0|None|None|None
158584|160|13011|78.27|196.24|15.91|None|0|None|None|None
158585|160|13012|78.27|196.24|15.91|None|0|None|None|None
158586|160|993|142.365|14.96|195.55|None|0|None|None|None
158587|160|994|140.799|240.43|58.57|None|None|None|None|None
158588|160|995|88.334|23.89|204.46|None|None|None|None|None
158589|160|996|123.71|20.73|201.43|None|None|None|None|None
158590|160|997|127.219|194.93|14.44|None|None|None|None|None
158591|160|998|153.414|21.88|202.81|None|0|None|None|None
158592|160|999|135.364|17.0|197.64|None|0|None|None|None
158593|160|1000|141.277|19.84|200.61|None|0|None|None|None
