# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
161|Umbrella Glacier, Iliamna|2019-03-26 18:00:44|2019-03-26 18:01:29|60.0285|-153.0924|0.0|60.0285|-153.0924|60.0111|-153.1159|rock avalanche|370000.0|22000.0|15000.0|33000.0|310000.0|220000.0|450000.0|None|None|None|1300.0|1200.0|1400.0|2500.0|2400.0|2600.0|None|None|None|None|None|None|None|None|None|None|4|0|None|None|285.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
119|161|GIS shapefile|QGIS - ecollins|Outline of source and runout based on DigitalGlobe satellite imagery.|EventData/161_UmbrellaGlacierIliamna_26Mar2019/maps_gis/161_Iliamna_20190326_outlines_UTM5N.zip|None
120|161|Static map - pdf|QGIS - ecollins; DigitalGlobe|Static map with outlines and centerline overlain on WorldView-3 satellite imagery (0.31m resolution, captured on 2019-04-03).|EventData/161_UmbrellaGlacierIliamna_26Mar2019/maps_gis/161_UmbrellaGlacierIliamna_20190326_map.pdf|None
121|161|GIS shapefile|QGIS - ecollins|Centerline based on outline (gis_id 119).|EventData/161_UmbrellaGlacierIliamna_26Mar2019/maps_gis/161_Iliamna_20190326_centerline_UTM5N.zip|None
170|161|Static map - png|QGIS - ecollins; DigitalGlobe|Static map with outlines and centerline overlain on WorldView-3 satellite imagery (0.31m resolution, captured on 2019-04-03).|EventData/161_UmbrellaGlacierIliamna_26Mar2019/maps_gis/161_UmbrellaGlacierIliamna_20190326_map.pdf|None

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
504|161|None|Centerline, total area, and source areas were digitized using DigitalGlobe satellite imagery. L and H were estimated using the centerline and crown and toe locations.|None|120|None
502|131|57|Volume estimates determined by bedrock landslide values in Larsen and others (2010) with bedrock scar geometry. Volume_high and Volume_low estimates made by propagating uncertainties in alpha and gamma values (Larsen and others, 2010) and standard deviation of source areas (Area_Source_high, Area_source_low, Area_source). Estimates rounded to two significant digits.|None|None|133,153,161,186,187,188,190

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
725|161|Matthew Haney|Spectrograms provided by Matthew Haney.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_source-MatthewHaney_1.jpeg|None
728|161|Hannah Dietterich|Figure showing that timing of seismic signal for this event is supported by the apparent absence of the slide in a nighttime Landsat thermal image on 3/26 (7:28 UTC) and its appearance in Sentine-2 imagery from 3/29. Provided by Hannah Dietterich.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_source-HannahDietterich_3.jpg|None
795|161|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_waveforms_raw.png|None
796|161|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_waveforms_1-5Hz.png|None
797|161|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_spectrogram.png|None
798|161|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_spectra.png|None
1322|161|Matthew Haney|Spectrograms provided by Matthew Haney.|None|None|None|EventData/161_UmbrellaGlacierIliamna_26Mar2019/photos_figures/161_UmbrellaGlacierIliamna_26Mar2019_source-MatthewHaney_9.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
159249|161|959|126.225|103.22|285.12|None|1|None|None|None
159250|161|960|126.225|103.22|285.12|None|1|None|None|None
159251|161|961|126.225|103.22|285.12|None|1|None|None|None
159252|161|2329|135.455|102.62|284.66|None|1|None|None|None
159253|161|2330|135.455|102.62|284.66|None|1|None|None|None
159254|161|2331|135.455|102.62|284.66|None|1|None|None|None
159255|161|2335|134.952|51.52|233.2|None|0|None|None|None
159256|161|2336|134.952|51.52|233.2|None|0|None|None|None
159257|161|2337|134.952|51.52|233.2|None|0|None|None|None
159258|161|2347|118.338|117.48|299.09|None|1|None|None|None
159259|161|2348|118.338|117.48|299.09|None|1|None|None|None
159260|161|2349|118.338|117.48|299.09|None|1|None|None|None
159261|161|24754|129.09|102.66|284.6|None|0|None|None|None
159262|161|24755|129.09|102.66|284.6|None|0|None|None|None
159263|161|24756|129.09|102.66|284.6|None|0|None|None|None
159264|161|24757|128.865|102.69|284.63|None|0|None|None|None
159265|161|24758|128.865|102.69|284.63|None|0|None|None|None
159266|161|24759|128.865|102.69|284.63|None|0|None|None|None
159267|161|2375|90.756|116.49|297.74|None|0|None|None|None
159268|161|2376|90.756|116.49|297.74|None|0|None|None|None
159269|161|2377|90.756|116.49|297.74|None|0|None|None|None
159270|161|2408|167.661|70.03|252.52|None|0|None|None|None
159271|161|2409|167.661|70.03|252.52|None|0|None|None|None
159272|161|2410|167.661|70.03|252.52|None|0|None|None|None
159273|161|977|183.586|312.03|129.83|None|None|None|None|None
159274|161|978|183.586|312.03|129.83|None|None|None|None|None
159275|161|979|183.586|312.03|129.83|None|None|None|None|None
159276|161|2450|78.467|191.08|10.85|None|0|None|None|None
159277|161|2451|78.467|191.08|10.85|None|0|None|None|None
159278|161|2452|78.467|191.08|10.85|None|0|None|None|None
159279|161|2453|76.793|195.12|14.82|None|0|None|None|None
159280|161|2454|76.793|195.12|14.82|None|0|None|None|None
159281|161|2455|76.793|195.12|14.82|None|0|None|None|None
159282|161|980|74.975|192.48|12.23|None|0|None|None|None
159283|161|15329|74.975|192.48|12.23|None|None|None|None|None
159284|161|981|76.738|195.17|14.86|None|0|None|None|None
159285|161|982|79.62|193.96|13.67|None|0|None|None|None
159286|161|983|79.62|193.96|13.67|None|0|None|None|None
159287|161|984|79.62|193.96|13.67|None|0|None|None|None
159288|161|2456|78.982|193.77|13.48|None|0|None|None|None
159289|161|2457|78.982|193.77|13.48|None|0|None|None|None
159290|161|2458|78.982|193.77|13.48|None|1|None|None|None
159291|161|2459|77.761|193.46|13.19|None|0|None|None|None
159292|161|985|74.648|195.25|14.95|None|0|None|None|None
159293|161|986|74.648|195.25|14.95|None|0|None|None|None
159294|161|987|74.648|195.25|14.95|None|0|None|None|None
159295|161|988|74.648|195.25|14.95|None|0|None|None|None
159296|161|33196|76.425|198.51|18.15|None|0|None|None|None
159297|161|33197|76.425|198.51|18.15|None|0|None|None|None
159298|161|33198|76.425|198.51|18.15|None|0|None|None|None
159299|161|33398|72.435|196.35|16.04|None|0|None|None|None
159300|161|33399|72.435|196.35|16.04|None|0|None|None|None
159301|161|33400|72.435|196.35|16.04|None|0|None|None|None
159302|161|989|75.721|196.87|16.54|None|0|None|None|None
159303|161|15330|75.721|196.87|16.54|None|0|None|None|None
159304|161|990|76.47|194.22|13.93|None|0|None|None|None
159305|161|2460|77.202|193.72|13.44|None|None|None|None|None
159306|161|2461|77.202|193.72|13.44|None|None|None|None|None
159307|161|2462|77.202|193.72|13.44|None|None|None|None|None
159308|161|13004|79.762|193.87|13.58|None|0|None|None|None
159309|161|13005|79.762|193.87|13.58|None|0|None|None|None
159310|161|13006|79.762|193.87|13.58|None|0|None|None|None
159311|161|13007|76.995|194.48|14.19|None|None|None|None|None
159312|161|13008|76.995|194.48|14.19|None|None|None|None|None
159313|161|13009|76.995|194.48|14.19|None|None|None|None|None
159314|161|992|76.491|196.43|16.11|None|0|None|None|None
159315|161|13010|77.472|195.69|15.37|None|0|None|None|None
159316|161|13011|77.472|195.69|15.37|None|0|None|None|None
159317|161|13012|77.472|195.69|15.37|None|0|None|None|None
159318|161|994|139.724|240.43|58.58|None|None|None|None|None
159319|161|995|89.226|24.26|204.85|None|None|None|None|None
159320|161|996|124.567|21.02|201.74|None|None|None|None|None
159321|161|997|126.437|194.58|14.1|None|None|None|None|None
159322|161|1008|141.111|199.81|19.1|None|None|None|None|None
159323|161|15331|141.111|199.81|19.1|None|None|None|None|None
159324|161|1009|143.272|188.92|8.59|None|None|None|None|None
159325|161|15332|143.272|188.92|8.59|None|None|None|None|None
159326|161|1010|141.238|194.33|13.81|None|None|None|None|None
159327|161|15333|141.238|194.33|13.81|None|None|None|None|None
159328|161|33401|8.613|58.44|238.55|None|None|None|None|None
159329|161|13013|8.061|171.19|351.21|None|1|None|None|None
159330|161|13014|8.061|171.19|351.21|None|1|None|None|None
159331|161|13015|8.061|171.19|351.21|None|1|None|None|None
159332|161|13016|5.769|209.0|28.96|None|1|None|None|None
159333|161|13017|5.769|209.0|28.96|None|1|None|None|None
159334|161|13018|5.769|209.0|28.96|None|1|None|None|None
159335|161|1013|4.301|322.7|142.65|None|0|None|None|None
159336|161|2468|4.339|108.22|288.29|None|None|None|None|None
159337|161|2469|4.339|108.22|288.29|None|None|None|None|None
159338|161|2470|4.339|108.22|288.29|None|None|None|None|None
159339|161|1015|4.339|108.22|288.29|None|0|None|None|None
159340|161|1016|4.339|108.22|288.29|None|0|None|None|None
159341|161|1017|4.339|108.22|288.29|None|0|None|None|None
159342|161|1018|2.278|166.69|346.7|None|None|None|None|None
