# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
164|Mount Spurr|2021-04-07 13:22:06|2021-04-07 13:23:58|61.2992|-152.2542|3.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|281.0|1|None|None|0.0|None|1|186.0|1|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
520|164|185|This event was identified by the Alaska Volcano Observatory and recorded on infrasound instruments near Mount Spurr (Toney, written commun., 2021).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
807|164|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_waveforms_raw.png|None
808|164|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_waveforms_1-5Hz.png|None
809|164|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_spectrogram.png|None
810|164|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_spectra.png|None
1013|164|Elaine Collins|Raw infrasound waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start time of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_INFRAwaveforms_raw.png|None
1014|164|Elaine Collins|Filtered infrasound (0.5-2 Hz) waveforms for station response from closest stations with detections. Dashed lines show approximate start time of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_INFRAwaveforms_05-2Hz.png|None
1015|164|Elaine Collins|Spectrograms of filtered infrasound waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/164_MountSpurr_07Apr2021/photos_figures/164_MountSpurr_07Apr2021_INFRAspectrogram.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
160946|164|959|187.692|156.19|337.36|None|0|None|None|None
160947|164|960|187.692|156.19|337.36|None|0|None|None|None
160948|164|961|187.692|156.19|337.36|None|0|None|None|None
160949|164|34057|187.692|156.19|337.36|None|0|None|None|None
160950|164|34058|187.692|156.19|337.36|None|0|None|None|None
160951|164|34059|187.692|156.19|337.36|None|0|None|None|None
160952|164|2329|192.39|153.76|335.07|None|None|None|None|None
160953|164|2330|192.39|153.76|335.07|None|None|None|None|None
160954|164|2331|192.39|153.76|335.07|None|None|None|None|None
160955|164|2335|83.882|134.37|315.33|None|0|None|None|None
160956|164|2336|83.882|134.37|315.33|None|0|None|None|None
160957|164|2337|83.882|134.37|315.33|None|0|None|None|None
160958|164|34060|83.882|134.37|315.33|None|0|None|None|None
160959|164|34061|83.882|134.37|315.33|None|0|None|None|None
160960|164|34062|83.882|134.37|315.33|None|0|None|None|None
160961|164|2350|161.866|39.5|221.26|None|0|None|None|None
160962|164|2351|161.866|39.5|221.26|None|0|None|None|None
160963|164|2352|161.866|39.5|221.26|None|0|None|None|None
160964|164|24754|188.462|155.26|336.48|None|None|None|None|None
160965|164|24755|188.462|155.26|336.48|None|None|None|None|None
160966|164|24756|188.462|155.26|336.48|None|None|None|None|None
160967|164|24757|188.379|155.33|336.55|None|0|None|None|None
160968|164|24758|188.379|155.33|336.55|None|0|None|None|None
160969|164|24759|188.379|155.33|336.55|None|0|None|None|None
160970|164|34063|145.369|87.73|270.11|None|0|None|None|None
160971|164|34064|145.369|87.73|270.11|None|0|None|None|None
160972|164|34065|145.369|87.73|270.11|None|0|None|None|None
160973|164|25692|143.718|88.05|270.4|None|0|None|None|None
160974|164|25693|143.718|88.05|270.4|None|0|None|None|None
160975|164|25694|143.718|88.05|270.4|None|0|None|None|None
160976|164|34066|145.086|88.14|270.51|None|0|None|None|None
160977|164|34067|145.086|88.14|270.51|None|0|None|None|None
160978|164|34068|145.086|88.14|270.51|None|0|None|None|None
160979|164|34069|145.042|86.78|269.16|None|0|None|None|None
160980|164|34070|145.042|86.78|269.16|None|0|None|None|None
160981|164|34071|145.042|86.78|269.16|None|0|None|None|None
160982|164|2359|110.871|98.16|279.95|None|None|None|None|None
160983|164|2360|110.871|98.16|279.95|None|None|None|None|None
160984|164|2361|110.871|98.16|279.95|None|None|None|None|None
160985|164|15311|110.871|98.16|279.95|None|None|None|None|None
160986|164|15312|110.871|98.16|279.95|None|None|None|None|None
160987|164|15313|110.871|98.16|279.95|None|None|None|None|None
160988|164|2362|184.661|72.0|254.93|None|0|None|None|None
160989|164|2363|184.661|72.0|254.93|None|0|None|None|None
160990|164|2364|184.661|72.0|254.93|None|0|None|None|None
160991|164|2375|185.928|169.47|349.99|None|0|None|None|None
160992|164|2376|185.928|169.47|349.99|None|0|None|None|None
160993|164|2377|185.928|169.47|349.99|None|0|None|None|None
160994|164|34072|185.928|169.47|349.99|None|0|None|None|None
160995|164|34073|185.928|169.47|349.99|None|0|None|None|None
160996|164|34074|185.928|169.47|349.99|None|0|None|None|None
160997|164|24760|134.921|92.65|274.84|None|0|None|None|None
160998|164|24761|134.921|92.65|274.84|None|0|None|None|None
160999|164|24762|134.921|92.65|274.84|None|0|None|None|None
161000|164|24763|121.216|95.53|277.5|None|0|None|None|None
161001|164|24764|121.216|95.53|277.5|None|0|None|None|None
161002|164|24765|121.216|95.53|277.5|None|0|None|None|None
161003|164|24766|125.99|94.04|276.09|None|0|None|None|None
161004|164|24767|125.99|94.04|276.09|None|0|None|None|None
161005|164|24768|125.99|94.04|276.09|None|0|None|None|None
161006|164|24769|126.006|95.22|277.26|None|0|None|None|None
161007|164|24770|126.006|95.22|277.26|None|0|None|None|None
161008|164|24771|126.006|95.22|277.26|None|0|None|None|None
161009|164|24772|135.211|94.32|276.52|None|0|None|None|None
161010|164|24773|135.211|94.32|276.52|None|0|None|None|None
161011|164|24774|135.211|94.32|276.52|None|0|None|None|None
161012|164|24775|126.277|97.61|279.64|None|0|None|None|None
161013|164|24776|126.277|97.61|279.64|None|0|None|None|None
161014|164|24777|126.277|97.61|279.64|None|0|None|None|None
