# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
165|Mount Spurr|2021-06-14 14:12:43|2021-06-14 14:18:17|61.2992|-152.2542|3.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|1|None|None|455.0|1|None|None|500.0|0|1|98.0|1|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
521|165|185|This event was identified and located seismically near Mount Spurr by the Alaska Volcano Observatory (Toney, written commun., 2021).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
811|165|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_waveforms_raw.png|None
812|165|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_waveforms_1-5Hz.png|None
813|165|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_waveforms_20-60sec.png|None
814|165|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_displspectra.png|None
815|165|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_spectrogram.png|None
816|165|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_spectra.png|None
1016|165|Elaine Collins|Raw infrasound waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start time of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_INFRAwaveforms_raw.png|None
1017|165|Elaine Collins|Filtered infrasound (0.5-2 Hz) waveforms for station response from closest stations with detections. Dashed lines show approximate start time of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_INFRAwaveforms_05-2Hz.png|None
1018|165|Elaine Collins|Spectrograms of filtered infrasound waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/165_MountSpurr_14Jun2021/photos_figures/165_MountSpurr_14Jun2021_INFRAspectrogram.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
162812|165|959|187.692|156.19|337.36|None|0|None|0|None
162813|165|960|187.692|156.19|337.36|None|0|None|0|None
162814|165|961|187.692|156.19|337.36|None|1|None|1|None
162815|165|34057|187.692|156.19|337.36|None|0|None|None|None
162816|165|34058|187.692|156.19|337.36|None|0|None|None|None
162817|165|34059|187.692|156.19|337.36|None|0|None|None|None
162818|165|2329|192.39|153.76|335.07|None|1|None|0|None
162819|165|2330|192.39|153.76|335.07|None|1|None|0|None
162820|165|2331|192.39|153.76|335.07|None|0|None|1|None
162821|165|2335|83.882|134.37|315.33|None|0|None|0|None
162822|165|2336|83.882|134.37|315.33|None|0|None|0|None
162823|165|2337|83.882|134.37|315.33|None|0|None|1|None
162824|165|34060|83.882|134.37|315.33|None|0|None|None|None
162825|165|34061|83.882|134.37|315.33|None|0|None|None|None
162826|165|34062|83.882|134.37|315.33|None|0|None|None|None
162827|165|2350|161.866|39.5|221.26|None|0|None|0|None
162828|165|2351|161.866|39.5|221.26|None|0|None|0|None
162829|165|2352|161.866|39.5|221.26|None|0|None|1|None
162830|165|24754|188.462|155.26|336.48|None|None|None|None|None
162831|165|24755|188.462|155.26|336.48|None|None|None|None|None
162832|165|24756|188.462|155.26|336.48|None|None|None|None|None
162833|165|24757|188.379|155.33|336.55|None|0|None|None|None
162834|165|24758|188.379|155.33|336.55|None|0|None|None|None
162835|165|24759|188.379|155.33|336.55|None|0|None|None|None
162836|165|34063|145.369|87.73|270.11|None|0|None|None|None
162837|165|34064|145.369|87.73|270.11|None|0|None|None|None
162838|165|34065|145.369|87.73|270.11|None|0|None|None|None
162839|165|25692|143.718|88.05|270.4|None|0|None|None|None
162840|165|25693|143.718|88.05|270.4|None|0|None|None|None
162841|165|25694|143.718|88.05|270.4|None|0|None|None|None
162842|165|34066|145.086|88.14|270.51|None|0|None|None|None
162843|165|34067|145.086|88.14|270.51|None|0|None|None|None
162844|165|34068|145.086|88.14|270.51|None|0|None|None|None
162845|165|34069|145.042|86.78|269.16|None|0|None|None|None
162846|165|34070|145.042|86.78|269.16|None|0|None|None|None
162847|165|34071|145.042|86.78|269.16|None|0|None|None|None
162848|165|2359|110.871|98.16|279.95|None|0|None|0|None
162849|165|2360|110.871|98.16|279.95|None|0|None|0|None
162850|165|2361|110.871|98.16|279.95|None|0|None|1|None
162851|165|15311|110.871|98.16|279.95|None|0|None|None|None
162852|165|15312|110.871|98.16|279.95|None|0|None|None|None
162853|165|15313|110.871|98.16|279.95|None|0|None|None|None
162854|165|2362|184.661|72.0|254.93|None|0|None|0|None
162855|165|2363|184.661|72.0|254.93|None|0|None|0|None
162856|165|2364|184.661|72.0|254.93|None|0|None|0|None
162857|165|2375|185.928|169.47|349.99|None|0|None|0|None
162858|165|2376|185.928|169.47|349.99|None|0|None|0|None
162859|165|2377|185.928|169.47|349.99|None|0|None|1|None
162860|165|34072|185.928|169.47|349.99|None|0|None|None|None
162861|165|34073|185.928|169.47|349.99|None|0|None|None|None
162862|165|34074|185.928|169.47|349.99|None|0|None|None|None
162863|165|24760|134.921|92.65|274.84|None|0|None|None|None
162864|165|24761|134.921|92.65|274.84|None|0|None|None|None
162865|165|24762|134.921|92.65|274.84|None|0|None|None|None
162866|165|24763|121.216|95.53|277.5|None|0|None|None|None
162867|165|24764|121.216|95.53|277.5|None|0|None|None|None
162868|165|24765|121.216|95.53|277.5|None|0|None|None|None
162869|165|24766|125.99|94.04|276.09|None|0|None|None|None
162870|165|24767|125.99|94.04|276.09|None|0|None|None|None
162871|165|24768|125.99|94.04|276.09|None|0|None|None|None
162872|165|24769|126.006|95.22|277.26|None|0|None|None|None
162873|165|24770|126.006|95.22|277.26|None|0|None|None|None
162874|165|24771|126.006|95.22|277.26|None|0|None|None|None
162875|165|24772|135.211|94.32|276.52|None|0|None|None|None
162876|165|24773|135.211|94.32|276.52|None|0|None|None|None
162877|165|24774|135.211|94.32|276.52|None|0|None|None|None
162878|165|24775|126.277|97.61|279.64|None|0|None|None|None
162879|165|24776|126.277|97.61|279.64|None|0|None|None|None
162880|165|24777|126.277|97.61|279.64|None|0|None|None|None
162881|165|24778|129.823|96.35|278.45|None|0|None|None|None
162882|165|24779|129.823|96.35|278.45|None|0|None|None|None
162883|165|24780|129.823|96.35|278.45|None|0|None|None|None
162884|165|24781|133.152|95.82|277.98|None|0|None|None|None
162885|165|24782|133.152|95.82|277.98|None|0|None|None|None
162886|165|24783|133.152|95.82|277.98|None|0|None|None|None
162887|165|24784|130.389|98.12|280.21|None|0|None|None|None
162888|165|24785|130.389|98.12|280.21|None|0|None|None|None
162889|165|24786|130.389|98.12|280.21|None|0|None|None|None
162890|165|24787|135.061|97.24|279.42|None|0|None|None|None
162891|165|24788|135.061|97.24|279.42|None|0|None|None|None
162892|165|24789|135.061|97.24|279.42|None|0|None|None|None
162893|165|24790|136.629|98.91|281.1|None|0|None|None|None
