# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
167|Mount St Helens 1|2021-02-01 10:54:27|2021-02-01 11:04:52|46.198|-122.174|0.8|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|90.0|1|None|None|0.0|None|0|0.0|None|IRIS, NCEDC|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
405|167|143|“It is clear based on the timing and amplitudes that these events took place on the east side of the volcano, probably starting up high near the crater rim and traveling down and off the steep part of the mountain and perhaps as far as tree line. . .  In both cases the strongest shaking is within the first few minutes of the event, probably when the largest mass of snow is moving the fastest on the upper slopes” – Quote from Steve Malone, Pacific Northwest Seismic Network (2021)|None|None|168
406|167|None|"Avalanche deposits were found on the east side at Shoestring canyon (on left in photo) and on the northeast flank with a run-out onto the Plains of Abraham (on right in photo)" - Quote from USGS Volcanoes Page (2021)|723|None|168

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
723|167|John Pallister|Photos taken February 9, 2021, courtesy of John Pallister.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_source-JohnPallister_1.jpg|168
823|167|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_waveforms_raw.png|None
824|167|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_waveforms_1-5Hz.png|None
825|167|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_spectrogram.png|None
826|167|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_spectra.png|None
1351|167|John Pallister|Photos taken February 9, 2021, courtesy of John Pallister.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_source-JohnPallister_7.jpg|168

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
143|167|168|Malone, S., 4 Feb 2021, Pacific Northwest Seismic Network, Snow Avalanches at Mount St. Helens – Again, Accessed 16 July 2021, at https://pnsn.org/blog/2021/02/04/snow-avalanches-at-mount-st-helens-again|Malone (2021)|None|https://www.pnsn.org/blog/2021/02/04/snow-avalanches-at-mount-st-helens-again
144|167|168|USGS Volcanoes, 12 Feb 2021, Facebook post, Accessed 16 July 2021, at https://pages.facebook.com/USGSVolcanoes/photos/a.984262971602264/4157877347574128/?type=3|USGS Volcanoes Page (2021)|None|https://pages.facebook.com/USGSVolcanoes/photos/a.984262971602264/4157877347574128/?type=3

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
164536|167|34596|95.636|157.59|337.93|None|None|None|None|None
164537|167|34597|95.636|157.59|337.93|None|None|None|None|None
164538|167|34598|95.636|157.59|337.93|None|None|None|None|None
164539|167|25962|88.799|8.3|188.43|None|0|None|None|None
164540|167|25963|88.799|8.3|188.43|None|0|None|None|None
164541|167|25964|88.799|8.3|188.43|None|0|None|None|None
164542|167|25965|89.336|10.45|190.6|None|1|None|None|None
164543|167|25966|89.336|10.45|190.6|None|1|None|None|None
164544|167|25967|89.336|10.45|190.6|None|0|None|None|None
164545|167|34599|63.423|18.06|198.24|None|1|None|None|None
164546|167|34600|63.423|18.06|198.24|None|1|None|None|None
164547|167|34601|63.423|18.06|198.24|None|0|None|None|None
164548|167|34602|89.439|161.29|341.56|None|0|None|None|None
164549|167|34603|89.439|161.29|341.56|None|0|None|None|None
164550|167|34604|89.439|161.29|341.56|None|0|None|None|None
164551|167|34605|9.243|338.34|158.31|None|0|None|None|None
164552|167|34606|9.243|338.34|158.31|None|0|None|None|None
164553|167|34607|9.243|338.34|158.31|None|0|None|None|None
164554|167|34608|63.97|22.23|202.46|None|1|None|None|None
164555|167|34609|63.97|22.23|202.46|None|1|None|None|None
164556|167|34610|63.97|22.23|202.46|None|0|None|None|None
164557|167|34611|101.797|156.07|336.45|None|None|None|None|None
164558|167|34612|101.797|156.07|336.45|None|None|None|None|None
164559|167|34613|101.797|156.07|336.45|None|None|None|None|None
164560|167|79|82.712|19.29|199.56|None|0|None|None|None
164561|167|80|82.712|19.29|199.56|None|0|None|None|None
164562|167|81|82.712|19.29|199.56|None|0|None|None|None
164563|167|34617|75.224|37.77|218.21|None|1|None|None|None
164564|167|34618|75.224|37.77|218.21|None|1|None|None|None
164565|167|34619|75.224|37.77|218.21|None|1|None|None|None
164566|167|34620|100.16|158.5|338.84|None|None|None|None|None
164567|167|34621|100.16|158.5|338.84|None|None|None|None|None
164568|167|34622|100.16|158.5|338.84|None|None|None|None|None
164569|167|82|84.03|28.83|209.22|None|1|None|None|None
164570|167|83|84.03|28.83|209.22|None|1|None|None|None
164571|167|84|84.03|28.83|209.22|None|0|None|None|None
164572|167|34626|73.334|26.72|207.04|None|1|None|None|None
164573|167|34627|73.334|26.72|207.04|None|1|None|None|None
164574|167|34628|73.334|26.72|207.04|None|1|None|None|None
164575|167|24385|79.848|7.48|187.58|None|0|None|None|None
164576|167|24386|79.848|7.48|187.58|None|0|None|None|None
164577|167|24387|79.848|7.48|187.58|None|0|None|None|None
164578|167|24388|80.646|6.8|186.89|None|0|None|None|None
164579|167|24389|80.646|6.8|186.89|None|0|None|None|None
164580|167|24390|80.646|6.8|186.89|None|0|None|None|None
164581|167|24391|79.163|7.82|187.92|None|0|None|None|None
164582|167|24392|79.163|7.82|187.92|None|0|None|None|None
164583|167|24393|79.163|7.82|187.92|None|0|None|None|None
164584|167|24394|82.577|9.85|189.98|None|0|None|None|None
164585|167|24395|82.577|9.85|189.98|None|0|None|None|None
164586|167|24396|82.577|9.85|189.98|None|0|None|None|None
164587|167|24397|73.613|13.49|193.65|None|0|None|None|None
164588|167|24398|73.613|13.49|193.65|None|0|None|None|None
164589|167|24399|73.613|13.49|193.65|None|1|None|None|None
164590|167|34629|0.921|285.41|105.4|None|None|None|None|None
164591|167|34630|0.921|285.41|105.4|None|None|None|None|None
164592|167|34631|0.921|285.41|105.4|None|None|None|None|None
164593|167|25968|80.33|12.58|192.75|None|0|None|None|None
164594|167|25969|80.33|12.58|192.75|None|0|None|None|None
164595|167|25970|80.33|12.58|192.75|None|1|None|None|None
164596|167|34632|1.316|278.65|98.64|None|None|None|None|None
164597|167|34633|1.316|278.65|98.64|None|None|None|None|None
164598|167|34634|1.316|278.65|98.64|None|None|None|None|None
164599|167|10010|95.725|148.19|328.65|None|None|None|None|None
164600|167|10011|95.725|148.19|328.65|None|None|None|None|None
164601|167|10012|95.725|148.19|328.65|None|None|None|None|None
164602|167|25971|76.252|12.75|192.91|None|1|None|None|None
164603|167|25972|76.252|12.75|192.91|None|1|None|None|None
164604|167|25973|76.252|12.75|192.91|None|1|None|None|None
164605|167|88|5.852|318.81|138.78|None|1|None|None|None
164606|167|89|5.852|318.81|138.78|None|1|None|None|None
164607|167|90|5.852|318.81|138.78|None|0|None|None|None
164608|167|24820|1.958|354.89|174.89|None|1|None|None|None
164609|167|24821|1.958|354.89|174.89|None|1|None|None|None
164610|167|24822|1.958|354.89|174.89|None|1|None|None|None
164611|167|92|3.959|236.53|56.5|None|1|None|None|None
164612|167|93|3.959|236.53|56.5|None|1|None|None|None
164613|167|94|3.959|236.53|56.5|None|1|None|None|None
164614|167|34641|102.401|159.21|339.54|None|None|None|None|None
