# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
168|Mount St Helens 2|2021-02-03 05:42:41|2021-02-03 06:00:49|46.198|-122.174|0.8|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|92.0|1|None|None|0.0|None|0|0.0|None|IRIS, NCEDC|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
405|167|143|“It is clear based on the timing and amplitudes that these events took place on the east side of the volcano, probably starting up high near the crater rim and traveling down and off the steep part of the mountain and perhaps as far as tree line. . .  In both cases the strongest shaking is within the first few minutes of the event, probably when the largest mass of snow is moving the fastest on the upper slopes” – Quote from Steve Malone, Pacific Northwest Seismic Network (2021)|None|None|168
406|167|None|"Avalanche deposits were found on the east side at Shoestring canyon (on left in photo) and on the northeast flank with a run-out onto the Plains of Abraham (on right in photo)" - Quote from USGS Volcanoes Page (2021)|723|None|168

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
827|168|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/168_MountStHelens2_03Feb2021/photos_figures/168_MountStHelens2_03Feb2021_waveforms_raw.png|None
828|168|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/168_MountStHelens2_03Feb2021/photos_figures/168_MountStHelens2_03Feb2021_waveforms_1-5Hz.png|None
829|168|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/168_MountStHelens2_03Feb2021/photos_figures/168_MountStHelens2_03Feb2021_spectrogram.png|None
830|168|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/168_MountStHelens2_03Feb2021/photos_figures/168_MountStHelens2_03Feb2021_spectra.png|None
723|167|John Pallister|Photos taken February 9, 2021, courtesy of John Pallister.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_source-JohnPallister_1.jpg|168
1351|167|John Pallister|Photos taken February 9, 2021, courtesy of John Pallister.|None|None|None|EventData/167_MountStHelens1_01Feb2021/photos_figures/167_MountStHelens1_01Feb2021_source-JohnPallister_7.jpg|168


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
165962|168|34596|95.636|157.59|337.93|None|None|None|None|None
165963|168|34597|95.636|157.59|337.93|None|None|None|None|None
165964|168|34598|95.636|157.59|337.93|None|None|None|None|None
165965|168|25962|88.799|8.3|188.43|None|1|None|None|None
165966|168|25963|88.799|8.3|188.43|None|1|None|None|None
165967|168|25964|88.799|8.3|188.43|None|0|None|None|None
165968|168|25965|89.336|10.45|190.6|None|0|None|None|None
165969|168|25966|89.336|10.45|190.6|None|0|None|None|None
165970|168|25967|89.336|10.45|190.6|None|0|None|None|None
165971|168|34599|63.423|18.06|198.24|None|0|None|None|None
165972|168|34600|63.423|18.06|198.24|None|0|None|None|None
165973|168|34601|63.423|18.06|198.24|None|0|None|None|None
165974|168|34602|89.439|161.29|341.56|None|0|None|None|None
165975|168|34603|89.439|161.29|341.56|None|0|None|None|None
165976|168|34604|89.439|161.29|341.56|None|0|None|None|None
165977|168|34605|9.243|338.34|158.31|None|1|None|None|None
165978|168|34606|9.243|338.34|158.31|None|1|None|None|None
165979|168|34607|9.243|338.34|158.31|None|0|None|None|None
165980|168|34608|63.97|22.23|202.46|None|0|None|None|None
165981|168|34609|63.97|22.23|202.46|None|0|None|None|None
165982|168|34610|63.97|22.23|202.46|None|0|None|None|None
165983|168|34611|101.797|156.07|336.45|None|None|None|None|None
165984|168|34612|101.797|156.07|336.45|None|None|None|None|None
165985|168|34613|101.797|156.07|336.45|None|None|None|None|None
165986|168|79|82.712|19.29|199.56|None|0|None|None|None
165987|168|80|82.712|19.29|199.56|None|0|None|None|None
165988|168|81|82.712|19.29|199.56|None|0|None|None|None
165989|168|34617|75.224|37.77|218.21|None|1|None|None|None
165990|168|34618|75.224|37.77|218.21|None|1|None|None|None
165991|168|34619|75.224|37.77|218.21|None|1|None|None|None
165992|168|34620|100.16|158.5|338.84|None|None|None|None|None
165993|168|34621|100.16|158.5|338.84|None|None|None|None|None
165994|168|34622|100.16|158.5|338.84|None|None|None|None|None
165995|168|82|84.03|28.83|209.22|None|0|None|None|None
165996|168|83|84.03|28.83|209.22|None|0|None|None|None
165997|168|84|84.03|28.83|209.22|None|0|None|None|None
165998|168|34626|73.334|26.72|207.04|None|1|None|None|None
165999|168|34627|73.334|26.72|207.04|None|1|None|None|None
166000|168|34628|73.334|26.72|207.04|None|1|None|None|None
166001|168|24385|79.848|7.48|187.58|None|0|None|None|None
166002|168|24386|79.848|7.48|187.58|None|0|None|None|None
166003|168|24387|79.848|7.48|187.58|None|0|None|None|None
166004|168|24388|80.646|6.8|186.89|None|0|None|None|None
166005|168|24389|80.646|6.8|186.89|None|0|None|None|None
166006|168|24390|80.646|6.8|186.89|None|0|None|None|None
166007|168|24391|79.163|7.82|187.92|None|0|None|None|None
166008|168|24392|79.163|7.82|187.92|None|0|None|None|None
166009|168|24393|79.163|7.82|187.92|None|0|None|None|None
166010|168|24394|82.577|9.85|189.98|None|1|None|None|None
166011|168|24395|82.577|9.85|189.98|None|1|None|None|None
166012|168|24396|82.577|9.85|189.98|None|1|None|None|None
166013|168|24397|73.613|13.49|193.65|None|0|None|None|None
166014|168|24398|73.613|13.49|193.65|None|0|None|None|None
166015|168|24399|73.613|13.49|193.65|None|0|None|None|None
166016|168|34629|0.921|285.41|105.4|None|None|None|None|None
166017|168|34630|0.921|285.41|105.4|None|None|None|None|None
166018|168|34631|0.921|285.41|105.4|None|None|None|None|None
166019|168|25968|80.33|12.58|192.75|None|0|None|None|None
166020|168|25969|80.33|12.58|192.75|None|0|None|None|None
166021|168|25970|80.33|12.58|192.75|None|1|None|None|None
166022|168|34632|1.316|278.65|98.64|None|None|None|None|None
166023|168|34633|1.316|278.65|98.64|None|None|None|None|None
166024|168|34634|1.316|278.65|98.64|None|None|None|None|None
166025|168|10010|95.725|148.19|328.65|None|None|None|None|None
166026|168|10011|95.725|148.19|328.65|None|None|None|None|None
166027|168|10012|95.725|148.19|328.65|None|None|None|None|None
