# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
169|Solvay Mine|2000-01-30 14:47:16|2000-01-30 14:50:30|41.4872|-109.7543|1.1|None|None|None|None|mine collapse|650000.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1.4|None|None|None|None|None|None|None|None|None|3|1|None|None|500.0|0|None|None|272.0|0|None|None|None|EventData/169_SolvayMine_30Jan2000/169_SolvayMine_30Jan2000_seismic_data.zip|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
408|169|148|Location, total area (650,000 m2), and H free-fall (1.4 m) were taken from computed epicenter location, area affected, and vertical displacement estimates found in Arabasz and Pechmann (2001).|None|None|None
409|169|148|"a magnitude 4.3 shock that occurred on January 30, 2000...associated with a panel collapse at the Solvay trona mine in southwestern Wyoming" - Quote from Arabasz and Pechmann (2001)|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
953|169|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_waveforms_raw.png|None
954|169|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_waveforms_1-5Hz.png|None
955|169|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_waveforms_20-60sec.png|None
956|169|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_displspectra.png|None
957|169|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_spectrogram.png|None
958|169|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/169_SolvayMine_30Jan2000/photos_figures/169_SolvayMine_30Jan2000_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
148|169|None|Arabasz, W.J. and Pechmann, J.C., 1 Mar 2001, Seismic Characterization of Coal-Mining Seismicity in Utah for CTBT Monitoring (LLNL Research Agreement No. B344836), Accessed 13 Jan 2022, at https://quake.utah.edu/wp-content/uploads/LLNLRept.pdf|Arabasz and Pechmann (2001)|None|https://quake.utah.edu/wp-content/uploads/LLNLRept.pdf

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
167388|169|1363|143.099|6.44|186.58|None|None|None|None|None
167389|169|1364|143.099|6.44|186.58|None|None|None|None|None
167390|169|1365|143.099|6.44|186.58|None|None|None|None|None
167391|169|22505|192.364|243.63|62.29|None|None|None|None|None
167392|169|22506|192.364|243.63|62.29|None|None|None|None|None
167393|169|22507|192.364|243.63|62.29|None|None|None|None|None
167394|169|23074|190.423|245.21|63.87|None|None|None|None|None
167395|169|23075|190.423|245.21|63.87|None|None|None|None|None
167396|169|23076|190.423|245.21|63.87|None|None|None|None|None
167397|169|23080|196.458|246.42|65.01|None|None|None|None|None
167398|169|23081|196.458|246.42|65.01|None|None|None|None|None
167399|169|23082|196.458|246.42|65.01|None|None|None|None|None
167400|169|23088|173.793|280.05|98.68|None|None|None|None|None
167401|169|23089|173.793|280.05|98.68|None|None|None|None|None
167402|169|23090|173.793|280.05|98.68|None|None|None|None|None
167403|169|22517|192.521|245.4|64.04|None|None|None|None|None
167404|169|22518|192.521|245.4|64.04|None|None|None|None|None
167405|169|22519|192.521|245.4|64.04|None|None|None|None|None
167406|169|33509|191.442|245.25|63.9|None|None|None|None|None
167407|169|33510|191.442|245.25|63.9|None|None|None|None|None
167408|169|33511|191.442|245.25|63.9|None|None|None|None|None
167409|169|1396|180.4|322.35|141.45|None|None|None|None|None
167410|169|1397|180.4|322.35|141.45|None|None|None|None|None
167411|169|1398|180.4|322.35|141.45|None|None|None|None|None
167412|169|33980|180.4|322.35|141.45|None|None|None|None|None
167413|169|33981|180.4|322.35|141.45|None|None|None|None|None
167414|169|33982|180.4|322.35|141.45|None|None|None|None|None
167415|169|1399|143.042|6.44|186.57|None|None|None|None|None
167416|169|1400|143.042|6.44|186.57|None|None|None|None|None
167417|169|1401|143.042|6.44|186.57|None|None|None|None|None
167418|169|33986|143.042|6.44|186.57|None|None|None|None|None
167419|169|33987|143.042|6.44|186.57|None|None|None|None|None
167420|169|33988|143.042|6.44|186.57|None|None|None|None|None
167421|169|1989|151.675|275.63|94.43|None|None|None|None|None
167422|169|1990|151.675|275.63|94.43|None|None|None|None|None
167423|169|1407|151.675|275.63|94.43|None|None|None|None|None
167424|169|33866|151.675|275.63|94.43|None|None|None|None|None
167425|169|33867|151.675|275.63|94.43|None|None|None|None|None
167426|169|33868|151.675|275.63|94.43|None|None|None|None|None
167427|169|1408|182.463|293.2|111.85|None|1|None|None|None
167428|169|1415|133.787|293.51|112.52|None|None|None|None|None
167429|169|1417|189.506|242.9|61.59|None|1|None|1|None
167430|169|1418|189.506|242.9|61.59|None|1|None|1|None
167431|169|1419|189.506|242.9|61.59|None|1|None|1|None
167432|169|1421|173.857|227.14|46.16|None|1|None|None|None
167433|169|1422|191.008|231.97|50.8|None|1|None|None|None
167434|169|1427|181.877|254.34|72.97|None|1|None|None|None
167435|169|1429|196.946|239.73|58.41|None|1|None|None|None
167436|169|1430|196.946|239.73|58.41|None|1|None|None|None
167437|169|1431|196.946|239.73|58.41|None|1|None|None|None
167438|169|33681|196.946|239.73|58.41|None|1|None|None|None
167439|169|1432|185.666|268.62|87.15|None|1|None|None|None
167440|169|1433|185.666|268.62|87.15|None|1|None|None|None
167441|169|1434|185.666|268.62|87.15|None|1|None|None|None
167442|169|23749|185.666|268.62|87.15|None|1|None|None|None
167443|169|1436|171.157|282.55|101.21|None|1|None|None|None
167444|169|35437|169.223|235.42|54.34|None|1|None|None|None
167445|169|35438|169.223|235.42|54.34|None|1|None|None|None
167446|169|1438|169.223|235.42|54.34|None|1|None|None|None
167447|169|31868|169.223|235.42|54.34|None|None|None|None|None
167448|169|31869|169.223|235.42|54.34|None|None|None|None|None
167449|169|31870|169.223|235.42|54.34|None|None|None|None|None
167450|169|1439|192.051|275.0|93.48|None|None|None|None|None
167451|169|1440|194.769|247.44|66.04|None|1|None|None|None
167452|169|1441|152.74|234.26|53.3|None|1|None|None|None
167453|169|35439|173.172|235.97|54.86|None|1|None|None|None
167454|169|35440|173.172|235.97|54.86|None|1|None|None|None
167455|169|35441|173.172|235.97|54.86|None|1|None|None|None
167456|169|35442|173.172|235.97|54.86|None|1|None|None|None
167457|169|1446|168.217|236.12|55.03|None|1|None|None|None
167458|169|1450|171.665|234.68|53.59|None|1|None|None|None
167459|169|1454|146.468|269.47|88.31|None|1|None|None|None
167460|169|1455|194.946|242.59|61.24|None|1|None|None|None
167461|169|1458|180.67|260.5|79.1|None|None|None|None|None
167462|169|1483|189.462|246.22|64.87|None|1|None|None|None
167463|169|35443|168.886|237.54|56.43|None|1|None|None|None
167464|169|35444|168.886|237.54|56.43|None|1|None|None|None
167465|169|1484|168.886|237.54|56.43|None|1|None|None|None
167466|169|1486|140.921|277.4|96.29|None|None|None|None|None
167467|169|35445|193.159|246.2|64.82|None|1|None|None|None
