# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
170|White River, Mount Hood|2021-01-12 19:50:54|2021-01-12 20:01:02|45.351|-121.7|1.8|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|5.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
464|170|174|Confirmed D2 - D2.5 snow avalanche in White River Drainage by Mount Hood Ski Patrol (Thelen, written commun., 2021). The D-scale represents a snow avalanche's destructive potential and ranges from 1 to 5, with D5 being the most destructive. Location uncertainty ranges throughout the majority of White River Drainage.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
831|170|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/170_WhiteRiverMountHood_12Jan2021/photos_figures/170_WhiteRiverMountHood_12Jan2021_waveforms_raw.png|None
832|170|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/170_WhiteRiverMountHood_12Jan2021/photos_figures/170_WhiteRiverMountHood_12Jan2021_waveforms_1-5Hz.png|None
833|170|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/170_WhiteRiverMountHood_12Jan2021/photos_figures/170_WhiteRiverMountHood_12Jan2021_spectrogram.png|None
834|170|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/170_WhiteRiverMountHood_12Jan2021/photos_figures/170_WhiteRiverMountHood_12Jan2021_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
176276|170|2712|172.094|171.08|351.31|None|None|None|None|None
176277|170|2713|172.094|171.08|351.31|None|None|None|None|None
176278|170|2714|172.094|171.08|351.31|None|None|None|None|None
176279|170|34596|5.657|353.3|173.29|None|None|None|None|None
176280|170|34597|5.657|353.3|173.29|None|None|None|None|None
176281|170|34598|5.657|353.3|173.29|None|None|None|None|None
176282|170|25962|183.517|352.73|172.51|None|None|None|None|None
176283|170|25963|183.517|352.73|172.51|None|None|None|None|None
176284|170|25964|183.517|352.73|172.51|None|None|None|None|None
176285|170|2715|183.117|165.96|346.35|None|None|None|None|None
176286|170|2716|183.117|165.96|346.35|None|None|None|None|None
176287|170|2717|183.117|165.96|346.35|None|None|None|None|None
176288|170|2720|184.78|168.25|348.58|None|None|None|None|None
176289|170|2721|184.78|168.25|348.58|None|None|None|None|None
176290|170|2722|184.78|168.25|348.58|None|None|None|None|None
176291|170|25965|183.088|353.77|173.58|None|None|None|None|None
176292|170|25966|183.088|353.77|173.58|None|None|None|None|None
176293|170|25967|183.088|353.77|173.58|None|None|None|None|None
176294|170|34599|155.317|353.88|173.72|None|None|None|None|None
176295|170|34600|155.317|353.88|173.72|None|None|None|None|None
176296|170|34601|155.317|353.88|173.72|None|None|None|None|None
176297|170|34602|12.584|318.1|138.03|None|None|None|None|None
176298|170|34603|12.584|318.1|138.03|None|None|None|None|None
176299|170|34604|12.584|318.1|138.03|None|None|None|None|None
176300|170|36870|137.368|184.99|4.89|None|None|None|None|None
176301|170|36871|137.368|184.99|4.89|None|None|None|None|None
176302|170|36872|137.368|184.99|4.89|None|None|None|None|None
176303|170|34605|110.345|338.78|158.4|None|None|None|None|None
176304|170|34606|110.345|338.78|158.4|None|None|None|None|None
176305|170|34607|110.345|338.78|158.4|None|None|None|None|None
176306|170|34608|153.791|355.51|175.4|None|None|None|None|None
176307|170|34609|153.791|355.51|175.4|None|None|None|None|None
176308|170|34610|153.791|355.51|175.4|None|None|None|None|None
176309|170|36873|180.298|170.01|350.29|None|None|None|None|None
176310|170|36874|180.298|170.01|350.29|None|None|None|None|None
176311|170|36875|180.298|170.01|350.29|None|None|None|None|None
176312|170|34611|4.256|76.99|257.02|None|0|None|None|None
176313|170|34612|4.256|76.99|257.02|None|0|None|None|None
176314|170|34613|4.256|76.99|257.02|None|0|None|None|None
176315|170|2729|182.627|168.62|348.93|None|None|None|None|None
176316|170|2730|182.627|168.62|348.93|None|None|None|None|None
176317|170|2731|182.627|168.62|348.93|None|None|None|None|None
176318|170|79|172.377|357.08|176.99|None|None|None|None|None
176319|170|80|172.377|357.08|176.99|None|None|None|None|None
176320|170|81|172.377|357.08|176.99|None|None|None|None|None
176321|170|34617|153.749|3.67|183.77|None|None|None|None|None
176322|170|34618|153.749|3.67|183.77|None|None|None|None|None
176323|170|34619|153.749|3.67|183.77|None|None|None|None|None
176324|170|34620|0.947|332.74|152.73|None|1|None|None|None
176325|170|34621|0.947|332.74|152.73|None|1|None|None|None
176326|170|34622|0.947|332.74|152.73|None|1|None|None|None
176327|170|82|167.678|1.5|181.54|None|None|None|None|None
176328|170|83|167.678|1.5|181.54|None|None|None|None|None
176329|170|84|167.678|1.5|181.54|None|None|None|None|None
176330|170|34626|159.587|358.84|178.81|None|None|None|None|None
176331|170|34627|159.587|358.84|178.81|None|None|None|None|None
