# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
172|Crater Rock, Mount Hood|2020-01-26 13:02:46|2020-01-26 13:04:53|45.3691|-121.7007|0.3|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|34.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
513|172|174|Confirmed snow avalanche near Crater Rock, Mount Hood based on photographic evidence. General location and confirmation provided by Thelen (2021, written commun.).|1345|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
752|172|Weston Thelen|Spectrograms provided by Wes Thelen.|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_source-WestonThelen_1.png|None
839|172|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_waveforms_raw.png|None
840|172|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_waveforms_1-5Hz.png|None
841|172|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_spectrogram.png|None
842|172|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_spectra.png|None
1345|172|Weston Thelen|Photograph of snow avalanche provided by Wes Thelen.|None|None|None|EventData/172_CraterRockMountHood_26Jan2020/photos_figures/172_CraterRockMountHood_26Jan2020_source-WestonThelen_7.jpg|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
174567|172|2712|174.09|171.17|351.4|None|None|None|None|None
174568|172|2713|174.09|171.17|351.4|None|None|None|None|None
174569|172|2714|174.09|171.17|351.4|None|None|None|None|None
174570|172|25962|181.515|352.66|172.44|None|None|None|None|None
174571|172|25963|181.515|352.66|172.44|None|None|None|None|None
174572|172|25964|181.515|352.66|172.44|None|None|None|None|None
174573|172|36079|67.74|293.66|113.09|None|None|None|None|None
174574|172|36080|67.74|293.66|113.09|None|None|None|None|None
174575|172|36081|67.74|293.66|113.09|None|None|None|None|None
174576|172|2715|185.083|166.1|346.48|None|None|None|None|None
174577|172|2716|185.083|166.1|346.48|None|None|None|None|None
174578|172|2717|185.083|166.1|346.48|None|None|None|None|None
174579|172|2720|186.761|168.36|348.69|None|None|None|None|None
174580|172|2721|186.761|168.36|348.69|None|None|None|None|None
174581|172|2722|186.761|168.36|348.69|None|None|None|None|None
174582|172|34602|11.127|311.38|131.3|None|None|None|None|None
174583|172|34603|11.127|311.38|131.3|None|None|None|None|None
174584|172|34604|11.127|311.38|131.3|None|None|None|None|None
174585|172|36870|139.367|184.9|4.79|None|None|None|None|None
174586|172|36871|139.367|184.9|4.79|None|None|None|None|None
174587|172|36872|139.367|184.9|4.79|None|None|None|None|None
174588|172|76|108.421|338.43|158.06|None|None|None|None|None
174589|172|77|108.421|338.43|158.06|None|None|None|None|None
174590|172|78|108.421|338.43|158.06|None|None|None|None|None
174591|172|36873|182.289|170.11|350.38|None|None|None|None|None
174592|172|36874|182.289|170.11|350.38|None|None|None|None|None
174593|172|36875|182.289|170.11|350.38|None|None|None|None|None
174594|172|2729|184.61|168.72|349.04|None|None|None|None|None
174595|172|2730|184.61|168.72|349.04|None|None|None|None|None
174596|172|2731|184.61|168.72|349.04|None|None|None|None|None
174597|172|79|170.365|357.06|176.98|None|None|None|None|None
174598|172|80|170.365|357.06|176.98|None|None|None|None|None
174599|172|81|170.365|357.06|176.98|None|None|None|None|None
174600|172|34620|1.23|197.95|17.94|None|1|None|None|None
174601|172|34621|1.23|197.95|17.94|None|1|None|None|None
174602|172|34622|1.23|197.95|17.94|None|1|None|None|None
174603|172|82|165.669|1.53|181.57|None|None|None|None|None
174604|172|83|165.669|1.53|181.57|None|None|None|None|None
174605|172|84|165.669|1.53|181.57|None|None|None|None|None
174606|172|36088|67.74|293.66|113.09|None|None|None|None|None
174607|172|36089|67.74|293.66|113.09|None|None|None|None|None
174608|172|36090|67.74|293.66|113.09|None|None|None|None|None
174609|172|24385|173.255|351.48|171.24|None|None|None|None|None
174610|172|24386|173.255|351.48|171.24|None|None|None|None|None
174611|172|24387|173.255|351.48|171.24|None|None|None|None|None
174612|172|24388|174.286|351.25|171.0|None|None|None|None|None
174613|172|24389|174.286|351.25|171.0|None|None|None|None|None
174614|172|24390|174.286|351.25|171.0|None|None|None|None|None
174615|172|24391|172.466|351.57|171.33|None|None|None|None|None
174616|172|24392|172.466|351.57|171.33|None|None|None|None|None
174617|172|24393|172.466|351.57|171.33|None|None|None|None|None
174618|172|24394|174.892|352.8|172.59|None|None|None|None|None
174619|172|24395|174.892|352.8|172.59|None|None|None|None|None
174620|172|24396|174.892|352.8|172.59|None|None|None|None|None
174621|172|24397|164.808|353.4|173.22|None|None|None|None|None
174622|172|24398|164.808|353.4|173.22|None|None|None|None|None
174623|172|24399|164.808|353.4|173.22|None|None|None|None|None
174624|172|491|130.493|189.23|9.05|None|None|None|None|None
174625|172|492|130.493|189.23|9.05|None|None|None|None|None
174626|172|493|130.493|189.23|9.05|None|None|None|None|None
174627|172|34629|99.771|337.97|157.62|None|None|None|None|None
