# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
174|Reid Glacier, Mount Hood|2021-02-24 03:49:14|2021-02-24 03:54:48|45.3697|-121.7295|0.35|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|10.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
463|174|175|This D4/R4, 700 m long snow avalanche on Reid Glacier, Mount Hood was confirmed by Micah Hoover (Hoover, written commun., 2021). The D-scale represents a snow avalanche's destructive potential and ranges from 1 to 5, with D5 being the most destructive. The R-scale represents a snow avalanche's relative size and ranges from 1 to 5, with R5 being the largest, relative to its path.|754|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
754|174|Micah Hoover|Photos of the avalanche crown, taken and edited by Micah Hoover.|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_source-MicahHoover_1.jpg|None
847|174|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_waveforms_raw.png|None
848|174|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_waveforms_1-5Hz.png|None
849|174|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_spectrogram.png|None
850|174|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_spectra.png|None
1320|174|Micah Hoover|Photos of the avalanche crown, taken and edited by Micah Hoover.|None|None|None|EventData/174_ReidGlacierMountHood_24Feb2021/photos_figures/174_ReidGlacierMountHood_24Feb2021_source-MicahHoover_7.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
175|174|None|Hoover, M., 2021, written communication.|Hoover (written commun., 2021)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
175363|174|2712|174.517|170.42|350.67|None|None|None|None|None
175364|174|2713|174.517|170.42|350.67|None|None|None|None|None
175365|174|2714|174.517|170.42|350.67|None|None|None|None|None
175366|174|34596|3.906|24.99|205.0|None|1|None|None|None
175367|174|34597|3.906|24.99|205.0|None|1|None|None|None
175368|174|34598|3.906|24.99|205.0|None|1|None|None|None
175369|174|25962|181.174|353.35|173.15|None|None|None|None|None
175370|174|25963|181.174|353.35|173.15|None|None|None|None|None
175371|174|25964|181.174|353.35|173.15|None|None|None|None|None
175372|174|2715|185.703|165.41|345.81|None|None|None|None|None
175373|174|2716|185.703|165.41|345.81|None|None|None|None|None
175374|174|2717|185.703|165.41|345.81|None|None|None|None|None
175375|174|2720|187.295|167.67|348.02|None|None|None|None|None
175376|174|2721|187.295|167.67|348.02|None|None|None|None|None
175377|174|2722|187.295|167.67|348.02|None|None|None|None|None
175378|174|25965|180.782|354.41|174.24|None|None|None|None|None
175379|174|25966|180.782|354.41|174.24|None|None|None|None|None
175380|174|25967|180.782|354.41|174.24|None|None|None|None|None
175381|174|34599|153.018|354.63|174.5|None|None|None|None|None
175382|174|34600|153.018|354.63|174.5|None|None|None|None|None
175383|174|34601|153.018|354.63|174.5|None|None|None|None|None
175384|174|34602|9.499|320.09|140.03|None|1|None|None|None
175385|174|34603|9.499|320.09|140.03|None|1|None|None|None
175386|174|34604|9.499|320.09|140.03|None|1|None|None|None
175387|174|36870|139.26|183.95|3.87|None|None|None|None|None
175388|174|36871|139.26|183.95|3.87|None|None|None|None|None
175389|174|36872|139.26|183.95|3.87|None|None|None|None|None
175390|174|34605|107.579|339.5|159.15|None|None|None|None|None
175391|174|34606|107.579|339.5|159.15|None|None|None|None|None
175392|174|34607|107.579|339.5|159.15|None|None|None|None|None
175393|174|34608|151.553|356.3|176.21|None|None|None|None|None
175394|174|34609|151.553|356.3|176.21|None|None|None|None|None
175395|174|34610|151.553|356.3|176.21|None|None|None|None|None
175396|174|36873|182.756|169.39|349.69|None|None|None|None|None
175397|174|36874|182.756|169.39|349.69|None|None|None|None|None
175398|174|36875|182.756|169.39|349.69|None|None|None|None|None
175399|174|34611|6.554|99.82|279.88|None|0|None|None|None
175400|174|34612|6.554|99.82|279.88|None|0|None|None|None
175401|174|34613|6.554|99.82|279.88|None|0|None|None|None
175402|174|2729|185.13|168.02|348.36|None|None|None|None|None
175403|174|2730|185.13|168.02|348.36|None|None|None|None|None
175404|174|2731|185.13|168.02|348.36|None|None|None|None|None
175405|174|79|170.197|357.8|177.74|None|None|None|None|None
175406|174|80|170.197|357.8|177.74|None|None|None|None|None
175407|174|81|170.197|357.8|177.74|None|None|None|None|None
175408|174|34617|151.842|4.57|184.69|None|None|None|None|None
175409|174|34618|151.842|4.57|184.69|None|None|None|None|None
175410|174|34619|151.842|4.57|184.69|None|None|None|None|None
175411|174|34620|2.248|123.36|303.38|None|1|None|None|None
175412|174|34621|2.248|123.36|303.38|None|1|None|None|None
175413|174|34622|2.248|123.36|303.38|None|1|None|None|None
175414|174|82|165.677|2.29|182.35|None|None|None|None|None
175415|174|83|165.677|2.29|182.35|None|None|None|None|None
175416|174|84|165.677|2.29|182.35|None|None|None|None|None
175417|174|34626|157.478|359.65|179.64|None|None|None|None|None
175418|174|34627|157.478|359.65|179.64|None|None|None|None|None
175419|174|34628|157.478|359.65|179.64|None|None|None|None|None
175420|174|24385|172.869|352.2|171.97|None|None|None|None|None
175421|174|24386|172.869|352.2|171.97|None|None|None|None|None
175422|174|24387|172.869|352.2|171.97|None|None|None|None|None
175423|174|24388|173.89|351.96|171.73|None|None|None|None|None
175424|174|24389|173.89|351.96|171.73|None|None|None|None|None
175425|174|24390|173.89|351.96|171.73|None|None|None|None|None
175426|174|24391|172.083|352.28|172.07|None|None|None|None|None
175427|174|24392|172.083|352.28|172.07|None|None|None|None|None
175428|174|24393|172.083|352.28|172.07|None|None|None|None|None
175429|174|24394|174.557|353.51|173.32|None|None|None|None|None
175430|174|24395|174.557|353.51|173.32|None|None|None|None|None
