# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
175|Mount Rainier|2019-09-27 00:43:20|2019-09-27 01:29:22|46.8191|-121.81|3.0|None|None|None|None|debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|8.0|1|8.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
468|175|174|Debris flow event reported by Thelen (2021, written commun.). Location based near headwaters of Tahoma Creek with a 3 km uncertainty which spans over other tributaries and further downstream.|None|None|None
522|175|217|A debris flow on Mount Rainier was reported on September 27, 2019 at 00:49:30 UTC by Scott Beason (Beason, 2022).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
851|175|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/175_MountRainier_27Sep2019/photos_figures/175_MountRainier_27Sep2019_waveforms_raw.png|None
852|175|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/175_MountRainier_27Sep2019/photos_figures/175_MountRainier_27Sep2019_waveforms_1-5Hz.png|None
853|175|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/175_MountRainier_27Sep2019/photos_figures/175_MountRainier_27Sep2019_spectrogram.png|None
854|175|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/175_MountRainier_27Sep2019/photos_figures/175_MountRainier_27Sep2019_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
217|175|None|Beason, S.R., 2022, September 26 2019 Tahoma Creek Debris Flow [Report]: Mount Rainier Geology and Weather, Acessed 13 Jan 2022, at https://www.morageology.com/geoEvent.php?eid=149|Beason (2022)|None|https://www.morageology.com/geoEvent.php?eid=149

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
178737|175|24403|75.031|177.72|357.75|None|None|None|None|None
178738|175|24404|75.031|177.72|357.75|None|None|None|None|None
178739|175|24405|75.031|177.72|357.75|None|None|None|None|None
178740|175|25962|23.991|321.71|141.57|0|None|None|None|None
178741|175|25963|23.991|321.71|141.57|0|None|None|None|None
178742|175|25964|23.991|321.71|141.57|0|None|None|None|None
178743|175|76|68.081|207.5|27.2|None|None|None|None|None
178744|175|77|68.081|207.5|27.2|None|None|None|None|None
178745|175|78|68.081|207.5|27.2|None|None|None|None|None
178746|175|79|8.972|357.41|177.4|0|None|None|None|None
178747|175|80|8.972|357.41|177.4|0|None|None|None|None
178748|175|81|8.972|357.41|177.4|0|None|None|None|None
178749|175|82|13.518|70.78|250.91|0|None|None|None|None
178750|175|83|13.518|70.78|250.91|0|None|None|None|None
178751|175|84|13.518|70.78|250.91|0|None|None|None|None
178752|175|24385|20.086|300.33|120.16|None|None|None|None|None
178753|175|24386|20.086|300.33|120.16|None|None|None|None|None
178754|175|24387|20.086|300.33|120.16|None|None|None|None|None
178755|175|24388|21.276|301.31|121.13|None|None|None|None|None
178756|175|24389|21.276|301.31|121.13|None|None|None|None|None
178757|175|24390|21.276|301.31|121.13|None|None|None|None|None
178758|175|24391|19.397|298.98|118.82|None|None|None|None|None
178759|175|24392|19.397|298.98|118.82|None|None|None|None|None
178760|175|24393|19.397|298.98|118.82|None|None|None|None|None
178761|175|24394|18.345|312.17|132.04|None|None|None|None|None
178762|175|24395|18.345|312.17|132.04|None|None|None|None|None
178763|175|24396|18.345|312.17|132.04|None|None|None|None|None
178764|175|24397|10.889|283.41|103.3|None|None|None|None|None
178765|175|24398|10.889|283.41|103.3|None|None|None|None|None
178766|175|24399|10.889|283.41|103.3|None|None|None|None|None
178767|175|34629|74.59|202.87|22.59|None|None|None|None|None
178768|175|34630|74.59|202.87|22.59|None|None|None|None|None
178769|175|34631|74.59|202.87|22.59|None|None|None|None|None
178770|175|25968|13.861|312.38|132.28|0|None|None|None|None
178771|175|25969|13.861|312.38|132.28|0|None|None|None|None
178772|175|25970|13.861|312.38|132.28|0|None|None|None|None
178773|175|34632|74.793|203.14|22.87|None|None|None|None|None
178774|175|34633|74.793|203.14|22.87|None|None|None|None|None
178775|175|34634|74.793|203.14|22.87|None|None|None|None|None
178776|175|25971|12.15|295.95|115.84|0|None|None|None|None
178777|175|25972|12.15|295.95|115.84|0|None|None|None|None
178778|175|25973|12.15|295.95|115.84|0|None|None|None|None
178779|175|88|72.02|206.32|26.02|None|None|None|None|None
178780|175|89|72.02|206.32|26.02|None|None|None|None|None
178781|175|90|72.02|206.32|26.02|None|None|None|None|None
178782|175|24820|72.741|202.86|22.6|None|None|None|None|None
178783|175|24821|72.741|202.86|22.6|None|None|None|None|None
178784|175|24822|72.741|202.86|22.6|None|None|None|None|None
178785|175|92|77.77|203.82|23.53|None|None|None|None|None
178786|175|93|77.77|203.82|23.53|None|None|None|None|None
178787|175|94|77.77|203.82|23.53|None|None|None|None|None
178788|175|95|73.267|203.54|23.27|None|None|None|None|None
178789|175|96|73.267|203.54|23.27|None|None|None|None|None
178790|175|97|73.267|203.54|23.27|None|None|None|None|None
178791|175|25974|21.036|321.15|141.02|None|None|None|None|None
178792|175|25975|21.036|321.15|141.02|None|None|None|None|None
178793|175|25976|21.036|321.15|141.02|None|None|None|None|None
178794|175|19226|93.517|335.99|155.62|None|None|None|None|None
178795|175|19227|93.517|335.99|155.62|None|None|None|None|None
178796|175|19228|93.517|335.99|155.62|None|None|None|None|None
178797|175|19232|88.635|336.33|155.98|None|None|None|None|None
