# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
176|Carbon Glacier, Mount Rainier|2020-04-09 13:28:41|2020-04-09 13:29:54|46.8676|-121.7765|0.3|46.7204|-121.7795|None|None|snow avalanche|100000.0|None|None|None|None|None|None|None|None|None|None|None|None|1600.0|1300.0|2300.0|None|None|None|None|None|None|None|None|None|None|3|0|None|None|23.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
413|176|176|Total area and L values were estimated by comparing time lapse footage found on Facebook from Burrell (video, 2020) against reference points in Google Earth and therefore have high uncertainty.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
855|176|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/176_CarbonGlacierMountRainier_09Apr2020/photos_figures/176_CarbonGlacierMountRainier_09Apr2020_waveforms_raw.png|None
856|176|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/176_CarbonGlacierMountRainier_09Apr2020/photos_figures/176_CarbonGlacierMountRainier_09Apr2020_waveforms_1-5Hz.png|None
857|176|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/176_CarbonGlacierMountRainier_09Apr2020/photos_figures/176_CarbonGlacierMountRainier_09Apr2020_spectrogram.png|None
858|176|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/176_CarbonGlacierMountRainier_09Apr2020/photos_figures/176_CarbonGlacierMountRainier_09Apr2020_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
176|176|None|Burrell, J., 9 Apr 2020, [Video]: Facebook, Accessed 26 Aug 2021, at https://www.facebook.com/100003168843736/videos/2824127924369475/|Burrell (video, 2020)|None|https://www.facebook.com/100003168843736/videos/2824127924369475/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
168395|176|25962|22.001|307.67|127.51|None|0|None|None|None
168396|176|25963|22.001|307.67|127.51|None|0|None|None|None
168397|176|25964|22.001|307.67|127.51|None|0|None|None|None
168398|176|36079|150.309|201.93|21.41|None|None|None|None|None
168399|176|36080|150.309|201.93|21.41|None|None|None|None|None
168400|176|36081|150.309|201.93|21.41|None|None|None|None|None
168401|176|34602|159.232|180.87|0.85|None|None|None|None|None
168402|176|34603|159.232|180.87|0.85|None|None|None|None|None
168403|176|34604|159.232|180.87|0.85|None|None|None|None|None
168404|176|76|74.044|207.35|27.03|None|None|None|None|None
168405|176|77|74.044|207.35|27.03|None|None|None|None|None
168406|176|78|74.044|207.35|27.03|None|None|None|None|None
168407|176|79|4.638|320.36|140.33|None|1|None|None|None
168408|176|80|4.638|320.36|140.33|None|1|None|None|None
168409|176|81|4.638|320.36|140.33|None|1|None|None|None
168410|176|34620|167.823|178.1|358.15|None|None|None|None|None
168411|176|34621|167.823|178.1|358.15|None|None|None|None|None
168412|176|34622|167.823|178.1|358.15|None|None|None|None|None
168413|176|82|10.254|95.3|275.4|None|1|None|None|None
168414|176|83|10.254|95.3|275.4|None|1|None|None|None
168415|176|84|10.254|95.3|275.4|None|1|None|None|None
168416|176|36088|150.309|201.93|21.41|None|None|None|None|None
168417|176|36089|150.309|201.93|21.41|None|None|None|None|None
168418|176|36090|150.309|201.93|21.41|None|None|None|None|None
168419|176|24385|20.45|283.46|103.27|None|1|None|None|None
168420|176|24386|20.45|283.46|103.27|None|1|None|None|None
168421|176|24387|20.45|283.46|103.27|None|1|None|None|None
168422|176|24388|21.491|285.3|105.11|None|0|None|None|None
168423|176|24389|21.491|285.3|105.11|None|0|None|None|None
168424|176|24390|21.491|285.3|105.11|None|0|None|None|None
168425|176|24391|19.929|281.62|101.44|None|0|None|None|None
168426|176|24392|19.929|281.62|101.44|None|0|None|None|None
168427|176|24393|19.929|281.62|101.44|None|0|None|None|None
168428|176|24394|17.572|293.23|113.08|None|1|None|None|None
168429|176|24395|17.572|293.23|113.08|None|1|None|None|None
168430|176|24396|17.572|293.23|113.08|None|1|None|None|None
168431|176|24397|13.456|257.72|77.59|None|None|None|None|None
168432|176|24398|13.456|257.72|77.59|None|None|None|None|None
168433|176|24399|13.456|257.72|77.59|None|None|None|None|None
168434|176|34629|80.551|203.07|22.78|None|None|None|None|None
168435|176|34630|80.551|203.07|22.78|None|None|None|None|None
168436|176|34631|80.551|203.07|22.78|None|None|None|None|None
168437|176|25968|13.39|287.18|107.06|None|0|None|None|None
168438|176|25969|13.39|287.18|107.06|None|0|None|None|None
168439|176|25970|13.39|287.18|107.06|None|0|None|None|None
168440|176|34632|80.755|203.33|23.03|None|None|None|None|None
168441|176|34633|80.755|203.33|23.03|None|None|None|None|None
168442|176|34634|80.755|203.33|23.03|None|None|None|None|None
168443|176|10010|157.15|172.92|353.1|None|None|None|None|None
168444|176|10011|157.15|172.92|353.1|None|None|None|None|None
168445|176|10012|157.15|172.92|353.1|None|None|None|None|None
168446|176|25971|13.479|269.7|89.57|None|1|None|None|None
168447|176|25972|13.479|269.7|89.57|None|1|None|None|None
168448|176|25973|13.479|269.7|89.57|None|1|None|None|None
168449|176|88|77.986|206.27|25.94|None|None|None|None|None
168450|176|89|77.986|206.27|25.94|None|None|None|None|None
168451|176|90|77.986|206.27|25.94|None|None|None|None|None
168452|176|24820|78.702|203.08|22.79|None|None|None|None|None
168453|176|24821|78.702|203.08|22.79|None|None|None|None|None
168454|176|24822|78.702|203.08|22.79|None|None|None|None|None
168455|176|92|83.735|203.95|23.63|None|None|None|None|None
