# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
178|Tahoma Creek, Mount Rainier|2019-08-06 01:44:32|2019-08-06 03:12:34|46.8191|-121.81|0.2|46.8191|-121.81|None|None|outburst flood, debris flow|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|13.0|1|18.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
466|178|177|Location based off images of outburst flood initiation point distributed by the Mount Rainier National Park Service via Flickr.|None|None|None
467|178|178|"Scott’s initial hypothesis that this was a catastrophic change that then rapidly incised into debris-covered stagnant ice and ground-cored moraine just downstream and between bedrock “steps” below the glacier. Once it had enough momentum, it then rapidly bulked up into little ice age ground moraine several km’s below the terminus. The run out ended about 6.5 – 7 km’s downstream where the boulder fields were deposited." - Quote from Petley (2019) referencing Scott Beason, Mount Rainier NPS - Park Geologist.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
859|178|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/178_TahomaCreekMountRainier_06Aug2019/photos_figures/178_TahomaCreekMountRainier_06Aug2019_waveforms_raw.png|None
860|178|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/178_TahomaCreekMountRainier_06Aug2019/photos_figures/178_TahomaCreekMountRainier_06Aug2019_waveforms_1-5Hz.png|None
861|178|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/178_TahomaCreekMountRainier_06Aug2019/photos_figures/178_TahomaCreekMountRainier_06Aug2019_spectrogram.png|None
862|178|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/178_TahomaCreekMountRainier_06Aug2019/photos_figures/178_TahomaCreekMountRainier_06Aug2019_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
177|178|None|Mount Rainier National Park Service, 6 Aug 2019, Tahoma Creek Debris Flow, August 5, 2019 [Photos]: Flickr, Accessed 27 Aug 2021, at https://www.flickr.com/photos/mountrainiernps/sets/72157710161403356/|Mount Rainier NPS (2019)|None|https://www.flickr.com/photos/mountrainiernps/sets/72157710161403356/
178|178|None|Petley, D., 8 Aug 2019, The Landslide Blog, The South Tahoma Glacier/Tahoma Creek Outburst Flood & Debris Flow on 5th August 2019 [Blog Post], Accessed 27 Aug 2021, at https://blogs.agu.org/landslideblog/2019/08/08/the-south-tahoma-glacier-tahoma-creek-outburst-flood-debris-flow-on-5th-august-2019/|Petley (2019)|None|https://blogs.agu.org/landslideblog/2019/08/08/the-south-tahoma-glacier-tahoma-creek-outburst-flood-debris-flow-on-5th-august-2019/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
169772|178|79|8.972|357.41|177.4|0|0|None|None|None
169773|178|80|8.972|357.41|177.4|0|0|None|None|None
169774|178|81|8.972|357.41|177.4|0|0|None|None|None
169775|178|82|13.518|70.78|250.91|0|1|None|None|None
169776|178|83|13.518|70.78|250.91|0|1|None|None|None
169777|178|84|13.518|70.78|250.91|0|1|None|None|None
169778|178|24391|19.397|298.98|118.82|0|None|None|None|None
169779|178|24392|19.397|298.98|118.82|0|None|None|None|None
169780|178|24393|19.397|298.98|118.82|0|None|None|None|None
169781|178|24394|18.345|312.17|132.04|0|None|None|None|None
169782|178|24395|18.345|312.17|132.04|0|None|None|None|None
169783|178|24396|18.345|312.17|132.04|0|None|None|None|None
169784|178|24397|10.889|283.41|103.3|0|1|None|None|None
169785|178|24398|10.889|283.41|103.3|0|1|None|None|None
169786|178|24399|10.889|283.41|103.3|0|1|None|None|None
169787|178|25968|13.861|312.38|132.28|0|1|None|None|None
169788|178|25969|13.861|312.38|132.28|0|1|None|None|None
169789|178|25970|13.861|312.38|132.28|0|1|None|None|None
169790|178|25971|12.15|295.95|115.84|1|1|None|None|None
169791|178|25972|12.15|295.95|115.84|1|1|None|None|None
169792|178|25973|12.15|295.95|115.84|1|1|None|None|None
169793|178|25018|17.26|37.67|217.77|0|1|None|None|None
169794|178|25019|17.26|37.67|217.77|0|1|None|None|None
169795|178|25020|17.26|37.67|217.77|0|1|None|None|None
169796|178|143|7.615|179.77|359.77|0|1|None|None|None
169797|178|19684|7.615|179.77|359.77|0|0|None|None|None
169798|178|19685|7.615|179.77|359.77|0|0|None|None|None
169799|178|19686|7.615|179.77|359.77|0|0|None|None|None
169800|178|35130|7.615|179.77|359.77|0|1|None|None|None
169801|178|35131|7.615|179.77|359.77|0|1|None|None|None
169802|178|35132|7.615|179.77|359.77|0|1|None|None|None
169803|178|25142|6.158|72.6|252.65|0|0|None|None|None
169804|178|25143|6.158|72.6|252.65|0|0|None|None|None
169805|178|25144|6.158|72.6|252.65|0|0|None|None|None
169806|178|161|8.258|45.83|225.89|0|0|None|None|None
169807|178|162|2.452|269.88|89.86|1|1|None|None|None
169808|178|163|18.699|318.05|137.93|None|None|None|None|None
169809|178|169|3.762|20.22|200.24|0|0|None|None|None
169810|178|170|3.762|20.22|200.24|0|0|None|None|None
169811|178|171|3.762|20.22|200.24|0|0|None|None|None
169812|178|20122|3.762|20.22|200.24|0|0|None|None|None
169813|178|25962|23.991|321.71|141.57|0|None|None|None|None
169814|178|25963|23.991|321.71|141.57|0|None|None|None|None
169815|178|25964|23.991|321.71|141.57|0|None|None|None|None
169816|178|24385|20.086|300.33|120.16|0|None|None|None|None
169817|178|24386|20.086|300.33|120.16|0|None|None|None|None
169818|178|24387|20.086|300.33|120.16|0|None|None|None|None
169819|178|24388|21.276|301.31|121.13|0|None|None|None|None
169820|178|24389|21.276|301.31|121.13|0|None|None|None|None
169821|178|24390|21.276|301.31|121.13|0|None|None|None|None
169822|178|23051|36.799|345.43|165.34|None|None|None|None|None
169823|178|23052|36.799|345.43|165.34|None|None|None|None|None
169824|178|23053|36.799|345.43|165.34|None|None|None|None|None
169825|178|23054|37.364|344.01|163.91|None|None|None|None|None
169826|178|23055|37.364|344.01|163.91|None|None|None|None|None
169827|178|23058|51.021|1.94|181.96|None|None|None|None|None
169828|178|23059|51.021|1.94|181.96|None|None|None|None|None
169829|178|23060|51.021|1.94|181.96|None|None|None|None|None
169830|178|20761|56.671|236.36|55.91|None|None|None|None|None
169831|178|20762|56.671|236.36|55.91|None|None|None|None|None
169832|178|20763|56.671|236.36|55.91|None|None|None|None|None
169833|178|116|36.314|301.04|120.74|None|None|None|None|None
169834|178|117|36.314|301.04|120.74|None|None|None|None|None
169835|178|118|36.314|301.04|120.74|None|None|None|None|None
169836|178|135|43.109|305.16|124.82|None|None|None|None|None
169837|178|19541|43.109|305.16|124.82|None|None|None|None|None
169838|178|19542|43.109|305.16|124.82|None|None|None|None|None
169839|178|19543|43.109|305.16|124.82|None|None|None|None|None
169840|178|141|49.419|216.87|36.59|None|None|None|None|None
169841|178|24478|56.477|317.55|137.18|None|None|None|None|None
169842|178|24479|56.477|317.55|137.18|None|None|None|None|None
169843|178|24480|56.477|317.55|137.18|None|None|None|None|None
169844|178|25133|48.906|311.85|131.5|None|None|None|None|None
169845|178|25134|48.906|311.85|131.5|None|None|None|None|None
169846|178|25135|48.906|311.85|131.5|None|None|None|None|None
169847|178|154|51.763|291.71|111.25|None|None|None|None|None
