# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
179|Sunset Amphitheater, Mount Rainier|2021-03-11 22:58:14|2021-03-11 22:59:19|46.8585|-121.7857|0.35|46.861|-121.7872|46.8535|-121.7991|snow avalanche|200000.0|None|None|None|None|None|None|None|None|None|600.0|None|None|1200.0|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|12.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
461|179|216|The crown, toe, L, H, and total area were roughly estimated using a photograph provided by Craig Craker (Craker, written commun., 2021) and finding corresponding locations of photo features in Google Earth.|751|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
751|179|Craig Craker|Photo of the avalanche taken by Craig Craker (Craker, written commun., 2021).|None|None|2021-03-12 10:17:01|EventData/179_SunsetAmphitheaterMountRainier_11Mar2021/photos_figures/179_SunsetAmphitheaterMountRainier_11Mar2021_source-CraigCraker_1.jpg|None
863|179|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/179_SunsetAmphitheaterMountRainier_11Mar2021/photos_figures/179_SunsetAmphitheaterMountRainier_11Mar2021_waveforms_raw.png|None
864|179|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/179_SunsetAmphitheaterMountRainier_11Mar2021/photos_figures/179_SunsetAmphitheaterMountRainier_11Mar2021_waveforms_1-5Hz.png|None
865|179|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/179_SunsetAmphitheaterMountRainier_11Mar2021/photos_figures/179_SunsetAmphitheaterMountRainier_11Mar2021_spectrogram.png|None
866|179|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/179_SunsetAmphitheaterMountRainier_11Mar2021/photos_figures/179_SunsetAmphitheaterMountRainier_11Mar2021_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
216|179|None|Craker,C., 2021, written communication.|Craker (written commun., 2021)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
178093|179|25962|22.098|310.86|130.7|None|None|None|None|None
178094|179|25963|22.098|310.86|130.7|None|None|None|None|None
178095|179|25964|22.098|310.86|130.7|None|None|None|None|None
178096|179|25965|19.649|317.24|137.11|None|None|None|None|None
178097|179|25966|19.649|317.24|137.11|None|None|None|None|None
178098|179|25967|19.649|317.24|137.11|None|None|None|None|None
178099|179|34599|16.528|217.3|37.21|None|None|None|None|None
178100|179|34600|16.528|217.3|37.21|None|None|None|None|None
178101|179|34601|16.528|217.3|37.21|None|None|None|None|None
178102|179|34605|72.823|207.25|26.93|None|None|None|None|None
178103|179|34606|72.823|207.25|26.93|None|None|None|None|None
178104|179|34607|72.823|207.25|26.93|None|None|None|None|None
178105|179|34608|15.27|201.03|20.98|None|None|None|None|None
178106|179|34609|15.27|201.03|20.98|None|None|None|None|None
178107|179|34610|15.27|201.03|20.98|None|None|None|None|None
178108|179|79|5.109|333.77|153.75|None|1|None|None|None
178109|179|80|5.109|333.77|153.75|None|1|None|None|None
178110|179|81|5.109|333.77|153.75|None|1|None|None|None
178111|179|34617|21.637|130.72|310.88|None|None|None|None|None
178112|179|34618|21.637|130.72|310.88|None|None|None|None|None
178113|179|34619|21.637|130.72|310.88|None|None|None|None|None
178114|179|82|10.912|89.66|269.76|None|1|None|None|None
178115|179|83|10.912|89.66|269.76|None|1|None|None|None
178116|179|84|10.912|89.66|269.76|None|1|None|None|None
178117|179|34626|8.672|157.45|337.48|None|1|None|None|None
178118|179|34627|8.672|157.45|337.48|None|1|None|None|None
178119|179|34628|8.672|157.45|337.48|None|1|None|None|None
178120|179|24385|20.036|286.73|106.55|None|None|None|None|None
178121|179|24386|20.036|286.73|106.55|None|None|None|None|None
178122|179|24387|20.036|286.73|106.55|None|None|None|None|None
178123|179|24388|21.114|288.45|108.26|None|None|None|None|None
178124|179|24389|21.114|288.45|108.26|None|None|None|None|None
178125|179|24390|21.114|288.45|108.26|None|None|None|None|None
178126|179|24391|19.478|284.95|104.77|None|None|None|None|None
178127|179|24392|19.478|284.95|104.77|None|None|None|None|None
178128|179|24393|19.478|284.95|104.77|None|None|None|None|None
178129|179|24394|17.368|297.21|117.06|None|None|None|None|None
178130|179|24395|17.368|297.21|117.06|None|None|None|None|None
178131|179|24396|17.368|297.21|117.06|None|None|None|None|None
178132|179|24397|12.583|261.54|81.42|None|None|None|None|None
178133|179|24398|12.583|261.54|81.42|None|None|None|None|None
178134|179|24399|12.583|261.54|81.42|None|None|None|None|None
178135|179|34629|79.346|202.89|22.6|None|None|None|None|None
178136|179|34630|79.346|202.89|22.6|None|None|None|None|None
178137|179|34631|79.346|202.89|22.6|None|None|None|None|None
178138|179|25968|13.071|292.33|112.21|None|None|None|None|None
178139|179|25969|13.071|292.33|112.21|None|None|None|None|None
178140|179|25970|13.071|292.33|112.21|None|None|None|None|None
178141|179|34632|79.549|203.15|22.85|None|None|None|None|None
178142|179|34633|79.549|203.15|22.85|None|None|None|None|None
178143|179|34634|79.549|203.15|22.85|None|None|None|None|None
178144|179|25971|12.812|274.21|94.08|None|None|None|None|None
178145|179|25972|12.812|274.21|94.08|None|None|None|None|None
178146|179|25973|12.812|274.21|94.08|None|None|None|None|None
178147|179|88|76.769|206.13|25.81|None|None|None|None|None
178148|179|89|76.769|206.13|25.81|None|None|None|None|None
178149|179|90|76.769|206.13|25.81|None|None|None|None|None
178150|179|24820|77.497|202.88|22.6|None|None|None|None|None
178151|179|24821|77.497|202.88|22.6|None|None|None|None|None
178152|179|24822|77.497|202.88|22.6|None|None|None|None|None
178153|179|92|82.526|203.79|23.47|None|None|None|None|None
178154|179|93|82.526|203.79|23.47|None|None|None|None|None
178155|179|94|82.526|203.79|23.47|None|None|None|None|None
178156|179|95|78.023|203.52|23.23|None|None|None|None|None
178157|179|96|78.023|203.52|23.23|None|None|None|None|None
