# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
17|Swift No 2 Dam|2002-04-21 13:30:27|2002-04-21 13:58:33|46.059698|-122.260326|0.0|None|None|None|None|dam failure, outburst flood|None|None|None|None|3000000.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|85.0|1|None|None|0.0|None|None|None|None|IRIS, EventData/17_SwiftNo2Dam_21Apr2002/17_SwiftNo2Dam_21Apr2002_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
172|17|65|UW reported 800 million gallons of water, Volume estimate from this value converted to cubic meters.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
616|17|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/17_SwiftNo2Dam_21Apr2002/photos_figures/17_SwiftNo2Dam_21Apr2002_waveforms_raw.png|None
617|17|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/17_SwiftNo2Dam_21Apr2002/photos_figures/17_SwiftNo2Dam_21Apr2002_waveforms_1-5Hz.png|None
618|17|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/17_SwiftNo2Dam_21Apr2002/photos_figures/17_SwiftNo2Dam_21Apr2002_spectrogram.png|None
619|17|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/17_SwiftNo2Dam_21Apr2002/photos_figures/17_SwiftNo2Dam_21Apr2002_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
52|17|None|Regan, P.J., Huhta, G., and Lagnion, W.N., 2008, Failure of swift No. 2 forebay dam: 28th Annual US Society on Dams Conference, Portland, OR 28 April-2 May 2008.|Regan and others (2008)|None|http://ussdams.com/proceedings/2008Proc/629-642.pdf
65|17|None|University of Washington Dept. of Earth and Space Sciences, 01 May 2002, Seismic records of the Swift Reservoir Power Canal collapse [BlogPost], Accessed 27 June 2017, at https://assets.pnsn.org/legacy_news/SWIFT/|University of Washington (2002)|references/University_of_Washington_2002.html|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
13591|17|2676|487.841|160.54|341.9|None|None|None|None|None
13592|17|2677|487.841|160.54|341.9|None|None|None|None|None
13593|17|2678|487.841|160.54|341.9|None|None|None|None|None
13594|17|2679|487.841|160.54|341.9|None|None|None|None|None
13595|17|2680|487.841|160.54|341.9|None|None|None|None|None
13596|17|2681|487.841|160.54|341.9|None|None|None|None|None
13597|17|24|482.202|184.46|4.15|None|None|None|None|None
13598|17|25|482.202|184.46|4.15|None|None|None|None|None
13599|17|26|482.202|184.46|4.15|None|None|None|None|None
13600|17|27|482.202|184.46|4.15|None|None|None|None|None
13601|17|28|482.202|184.46|4.15|None|None|None|None|None
13602|17|29|482.202|184.46|4.15|None|None|None|None|None
13603|17|2096|405.805|332.58|150.68|None|None|None|None|None
13604|17|2097|405.805|332.58|150.68|None|None|None|None|None
13605|17|2098|405.805|332.58|150.68|None|None|None|None|None
13606|17|482|380.763|348.45|167.67|None|None|None|None|None
13607|17|483|380.763|348.45|167.67|None|None|None|None|None
13608|17|484|380.763|348.45|167.67|None|None|None|None|None
13609|17|2099|488.708|320.53|137.36|None|None|None|None|None
13610|17|2100|488.708|320.53|137.36|None|None|None|None|None
13611|17|2101|488.708|320.53|137.36|None|None|None|None|None
13612|17|2105|334.776|344.12|163.2|None|None|None|None|None
13613|17|2106|334.776|344.12|163.2|None|None|None|None|None
13614|17|2107|334.776|344.12|163.2|None|None|None|None|None
13615|17|2111|307.324|337.96|156.81|None|None|None|None|None
13616|17|2112|307.324|337.96|156.81|None|None|None|None|None
13617|17|2113|307.324|337.96|156.81|None|None|None|None|None
13618|17|2117|301.7|343.07|162.2|None|None|None|None|None
13619|17|2118|301.7|343.07|162.2|None|None|None|None|None
13620|17|2119|301.7|343.07|162.2|None|None|None|None|None
13621|17|2120|413.121|27.64|209.58|None|None|None|None|None
13622|17|2121|413.121|27.64|209.58|None|None|None|None|None
13623|17|2122|413.121|27.64|209.58|None|None|None|None|None
13624|17|2126|435.88|338.88|157.27|None|None|None|None|None
13625|17|2127|435.88|338.88|157.27|None|None|None|None|None
13626|17|2128|435.88|338.88|157.27|None|None|None|None|None
13627|17|1692|118.988|335.77|155.31|None|None|None|None|None
13628|17|1693|118.988|335.77|155.31|None|None|None|None|None
13629|17|1694|118.988|335.77|155.31|None|None|None|None|None
13630|17|1695|119.435|336.18|155.71|None|None|None|None|None
13631|17|1696|119.435|336.18|155.71|None|None|None|None|None
13632|17|1697|119.435|336.18|155.71|None|None|None|None|None
13633|17|504|165.641|0.26|180.27|None|None|None|None|None
13634|17|505|165.641|0.26|180.27|None|None|None|None|None
13635|17|506|165.641|0.26|180.27|None|None|None|None|None
13636|17|344|2550.075|319.8|114.95|None|None|None|None|None
13637|17|437|183.153|206.92|26.18|None|None|None|None|None
13638|17|438|183.153|206.92|26.18|None|None|None|None|None
13639|17|439|183.153|206.92|26.18|None|None|None|None|None
13640|17|507|223.66|77.45|259.51|None|None|None|None|None
13641|17|508|223.66|77.45|259.51|None|None|None|None|None
13642|17|509|223.66|77.45|259.51|None|None|None|None|None
13643|17|510|223.66|77.45|259.51|None|None|None|None|None
13644|17|511|223.66|77.45|259.51|None|None|None|None|None
13645|17|512|223.66|77.45|259.51|None|None|None|None|None
13646|17|552|79.993|219.69|39.22|None|0|None|None|None
13647|17|2168|355.381|206.35|24.99|None|None|None|None|None
13648|17|553|189.696|207.33|26.55|None|None|None|None|None
13649|17|554|227.204|92.98|275.08|None|None|None|None|None
13650|17|485|335.977|193.79|13.1|None|None|None|None|None
13651|17|486|335.977|193.79|13.1|None|None|None|None|None
13652|17|487|335.977|193.79|13.1|None|None|None|None|None
13653|17|2247|234.496|196.08|15.5|None|None|None|None|None
13654|17|2248|234.496|196.08|15.5|None|None|None|None|None
13655|17|2249|234.496|196.08|15.5|None|None|None|None|None
13656|17|592|218.03|171.32|351.61|None|None|None|None|None
13657|17|593|218.03|171.32|351.61|None|None|None|None|None
13658|17|594|218.03|171.32|351.61|None|None|None|None|None
13659|17|462|272.831|155.85|336.83|None|None|None|None|None
13660|17|463|272.831|155.85|336.83|None|None|None|None|None
13661|17|464|272.831|155.85|336.83|None|None|None|None|None
