# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
180|Avalanche Gulch, Mount Shasta|2019-02-14 10:22:38|2019-02-14 10:24:30|41.3991|-122.2047|0.2|41.3991|-122.2047|41.3605|-122.2351|snow avalanche|380000.0|None|None|None|None|None|None|None|None|None|1700.0|None|None|5000.0|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|64.0|1|None|None|0.0|None|0|0.0|None|NCEDC, IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
410|180|150|H (1,700 m) and L (5 km) estimates taken from Hatchett and others (2020).|None|None|None
411|180|149|"A very large (R4/D4) natural avalanche...could have caused a sympathetic release of other avalanche slopes on Casaval Ridge, Trinity Chutes, The Heart and Sargent's Ridge terrain...Avalanche occurred during or after a short period of significant snowfall followed by rapid warming" - Quote from Mount Shasta Avalanche Center (2019)|None|None|None
412|180|149|The total area (380,000 m2) is a high estimate based off runout length and maximum width observed (250 ft or ~76.2 m).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
867|180|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/180_AvalancheGulchMountShasta_14Feb2019/photos_figures/180_AvalancheGulchMountShasta_14Feb2019_waveforms_raw.png|None
868|180|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/180_AvalancheGulchMountShasta_14Feb2019/photos_figures/180_AvalancheGulchMountShasta_14Feb2019_waveforms_1-5Hz.png|None
869|180|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/180_AvalancheGulchMountShasta_14Feb2019/photos_figures/180_AvalancheGulchMountShasta_14Feb2019_spectrogram.png|None
870|180|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/180_AvalancheGulchMountShasta_14Feb2019/photos_figures/180_AvalancheGulchMountShasta_14Feb2019_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
149|180|None|Mount Shasta Avalanche Center, Feb 2019, Very Large Natural Avalanche in Avalanche Gulch, Accessed 29 Jul 2021, at https://www.shastaavalanche.org/avalanche-observation/very-large-natural-avalanche-avalanche-gulch|Mount Shasta Avalanche Center (2019)|None|https://www.shastaavalanche.org/avalanche-observation/very-large-natural-avalanche-avalanche-gulch
150|180|None|Hatchett, B.J., Cao, Q., Dawson, P.B., Ellis, C.J., Hecht, C.W., Kawzenuk, B., Lancaster, J.T., Osborne, T.C., Wilson, A.M., Anderson, M.L., Dettinger, M.D., Kalansky, J.F., Kaplan, M.L., Lettenmaier, D.P., Oakley, N.S., Ralph, F.M., Reynolds, D.W., White, A.B., Sierks, M., and Sumargo, E., Jul 2020, Observations of an extreme atmospheric river storm with a diverse sensor network: Earth and Space Science, v. 7, no. 8, doi: https://doi.org/10.1029/2020EA001129|Hatchett and others (2020)|None|https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020EA001129

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
167863|180|35721|11.508|84.24|264.33|None|1|None|None|None
167864|180|35722|11.508|84.24|264.33|None|1|None|None|None
167865|180|35723|11.508|84.24|264.33|None|1|None|None|None
167866|180|35724|11.508|84.24|264.33|None|1|None|None|None
167867|180|35725|11.508|84.24|264.33|None|1|None|None|None
167868|180|35726|11.508|84.24|264.33|None|1|None|None|None
167869|180|35727|7.699|255.2|75.14|None|1|None|None|None
167870|180|35728|7.699|255.2|75.14|None|1|None|None|None
167871|180|35729|7.699|255.2|75.14|None|1|None|None|None
167872|180|35730|7.699|255.2|75.14|None|1|None|None|None
167873|180|35731|7.699|255.2|75.14|None|1|None|None|None
167874|180|35732|7.699|255.2|75.14|None|1|None|None|None
167875|180|35733|6.067|172.96|352.96|None|1|None|None|None
167876|180|35734|6.067|172.96|352.96|None|1|None|None|None
167877|180|35735|6.067|172.96|352.96|None|1|None|None|None
167878|180|35736|6.067|172.96|352.96|None|1|None|None|None
167879|180|35737|6.067|172.96|352.96|None|1|None|None|None
167880|180|35738|6.067|172.96|352.96|None|1|None|None|None
167881|180|1|24.578|287.88|107.69|None|1|None|None|None
167882|180|2|24.578|287.88|107.69|None|1|None|None|None
167883|180|3|24.578|287.88|107.69|None|1|None|None|None
167884|180|35742|127.267|164.4|344.66|None|None|None|None|None
167885|180|35743|127.267|164.4|344.66|None|None|None|None|None
167886|180|35744|127.267|164.4|344.66|None|None|None|None|None
167887|180|35745|127.267|164.4|344.66|None|None|None|None|None
167888|180|35746|127.267|164.4|344.66|None|None|None|None|None
167889|180|35747|127.267|164.4|344.66|None|None|None|None|None
167890|180|35748|127.267|164.4|344.66|None|None|None|None|None
167891|180|35749|127.267|164.4|344.66|None|None|None|None|None
167892|180|35750|127.267|164.4|344.66|None|None|None|None|None
167893|180|2634|198.489|192.77|12.44|None|None|None|None|None
167894|180|2635|198.489|192.77|12.44|None|None|None|None|None
167895|180|2636|198.489|192.77|12.44|None|None|None|None|None
167896|180|2637|198.489|192.77|12.44|None|None|None|None|None
167897|180|2638|198.489|192.77|12.44|None|None|None|None|None
167898|180|2639|198.489|192.77|12.44|None|None|None|None|None
167899|180|21972|198.489|192.77|12.44|None|None|None|None|None
167900|180|21973|198.489|192.77|12.44|None|None|None|None|None
167901|180|21974|198.489|192.77|12.44|None|None|None|None|None
167902|180|12|89.958|135.79|316.28|None|None|None|None|None
167903|180|13|89.958|135.79|316.28|None|None|None|None|None
167904|180|14|89.958|135.79|316.28|None|None|None|None|None
167905|180|15|89.958|135.79|316.28|None|None|None|None|None
167906|180|16|89.958|135.79|316.28|None|None|None|None|None
167907|180|17|89.958|135.79|316.28|None|None|None|None|None
167908|180|21975|89.958|135.79|316.28|None|None|None|None|None
167909|180|21976|89.958|135.79|316.28|None|None|None|None|None
167910|180|21977|89.958|135.79|316.28|None|None|None|None|None
167911|180|2084|147.933|335.34|154.84|None|None|None|None|None
167912|180|2085|147.933|335.34|154.84|None|None|None|None|None
167913|180|2086|147.933|335.34|154.84|None|None|None|None|None
167914|180|2087|147.933|335.34|154.84|None|None|None|None|None
167915|180|2088|147.933|335.34|154.84|None|None|None|None|None
167916|180|2089|147.933|335.34|154.84|None|None|None|None|None
167917|180|19211|147.933|335.34|154.84|None|None|None|None|None
167918|180|19212|147.933|335.34|154.84|None|None|None|None|None
167919|180|19213|147.933|335.34|154.84|None|None|None|None|None
167920|180|2646|166.333|247.75|66.55|None|None|None|None|None
167921|180|2647|166.333|247.75|66.55|None|None|None|None|None
167922|180|2648|166.333|247.75|66.55|None|None|None|None|None
167923|180|2649|166.333|247.75|66.55|None|None|None|None|None
167924|180|2650|166.333|247.75|66.55|None|None|None|None|None
167925|180|2651|166.333|247.75|66.55|None|None|None|None|None
167926|180|21981|166.333|247.75|66.55|None|None|None|None|None
167927|180|21982|166.333|247.75|66.55|None|None|None|None|None
167928|180|21983|166.333|247.75|66.55|None|None|None|None|None
167929|180|2676|167.991|69.93|251.2|None|None|None|None|None
167930|180|2677|167.991|69.93|251.2|None|None|None|None|None
167931|180|2678|167.991|69.93|251.2|None|None|None|None|None
167932|180|2679|167.991|69.93|251.2|None|None|None|None|None
167933|180|2680|167.991|69.93|251.2|None|None|None|None|None
167934|180|2681|167.991|69.93|251.2|None|None|None|None|None
167935|180|21993|167.991|69.93|251.2|None|None|None|None|None
167936|180|21994|167.991|69.93|251.2|None|None|None|None|None
167937|180|21995|167.991|69.93|251.2|None|None|None|None|None
167938|180|35757|144.42|200.14|19.76|None|None|None|None|None
167939|180|35758|144.42|200.14|19.76|None|None|None|None|None
167940|180|35759|144.42|200.14|19.76|None|None|None|None|None
167941|180|35760|144.42|200.14|19.76|None|None|None|None|None
