# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
182|Mount Hood Ski area|2011-03-10 14:12:24|2011-03-10 14:14:51|45.350933|-121.65988|0.05|45.36119|-121.677903|45.343758|-121.648292|snow avalanche|500000.0|400000.0|340000.0|480000.0|800000.0|400000.0|1200000.0|None|None|None|600.0|500.0|800.0|2700.0|2100.0|3200.0|None|None|None|None|None|None|None|None|None|None|3|0|None|None|33.0|1|None|None|0.0|None|None|None|None|IRIS|Steve Malone


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
416|182|153|Avalanche reported by Hood Meadows Ski area personnel to PNSN. Probably triggered by morning control work near dawn.|None|None|None
417|182|154|Size estimates made by Steve Malone based on phone descriptions, e-mail and photos|None|None|None
418|182|155|Example photos of avalanche start zone, path and debris pile|745|None|None
590|182|155|Example photos of avalanche start zone, path and debris pile|748|None|None
591|182|155|Example photos of avalanche start zone, path and debris pile|747|None|None
592|182|155|Example photos of avalanche start zone, path and debris pile|746|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
743|182|Steve Malone|Example waveforms from four stations. Control blasts can be seen on VFP.|None|None|None|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-SteveMalone_1.png|None
744|182|John Doe|Terrain map showing Hood Meadows lifts (yellow), approximate avalanche zone (pink) and 2 of 4 seismic stations (blue).|None|None|None|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-JohnDoe_3.png|None
745|182|Ski Patrol|Source zone area "Super Bowl"|None|None|2011-03-11 14:04:44|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-SkiPatrol_5.jpg|None
746|182|Ski Patrol|Part way down from above|None|None|2011-03-11 14:36:49|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-SkiPatrol_7.jpg|None
747|182|Ski Patrol|Close up of slide margin|None|None|2009-01-22 09:23:04|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-SkiPatrol_9.jpg|None
748|182|Ski Patrol|Toe debris pile and chairlift|None|None|2011-03-11 15:52:38|EventData/182_MountHoodSkiarea_10Mar2011/photos_figures/182_MountHoodSkiarea_10Mar2011_source-SkiPatrol_11.jpg|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
153|182|None|e-mail note from: Tighe Stoyanoff|Stoyanoff (written commun., 2011)|None|None
154|182|None|Malone, S.M. , 2011, personal communication.|Malone (written commun., 2011)|references/Malone_written_commun_2011.rtf|None
155|182|None|Tighe Stoyanoff & ski patrol|Stoyanoff (written commun., 2011)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
171114|182|500|4.302|246.88|66.84|None|1|None|None|None
171115|182|20782|39.009|324.89|144.69|None|None|None|None|None
171116|182|20783|39.009|324.89|144.69|None|None|None|None|None
171117|182|20784|39.009|324.89|144.69|None|None|None|None|None
171118|182|2942|29.507|114.05|294.3|None|0|None|None|None
171119|182|2943|29.507|114.05|294.3|None|0|None|None|None
171120|182|2944|29.507|114.05|294.3|None|0|None|None|None
171121|182|19388|29.507|114.05|294.3|None|0|None|None|None
171122|182|19389|29.507|114.05|294.3|None|0|None|None|None
171123|182|19390|29.507|114.05|294.3|None|0|None|None|None
171124|182|348|42.826|357.72|177.71|None|None|None|None|None
171125|182|19487|40.245|285.38|105.03|None|None|None|None|None
171126|182|19488|40.245|285.38|105.03|None|None|None|None|None
171127|182|19489|40.245|285.38|105.03|None|None|None|None|None
171128|182|616|3.263|167.58|347.59|None|1|None|None|None
171129|182|617|3.263|167.58|347.59|None|0|None|None|None
171130|182|618|3.263|167.58|347.59|None|0|None|None|None
171131|182|19604|3.263|167.58|347.59|None|1|None|None|None
171132|182|19605|3.263|167.58|347.59|None|1|None|None|None
171133|182|19606|3.263|167.58|347.59|None|1|None|None|None
171134|182|19699|49.545|112.87|293.28|None|None|None|None|None
171135|182|19700|49.545|112.87|293.28|None|None|None|None|None
171136|182|19701|49.545|112.87|293.28|None|None|None|None|None
171137|182|414|12.365|236.64|56.54|None|1|None|None|None
171138|182|420|32.804|170.06|350.11|None|1|None|None|None
171139|182|422|15.614|103.53|283.67|None|1|None|None|None
171140|182|425|12.577|352.69|172.67|None|0|None|None|None
171141|182|426|36.33|305.12|124.85|None|None|None|None|None
171142|182|19217|80.44|287.61|106.91|None|None|None|None|None
171143|182|19218|80.44|287.61|106.91|None|None|None|None|None
171144|182|19219|80.44|287.61|106.91|None|None|None|None|None
171145|182|19223|94.608|282.39|101.54|None|None|None|None|None
171146|182|19224|94.608|282.39|101.54|None|None|None|None|None
171147|182|19225|94.608|282.39|101.54|None|None|None|None|None
171148|182|19229|53.827|291.34|110.88|None|None|None|None|None
171149|182|19230|53.827|291.34|110.88|None|None|None|None|None
171150|182|19231|53.827|291.34|110.88|None|None|None|None|None
171151|182|19235|81.65|284.14|103.42|None|None|None|None|None
171152|182|19236|81.65|284.14|103.42|None|None|None|None|None
171153|182|19237|81.65|284.14|103.42|None|None|None|None|None
171154|182|19241|86.523|283.73|102.96|None|None|None|None|None
171155|182|19242|86.523|283.73|102.96|None|None|None|None|None
171156|182|19243|86.523|283.73|102.96|None|None|None|None|None
171157|182|19244|82.748|283.24|102.5|None|None|None|None|None
171158|182|19245|82.748|283.24|102.5|None|None|None|None|None
171159|182|19246|82.748|283.24|102.5|None|None|None|None|None
171160|182|19250|85.972|286.66|105.9|None|None|None|None|None
171161|182|19251|85.972|286.66|105.9|None|None|None|None|None
171162|182|19252|85.972|286.66|105.9|None|None|None|None|None
171163|182|19259|80.053|283.04|102.33|None|None|None|None|None
171164|182|19260|80.053|283.04|102.33|None|None|None|None|None
171165|182|19261|80.053|283.04|102.33|None|None|None|None|None
171166|182|19268|81.345|289.36|108.66|None|None|None|None|None
171167|182|19269|81.345|289.36|108.66|None|None|None|None|None
171168|182|19270|81.345|289.36|108.66|None|None|None|None|None
171169|182|19271|86.406|283.87|103.11|None|None|None|None|None
171170|182|19272|86.406|283.87|103.11|None|None|None|None|None
171171|182|19273|86.406|283.87|103.11|None|None|None|None|None
171172|182|19304|84.733|285.42|104.68|None|None|None|None|None
171173|182|19305|84.733|285.42|104.68|None|None|None|None|None
171174|182|19306|84.733|285.42|104.68|None|None|None|None|None
171175|182|19316|73.903|286.89|106.25|None|None|None|None|None
171176|182|19317|73.903|286.89|106.25|None|None|None|None|None
171177|182|19318|73.903|286.89|106.25|None|None|None|None|None
