# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
196|Le Sert, France|2019-09-25 19:33:14|2019-09-25 19:33:45|45.09|6.2|13.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|64.0|0|None|None|0.0|None|0|0.0|None|RASPISHAKE, RESIF, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
536|196|196|Location coordinates, maximum location uncertainty, and type were taken from Renass (2019).|None|None|None
490|252|220|This event occurred in limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|197,200,196,195,245,246,247,194,211,253,219,237,208,215,230,224,212,260
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1049|196|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/196_LeSertFrance_25Sep2019/photos_figures/196_LeSertFrance_25Sep2019_waveforms_raw.png|None
1050|196|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/196_LeSertFrance_25Sep2019/photos_figures/196_LeSertFrance_25Sep2019_waveforms_1-5Hz.png|None
1051|196|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/196_LeSertFrance_25Sep2019/photos_figures/196_LeSertFrance_25Sep2019_spectrogram.png|None
1052|196|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/196_LeSertFrance_25Sep2019/photos_figures/196_LeSertFrance_25Sep2019_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
196|196||Renass, Sept 2019, Glissement de terrain de magnitude 1.2, proche de Meylan [Bulletin], Accessed 5 Nov 2021, at https://renass.unistra.fr/fr/evenements/fr2019cckmuq/|Renass (2019)|None|https://renass.unistra.fr/fr/evenements/fr2019cckmuq/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
185376|196|37815|16.85310975190116|110.41226524937576|290.55450214743365|None|1|None|None|None
185377|196|37819|31.328738740204074|192.79388814814936|12.731947234637799|None|1|None|None|None
185378|196|37818|37.773968704369764|96.23197188108868|276.5703885042451|None|1|None|None|None
185379|196|37816|42.94146363292908|141.26913559993295|321.50911654363705|None|1|None|None|None
185380|196|38176|63.31476910934822|122.23929815477294|302.7181209129753|None|1|None|None|None
191041|196|40724|63.305|122.03|302.5|None|None|None|None|None
191042|196|40725|63.305|122.03|302.5|None|None|None|None|None
191043|196|38205|63.305|122.03|302.5|None|None|None|None|None
191044|196|40318|68.696|150.78|331.08|None|None|None|None|None
191045|196|40319|68.696|150.78|331.08|None|None|None|None|None
191046|196|37823|68.696|150.78|331.08|None|None|None|None|None
191047|196|40347|85.344|149.2|329.59|None|None|None|None|None
191048|196|40348|85.344|149.2|329.59|None|None|None|None|None
191049|196|37834|85.344|149.2|329.59|None|None|None|None|None
191050|196|40726|91.031|253.37|72.59|None|None|None|None|None
191051|196|40727|91.031|253.37|72.59|None|None|None|None|None
191052|196|38163|91.031|253.37|72.59|None|None|None|None|None
191053|196|40728|89.685|215.25|34.8|None|None|None|None|None
191054|196|40729|89.685|215.25|34.8|None|None|None|None|None
191055|196|40730|89.685|215.25|34.8|None|None|None|None|None
191056|196|40731|64.538|135.32|315.72|None|None|None|None|None
191057|196|40732|64.538|135.32|315.72|None|None|None|None|None
191058|196|37822|64.538|135.32|315.72|None|None|None|None|None
191059|196|40733|87.703|275.04|94.25|None|None|None|None|None
191060|196|40734|87.703|275.04|94.25|None|None|None|None|None
191061|196|38161|87.703|275.04|94.25|None|None|None|None|None
191062|196|40735|80.598|187.16|7.07|None|None|None|None|None
191063|196|40736|80.598|187.16|7.07|None|None|None|None|None
191064|196|40737|80.598|187.16|7.07|None|None|None|None|None
191065|196|38406|91.207|344.67|164.44|None|None|None|None|None
191066|196|38407|91.207|344.67|164.44|None|None|None|None|None
191067|196|38162|91.207|344.67|164.44|None|None|None|None|None
191068|196|38413|69.875|325.85|145.5|None|None|None|None|None
191069|196|38414|69.875|325.85|145.5|None|None|None|None|None
191070|196|38160|69.875|325.85|145.5|None|None|None|None|None
191071|196|38415|69.875|325.85|145.5|None|None|None|None|None
191072|196|38416|69.875|325.85|145.5|None|None|None|None|None
191073|196|38417|69.875|325.85|145.5|None|None|None|None|None
191074|196|38418|74.333|26.42|206.72|None|None|None|None|None
191075|196|38419|74.333|26.42|206.72|None|None|None|None|None
191076|196|37846|74.333|26.42|206.72|None|None|None|None|None
191077|196|38420|74.333|26.42|206.72|None|None|None|None|None
191078|196|38421|74.333|26.42|206.72|None|None|None|None|None
191079|196|38422|74.333|26.42|206.72|None|None|None|None|None
191080|196|40396|83.214|144.21|324.64|None|None|None|None|None
191081|196|40397|83.214|144.21|324.64|None|None|None|None|None
191082|196|37833|83.214|144.21|324.64|None|None|None|None|None
191083|196|40398|83.214|144.21|324.64|None|None|None|None|None
191084|196|40399|83.214|144.21|324.64|None|None|None|None|None
191085|196|40400|83.214|144.21|324.64|None|None|None|None|None
191086|196|40428|90.702|155.26|335.6|None|None|None|None|None
191087|196|40429|90.702|155.26|335.6|None|None|None|None|None
191088|196|40430|90.702|155.26|335.6|None|None|None|None|None
191089|196|40434|90.752|155.16|335.5|None|None|None|None|None
191090|196|40435|90.752|155.16|335.5|None|None|None|None|None
191091|196|40436|90.752|155.16|335.5|None|None|None|None|None
191092|196|38423|89.255|356.79|176.74|None|None|None|None|None
191093|196|38424|89.255|356.79|176.74|None|None|None|None|None
191094|196|38425|89.255|356.79|176.74|None|None|None|None|None
191095|196|38426|90.572|356.7|176.65|None|None|None|None|None
191096|196|38427|90.572|356.7|176.65|None|None|None|None|None
191097|196|38428|90.572|356.7|176.65|None|None|None|None|None
191098|196|38429|65.603|337.95|157.72|None|None|None|None|None
191099|196|38430|65.603|337.95|157.72|None|None|None|None|None
