# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
197|Heuvieres, France|2018-06-01 05:57:25|2018-06-01 05:57:48|44.61|6.76|5.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|31.0|0|None|None|0.0|None|None|None|None|RESIF, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
537|197|197|Location coordinates, maximum location uncertainty, and type were taken from Renass (2018)c.|None|None|None
490|252|220|This event occurred in limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|197,200,196,195,245,246,247,194,211,253,219,237,208,215,230,224,212,260
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1053|197|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/197_HeuvieresFrance_01Jun2018/photos_figures/197_HeuvieresFrance_01Jun2018_waveforms_raw.png|None
1054|197|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/197_HeuvieresFrance_01Jun2018/photos_figures/197_HeuvieresFrance_01Jun2018_waveforms_1-5Hz.png|None
1055|197|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/197_HeuvieresFrance_01Jun2018/photos_figures/197_HeuvieresFrance_01Jun2018_spectrogram.png|None
1056|197|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/197_HeuvieresFrance_01Jun2018/photos_figures/197_HeuvieresFrance_01Jun2018_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
197|197||Renass, June 2018, Éboulement de magnitude 0.8, proche de Turin [Bulletin], Accessed 5 Nov 2021, at https://renass.unistra.fr/fr/evenements/fr2018ypjfmb/|Renass (2018)c|None|https://renass.unistra.fr/fr/evenements/fr2018ypjfmb/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
185381|197|37822|7.362017746826681|7.631877417746595|187.64053730785017|None|1|None|None|None
185382|197|37823|12.826606297381536|238.6078865700303|58.5109931062957|None|1|None|None|None
185383|197|37833|14.924644911690955|163.99825577078855|344.03451854774556|None|1|None|None|None
185384|197|37834|20.14586085104854|182.53882735231073|2.530974440406653|None|1|None|None|None
185385|197|38177|30.441583445020672|112.02012794568644|292.26969968092453|None|1|None|None|None

# 
# stations
# 
# Sid|Name|Network|Channel|LocationCode|Latitude|Longitude|ElevationMasl|Source
37822|OGCE|FR|EHZ|00|44.675625|6.772324|1789.0|RESIF
37823|CREF|FR|EHZ|00|44.549681|6.621956|1692.0|RESIF
37833|SURF|FR|HHZ|00|44.480935|6.811695|1820.0|RESIF
37834|JAUF|FR|EHZ|00|44.429|6.7488|1639.0|RESIF
38177|PZZ|GU|HHZ||44.5065|7.1157|1397.0|INGV

