# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
1|Mount Spurr|2014-09-10 19:21:15|2014-09-10 20:05:05|61.22594|-152.168681|1.0|None|None|None|None|outburst flood|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|13.0|1|0.0|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
213|1|69|Lyons, J. (written communication): A localized event occurred on the Mount Spurr seismic network that may have been caused by an outburst flood because waveforms are similar in character and amplitude distribution to an event on 29 June 1993 from the Kidazgeni Glacier (1992 Crater Peak eruption volume - Bulletin 2139). The signal begins at 19:21/11:21 (UTC/AKST) with a short-duration, high-amplitude signal dominated by energy under 10 Hz. The initial signal is followed by a ~15 second pause in activity and then the onset of broadband signal that lasts ~20 minutes, with peak amplitude observed ~9 minutes after the initial event. The signal was seen clearly on CKN, and faintly or not at all on other Spurr stations.|None|None|None
215|1|None|The location of this event was taken as the base of the Kidazqeni Glacier, location uncertainty was taken as half the distance from the closest station CKN to the next closest station CKT|None|None|None

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
694|1|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/1_MountSpurr_10Sep2014/photos_figures/1_MountSpurr_10Sep2014_waveforms_raw.png|None
695|1|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/1_MountSpurr_10Sep2014/photos_figures/1_MountSpurr_10Sep2014_waveforms_1-5Hz.png|None
696|1|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/1_MountSpurr_10Sep2014/photos_figures/1_MountSpurr_10Sep2014_spectrogram.png|None
697|1|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/1_MountSpurr_10Sep2014/photos_figures/1_MountSpurr_10Sep2014_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
69|1|None|Lyons, John, 2014, written communication|Lyons (written commun., 2014)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
5625|1|1530|469.674|97.68|285.07|None|None
5626|1|1531|469.674|97.68|285.07|None|None
5627|1|1532|469.674|97.68|285.07|None|None
5628|1|1536|500.594|100.33|288.08|None|None
5629|1|1537|500.594|100.33|288.08|None|None
5630|1|1538|500.594|100.33|288.08|None|None
5631|1|1539|408.783|90.72|277.34|None|None
5632|1|1540|408.783|90.72|277.34|None|None
5633|1|1541|408.783|90.72|277.34|None|None
5634|1|2326|325.957|10.18|191.23|None|None
5635|1|2327|325.957|10.18|191.23|None|None
5636|1|2328|325.957|10.18|191.23|None|None
5637|1|959|178.373|156.55|337.65|None|None
5638|1|960|178.373|156.55|337.65|None|None
5639|1|961|178.373|156.55|337.65|None|None
5640|1|2329|183.04|153.99|335.23|None|None
5641|1|2330|183.04|153.99|335.23|None|None
5642|1|2331|183.04|153.99|335.23|None|None
5643|1|2332|359.757|22.83|205.38|None|None
5644|1|2333|359.757|22.83|205.38|None|None
5645|1|2334|359.757|22.83|205.38|None|None
5646|1|2335|74.937|132.44|313.32|None|None
5647|1|2336|74.937|132.44|313.32|None|None
5648|1|2337|74.937|132.44|313.32|None|None
5649|1|2338|244.435|0.99|181.06|None|None
5650|1|2339|244.435|0.99|181.06|None|None
5651|1|2340|244.435|0.99|181.06|None|None
5652|1|2341|440.632|28.25|212.13|None|None
5653|1|2342|440.632|28.25|212.13|None|None
5654|1|2343|440.632|28.25|212.13|None|None
5655|1|2344|296.15|358.59|178.46|None|None
5656|1|2345|296.15|358.59|178.46|None|None
5657|1|2346|296.15|358.59|178.46|None|None
5658|1|2347|196.342|164.42|345.23|None|None
5659|1|2348|196.342|164.42|345.23|None|None
5660|1|2349|196.342|164.42|345.23|None|None
5661|1|1542|493.673|92.15|280.09|None|None
5662|1|1543|493.673|92.15|280.09|None|None
5663|1|1544|493.673|92.15|280.09|None|None
5664|1|2350|165.471|36.55|218.23|None|None
5665|1|2351|165.471|36.55|218.23|None|None
5666|1|2352|165.471|36.55|218.23|None|None
5667|1|2353|323.781|48.38|232.62|None|None
5668|1|2354|323.781|48.38|232.62|None|None
5669|1|2355|323.781|48.38|232.62|None|None
5670|1|1709|344.05|88.99|274.59|None|None
5671|1|1710|344.05|88.99|274.59|None|None
5672|1|1711|344.05|88.99|274.59|None|None
5673|1|1715|497.292|53.61|240.8|None|None
5674|1|1716|497.292|53.61|240.8|None|None
5675|1|1717|497.292|53.61|240.8|None|None
5676|1|1721|356.447|99.4|285.01|None|None
5677|1|1722|356.447|99.4|285.01|None|None
5678|1|1723|356.447|99.4|285.01|None|None
5679|1|2356|306.565|97.99|282.86|None|None
5680|1|2357|306.565|97.99|282.86|None|None
5681|1|2358|306.565|97.99|282.86|None|None
5682|1|2359|105.426|94.2|275.91|None|None
5683|1|2360|105.426|94.2|275.91|None|None
5684|1|2361|105.426|94.2|275.91|None|None
5685|1|2362|183.044|69.2|252.05|None|None
5686|1|2363|183.044|69.2|252.05|None|None
5687|1|2364|183.044|69.2|252.05|None|None
5688|1|1551|447.728|83.26|270.6|None|None
5689|1|1552|447.728|83.26|270.6|None|None
5690|1|1553|447.728|83.26|270.6|None|None
5691|1|2365|276.66|95.8|280.24|None|None
5692|1|2366|276.66|95.8|280.24|None|None
5693|1|2367|276.66|95.8|280.24|None|None
5694|1|1554|409.875|96.83|283.34|None|None
5695|1|1555|409.875|96.83|283.34|None|None
5696|1|1556|409.875|96.83|283.34|None|None
5697|1|1557|493.39|98.43|286.16|None|None
5698|1|1558|493.39|98.43|286.16|None|None
5699|1|1559|493.39|98.43|286.16|None|None
5700|1|1724|392.223|67.33|253.51|None|None
5701|1|1725|392.223|67.33|253.51|None|None
5702|1|1726|392.223|67.33|253.51|None|None
5703|1|1727|391.855|67.46|253.64|None|None
5704|1|1728|391.855|67.46|253.64|None|None
5705|1|1729|391.855|67.46|253.64|None|None
5706|1|2368|443.246|34.58|219.23|None|None
5707|1|2369|443.246|34.58|219.23|None|None
5708|1|2370|443.246|34.58|219.23|None|None
5709|1|2371|443.246|34.58|219.23|None|None
5710|1|2372|321.798|104.21|289.15|None|None
5711|1|2373|321.798|104.21|289.15|None|None
5712|1|2374|321.798|104.21|289.15|None|None
5713|1|1563|441.734|99.51|286.41|None|None
5714|1|1564|441.734|99.51|286.41|None|None
5715|1|1565|441.734|99.51|286.41|None|None
5716|1|2375|177.091|170.52|350.97|None|None
5717|1|2376|177.091|170.52|350.97|None|None
5718|1|2377|177.091|170.52|350.97|None|None
5719|1|1572|448.557|105.41|292.16|None|None
5720|1|1573|448.557|105.41|292.16|None|None
5721|1|1574|448.557|105.41|292.16|None|None
5722|1|1575|492.407|96.28|284.08|None|None
5723|1|1576|492.407|96.28|284.08|None|None
5724|1|1577|492.407|96.28|284.08|None|None
5725|1|2378|335.318|82.19|267.67|None|None
5726|1|2379|335.318|82.19|267.67|None|None
5727|1|2380|335.318|82.19|267.67|None|None
5728|1|2381|199.793|82.38|265.64|None|None
5729|1|2382|199.793|82.38|265.64|None|None
5730|1|2383|199.793|82.38|265.64|None|None
5731|1|2384|267.191|13.4|194.5|None|None
5732|1|2385|267.191|13.4|194.5|None|None
5733|1|2386|267.191|13.4|194.5|None|None
5734|1|1587|489.961|83.94|271.96|None|None
5735|1|1588|489.961|83.94|271.96|None|None
5736|1|1589|489.961|83.94|271.96|None|None
5737|1|2387|325.139|29.4|212.27|None|None
5738|1|2388|325.139|29.4|212.27|None|None
5739|1|2389|325.139|29.4|212.27|None|None
5740|1|2390|461.087|23.79|207.3|None|None
5741|1|2391|461.087|23.79|207.3|None|None
5742|1|2392|461.087|23.79|207.3|None|None
5743|1|2393|430.076|8.99|190.26|None|None
5744|1|2394|430.076|8.99|190.26|None|None
5745|1|2395|430.076|8.99|190.26|None|None
5746|1|2396|406.88|21.4|204.16|None|None
5747|1|2397|406.88|21.4|204.16|None|None
5748|1|2398|406.88|21.4|204.16|None|None
5749|1|1593|460.455|100.25|287.4|None|None
5750|1|1594|460.455|100.25|287.4|None|None
5751|1|1595|460.455|100.25|287.4|None|None
5752|1|1730|399.963|58.02|243.94|None|None
5753|1|1731|399.963|58.02|243.94|None|None
5754|1|1732|399.963|58.02|243.94|None|None
5755|1|1126|186.148|359.68|179.66|None|None
5756|1|1127|186.148|359.68|179.66|None|None
5757|1|1128|186.148|359.68|179.66|None|None
5758|1|2399|211.217|99.5|282.85|None|None
5759|1|2400|211.217|99.5|282.85|None|None
5760|1|2401|211.217|99.5|282.85|None|None
