# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
207|Piz Cengalo 1, Switzerland|2011-12-27 17:25:22|2011-12-27 17:29:14|46.295|9.602|0.0|None|None|None|None|rock avalanche|None|None|None|None|1500000.0|1000000.0|2000000.0|None|None|None|None|None|None|2700.0|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|518.0|0|None|None|0.0|None|None|None|None|RESIF, ETH, GFZ, ORFEUS, LMU, BGR, IRIS, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
527|207|219|Type, volume, and L were taken from Walter and others (2020).|None|None|None
528|207|206|Location, low, and high volume estimates were taken from Fuchs and others (2018).|None|None|None
529|207|219|The back scarp of this failure was largely covered with permafrost ice which is suggested to have contributed to the failure. Heavy rainfall during the following summer triggered four debris flows from the rock avalanche deposits (Walter and others, 2020).|None|None|None
567|207|206|A local magnitude of 2.7 was estimated for this event by the Austrian seismological service, ZAMG (Fuchs and others, 2018).|None|None|None
579|207|232|A report and video of the event area are provided at https://www.srf.ch/play/tv/news-clip/video/fast-unbemerkt-riesen-bergsturz-im-bergell?urn=urn:srf:video:6f9ce66d-6c9b-47c3-9842-5ee19531af57 (SRF, 2012).|None|None|None
488|191|220|This event occurred in plutonic rocks based on ELSUS v2 (Wilde and others, 2018).|None|None|193,202,248,249,256,204,192,217,218,207,255,209
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
548|192|191|Event times and locations were initially provided by Huwiler (pers. comm., 2021).|None|None|207

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1093|207|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/207_PizCengalo1Switzerland_27Dec2011/photos_figures/207_PizCengalo1Switzerland_27Dec2011_waveforms_raw.png|None
1094|207|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/207_PizCengalo1Switzerland_27Dec2011/photos_figures/207_PizCengalo1Switzerland_27Dec2011_waveforms_1-5Hz.png|None
1095|207|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/207_PizCengalo1Switzerland_27Dec2011/photos_figures/207_PizCengalo1Switzerland_27Dec2011_spectrogram.png|None
1096|207|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/207_PizCengalo1Switzerland_27Dec2011/photos_figures/207_PizCengalo1Switzerland_27Dec2011_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
232|207|None|SRF, Jan 2012, Fast unbemerkt: Riesen-Bergsturz im Bergell [Video], Accessed 31 Jan 2022, at https://www.srf.ch/play/tv/news-clip/video/fast-unbemerkt-riesen-bergsturz-im-bergell?urn=urn:srf:video:6f9ce66d-6c9b-47c3-9842-5ee19531af57|SRF (2012)|None|https://www.srf.ch/play/tv/news-clip/video/fast-unbemerkt-riesen-bergsturz-im-bergell?urn=urn:srf:video:6f9ce66d-6c9b-47c3-9842-5ee19531af57

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
185594|207|37847|23.96953036247995|330.7824746469071|150.67210172766966|None|1|None|None|None
185595|207|37848|27.748776676383617|315.25122932262286|135.06684710052602|None|1|None|None|None
185596|207|37850|46.527087811354946|256.64619834259986|76.22143303256718|None|1|None|None|None
185597|207|37851|58.00836735159745|21.426417408440788|201.6278511226397|None|1|None|None|None
185598|207|37853|59.89438085756582|226.44460960727605|46.040831238585255|None|1|None|None|None
185599|207|37854|62.26067026615273|54.32407323192917|234.80359078443632|None|1|None|None|None
185600|207|37855|62.41445109740776|70.94840064324475|251.5060143429062|None|1|None|None|None
185601|207|37856|69.91446835371133|327.6721184342123|147.31611291178686|None|1|None|None|None
185602|207|37858|73.43164136321647|297.2650037188|116.64629331120729|None|1|None|None|None
185603|207|37859|74.20400284516933|284.15249262156016|103.47269861387434|None|1|None|None|None
185604|207|37860|75.12464640259101|110.42411154187963|291.0820890682894|None|1|None|None|None
185605|207|37861|76.31581818620172|323.635046044948|143.20384289180635|None|1|None|None|None
185606|207|37862|79.84621874378593|233.8715868593659|53.272266919002774|None|1|None|None|None
185607|207|37863|80.90276440947024|63.514851693395826|244.20164958274938|None|1|None|None|None
185608|207|37864|85.54620895981103|348.6646761606652|168.50373401855018|None|1|None|None|None
185609|207|38214|98.0776789590734|125.6414414490892|306.38037021980915|None|1|None|None|None
185610|207|37865|103.2439295979986|288.1660744933808|107.23627750452732|None|1|None|None|None
185611|207|37866|103.65709222959887|136.118347894752|316.7813285876193|None|1|None|None|None
185612|207|37867|104.98879493206655|315.6896136918887|134.98813040283645|None|1|None|None|None
185613|207|37869|110.38629798244699|305.75896119562015|124.9039297641563|None|1|None|None|None
185614|207|37870|111.44862545473279|355.7085795834467|175.62823144032356|None|1|None|None|None
185615|207|37871|112.2888766014015|10.808323544505901|191.01117288836275|None|1|None|None|None
185616|207|37872|115.49912337653913|278.27242631495534|97.19292792256276|None|1|None|None|None
185617|207|37876|121.79194795894472|267.6830526519852|86.53960394845724|None|1|None|None|None
185618|207|37877|122.29618937350922|295.2828125211616|114.22993091313383|None|1|None|None|None
185619|207|37878|126.38411474732442|80.14125479798469|261.31863402348444|None|1|None|None|None
185620|207|37881|129.01019169653972|258.4744822766933|77.29279990560856|None|1|None|None|None
185621|207|37884|134.35672555726467|22.849070545740492|203.353496418803|None|1|None|None|None
185622|207|37885|134.54441219593818|121.77675613519176|302.833783821964|None|1|None|None|None
185623|207|37886|135.2478239325727|337.21144970222775|156.70484433642503|None|1|None|None|None
185624|207|37887|136.3448637441441|266.981765535043|85.70317538313145|None|1|None|None|None
185625|207|38215|137.49650103092205|81.57410789452463|262.85969387099203|None|1|None|None|None
185626|207|38216|140.06033145894605|69.307034038194|250.55388581268943|None|1|None|None|None
185627|207|37888|141.10430460063978|276.09507002426807|94.77052055095527|None|1|None|None|None
185628|207|37890|142.48065785173884|327.25178111042163|146.5069830555108|None|1|None|None|None
185629|207|37892|144.94695082057575|341.3318730549102|160.88187553461813|None|1|None|None|None
185630|207|37896|151.94123099485498|274.5633964057326|93.1345930805925|None|1|None|None|None
185631|207|37897|154.46461741179706|267.23040302466035|85.78177180818201|None|1|None|None|None
185632|207|37898|155.12747564001262|62.430897352796|243.74617471689905|None|1|None|None|None
185633|207|37899|156.92188815439033|285.8635422094901|104.42928378322102|None|1|None|None|None
185634|207|38217|157.83091644070265|329.83121995576306|149.061728904067|None|1|None|None|None
185635|207|37904|160.0440979020177|99.10297587056225|280.5803004263645|None|1|None|None|None
185636|207|37905|162.2949217775143|331.3674193028449|150.6118863396806|None|1|None|None|None
185637|207|37906|162.66154932854855|340.2201899082313|159.68421211786404|None|1|None|None|None
185638|207|37907|162.80335814305417|39.60745529571046|220.61210707754176|None|1|None|None|None
185639|207|37909|165.93195826530436|335.37841724163445|154.70554128201792|None|1|None|None|None
185640|207|38173|167.91769747859055|239.53003609117297|58.19709656547857|None|1|None|None|None
185641|207|37913|170.2276203951568|184.11409432507398|4.004056225525003|None|1|None|None|None
185642|207|37914|170.52491489631296|262.7987890531974|81.21575090681257|None|1|None|None|None
185643|207|37915|175.11297071792467|244.69724676164017|63.2353520625849|None|1|None|None|None
185644|207|37917|176.00384612131117|104.33469077935757|285.92162817324936|None|1|None|None|None
185645|207|37918|176.21546453961514|40.19840364842331|221.30179463362128|None|1|None|None|None
185646|207|37919|176.41295726156457|324.9716734340594|143.98720676814582|None|1|None|None|None
185647|207|37920|176.95603590602835|273.2861076497459|91.6204716721371|None|1|None|None|None
185648|207|37921|177.74327292524185|320.90021277568013|139.81188410384897|None|1|None|None|None
185649|207|38158|183.76952451276918|333.09683778806544|152.28482690177643|None|1|None|None|None
185650|207|38155|185.62585054280083|309.18017620182616|127.78945284571816|None|1|None|None|None
185651|207|38218|187.8880465977166|211.71009135686373|30.81755138517563|None|1|None|None|None
185652|207|37928|188.0462655218254|224.4740094496668|43.275503231579044|None|1|None|None|None
185653|207|38219|188.08962008454603|91.21334966363622|272.9802144957311|None|1|None|None|None
