# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
219|Piz Piot, Switzerland|2017-09-15 20:04:22|2017-09-15 20:07:06|46.3971|9.6319|None|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|339.0|0|None|None|0.0|None|None|None|None|RESIF, ETH, ORFEUS, LMU, BGR, IRIS, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
490|252|220|This event occurred in limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|197,200,196,195,245,246,247,194,211,253,219,237,208,215,230,224,212,260
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
549|217|207|These events were cataloged through ZAMG (2021). Individual reports for each event were recieved by mail.|None|None|218,219,220,221,222,223,224,225,226,227,228,229,230,253

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1147|219|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/219_PizPiotSwitzerland_15Sep2017/photos_figures/219_PizPiotSwitzerland_15Sep2017_waveforms_raw.png|None
1148|219|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/219_PizPiotSwitzerland_15Sep2017/photos_figures/219_PizPiotSwitzerland_15Sep2017_waveforms_1-5Hz.png|None
1149|219|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/219_PizPiotSwitzerland_15Sep2017/photos_figures/219_PizPiotSwitzerland_15Sep2017_spectrogram.png|None
1150|219|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/219_PizPiotSwitzerland_15Sep2017/photos_figures/219_PizPiotSwitzerland_15Sep2017_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
186331|219|37847|16.946258134015707|304.3390724417713|124.20677219855699|None|1|None|None|None
186332|219|37848|23.353670253583058|291.00218753365164|110.79598376061905|None|1|None|None|None
186333|219|37849|30.051013931015927|86.36161051587742|266.6449287290153|None|1|None|None|None
186334|219|37851|46.64272621605325|23.911720197626252|204.0916024980541|None|1|None|None|None
186335|219|37854|54.338165661319586|62.6636265767034|243.12185675545263|None|1|None|None|None
186336|219|37855|57.405077262796354|80.95061689820585|261.48703679482423|None|1|None|None|None
186337|219|37856|62.052858822013675|320.28267443053676|139.9046409786227|None|1|None|None|None
186338|219|37861|69.05325751212803|316.5272330167808|136.0739351318667|None|1|None|None|None
186339|219|37853|69.70621654669576|221.00527017616108|40.579578095667706|None|1|None|None|None
186340|219|37852|70.06235325078967|174.64057403847409|354.7011564144593|None|1|None|None|None
186341|219|37858|71.13176912720667|288.2984769230438|107.65755591503977|None|1|None|None|None
186342|219|37863|74.33849029234474|70.57513667683158|251.24082259085395|None|1|None|None|None
186343|219|37859|74.5459241813818|275.273427942002|94.5713947018647|None|1|None|None|None
186344|219|37864|74.99567901339341|345.25741882036874|165.07457327396165|None|1|None|None|None
186345|219|37860|77.7954669953824|118.88260893470476|299.5195596134089|None|1|None|None|None
186346|219|37857|79.76667984819412|151.76992894601906|332.1194117881312|None|1|None|None|None
186347|219|37867|98.91434345369618|310.1663702713777|129.44254515790664|None|1|None|None|None
186348|219|37870|100.34678518888099|353.9354954606492|173.83326751682222|None|1|None|None|None
186349|219|37871|100.70703184371702|10.755765687374387|190.9369714026783|None|1|None|None|None
186350|219|37865|102.51933046928124|281.7649453640858|100.81267695914573|None|1|None|None|None
186351|219|37869|106.1216998252367|300.0857172170257|119.2082308212188|None|1|None|None|None
186352|219|38279|107.83153292427384|108.33093792561186|289.2892392339416|None|1|None|None|None
186353|219|37875|107.94673626880905|348.5778124122737|168.371352321156|None|1|None|None|None
186354|219|37874|108.6857153342129|50.01847703954751|230.81713218915368|None|1|None|None|None
186355|219|37866|110.67586895320761|141.07217577485835|321.7142190585218|None|1|None|None|None
186356|219|37868|112.10096180034054|115.17876827473502|296.12518404620243|None|1|None|None|None
186357|219|37872|116.70413163778186|272.6251665836885|91.52309203816404|None|1|None|None|None
186358|219|37879|116.76852788058525|348.00437930801496|167.76951040529002|None|1|None|None|None
186359|219|37880|116.93752431114547|353.4818568432904|173.35333925862773|None|1|None|None|None
186360|219|37877|120.0344579930885|289.9435178772217|108.8680325756317|None|1|None|None|None
186361|219|37873|121.22666730946042|130.39885908681654|311.25317901614955|None|1|None|None|None
186362|219|37878|122.65118597054341|85.19400628631671|266.3507147806674|None|1|None|None|None
186363|219|37884|123.02241193967703|23.935926293113972|204.41893530389027|None|1|None|None|None
186364|219|37876|125.05090851742384|262.559528027556|81.39347882582389|None|1|None|None|None
186365|219|37886|125.82939279973404|334.26620056857007|153.7373413371764|None|1|None|None|None
186366|219|37882|132.95559101092033|114.94641565510142|296.0687315629629|None|1|None|None|None
186367|219|37881|133.95744819838532|253.94377514120092|72.73948845035231|None|1|None|None|None
186368|219|37890|134.4022640980647|323.83312518652644|143.06588344967008|None|1|None|None|None
186369|219|37892|135.04364420479538|338.8879802866927|158.41575640858446|None|1|None|None|None
186370|219|37885|139.0142292281256|126.27047692824861|307.30690196337537|None|1|None|None|None
186371|219|37887|139.68568593445514|262.4128409423781|81.11153804885616|None|1|None|None|None
186372|219|37893|140.07236831479906|312.71974931201396|131.726996960481|None|1|None|None|None
186373|219|37888|142.64221084293|271.49458028379956|90.14724885282331|None|1|None|None|None
186374|219|37895|143.13918137848302|329.04078014372845|148.32619673989572|None|1|None|None|None
186375|219|37900|147.11538906933507|14.037688702606202|194.38546843824366|None|1|None|None|None
186376|219|37889|147.734699813207|247.58444360534514|66.31298887040577|None|1|None|None|None
186377|219|37898|148.10206885083932|65.92619669123093|247.22082545814965|None|1|None|None|None
186378|219|37891|148.2381334336458|124.06155961433979|305.1970713211609|None|1|None|None|None
186379|219|37901|148.50384249960575|34.97317857768804|215.79917129038603|None|1|None|None|None
186380|219|37903|150.93744638051714|52.17200518326592|233.32167252110065|None|1|None|None|None
186381|219|37894|152.4674292635857|269.7803504856604|88.34127845349526|None|1|None|None|None
186382|219|37907|152.68355048337878|41.67711183403348|222.66075719013622|None|1|None|None|None
186383|219|37906|152.8652356985878|337.9916320147156|157.43333322513223|None|1|None|None|None
186384|219|37908|153.69118349371192|46.269272978017185|227.34348030311486|None|1|None|None|None
186385|219|37902|154.21060902505766|307.4565053108269|126.27565635085747|None|1|None|None|None
186386|219|37910|155.59221160670376|345.80523538645076|165.43264175347022|None|1|None|None|None
186387|219|37899|156.44139468343002|281.66525816386974|100.20808745967899|None|1|None|None|None
186388|219|37897|157.70583769801146|263.18265206655576|81.71116328411574|None|1|None|None|None
186389|219|37904|160.00160830411608|103.25959473544589|284.7165933484663|None|1|None|None|None
186390|219|37912|161.05267253232284|322.8894678365814|141.9448986586472|None|1|None|None|None
186391|219|38278|164.21864919794788|77.49207410384669|259.0182516140924|None|1|None|None|None
186392|219|37916|168.79267494435652|313.76589590622507|132.58383959321705|None|1|None|None|None
186393|219|37921|170.59849529909877|317.9215284065117|136.8104462999847|None|1|None|None|None
186394|219|37923|173.62840094420284|65.09048993061548|246.60268227725453|None|1|None|None|None
186395|219|37914|174.573064511033|259.22775468869884|77.62176224067538|None|1|None|None|None
186396|219|38158|174.82029035959445|330.7645483520729|149.92997407171302|None|1|None|None|None
186397|219|38173|175.87447275495836|236.7494210145989|55.39382746633505|None|1|None|None|None
186398|219|37924|176.82749439381953|313.25886026180706|132.00872879929025|None|1|None|None|None
186399|219|37925|176.84370746532053|340.6118273765726|160.03619491534724|None|1|None|None|None
186400|219|38280|176.98101972146753|108.09283871823035|289.65957978133184|None|1|None|None|None
186401|219|37920|178.9604333632757|269.6468107159267|87.95810921696481|None|1|None|None|None
