# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
222|Vals, Austria|2017-12-24 17:12:07|2017-12-24 17:13:55|47.04884|11.535536|0.0|47.04884|11.535536|47.044226|11.535927|rock slide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|1|None|None|238.0|0|None|None|90.0|1|None|None|None|NIEP, ETH, ORFEUS, LMU, IRIS, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
492|203|220|This event occurred in marlstones and limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|222,220,221,226,227
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
549|217|207|These events were cataloged through ZAMG (2021). Individual reports for each event were recieved by mail.|None|None|218,219,220,221,222,223,224,225,226,227,228,229,230,253
589|233|None|Location coordinates, location uncertainty, and type were estimated using Planet Labs Explorer imagery.|None|None|222

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1159|222|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_waveforms_raw.png|None
1160|222|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_waveforms_1-5Hz.png|None
1161|222|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_waveforms_20-60sec.png|None
1162|222|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_displspectra.png|None
1163|222|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_spectrogram.png|None
1164|222|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/222_ValsAustria_24Dec2017/photos_figures/222_ValsAustria_24Dec2017_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
186559|222|37923|13.239|95.26|275.38|None|1|None|None|None
186560|222|37898|16.394|215.09|35.0|None|1|None|1|None
186561|222|37903|31.289|307.7|127.46|None|1|None|None|None
186562|222|37929|32.041|5.52|185.55|None|1|None|None|None
186563|222|38278|41.766|158.68|338.82|None|1|None|None|None
186564|222|37908|46.405|315.32|135.0|None|1|None|None|None
186565|222|37907|58.704|314.3|133.9|None|1|None|None|None
186566|222|37874|61.372|267.41|86.82|None|1|None|None|None
186567|222|37878|67.593|200.44|20.22|None|1|None|None|None
186568|222|37901|76.144|310.07|129.5|None|1|None|None|None
186569|222|38319|80.659|207.46|27.11|None|1|None|None|None
186570|222|37949|81.625|113.88|294.59|None|1|None|None|None
186571|222|37863|89.275|237.78|57.06|None|1|None|1|None
186572|222|38320|94.54|223.14|42.53|None|1|None|None|None
186573|222|38312|95.982|63.8|244.64|None|1|None|None|None
186574|222|37966|107.475|117.44|298.34|None|1|None|None|None
186575|222|37943|107.498|139.34|320.0|None|1|None|None|None
186576|222|37854|108.102|244.32|63.39|None|1|None|None|None
186577|222|37904|111.579|175.46|355.54|None|1|None|None|None
186578|222|38321|112.092|188.0|7.85|None|1|None|None|None
186579|222|38316|115.314|126.47|307.35|None|1|None|None|None
186580|222|38279|116.065|202.61|22.19|None|1|None|None|None
186581|222|38282|122.081|122.12|303.1|None|1|None|None|None
186582|222|38273|122.517|115.9|296.95|None|1|None|None|None
186583|222|37997|122.095|50.73|231.65|None|1|None|None|None
186584|222|38281|125.324|159.38|339.8|None|1|None|None|None
186585|222|37851|129.627|257.3|76.09|None|1|None|None|None
186586|222|38008|130.212|58.44|239.53|None|1|None|None|None
186587|222|38009|130.239|59.41|240.51|None|1|None|None|None
186588|222|38280|131.497|170.86|351.05|None|1|None|None|None
186589|222|37882|132.549|191.73|11.48|None|1|None|None|None
186590|222|37945|134.735|148.75|329.41|None|1|None|None|None
186591|222|37983|135.056|113.7|294.87|None|1|None|None|None
186592|222|37860|135.439|215.71|34.97|None|1|None|None|None
186593|222|37849|135.462|239.14|58.03|None|1|None|None|None
186594|222|38322|144.529|200.1|19.63|None|1|None|None|None
186595|222|37996|156.217|116.49|297.81|None|1|None|None|None
186596|222|38214|157.805|206.55|25.9|None|1|None|None|None
186597|222|37870|157.324|280.74|99.24|None|1|None|None|None
186598|222|37986|159.088|124.08|305.32|None|1|None|None|None
186599|222|37891|158.839|189.2|8.96|None|1|None|None|None
186600|222|38323|158.972|199.36|18.87|None|1|None|None|None
186601|222|38236|159.84|122.93|304.2|None|1|None|None|None
186602|222|37885|159.878|193.06|12.73|None|1|None|None|None
186603|222|38263|160.947|109.52|290.96|None|1|None|None|None
186604|222|37873|161.533|200.23|19.71|None|1|None|None|None
186605|222|37864|163.729|270.8|89.23|None|1|None|None|None
186606|222|38011|169.078|112.74|294.22|None|1|None|None|None
186607|222|37875|168.989|282.17|100.56|None|1|None|None|None
186608|222|37847|171.314|249.23|67.71|None|1|None|None|None
186609|222|38317|174.135|65.01|246.56|None|1|None|None|None
186610|222|37848|179.029|249.82|68.23|None|1|None|None|None
186611|222|37856|186.213|263.23|81.46|None|1|None|None|None
186612|222|37930|187.842|176.69|356.79|None|1|None|None|None
186613|222|37858|218.576|257.68|75.65|None|1|None|None|None
186614|222|37867|220.585|268.72|86.6|None|1|None|None|None
186615|222|38051|224.315|65.62|247.63|None|1|None|None|None
186616|222|37859|229.194|254.31|72.21|None|1|None|None|None
186617|222|37869|237.575|266.35|84.07|None|1|None|None|None
188273|222|38790|54.007|150.71|330.96|None|None|None|None|None
188274|222|38791|54.007|150.71|330.96|None|None|None|None|None
188275|222|38792|54.007|150.71|330.96|None|None|None|None|None
188276|222|38793|54.007|150.71|330.96|None|None|None|None|None
188277|222|38794|54.007|150.71|330.96|None|None|None|None|None
188278|222|38795|54.007|150.71|330.96|None|None|None|None|None
188279|222|38796|77.239|218.96|38.5|None|None|None|None|None
188280|222|38797|77.239|218.96|38.5|None|None|None|None|None
188281|222|38798|77.239|218.96|38.5|None|None|None|None|None
188282|222|38799|77.239|218.96|38.5|None|None|None|None|None
188283|222|38800|77.239|218.96|38.5|None|None|None|None|None
188284|222|38801|77.239|218.96|38.5|None|None|None|None|None
188285|222|38697|46.405|315.32|135.0|None|None|None|None|None
188286|222|38698|46.405|315.32|135.0|None|None|None|None|None
188287|222|38699|46.405|315.32|135.0|None|None|None|None|None
188288|222|38700|46.405|315.32|135.0|None|None|None|None|None
188289|222|38701|46.405|315.32|135.0|None|None|None|None|None
188290|222|38702|46.405|315.32|135.0|None|None|None|None|None
188291|222|38703|46.405|315.32|135.0|None|None|None|None|None
