# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
225|Fluela Wisshorn, Switzerland|2019-03-18 23:00:33|2019-03-18 23:02:51|46.761105|9.964772|0.0|46.761105|9.964772|46.765501|9.957655|rock avalanche|None|None|None|None|None|250000.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|1|None|None|183.0|0|None|None|102.0|1|0|0.0|None|RASPISHAKE, ETH, ORFEUS, LMU, BGR, IRIS, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
607|225|191|Volume estimate provided by Huwiler (pers. comm., 2021).|None|None|None
609|225|None|Event location and type were estimated using satellite imagery from Planet Labs Explorer.|None|None|229
489|234|220|This event occurred in gneisses based on ELSUS v2 (Wilde and others, 2018).|None|None|235,238,239,240,241,242,257,258,254,233,210,225,213
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
549|217|207|These events were cataloged through ZAMG (2021). Individual reports for each event were recieved by mail.|None|None|218,219,220,221,222,223,224,225,226,227,228,229,230,253

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1175|225|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_waveforms_raw.png|None
1176|225|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_waveforms_1-5Hz.png|None
1177|225|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_waveforms_20-60sec.png|None
1178|225|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_displspectra.png|None
1179|225|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_spectrogram.png|None
1180|225|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/225_FluelaWisshornSwitzerland_18Mar2019/photos_figures/225_FluelaWisshornSwitzerland_18Mar2019_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
186692|225|37851|6.961|290.57|110.51|None|1|None|1|None
186693|225|38159|15.784|81.35|261.5|None|1|None|None|None
186694|225|37854|27.531|123.81|304.03|None|1|None|1|None
186695|225|37849|38.598|173.34|353.38|None|1|None|1|None
186696|225|37855|44.257|135.03|315.32|None|1|None|0|None
186697|225|37863|47.432|109.24|289.67|None|1|None|1|None
186698|225|37847|49.965|232.4|52.02|None|1|None|1|None
186699|225|37864|54.999|306.2|125.77|None|1|None|1|None
186700|225|37848|57.013|236.29|55.84|None|1|None|0|None
186701|225|37856|65.566|276.85|96.23|None|1|None|1|None
186702|225|37874|65.149|63.1|243.66|None|1|None|1|None
186703|225|38320|67.077|123.27|303.8|None|1|None|None|None
186704|225|37870|69.591|329.06|148.71|None|1|None|1|None
186705|225|37861|73.679|278.0|97.3|None|1|None|None|None
186706|225|37884|76.282|18.97|199.21|None|1|None|None|None
186707|225|37860|88.882|151.44|331.83|None|1|None|0|None
186708|225|38319|92.162|114.92|295.71|None|1|None|None|None
186709|225|37858|94.84|259.4|78.52|None|1|None|0|None
186710|225|38326|100.24|149.43|329.9|None|1|None|None|None
186711|225|37901|101.103|36.47|217.05|None|1|None|0|None
186712|225|37867|103.878|283.42|102.45|None|1|None|None|None
186713|225|37900|102.999|5.95|186.06|None|1|None|None|None
186714|225|37878|101.637|107.36|288.28|None|1|None|None|None
186715|225|37859|105.304|251.77|70.83|None|1|None|None|None
186716|225|37886|108.476|312.65|131.88|None|1|None|None|None
186717|225|38279|107.084|134.12|314.84|None|1|None|None|None
186718|225|37903|107.657|61.05|241.96|None|1|None|None|None
186719|225|37857|111.216|173.89|354.0|None|1|None|None|None
186720|225|37852|111.574|189.99|9.81|None|1|None|None|None
186721|225|37869|118.182|276.6|95.48|None|1|None|None|None
186722|225|37853|117.049|217.72|37.05|None|1|None|None|None
186723|225|37910|127.585|330.35|149.73|None|1|None|None|None
186724|225|37877|138.562|270.58|89.26|None|1|None|None|None
186725|225|37923|137.08999515082954|76.54203167716575|257.8266019418932|None|1|None|None|None
186726|225|37929|138.241|61.76|242.94|None|1|None|None|None
186727|225|37872|146.563|256.48|75.13|None|1|None|None|None
186728|225|37894|182.954|257.35|75.67|None|1|None|None|None
186729|225|38155|184.046|291.24|109.58|None|None|None|None|None
188653|225|39220|14.719|82.88|263.02|None|None|None|None|None
188654|225|39221|14.719|82.88|263.02|None|None|None|None|None
188655|225|38625|69.591|329.06|148.71|None|None|None|0|None
188656|225|38626|69.591|329.06|148.71|None|None|None|0|None
188657|225|38627|69.591|329.06|148.71|None|None|None|1|None
188658|225|38628|69.591|329.06|148.71|None|None|None|0|None
188659|225|38629|69.591|329.06|148.71|None|None|None|0|None
188660|225|38630|27.531|123.81|304.03|None|None|None|0|None
188661|225|38631|27.531|123.81|304.03|None|None|None|0|None
188662|225|38632|27.531|123.81|304.03|None|None|None|1|None
188663|225|38633|27.531|123.81|304.03|None|None|None|0|None
188664|225|38634|27.531|123.81|304.03|None|None|None|0|None
188665|225|38638|65.566|276.85|96.23|None|None|None|0|None
188666|225|38639|65.566|276.85|96.23|None|None|None|0|None
188667|225|38635|65.566|276.85|96.23|None|None|None|0|None
188668|225|38636|65.566|276.85|96.23|None|None|None|0|None
188669|225|38637|65.566|276.85|96.23|None|None|None|0|None
188670|225|38647|54.999|306.2|125.77|None|None|None|0|None
188671|225|38648|54.999|306.2|125.77|None|None|None|0|None
188672|225|38644|54.999|306.2|125.77|None|None|None|0|None
188673|225|38645|54.999|306.2|125.77|None|None|None|0|None
188674|225|38646|54.999|306.2|125.77|None|None|None|1|None
188675|225|39222|94.84|259.4|78.52|None|None|None|0|None
188676|225|39223|94.84|259.4|78.52|None|None|None|0|None
188677|225|39224|94.84|259.4|78.52|None|None|None|0|None
188678|225|39225|94.84|259.4|78.52|None|None|None|0|None
188679|225|39226|94.84|259.4|78.52|None|None|None|0|None
188680|225|39227|49.965|232.4|52.02|None|None|None|0|None
188681|225|39228|49.965|232.4|52.02|None|None|None|0|None
188682|225|39229|49.965|232.4|52.02|None|None|None|1|None
188683|225|39230|49.965|232.4|52.02|None|None|None|0|None
188684|225|39231|49.965|232.4|52.02|None|None|None|0|None
188685|225|38653|6.961|290.57|110.51|None|None|None|0|None
188686|225|38654|6.961|290.57|110.51|None|None|None|0|None
188687|225|38655|6.961|290.57|110.51|None|None|None|1|None
188688|225|38656|6.961|290.57|110.51|None|None|None|0|None
188689|225|38657|6.961|290.57|110.51|None|None|None|0|None
188690|225|38658|73.679|278.0|97.3|None|None|None|None|None
188691|225|38659|73.679|278.0|97.3|None|None|None|None|None
188692|225|38660|73.679|278.0|97.3|None|None|None|None|None
188693|225|38661|73.679|278.0|97.3|None|None|None|None|None
188694|225|38662|73.679|278.0|97.3|None|None|None|None|None
188695|225|38670|89.124|326.35|145.87|None|None|None|None|None
188696|225|38671|89.124|326.35|145.87|None|None|None|None|None
188697|225|37879|89.124|326.35|145.87|None|None|None|None|None
