# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|Otherdataquality1to5|LPpotential|MaxdisthfKm|MaxdisthfReached|MaxdistlpKm|MaxdistlpReached|DatLocation|Sources
22|Mount Steele 2|2007-07-25 00:58:35|2007-07-25 01:02:51|61.102491|-140.3055|0.0|61.102491|-140.3055|61.140537|-140.253235|rock and ice avalanche|None|None|None|None|54000000.0|27500000.0|80500000.0|108000000000.0|None|None|1860.0|None|None|5760.0|None|None|5|1|1079.0|1|1100.0|0|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Infoid|Eventid|Refid|Note|Photoid|Gisid|ApplyAlso
104|22|5|Lipovsky and others (2008) is the source of the volume and runout distance|None|None|None
166|19|4|Mass estimate from Ekstrom and Stark (2013)|None|None|22,23

# 
# photos
# 
# Photoid|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
586|22|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_waveforms_raw.png|None
587|22|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_waveforms_1-5Hz.png|None
588|22|Kate Allstadt|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_waveforms_20-60sec.png|None
589|22|Kate Allstadt|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_displspectra.png|None
590|22|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_spectrogram.png|None
591|22|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|event_data/22_MountSteele2_25Jul2007/photos_figures/22_MountSteele2_25Jul2007_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
5|22|44|Lipovsky, P.S., Evans, S.G., Clague, J.J., Hopkinson, C., Couture, R., Bobrowsky, P., Ekstrom, G., Demuth, M.N., Delaney, K.B., Roberts, N.J., Clarke, G., and Schaeffer, A., 2008, The July 2007 rock and ice avalanches at Mount Steele, St. Elias Mountains, Yukon, Canada: Landslides, v. 5, no. 4, p. 445-455.|Lipovsky and others (2008)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectHF|DetectLP
15355|22|1533|415.335|130.33|315.05|None|None
15356|22|1534|415.335|130.33|315.05|None|None
15357|22|1535|415.335|130.33|315.05|None|None
15358|22|1539|233.016|268.0|84.23|1|0
15359|22|1540|233.016|268.0|84.23|1|0
15360|22|1541|233.016|268.0|84.23|1|1
15361|22|1548|253.107|151.79|333.6|1|0
15362|22|1549|253.107|151.79|333.6|1|0
15363|22|1550|253.107|151.79|333.6|1|1
15364|22|1709|294.91|272.82|88.03|1|1
15365|22|1710|294.91|272.82|88.03|1|1
15366|22|1711|294.91|272.82|88.03|1|1
15367|22|1712|294.91|272.82|88.03|None|None
15368|22|1713|294.91|272.82|88.03|None|None
15369|22|1714|294.91|272.82|88.03|None|None
15370|22|1715|343.467|327.09|143.75|None|None
15371|22|1716|343.467|327.09|143.75|None|None
15372|22|1717|343.467|327.09|143.75|None|None
15373|22|1718|343.467|327.09|143.75|None|None
15374|22|1719|343.467|327.09|143.75|None|None
15375|22|1720|343.467|327.09|143.75|None|None
15376|22|1721|302.757|260.48|75.72|1|1
15377|22|1722|302.757|260.48|75.72|1|1
15378|22|1723|302.757|260.48|75.72|1|1
15379|22|1724|294.176|301.57|117.29|None|None
15380|22|1725|294.176|301.57|117.29|None|None
15381|22|1726|294.176|301.57|117.29|None|None
15382|22|1727|293.796|301.38|117.11|1|0
15383|22|1728|293.796|301.38|117.11|1|0
15384|22|1729|293.796|301.38|117.11|1|1
15385|22|1730|340.579|309.74|125.18|None|None
15386|22|1731|340.579|309.74|125.18|None|None
15387|22|1732|340.579|309.74|125.18|None|None
15388|22|462|2314.687|137.37|333.01|None|None
15389|22|463|2314.687|137.37|333.01|None|None
15390|22|464|2314.687|137.37|333.01|None|None
15391|22|1596|168.31|162.48|343.26|1|1
15392|22|1597|168.31|162.48|343.26|1|1
15393|22|1598|168.31|162.48|343.26|1|1
15394|22|1602|251.77|253.25|69.44|1|0
15395|22|1603|251.77|253.25|69.44|1|0
15396|22|1604|251.77|253.25|69.44|1|1
15397|22|1733|375.351|323.33|139.3|None|None
15398|22|1734|375.351|323.33|139.3|None|None
15399|22|1735|375.351|323.33|139.3|None|None
15400|22|1129|434.876|283.8|96.74|None|None
15401|22|1130|434.876|283.8|96.74|None|None
15402|22|1131|434.876|283.8|96.74|None|None
15403|22|1736|371.478|330.91|147.64|None|None
15404|22|1737|371.478|330.91|147.64|None|None
15405|22|1738|371.478|330.91|147.64|None|None
15406|22|1132|475.08|280.36|92.61|1|1
15407|22|1133|475.08|280.36|92.61|1|1
15408|22|1134|475.08|280.36|92.61|1|1
15409|22|1638|330.73|121.56|305.88|1|0
15410|22|1639|330.73|121.56|305.88|1|0
15411|22|1640|330.73|121.56|305.88|1|1
15412|22|1739|235.341|296.27|112.73|None|None
15413|22|1740|235.341|296.27|112.73|None|None
15414|22|1741|235.341|296.27|112.73|None|None
15415|22|1742|223.696|298.06|114.75|None|None
15416|22|1743|225.303|295.56|112.15|None|None
15417|22|1744|231.028|299.42|116.03|None|None
15418|22|1653|285.248|128.52|311.94|None|None
15419|22|1654|285.248|128.52|311.94|None|None
15420|22|1655|285.248|128.52|311.94|None|None
15421|22|1656|298.573|97.29|282.02|1|1
15422|22|1657|298.573|97.29|282.02|1|1
15423|22|1658|298.573|97.29|282.02|1|1
15424|22|1163|479.467|280.55|92.72|None|None
15425|22|1688|331.292|121.38|305.71|None|None
15426|22|1745|411.112|354.31|173.55|1|1
15427|22|1746|411.112|354.31|173.55|1|1
15428|22|1747|411.112|354.31|173.55|1|1
15429|22|1748|163.248|241.95|59.67|None|None
15430|22|1749|163.248|241.95|59.67|None|None
15431|22|1750|163.248|241.95|59.67|None|None
15432|22|1751|165.239|242.16|59.84|None|None
15433|22|1752|165.239|242.16|59.84|None|None
15434|22|1753|165.239|242.16|59.84|None|None
15435|22|1754|161.381|241.75|59.5|None|None
15436|22|1755|161.381|241.75|59.5|None|None
15437|22|1756|161.381|241.75|59.5|None|None
15438|22|1757|163.68|241.26|58.99|None|None
15439|22|1758|163.68|241.26|58.99|None|None
15440|22|1759|163.68|241.26|58.99|None|None
15441|22|1760|162.764|242.65|60.36|None|None
15442|22|1761|162.764|242.65|60.36|None|None
