# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
232|Stubaital, Austria|2014-11-25 02:48:39|2014-11-25 02:49:55|47.0809|11.3359|1.2|None|None|None|None|rock slide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|3|0|None|None|114.0|0|None|None|0.0|None|None|None|None|LMU, BGR, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
576|232|206|A local magnitude of 0.7 was estimated for this event by the Austrian seismological service, ZAMG (Fuchs and others, 2018).|None|None|None
486|201|220|This event occurred in schists, phyllites, quartzites and marbles based on ELSUS v2 (Wilde and others, 2018).|None|None|236,206,232,231
497|205|206|Location, type, and volumes (where applicable) were taken from Fuchs and others (2018). Fuchs and others (2018) estimated volumes from photographs which matched volumes from news articles and on-site geological estimates. Fuchs and others (2018) note that volumes may have large uncertainities and should be considered as order of magnitude estimates.|None|None|206,208,209,210,211,212,213,214,215,216,230,231,232
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
583|205|None|Location uncertainty was estimated from the maximum distance between event coordinates and suspected crown location using Google Earth and photographs of event site, when available.|None|None|206,208,209,215,216,228,230,231,232,243,244

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1205|232|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/232_StubaitalAustria_25Nov2014/photos_figures/232_StubaitalAustria_25Nov2014_waveforms_raw.png|None
1206|232|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/232_StubaitalAustria_25Nov2014/photos_figures/232_StubaitalAustria_25Nov2014_waveforms_1-5Hz.png|None
1207|232|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/232_StubaitalAustria_25Nov2014/photos_figures/232_StubaitalAustria_25Nov2014_spectrogram.png|None
1208|232|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/232_StubaitalAustria_25Nov2014/photos_figures/232_StubaitalAustria_25Nov2014_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
186786|232|37898|17.93890195829792|161.20444187064547|341.25995573517963|None|1|None|None|None
186787|232|37923|28.66592913699241|99.45810619272194|279.73123815752416|None|1|None|None|None
186788|232|38216|39.20255322791733|181.72115570354558|1.7099102880462436|None|1|None|None|None
186789|232|38213|58.22123817824744|104.38786970006791|284.9312508892176|None|1|None|None|None
186790|232|37863|79.02069368214633|229.56142398051395|48.987697213555954|None|1|None|None|None
186791|232|37900|113.99908549002373|306.1174809941894|125.21322115423605|None|1|None|None|None

# 
# stations
# 
# Sid|Name|Network|Channel|LocationCode|Latitude|Longitude|ElevationMasl|Source
37898|ROSI|SI|HHZ||46.9281|11.4118|1917.0|INGV
37923|SCE|BW|EHZ||47.0378|11.709|1730.0|LMU
38216|ABSI|SI|HHZ||46.7285|11.3205|1801.0|INGV
38213|RISI|SI|HHZ||46.948|12.0787|1785.0|INGV
37863|MOSI|SI|HHZ||46.6164|10.5495|1957.0|INGV
37900|UBR|GR|HHZ||47.6799|10.1071|903.0|BGR

