# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
23|Mount Steller|2005-09-14 19:59:38|2005-09-14 20:02:08|60.517152|-143.091546|0.0|None|None|None|None|rock and ice avalanche|None|None|None|None|50000000.0|40000000.0|60000000.0|81000000000.0|None|None|2430.0|None|None|9000.0|None|None|None|None|None|None|None|None|None|None|None|None|5|1|None|None|1082.0|1|None|None|1100.0|0|None|None|None|IRIS|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
105|23|54|Huggel and others (2008) is the source of the volume and runout distance|None|None|None
166|19|4|Mass estimate from Ekström and Stark (2013)|None|None|22,23

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
580|23|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_waveforms_raw.png|None
581|23|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_waveforms_1-5Hz.png|None
582|23|Kate Allstadt|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_waveforms_20-60sec.png|None
583|23|Kate Allstadt|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_displspectra.png|None
584|23|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_spectrogram.png|None
585|23|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/23_MountSteller_14Sep2005/photos_figures/23_MountSteller_14Sep2005_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
54|23|None|Huggel, C., Gruber, S., Caplan-Auerbach, J., Wessels, R., and Molina, B., 2008, The 2005 Mt. Steller, Alaska, Rock-Ice Avalanche: A Large Slope Failure in Cold Permafrost: in Proceedings of the Ninth International Conference on Permafrost Proceedings, Fairbanks, AK, v. 1, p 747-752.|Huggel and others (2008)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
15537|23|1539|96.619|301.96|120.64|None|1|None|1|None
15538|23|1540|96.619|301.96|120.64|None|1|None|1|None
15539|23|1541|96.619|301.96|120.64|None|1|None|1|None
15540|23|4223|96.619|301.96|120.64|None|None|None|None|None
15541|23|4224|96.619|301.96|120.64|None|None|None|None|None
15542|23|4225|96.619|301.96|120.64|None|None|None|None|None
15543|23|1548|316.382|118.02|302.23|None|1|None|0|None
15544|23|1549|316.382|118.02|302.23|None|1|None|0|None
15545|23|1550|316.382|118.02|302.23|None|1|None|1|None
15546|23|4226|316.382|118.02|302.23|None|None|None|None|None
15547|23|4227|316.382|118.02|302.23|None|None|None|None|None
15548|23|4228|316.382|118.02|302.23|None|None|None|None|None
15549|23|1709|161.123|296.21|113.86|None|1|None|1|None
15550|23|1710|161.123|296.21|113.86|None|1|None|1|None
15551|23|1711|161.123|296.21|113.86|None|1|None|1|None
15552|23|1712|161.123|296.21|113.86|None|None|None|None|None
15553|23|1713|161.123|296.21|113.86|None|None|None|None|None
15554|23|1714|161.123|296.21|113.86|None|None|None|None|None
15555|23|1715|352.658|352.1|171.23|None|1|None|1|None
15556|23|1716|352.658|352.1|171.23|None|1|None|1|None
15557|23|1717|352.658|352.1|171.23|None|1|None|1|None
15558|23|1718|352.658|352.1|171.23|None|None|None|None|None
15559|23|1719|352.658|352.1|171.23|None|None|None|None|None
15560|23|1720|352.658|352.1|171.23|None|None|None|None|None
15561|23|1721|145.982|272.54|90.22|None|None|None|None|None
15562|23|1722|145.982|272.54|90.22|None|None|None|None|None
15563|23|1723|145.982|272.54|90.22|None|None|None|None|None
15564|23|4229|145.982|272.54|90.22|None|None|None|None|None
15565|23|4230|145.982|272.54|90.22|None|None|None|None|None
15566|23|4231|145.982|272.54|90.22|None|None|None|None|None
15567|23|962|391.824|283.7|97.51|None|1|None|1|None
15568|23|963|391.824|283.7|97.51|None|1|None|1|None
15569|23|964|391.824|283.7|97.51|None|1|None|0|None
15570|23|1724|237.637|333.33|151.51|None|None|None|None|None
15571|23|1725|237.637|333.33|151.51|None|None|None|None|None
15572|23|1726|237.637|333.33|151.51|None|None|None|None|None
15573|23|1727|236.798|333.19|151.38|None|1|None|1|None
15574|23|1728|236.798|333.19|151.38|None|1|None|1|None
15575|23|1729|236.798|333.19|151.38|None|1|None|1|None
15576|23|2387|470.174|322.14|136.97|None|1|None|1|None
15577|23|2388|470.174|322.14|136.97|None|1|None|1|None
15578|23|2389|470.174|322.14|136.97|None|1|None|1|None
15579|23|1730|300.793|336.35|154.26|None|None|None|None|None
15580|23|1731|300.793|336.35|154.26|None|None|None|None|None
15581|23|1732|300.793|336.35|154.26|None|None|None|None|None
15582|23|462|2377.085|131.36|329.18|None|None|None|None|None
15583|23|463|2377.085|131.36|329.18|None|None|None|None|None
15584|23|464|2377.085|131.36|329.18|None|None|None|None|None
15585|23|4232|163.803|105.41|287.88|None|None|None|None|None
15586|23|4233|163.803|105.41|287.88|None|None|None|None|None
15587|23|4234|163.803|105.41|287.88|None|None|None|None|None
15588|23|1596|226.033|113.2|296.39|None|1|None|1|None
15589|23|1597|226.033|113.2|296.39|None|1|None|1|None
15590|23|1598|226.033|113.2|296.39|None|1|None|1|None
15591|23|965|367.299|282.88|97.07|None|1|None|1|None
15592|23|966|367.299|282.88|97.07|None|1|None|1|None
15593|23|967|367.299|282.88|97.07|None|1|None|1|None
15594|23|1129|316.472|299.28|114.69|None|1|None|0|None
15595|23|1130|316.472|299.28|114.69|None|0|None|0|None
15596|23|1131|316.472|299.28|114.69|None|1|None|1|None
15597|23|974|354.466|265.32|79.79|None|1|None|1|None
15598|23|975|354.466|265.32|79.79|None|1|None|1|None
15599|23|976|354.466|265.32|79.79|None|1|None|1|None
15600|23|4235|354.466|265.32|79.79|None|None|None|None|None
15601|23|4236|354.466|265.32|79.79|None|None|None|None|None
15602|23|4237|354.466|265.32|79.79|None|None|None|None|None
15603|23|4238|351.966|337.76|155.4|None|1|None|0|None
15604|23|4239|351.966|337.76|155.4|None|1|None|0|None
15605|23|4240|351.966|337.76|155.4|None|1|None|1|None
15606|23|4241|431.972|301.05|114.76|None|None|None|None|None
15607|23|4242|431.972|301.05|114.76|None|None|None|None|None
15608|23|4243|431.972|301.05|114.76|None|None|None|None|None
15609|23|2411|498.732|314.04|127.68|None|None|None|None|None
15610|23|2412|498.732|314.04|127.68|None|None|None|None|None
15611|23|2413|498.732|314.04|127.68|None|None|None|None|None
15612|23|1132|347.35|292.79|107.5|None|1|None|1|None
