# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
252|Saint Auban, France|2017-05-30 18:52:05|2017-05-30 18:54:27|43.85|6.7|6.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|244.0|0|None|None|0.0|None|None|None|None|RESIF, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
490|252|220|This event occurred in limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|197,200,196,195,245,246,247,194,211,253,219,237,208,215,230,224,212,260
544|252|205|Location coordinates, maximum location uncertainty, and type were taken from Renass (2017)a.|None|None|None
601|252|None|Envelope arrival times on the seismic record section are not increasing with distance suggesting the location may not be accurate or there may be some timing problems with one or more seismic stations.|None|None|None
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1285|252|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/252_SaintAubanFrance_30May2017/photos_figures/252_SaintAubanFrance_30May2017_waveforms_raw.png|None
1286|252|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/252_SaintAubanFrance_30May2017/photos_figures/252_SaintAubanFrance_30May2017_waveforms_1-5Hz.png|None
1287|252|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/252_SaintAubanFrance_30May2017/photos_figures/252_SaintAubanFrance_30May2017_spectrogram.png|None
1288|252|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/252_SaintAubanFrance_30May2017/photos_figures/252_SaintAubanFrance_30May2017_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
205|252||Renass, May 2017, Éboulement de magnitude 1.2, proche de Grasse [Bulletin], Accessed 5 Nov 2021, at https://renass.unistra.fr/fr/evenements/fr2017vybtsr/|Renass (2017)a|None|https://renass.unistra.fr/fr/evenements/fr2017vybtsr/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
187232|252|38194|20.862|121.1|301.25|None|1|None|None|None
187233|252|38195|20.862|121.1|301.25|None|1|None|None|None
187234|252|38185|26.176|244.2|64.0|None|1|None|None|None
187235|252|38178|29.496|12.14|192.2|None|1|None|None|None
187236|252|38196|36.768|81.85|262.17|None|1|None|None|None
187237|252|38180|46.528|36.98|217.22|None|1|None|None|None
187238|252|38181|46.528|36.98|217.22|None|1|None|None|None
187239|252|38179|47.757|307.27|126.94|None|1|None|None|None
187240|252|38341|48.32|133.85|314.15|None|1|None|None|None
187241|252|38184|48.766|61.85|242.22|None|1|None|None|None
187242|252|38199|53.806|282.27|101.81|None|1|None|None|None
187243|252|38197|54.277|92.0|272.46|None|1|None|None|None
187244|252|38198|57.282|75.74|256.22|None|1|None|None|None
187245|252|38342|63.143|214.84|34.54|None|1|None|None|None
187246|252|37834|64.454|3.46|183.49|None|1|None|None|None
187247|252|38182|66.683|48.61|229.04|None|1|None|None|None
187248|252|38017|69.355|95.91|276.5|None|1|None|None|None
187249|252|38187|70.302|77.18|257.77|None|1|None|None|None
187250|252|37833|70.674|7.22|187.3|None|1|None|None|None
187251|252|37993|71.35|53.53|234.03|None|1|None|None|None
187252|252|38343|77.64|248.31|67.69|None|1|None|None|None
187253|252|37823|77.996|355.44|175.39|None|1|None|None|None
187254|252|38177|80.164|24.35|204.64|None|1|None|None|None
187255|252|38212|85.176|266.69|85.96|None|1|None|None|None
187256|252|38005|95.86591346608142|85.5766618069879|266.40372736126847|None|1|None|None|None
187257|252|38211|97.96739839149105|276.3357781094021|95.49258344344423|None|1|None|None|None
187258|252|38188|98.249|276.34|95.5|None|1|None|None|None
187259|252|38191|98.0096711672362|275.5658760801641|94.72138509606167|None|1|None|None|None
187260|252|38190|98.70016792587901|276.24319744548984|95.39356044896164|None|1|None|None|None
187261|252|38192|99.37696028765932|275.9497282976981|95.09388193034962|None|1|None|None|None
187262|252|37979|100.97647752779159|64.1367150213321|244.9292294915373|None|1|None|None|None
187263|252|38204|105.1747582726126|7.665996021036522|187.78977835907463|None|1|None|None|None
187264|252|38206|105.30987647242856|7.754910138685113|187.88028379077485|None|1|None|None|None
187265|252|38262|113.17966113341735|74.63070825389558|255.5798019498739|None|1|None|None|None
187266|252|38344|116.97891505442972|250.6254071195333|69.6811003753541|None|1|None|None|None
187267|252|37819|117.05804167643561|336.59820493503815|156.18751164464206|None|1|None|None|None
187268|252|38164|119.30430083792083|3.417119286474747|183.48007547446417|None|1|None|None|None
187269|252|37971|129.16314677339278|71.60071004460092|252.6691320687417|None|1|None|None|None
187270|252|37818|133.66770770874354|359.2565663823291|179.24115895406112|None|1|None|None|None
187271|252|37815|134.08309170340416|349.8722811664413|169.66288478190265|None|1|None|None|None
187272|252|37824|135.48682207031354|331.4555502475319|150.88195840163058|None|1|None|None|None
187273|252|37953|141.63796432357412|67.6394223174592|248.7846240765172|None|1|None|None|None
187274|252|38208|151.14500153120716|17.100820748951786|197.4967851679898|None|1|None|None|None
187275|252|38315|157.67890095144458|343.0975946544923|162.6885460923407|None|1|None|None|None
187276|252|38225|165.99294690076636|61.85472014422009|243.14131872815523|None|1|None|None|None
187277|252|37846|204.48610369680256|358.3509746977259|178.29780882401806|None|1|None|None|None
187278|252|38160|211.04456729137866|338.2380940962866|157.5322802822463|None|1|None|None|None
187279|252|38096|211.11240631506814|286.69176575738|104.92112304039968|None|1|None|None|None
187280|252|38065|233.38493439700486|313.56109801100393|132.0465948543387|None|1|None|None|None
187281|252|38066|233.38493439700486|313.56109801100393|132.0465948543387|None|1|None|None|None
187282|252|38345|235.97173030124438|126.94128906051914|308.51552627662744|None|1|None|None|None
187283|252|38346|237.12274078585116|113.876155273882|295.7061506675722|None|1|None|None|None
187284|252|37889|243.30907614379532|21.898198997307922|202.72261437578658|None|1|None|None|None
190308|252|40301|77.64|248.31|67.69|None|None|None|None|None
190309|252|40302|77.64|248.31|67.69|None|None|None|None|None
190310|252|40303|77.64|248.31|67.69|None|None|None|None|None
190311|252|40304|77.64|248.31|67.69|None|None|None|None|None
