# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
254|Val Canaria, Switzerland|2009-10-27 06:29:41|2009-10-27 06:30:56|46.5367|8.6418|0.0|46.5367|8.6418|46.5373|8.6369|rock slide|None|None|None|None|398000.0|365000.0|430000.0|None|None|None|250.0|None|None|316.0|None|None|None|None|None|None|None|None|None|None|None|None|5|0|None|None|63.0|0|None|None|0.0|None|None|None|None|INGV, ETH|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
557|254|226|Event type, low and high volume estimates, L, and H were taken from Pedrazzini and others (2011). Low and high volume estimates were based on DEM differences based on source and deposit areas. The best volume estimate is the average between the low and the high, rounded up to three significant digits.|None|None|None
558|254|208|This event is also included in Dammeier and others (2011), where an alternative volume estimate of 360,000 m3 and runout estimate of 210 m were noted. Location was adjusted based on Google Earth imagery.|None|None|None
489|234|220|This event occurred in gneisses based on ELSUS v2 (Wilde and others, 2018).|None|None|235,238,239,240,241,242,257,258,254,233,210,225,213
530|191|None|Horizontal components for several stations which detected these events were not reviewed.|None|None|192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258
546|210|210|Event times and locations were initially provided by Pedrazzini (pers. comm., 2021).|None|None|254

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1293|254|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/254_ValCanariaSwitzerland_27Oct2009/photos_figures/254_ValCanariaSwitzerland_27Oct2009_waveforms_raw.png|None
1294|254|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/254_ValCanariaSwitzerland_27Oct2009/photos_figures/254_ValCanariaSwitzerland_27Oct2009_waveforms_1-5Hz.png|None
1295|254|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/254_ValCanariaSwitzerland_27Oct2009/photos_figures/254_ValCanariaSwitzerland_27Oct2009_spectrogram.png|None
1296|254|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/254_ValCanariaSwitzerland_27Oct2009/photos_figures/254_ValCanariaSwitzerland_27Oct2009_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
226|254|None|Pedrazzini, A., Abellan, A., Jaboyedoff, M., and Oppikofer, T., 2011, Monitoring and failure mechanism interpretation of an unstable slope in Southern Switzerland based on terrestrial laser scanner, 14th Pan-American Conference on Soil Mechanics and Geotechnical Engineering 64th Canadian Geotechnical Conference, October 2-6, 2011, Toronto, Ontario, Canada, International Society for Soil Mechanics and Geotechnical Engineering,  9 p.|Pedrazzini and others (2011)|None|https://www.issmge.org/publications/publication/monitoring-and-failure-mechanism-interpretation-of-an-unstable-slope-in-southern-switzerland-based-on-terrestrial-laser-scanner

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
187312|254|37859|9.246|169.9|349.92|None|1|None|None|None
187313|254|37869|40.629|335.98|155.83|None|1|None|None|None
187314|254|37877|44.827|303.26|122.9|None|1|None|None|None
187315|254|37867|47.908|359.57|179.57|None|1|None|None|None
187316|254|37848|54.625|97.28|277.79|None|1|None|None|None
187317|254|37847|62.262|95.2|275.78|None|1|None|None|None
190516|254|39636|75.019|172.37|352.47|None|None|None|None|None
190517|254|39637|75.019|172.37|352.47|None|None|None|None|None
190518|254|37862|75.019|172.37|352.47|None|None|None|None|None
190519|254|39258|54.625|97.28|277.79|None|None|None|None|None
190520|254|39259|54.625|97.28|277.79|None|None|None|None|None
190521|254|39260|54.625|97.28|277.79|None|None|None|None|None
190522|254|39261|54.625|97.28|277.79|None|None|None|None|None
190523|254|39262|54.625|97.28|277.79|None|None|None|None|None
190524|254|39352|44.827|303.26|122.9|None|None|None|None|None
190525|254|39353|44.827|303.26|122.9|None|None|None|None|None
190526|254|39354|44.827|303.26|122.9|None|None|None|None|None
190527|254|39355|44.827|303.26|122.9|None|None|None|None|None
190528|254|39356|44.827|303.26|122.9|None|None|None|None|None
190529|254|39367|79.261|280.73|99.99|None|None|None|None|None
190530|254|39368|79.261|280.73|99.99|None|None|None|None|None
190531|254|39369|79.261|280.73|99.99|None|None|None|None|None
190532|254|39370|79.261|280.73|99.99|None|None|None|None|None
190533|254|39371|79.261|280.73|99.99|None|None|None|None|None
190534|254|37899|79.261|280.73|99.99|None|None|None|None|None
190535|254|38644|80.181|44.45|224.99|None|None|None|None|None
190536|254|38645|80.181|44.45|224.99|None|None|None|None|None
190537|254|38646|80.181|44.45|224.99|None|None|None|None|None
190538|254|38647|80.181|44.45|224.99|None|None|None|None|None
190539|254|38648|80.181|44.45|224.99|None|None|None|None|None
190540|254|37864|80.181|44.45|224.99|None|None|None|None|None
190541|254|40513|92.944|353.23|173.12|None|None|None|None|None
190542|254|40514|92.944|353.23|173.12|None|None|None|None|None
190543|254|40515|92.944|353.23|173.12|None|None|None|None|None
190544|254|39723|79.698|258.32|77.58|None|None|None|None|None
190545|254|39724|79.698|258.32|77.58|None|None|None|None|None
190546|254|37896|79.698|258.32|77.58|None|None|None|None|None
190547|254|39231|62.262|95.2|275.78|None|None|None|None|None
190548|254|39230|62.262|95.2|275.78|None|None|None|None|None
190549|254|39229|62.262|95.2|275.78|None|None|None|None|None
190550|254|39228|62.262|95.2|275.78|None|None|None|None|None
190551|254|39227|62.262|95.2|275.78|None|None|None|None|None
190552|254|38653|98.533|73.59|254.49|None|None|None|None|None
190553|254|38654|98.533|73.59|254.49|None|None|None|None|None
190554|254|38655|98.533|73.59|254.49|None|None|None|None|None
190555|254|38656|98.533|73.59|254.49|None|None|None|None|None
190556|254|38657|98.533|73.59|254.49|None|None|None|None|None
190557|254|37851|98.533|73.59|254.49|None|None|None|None|None
190558|254|39382|74.985|155.56|335.85|None|None|None|None|None
190559|254|39383|74.985|155.56|335.85|None|None|None|None|None
190560|254|39384|74.985|155.56|335.85|None|None|None|None|None
190561|254|39385|74.985|155.56|335.85|None|None|None|None|None
190562|254|39386|74.985|155.56|335.85|None|None|None|None|None
190563|254|37853|74.985|155.56|335.85|None|None|None|None|None
190564|254|38658|44.427|38.99|219.25|None|None|None|None|None
190565|254|38659|44.427|38.99|219.25|None|None|None|None|None
190566|254|38660|44.427|38.99|219.25|None|None|None|None|None
190567|254|38661|44.427|38.99|219.25|None|None|None|None|None
190568|254|38662|44.427|38.99|219.25|None|None|None|None|None
190569|254|37861|44.427|38.99|219.25|None|None|None|None|None
190570|254|39400|40.629|335.98|155.83|None|None|None|None|None
190571|254|39401|40.629|335.98|155.83|None|None|None|None|None
190572|254|39402|40.629|335.98|155.83|None|None|None|None|None
190573|254|39403|40.629|335.98|155.83|None|None|None|None|None
190574|254|39404|40.629|335.98|155.83|None|None|None|None|None
190575|254|38669|92.666|357.15|177.11|None|None|None|None|None
190576|254|38668|92.666|357.15|177.11|None|None|None|None|None
190577|254|38667|92.666|357.15|177.11|None|None|None|None|None
190578|254|38666|92.666|357.15|177.11|None|None|None|None|None
190579|254|38665|92.666|357.15|177.11|None|None|None|None|None
190580|254|37890|92.666|357.15|177.11|None|None|None|None|None
190581|254|39407|75.134|224.27|43.78|None|None|None|None|None
190582|254|39408|75.134|224.27|43.78|None|None|None|None|None
190583|254|39409|75.134|224.27|43.78|None|None|None|None|None
190584|254|39405|75.134|224.27|43.78|None|None|None|None|None
190585|254|39406|75.134|224.27|43.78|None|None|None|None|None
190586|254|37881|75.134|224.27|43.78|None|None|None|None|None
190587|254|39415|47.908|359.57|179.57|None|None|None|None|None
190588|254|39416|47.908|359.57|179.57|None|None|None|None|None
