# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
259|Isanotski|2019-09-27 03:10:52|2019-09-27 03:11:49|54.7576|-163.7315|4.0|None|None|None|None|landslide|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|128.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
512|259|185|This event registered as an earthquake with a depth of -1.6 km near Isanotski volcano by the Alaska Volcano Observatory (Toney, written commun., 2021).|1352|None|None
550|259|None|This event is suspected to be a surface mass movement based on its signal characteristics but is currently unconfirmed. Location uncertainty was estimated based on the upper extent of the Isanotski Peaks.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1347|259|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/259_Isanotski_27Sep2019/photos_figures/259_Isanotski_27Sep2019_waveforms_raw.png|None
1348|259|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/259_Isanotski_27Sep2019/photos_figures/259_Isanotski_27Sep2019_waveforms_1-5Hz.png|None
1349|259|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/259_Isanotski_27Sep2019/photos_figures/259_Isanotski_27Sep2019_spectrogram.png|None
1350|259|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/259_Isanotski_27Sep2019/photos_figures/259_Isanotski_27Sep2019_spectra.png|None
1352|259|Liam Toney|Surface event location near Isanotski Peaks provided by Liam Toney.|None|None|None|EventData/259_Isanotski_27Sep2019/photos_figures/259_Isanotski_27Sep2019_source-LiamToney_5.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
191134|259|13706|266.504|86.55|269.94|None|None|None|None|None
191135|259|13707|266.504|86.55|269.94|None|None|None|None|None
191136|259|13708|266.504|86.55|269.94|None|None|None|None|None
191137|259|5792|22.992|61.29|241.55|None|1|None|None|None
191138|259|5793|22.992|61.29|241.55|None|1|None|None|None
191139|259|5794|22.992|61.29|241.55|None|1|None|None|None
191140|259|34536|22.986|61.29|241.54|None|1|None|None|None
191141|259|34537|22.986|61.29|241.54|None|1|None|None|None
191142|259|34538|22.986|61.29|241.54|None|1|None|None|None
191143|259|5801|391.147|241.56|57.42|None|None|None|None|None
191144|259|5802|391.147|241.56|57.42|None|None|None|None|None
191145|259|5803|391.147|241.56|57.42|None|None|None|None|None
191146|259|5810|487.654|306.17|120.77|None|None|None|None|None
191147|259|5811|487.654|306.17|120.77|None|None|None|None|None
191148|259|5812|487.654|306.17|120.77|None|None|None|None|None
191149|259|40758|487.66|306.17|120.77|None|None|None|None|None
191150|259|40759|487.66|306.17|120.77|None|None|None|None|None
191151|259|40760|487.66|306.17|120.77|None|None|None|None|None
191152|259|5816|207.111|241.77|59.52|None|None|None|None|None
191153|259|5817|207.111|241.77|59.52|None|None|None|None|None
191154|259|5818|207.111|241.77|59.52|None|None|None|None|None
191155|259|34539|207.111|241.77|59.52|None|None|None|None|None
191156|259|34540|207.111|241.77|59.52|None|None|None|None|None
191157|259|34541|207.111|241.77|59.52|None|None|None|None|None
191158|259|5819|149.391|243.2|61.54|None|None|None|None|None
191159|259|5820|149.391|243.2|61.54|None|None|None|None|None
191160|259|5821|149.391|243.2|61.54|None|None|None|None|None
191161|259|5822|377.076|60.72|245.1|None|None|None|None|None
191162|259|5823|377.076|60.72|245.1|None|None|None|None|None
191163|259|5824|377.076|60.72|245.1|None|None|None|None|None
191164|259|5825|218.173|71.1|253.77|None|None|None|None|None
191165|259|5826|218.173|71.1|253.77|None|None|None|None|None
191166|259|5827|218.173|71.1|253.77|None|None|None|None|None
191167|259|34542|153.129|242.98|61.28|None|None|None|None|None
191168|259|34543|153.129|242.98|61.28|None|None|None|None|None
191169|259|34544|153.129|242.98|61.28|None|None|None|None|None
191170|259|5833|160.704|243.69|61.9|None|None|None|None|None
191171|259|5834|160.704|243.69|61.9|None|None|None|None|None
191172|259|5835|160.704|243.69|61.9|None|None|None|None|None
191173|259|5836|159.312|247.9|66.06|None|None|None|None|None
191174|259|5837|159.312|247.9|66.06|None|None|None|None|None
191175|259|5838|159.312|247.9|66.06|None|None|None|None|None
191176|259|34545|155.122|245.18|63.43|None|None|None|None|None
191177|259|34546|155.122|245.18|63.43|None|None|None|None|None
191178|259|34547|155.122|245.18|63.43|None|None|None|None|None
191179|259|5839|158.861|246.23|64.42|None|None|None|None|None
191180|259|5840|158.861|246.23|64.42|None|None|None|None|None
191181|259|5841|158.861|246.23|64.42|None|None|None|None|None
191182|259|5842|165.638|244.29|62.43|None|None|None|None|None
191183|259|5843|165.638|244.29|62.43|None|None|None|None|None
191184|259|5844|165.638|244.29|62.43|None|None|None|None|None
191185|259|5845|167.1|246.21|64.31|None|None|None|None|None
191186|259|5846|167.1|246.21|64.31|None|None|None|None|None
191187|259|5847|167.1|246.21|64.31|None|None|None|None|None
191188|259|5851|146.623|241.33|59.73|None|None|None|None|None
191189|259|5852|146.623|241.33|59.73|None|None|None|None|None
191190|259|5853|146.623|241.33|59.73|None|None|None|None|None
191194|259|34548|161.071|245.0|63.19|None|None|None|None|None
