# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
260|Mont Granier 4, France|2016-05-07 06:32:26|2016-05-07 06:33:57|45.468008|5.931353|0.35|None|None|None|None|rock fall|None|None|None|None|50000.0|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|0|None|None|266.0|1|None|None|0.0|None|None|None|None|RESIF, ETH, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
563|260|193|The largest rock fall of the Mont Granier events noted occurred on May 7, 2016. Deposits from this event were further mobilized by a thunderstorm on May 13, 2016, producing a debris flow that reached the Col du Granier road (IRMA, 2016).|None|None|None
564|260|229|A video of the May 7, 2016 event on Mont Granier was posted by Quirin (2016) to YouTube at https://www.youtube.com/watch?v=Uxs6mk50IdQ|None|None|None
490|252|220|This event occurred in limestones based on ELSUS v2 (Wilde and others, 2018).|None|None|197,200,196,195,245,246,247,194,211,253,219,237,208,215,230,224,212,260
531|245|193|Volume estimate taken from IRMA (2016). Photographs of the event region are also provided by IRMA (2016) at http://www.irma-grenoble.com/04risques_isere/00commune_evenements_fiche.php?id_evenements=4055|None|None|246,247,260
553|245|None|Multiple events occurred on Mont Granier, France within days of each other. Separate events are indistinguishable in available imagery therefore coordinates and location uncertainties for the Mont Granier events are identical. Location uncertainty was estimated from the largest distance between coordinates and landslide crowns.|None|None|246,247,260

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1353|260|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/260_MontGranier4France_07May2016/photos_figures/260_MontGranier4France_07May2016_waveforms_raw.png|None
1354|260|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/260_MontGranier4France_07May2016/photos_figures/260_MontGranier4France_07May2016_waveforms_1-5Hz.png|None
1355|260|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/260_MontGranier4France_07May2016/photos_figures/260_MontGranier4France_07May2016_spectrogram.png|None
1356|260|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/260_MontGranier4France_07May2016/photos_figures/260_MontGranier4France_07May2016_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
229|260|None|Quirin, J.P., YouTube, 8 May 2016, 1- EBOULEMENT SPECTACULAIRE DU MONT GRANIER ! 7 MAI 2016 [Video], Accessed 27 Jan 2022, at https://www.youtube.com/watch?v=Uxs6mk50IdQ|Quirin (2016)|None|https://www.youtube.com/watch?v=BiQZ5c9cpNU

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
191368|260|40806|81.252|202.03|21.75|None|None|None|None|None
191369|260|40807|81.252|202.03|21.75|None|None|None|None|None
191370|260|40810|81.252|202.03|21.75|None|None|None|None|None
191371|260|38373|42.773|121.67|302.0|None|None|None|None|None
191372|260|38376|137.91|44.09|224.99|None|None|None|None|None
191373|260|40816|185.899|229.56|48.3|None|0|None|None|None
191374|260|40817|185.899|229.56|48.3|None|0|None|None|None
191375|260|40818|185.899|229.56|48.3|None|0|None|None|None
191376|260|40819|185.899|229.56|48.3|None|1|None|None|None
191377|260|40820|185.899|229.56|48.3|None|1|None|None|None
191378|260|38096|185.899|229.56|48.3|None|1|None|None|None
191379|260|40306|168.82|176.9|356.98|None|0|None|None|None
191380|260|40307|168.82|176.9|356.98|None|0|None|None|None
191381|260|38199|168.82|176.9|356.98|None|0|None|None|None
191382|260|40308|168.82|176.9|356.98|None|0|None|None|None
191383|260|40309|168.82|176.9|356.98|None|0|None|None|None
191384|260|40310|168.82|176.9|356.98|None|0|None|None|None
191385|260|40821|199.315|7.09|187.32|None|1|None|None|None
191386|260|40822|199.315|7.09|187.32|None|1|None|None|None
191387|260|38203|199.315|7.09|187.32|None|1|None|None|None
191388|260|40311|186.661|187.13|6.93|None|0|None|None|None
191389|260|40312|186.661|187.13|6.93|None|0|None|None|None
191390|260|40313|186.661|187.13|6.93|None|0|None|None|None
191391|260|40314|186.661|187.13|6.93|None|0|None|None|None
191392|260|40315|186.661|187.13|6.93|None|0|None|None|None
191393|260|38212|186.661|187.13|6.93|None|0|None|None|None
191394|260|37823|115.668|151.68|332.17|None|None|None|None|None
191395|260|40823|29.165|210.31|30.17|None|1|None|None|None
191396|260|40824|29.165|210.31|30.17|None|1|None|None|None
191397|260|40825|29.165|210.31|30.17|None|1|None|None|None
191398|260|40826|29.165|210.31|30.17|None|1|None|None|None
191399|260|40827|29.165|210.31|30.17|None|1|None|None|None
191400|260|37843|29.165|210.31|30.17|None|1|None|None|None
191401|260|39781|167.887|147.8|328.59|None|0|None|None|None
191402|260|39782|167.887|147.8|328.59|None|0|None|None|None
191403|260|39783|167.887|147.8|328.59|None|0|None|None|None
191404|260|40340|167.886|147.81|328.59|None|0|None|None|None
191405|260|40342|167.886|147.81|328.59|None|0|None|None|None
191406|260|38181|167.886|147.81|328.59|None|0|None|None|None
191407|260|40345|167.886|147.81|328.59|None|0|None|None|None
191408|260|40346|167.886|147.81|328.59|None|0|None|None|None
191409|260|38180|167.886|147.81|328.59|None|0|None|None|None
191410|260|40347|132.263|150.52|331.1|None|None|None|None|None
191411|260|40348|132.263|150.52|331.1|None|None|None|None|None
191412|260|37834|132.263|150.52|331.1|None|None|None|None|None
191413|260|40349|164.979|184.57|4.46|None|0|None|None|None
191414|260|40350|164.979|184.57|4.46|None|0|None|None|None
191415|260|40351|164.979|184.57|4.46|None|0|None|None|None
191416|260|40352|164.979|184.57|4.46|None|0|None|None|None
191417|260|40353|164.979|184.57|4.46|None|0|None|None|None
191418|260|38210|164.979|184.57|4.46|None|0|None|None|None
191419|260|38394|79.508|16.3|196.51|None|1|None|None|None
191420|260|38395|79.508|16.3|196.51|None|1|None|None|None
191421|260|38200|79.508|16.3|196.51|None|1|None|None|None
191422|260|38391|79.508|16.3|196.51|None|1|None|None|None
191423|260|38392|79.508|16.3|196.51|None|1|None|None|None
191424|260|38393|79.508|16.3|196.51|None|1|None|None|None
191425|260|38399|69.934|336.51|156.25|None|None|None|None|None
191426|260|38400|69.934|336.51|156.25|None|None|None|None|None
191427|260|38165|69.934|336.51|156.25|None|None|None|None|None
191428|260|38396|69.934|336.51|156.25|None|None|None|None|None
191429|260|38397|69.934|336.51|156.25|None|None|None|None|None
191430|260|38398|69.934|336.51|156.25|None|None|None|None|None
191431|260|40603|89.468|147.44|327.87|None|1|None|None|None
191432|260|40604|89.468|147.44|327.87|None|1|None|None|None
191433|260|37816|89.468|147.44|327.87|None|1|None|None|None
191434|260|40597|89.468|147.44|327.87|None|1|None|None|None
191435|260|40598|89.468|147.44|327.87|None|1|None|None|None
191436|260|40599|89.468|147.44|327.87|None|1|None|None|None
191437|260|40726|94.984|224.01|43.41|None|1|None|None|None
191438|260|40727|94.984|224.01|43.41|None|1|None|None|None
191439|260|38163|94.984|224.01|43.41|None|1|None|None|None
191440|260|39788|152.771|171.14|351.35|None|0|None|None|None
