# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
261|Formazza 2, Italy|2009-04-19 21:36:02|2009-04-19 21:37:50|46.380004|8.439971|0.0|46.380004|8.439971|46.373246|8.431352|rock slide|None|None|None|None|90000.0|72000.0|108000.0|None|None|None|490.0|None|None|650.0|None|None|None|None|None|None|None|None|None|None|None|None|4|1|None|None|226.0|1|None|None|48.0|1|None|None|None|RESIF, ETH, ORFEUS, LMU, BGR, IRIS, INGV|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
596|261|237|A local magnitude of M1.7 was reported for this event (Deichmann and others, 2010).|None|None|None
496|257|209|Volume, and type were taken from Dammeier and others (2016). Low and high volume estimates were calculated from a 20% uncertainty range noted in the Dammeier and others (2011).|None|None|258,261
559|257|208|L and H were taken from Dammeier and others (2011) and estimated using photographs of the scarp.|None|None|258,261
586|257|None|The separate 19 April 2009 Formazza events are indistinguishable in satellite imagery and therefore have the same location coordinates and location uncertainty.|None|None|258,261

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1357|261|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_waveforms_raw.png|None
1358|261|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_waveforms_1-5Hz.png|None
1359|261|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_waveforms_20-60sec.png|None
1360|261|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_displspectra.png|None
1361|261|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_spectrogram.png|None
1362|261|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/261_Formazza2Italy_19Apr2009/photos_figures/261_Formazza2Italy_19Apr2009_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
192213|261|38403|188.695|227.01|45.75|None|None|None|None|None
192214|261|38404|188.695|227.01|45.75|None|None|None|None|None
192215|261|38405|188.695|227.01|45.75|None|None|None|None|None
192216|261|38408|134.749|255.13|73.92|None|None|None|None|None
192217|261|38409|134.749|255.13|73.92|None|None|None|None|None
192218|261|38410|134.749|255.13|73.92|None|None|None|None|None
192219|261|41126|182.407|278.95|97.24|None|None|None|None|None
192220|261|41127|182.407|278.95|97.24|None|None|None|None|None
192221|261|41128|182.407|278.95|97.24|None|None|None|None|None
192222|261|38423|186.147|253.88|72.22|None|None|None|None|None
192223|261|38424|186.147|253.88|72.22|None|None|None|None|None
192224|261|38425|186.147|253.88|72.22|None|None|None|None|None
192225|261|38426|185.955|254.29|72.62|None|None|None|None|None
192226|261|38427|185.955|254.29|72.62|None|None|None|None|None
192227|261|38428|185.955|254.29|72.62|None|None|None|None|None
192228|261|38435|187.988|255.69|74.0|None|None|None|None|None
192229|261|38436|187.988|255.69|74.0|None|None|None|None|None
192230|261|38437|187.988|255.69|74.0|None|None|None|None|None
192231|261|38438|179.252|239.01|57.6|None|None|None|None|None
192232|261|38439|179.252|239.01|57.6|None|None|None|None|None
192233|261|38440|179.252|239.01|57.6|None|None|None|None|None
192234|261|38441|187.504|255.04|73.35|None|None|None|None|None
192235|261|38442|187.504|255.04|73.35|None|None|None|None|None
192236|261|38443|187.504|255.04|73.35|None|None|None|None|None
192237|261|38444|190.487|255.39|73.67|None|None|None|None|None
192238|261|38445|190.487|255.39|73.67|None|None|None|None|None
192239|261|38446|190.487|255.39|73.67|None|None|None|None|None
192240|261|41129|142.149|267.94|86.61|None|None|None|None|None
192241|261|41130|142.149|267.94|86.61|None|None|None|None|None
192242|261|41131|142.149|267.94|86.61|None|None|None|None|None
192243|261|39714|153.246|230.58|49.49|None|None|None|None|None
192244|261|39715|153.246|230.58|49.49|None|None|None|None|None
192245|261|39716|153.246|230.58|49.49|None|None|None|None|None
192246|261|39906|187.327|331.93|151.07|None|None|None|None|None
192247|261|39907|187.327|331.93|151.07|None|None|None|None|None
192248|261|39908|187.327|331.93|151.07|None|None|None|None|None
192249|261|39909|172.037|330.89|150.07|None|None|None|None|None
192250|261|39910|172.037|330.89|150.07|None|None|None|None|None
192251|261|39911|172.037|330.89|150.07|None|None|None|None|None
192252|261|40918|164.911|300.25|118.88|None|None|None|None|None
192253|261|40919|164.911|300.25|118.88|None|None|None|None|None
192254|261|40920|164.911|300.25|118.88|None|None|None|None|None
192255|261|41109|150.307|333.3|152.64|None|None|None|None|None
192256|261|41110|150.307|333.3|152.64|None|None|None|None|None
192257|261|41111|150.307|333.3|152.64|None|None|None|None|None
192258|261|39924|171.05|331.19|150.39|None|None|None|None|None
192259|261|39925|171.05|331.19|150.39|None|None|None|None|None
192260|261|39926|171.05|331.19|150.39|None|None|None|None|None
192261|261|41112|160.179|332.14|151.41|None|None|None|None|None
192262|261|41113|160.179|332.14|151.41|None|None|None|None|None
192263|261|41114|160.179|332.14|151.41|None|None|None|None|None
192264|261|39717|103.361|262.48|81.52|None|1|None|None|None
192265|261|39718|103.361|262.48|81.52|None|1|None|None|None
192266|261|39719|103.361|262.48|81.52|None|1|None|None|None
192267|261|38625|129.504|37.9|218.67|None|1|None|None|None
192268|261|38626|129.504|37.9|218.67|None|1|None|None|None
192269|261|38627|129.504|37.9|218.67|None|1|None|None|None
192270|261|38628|129.504|37.9|218.67|None|1|None|None|None
192271|261|38629|129.504|37.9|218.67|None|1|None|None|None
192272|261|37870|129.504|37.9|218.67|None|1|None|None|None
192273|261|38634|142.503|78.53|259.86|None|1|None|None|None
192274|261|38633|142.503|78.53|259.86|None|1|None|None|None
192275|261|38632|142.503|78.53|259.86|None|1|None|None|None
192276|261|38631|142.503|78.53|259.86|None|1|None|None|None
192277|261|38630|142.503|78.53|259.86|None|1|None|None|None
192278|261|37854|142.503|78.53|259.86|None|1|None|None|None
192279|261|38503|87.779|269.2|88.38|None|1|None|None|None
192280|261|38504|87.779|269.2|88.38|None|1|None|None|None
192281|261|38505|87.779|269.2|88.38|None|1|None|None|None
192282|261|38501|87.779|269.2|88.38|None|1|None|None|None
192283|261|38502|87.779|269.2|88.38|None|1|None|None|None
192284|261|37920|87.779|269.2|88.38|None|1|None|None|None
192285|261|38640|132.917|4.15|184.25|None|1|None|None|None
192286|261|38641|132.917|4.15|184.25|None|1|None|None|None
192287|261|37905|132.917|4.15|184.25|None|0|None|None|None
192288|261|39720|116.094|257.48|76.42|None|1|None|None|None
192289|261|39721|116.094|257.48|76.42|None|1|None|None|None
192290|261|39722|116.094|257.48|76.42|None|1|None|None|None
192291|261|39367|70.15|297.13|116.54|None|1|None|None|None
192292|261|39368|70.15|297.13|116.54|None|1|None|None|None
192293|261|39369|70.15|297.13|116.54|None|1|None|None|None
192294|261|39370|70.15|297.13|116.54|None|1|None|None|None
192295|261|39371|70.15|297.13|116.54|None|1|None|None|None
192296|261|37899|70.15|297.13|116.54|None|1|None|None|None
192297|261|38513|86.236|247.71|66.96|None|1|None|None|None
192298|261|38514|86.236|247.71|66.96|None|1|None|None|None
192299|261|38515|86.236|247.71|66.96|None|1|None|None|None
192300|261|38511|86.236|247.71|66.96|None|1|None|None|None
192301|261|38512|86.236|247.71|66.96|None|1|None|None|None
192302|261|37914|86.236|247.71|66.96|None|1|None|None|None
192303|261|37935|114.516|268.41|87.33|None|1|None|None|None
192304|261|38524|114.516|268.41|87.33|None|1|None|None|None
192305|261|38525|114.516|268.41|87.33|None|1|None|None|None
192306|261|38526|114.516|268.41|87.33|None|1|None|None|None
192307|261|38523|114.516|268.41|87.33|None|1|None|None|None
192308|261|38522|114.516|268.41|87.33|None|1|None|None|None
192309|261|38642|142.234|7.33|187.51|None|0|None|None|None
