# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
262|Cable Mountain, Zion National Park|2019-08-24 23:48:20|2019-08-24 23:51:21|37.26797|-112.93424|0.0|37.26797|-112.93424|None|None|rock avalanche|None|None|None|None|12000.0|10200.0|13800.0|28000000.0|23800000.0|32200000.0|610.0|None|None|500.0|400.0|600.0|None|None|None|None|None|None|None|None|None|None|5|0|None|None|50.0|1|None|None|0.0|None|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
610|262|245|Best estimates for volume, mass, and H were taken from Castleton and Erickson (2019) and rounded to two significant digits. Low and high estimates for volume and mass were calculated from reported uncertainty values of 15%. This event is classified as a small rock avalanche based on its volume estimate, disintegration of source area, and rapid flow of rock. Debris from this event damaged the East Rim and Weeping Rock trails, injured three hikers, knocked down multiple trees, and deposited sediment on the Hidden Canyon trail (Castleton and Erickson, 2019).|None|None|None
611|262|246|Low and high estimates for runout (L) were estimated based on the horizontal distance from the source to cobble-sized deposits and fine sand, respectively (Bilderback pers. comm., 2022).  The best value for L was estimated as an average between low and high runouts.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1363|262|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/262_CableMountainZionNationalPark_24Aug2019/photos_figures/262_CableMountainZionNationalPark_24Aug2019_waveforms_raw.png|None
1364|262|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/262_CableMountainZionNationalPark_24Aug2019/photos_figures/262_CableMountainZionNationalPark_24Aug2019_waveforms_1-5Hz.png|None
1365|262|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/262_CableMountainZionNationalPark_24Aug2019/photos_figures/262_CableMountainZionNationalPark_24Aug2019_spectrogram.png|None
1366|262|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/262_CableMountainZionNationalPark_24Aug2019/photos_figures/262_CableMountainZionNationalPark_24Aug2019_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
245|262|None|Castleton, J.J., and Erickson, B.A., 2019, Investigation of the August 24, 2019, Cable Mountain rock avalanche, Zion National Park, Utah: Utah Geological Report of Investigation 281, 11 p., doi: https://doi.org/10.34191/RI-281|Castleton and Erickson (2019)|None|None
246|262|None|Bilderback, E., 2022, written communication.|Bilderback (written commun., 2022)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
192764|262|41143|175.056|164.66|344.96|None|None|None|None|None
192765|262|41144|175.056|164.66|344.96|None|None|None|None|None
192766|262|41145|175.056|164.66|344.96|None|None|None|None|None
192767|262|32507|109.431|148.22|328.6|None|None|None|None|None
192768|262|32508|109.431|148.22|328.6|None|None|None|None|None
192769|262|32509|109.431|148.22|328.6|None|None|None|None|None
192770|262|5453|188.197|162.18|342.56|None|None|None|None|None
192771|262|1763|150.054|153.21|333.66|None|None|None|None|None
192772|262|1359|136.839|106.51|287.4|None|None|None|None|None
192773|262|1764|107.111|191.35|11.21|None|None|None|None|None
192774|262|1375|151.147|24.62|205.07|None|None|None|None|None
192775|262|1376|151.147|24.62|205.07|None|None|None|None|None
192776|262|1377|151.147|24.62|205.07|None|None|None|None|None
192777|262|32336|156.803|299.21|118.26|None|None|None|None|None
192778|262|32337|156.803|299.21|118.26|None|None|None|None|None
192779|262|32338|156.803|299.21|118.26|None|None|None|None|None
192780|262|32339|156.803|299.21|118.26|None|None|None|None|None
192781|262|32340|156.803|299.21|118.26|None|None|None|None|None
192782|262|32341|156.803|299.21|118.26|None|None|None|None|None
192783|262|1822|188.224|275.33|94.04|None|None|None|None|None
192784|262|1823|188.224|275.33|94.04|None|None|None|None|None
192785|262|1824|188.224|275.33|94.04|None|None|None|None|None
192786|262|32561|188.224|275.33|94.04|None|None|None|None|None
192787|262|32562|188.224|275.33|94.04|None|None|None|None|None
192788|262|32563|188.224|275.33|94.04|None|None|None|None|None
192789|262|32348|46.769|345.25|165.17|None|None|None|None|None
192790|262|32349|46.769|345.25|165.17|None|None|None|None|None
192791|262|32350|46.769|345.25|165.17|None|None|None|None|None
192792|262|21456|59.074|251.83|71.45|None|None|None|None|None
192793|262|21457|59.074|251.83|71.45|None|None|None|None|None
192794|262|21458|59.074|251.83|71.45|None|None|None|None|None
192795|262|32351|46.51|344.91|164.83|None|0|None|None|None
192796|262|32352|46.51|344.91|164.83|None|0|None|None|None
192797|262|32353|46.51|344.91|164.83|None|0|None|None|None
192798|262|32180|115.679|12.92|193.1|None|None|None|None|None
192799|262|32181|115.679|12.92|193.1|None|None|None|None|None
192800|262|32182|115.679|12.92|193.1|None|None|None|None|None
192801|262|31622|181.239|23.96|204.48|None|None|None|None|None
192802|262|31623|181.239|23.96|204.48|None|None|None|None|None
192803|262|31624|181.239|23.96|204.48|None|None|None|None|None
192804|262|32441|89.031|293.24|112.68|None|None|None|None|None
192805|262|32442|89.031|293.24|112.68|None|None|None|None|None
192806|262|32443|89.031|293.24|112.68|None|None|None|None|None
192807|262|32609|168.494|263.84|82.7|None|None|None|None|None
192808|262|32610|168.494|263.84|82.7|None|None|None|None|None
192809|262|32611|168.494|263.84|82.7|None|None|None|None|None
192810|262|32612|158.603|265.05|83.98|None|None|None|None|None
192811|262|32613|158.603|265.05|83.98|None|None|None|None|None
192812|262|32614|158.603|265.05|83.98|None|None|None|None|None
192813|262|32615|126.589|260.78|79.93|None|None|None|None|None
192814|262|32616|126.589|260.78|79.93|None|None|None|None|None
192815|262|32617|126.589|260.78|79.93|None|None|None|None|None
192816|262|32618|107.617|265.24|84.51|None|None|None|None|None
192817|262|32619|107.617|265.24|84.51|None|None|None|None|None
192818|262|32620|107.617|265.24|84.51|None|None|None|None|None
192819|262|32621|86.315|252.78|72.22|None|None|None|None|None
192820|262|32622|86.315|252.78|72.22|None|None|None|None|None
192821|262|32623|86.315|252.78|72.22|None|None|None|None|None
192822|262|32624|63.037|245.17|64.78|None|None|None|None|None
192823|262|32625|63.037|245.17|64.78|None|None|None|None|None
192824|262|32626|63.037|245.17|64.78|None|None|None|None|None
192825|262|32444|28.129|218.01|37.89|None|None|None|None|None
192826|262|32445|28.129|218.01|37.89|None|None|None|None|None
192827|262|32446|28.129|218.01|37.89|None|None|None|None|None
192828|262|1885|73.023|322.38|142.07|None|None|None|None|None
192829|262|1412|36.661|10.72|190.77|None|0|None|None|None
192830|262|1413|36.661|10.72|190.77|None|0|None|None|None
192831|262|1414|36.661|10.72|190.77|None|0|None|None|None
192832|262|32196|114.926|12.93|193.11|None|None|None|None|None
192833|262|32197|114.926|12.93|193.11|None|None|None|None|None
192834|262|32198|114.926|12.93|193.11|None|None|None|None|None
