# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
265|Black Dyke, Stawamus Chief|2021-07-27 07:30:09|2021-07-27 07:31:14|49.6813|-123.1482|0.0|49.6813|-123.1482|49.6817|-123.1501|rock fall|11000.0|600.0|300.0|900.0|3000.0|3300.0|3500.0|None|None|None|220.0|None|None|200.0|None|None|120.0|None|None|None|None|None|None|None|None|None|4|0|None|None|219.0|1|None|None|0.0|None|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
622|265|253|Low and high volume, H, L, and H_freefall taken from Ashwood and Manicke (2021). Source areas are calculated using length (60 m) and height range (5-15 m) of failure region provided in Ashwood and Manicke (2021), rounded to two significant digits. Volume_best is averaged from low and high volume estimates, rounded to two significant digits. Total area estimated from source and deposition areas, rounded to two significant digits. Location coordinates estimated using Google Earth and Figure 1, 5 from Ashwood and Manicke (2021).|None|None|None
740|264|None|A rockfall assessment for this event was conducted by Westrek Geotechnical Services Ltd.  and includes information on the rock fall source and depositional areas from field observations.|None|None|265

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1376|265|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|2023-08-08 10:15:32|EventData/265_BlackDykeStawamusChief_27Jul2021/photos_figures/265_BlackDykeStawamusChief_27Jul2021_waveforms_raw.png|None
1377|265|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/265_BlackDykeStawamusChief_27Jul2021/photos_figures/265_BlackDykeStawamusChief_27Jul2021_waveforms_1-5Hz.png|None
1378|265|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|2023-08-08 10:15:33|EventData/265_BlackDykeStawamusChief_27Jul2021/photos_figures/265_BlackDykeStawamusChief_27Jul2021_spectrogram.png|None
1379|265|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|2023-08-08 10:15:33|EventData/265_BlackDykeStawamusChief_27Jul2021/photos_figures/265_BlackDykeStawamusChief_27Jul2021_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
253|265|None|Ashwood, W. and Manicke, H., 28 Sept 2021, Preliminary Rock Fall Assessment The Black Dyke - Grand Wall, Stawamus Chief Squamish, BC [Report]: Westrek Geotechnical Services Ltd., 8 p.|Ashwood and Manicke (2021)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
197213|265|25769|155.565|273.27|91.63|None|None|None|None|None
197214|265|25770|155.565|273.27|91.63|None|None|None|None|None
197215|265|25771|155.565|273.27|91.63|None|None|None|None|None
197216|265|25772|181.857|278.36|96.45|None|None|None|None|None
197217|265|25773|181.857|278.36|96.45|None|None|None|None|None
197218|265|25774|181.857|278.36|96.45|None|None|None|None|None
197219|265|7589|172.699|237.67|56.17|None|0|None|None|None
197220|265|7590|172.699|237.67|56.17|None|0|None|None|None
197221|265|7591|172.699|237.67|56.17|None|0|None|None|None
197222|265|41460|36.416|207.37|27.19|None|None|None|None|None
197223|265|41461|36.416|207.37|27.19|None|None|None|None|None
197224|265|41462|36.416|207.37|27.19|None|None|None|None|None
197225|265|3175|173.264|263.05|81.24|None|None|None|None|None
197226|265|3176|173.264|263.05|81.24|None|None|None|None|None
197227|265|3177|173.264|263.05|81.24|None|None|None|None|None
197228|265|24832|164.105|284.58|102.88|None|0|None|None|None
197229|265|24833|164.105|284.58|102.88|None|0|None|None|None
197230|265|24834|164.105|284.58|102.88|None|0|None|None|None
197231|265|7601|119.529|217.14|36.39|None|1|None|None|None
197232|265|7602|119.529|217.14|36.39|None|1|None|None|None
197233|265|7603|119.529|217.14|36.39|None|1|None|None|None
197234|265|6008|89.176|242.55|61.72|None|None|None|None|None
197235|265|6009|89.176|242.55|61.72|None|None|None|None|None
197236|265|6010|89.176|242.55|61.72|None|None|None|None|None
197237|265|24856|85.544|198.07|17.8|None|0|None|0|None
197238|265|24857|85.544|198.07|17.8|None|0|None|0|None
197239|265|24858|85.544|198.07|17.8|None|1|None|0|None
197240|265|25805|58.699|135.18|315.62|None|None|None|None|None
197241|265|25806|58.699|135.18|315.62|None|None|None|None|None
197242|265|25807|58.699|135.18|315.62|None|None|None|None|None
197243|265|3184|129.262|103.99|285.31|None|0|None|None|None
197244|265|3185|129.262|103.99|285.31|None|0|None|None|None
197245|265|3186|129.262|103.99|285.31|None|0|None|None|None
197246|265|7625|137.277|40.78|221.75|None|0|None|None|None
197247|265|7626|137.277|40.78|221.75|None|0|None|None|None
197248|265|7627|137.277|40.78|221.75|None|0|None|None|None
197249|265|25811|135.703|236.63|55.46|None|1|None|None|None
197250|265|25812|135.703|236.63|55.46|None|1|None|None|None
197251|265|25813|135.703|236.63|55.46|None|1|None|None|None
197252|265|25775|175.639|266.19|84.35|None|None|None|None|None
197253|265|25776|175.639|266.19|84.35|None|None|None|None|None
197254|265|25777|175.639|266.19|84.35|None|None|None|None|None
197255|265|24892|79.126|230.65|50.01|None|0|None|0|None
197256|265|24893|79.126|230.65|50.01|None|0|None|0|None
197257|265|24894|79.126|230.65|50.01|None|0|None|0|None
197258|265|25820|188.647|245.77|63.99|None|0|None|None|None
197259|265|25821|188.647|245.77|63.99|None|0|None|None|None
197260|265|25822|188.647|245.77|63.99|None|0|None|None|None
197261|265|24898|131.107|247.53|66.27|None|0|None|None|None
197262|265|24899|131.107|247.53|66.27|None|0|None|None|None
197263|265|24900|131.107|247.53|66.27|None|0|None|None|None
197264|265|24907|116.837|191.05|10.82|None|0|None|None|None
197265|265|24908|116.837|191.05|10.82|None|0|None|None|None
197266|265|24909|116.837|191.05|10.82|None|0|None|None|None
197267|265|24922|156.582|216.62|35.66|None|0|None|None|None
197268|265|24923|156.582|216.62|35.66|None|0|None|None|None
197269|265|24924|156.582|216.62|35.66|None|0|None|None|None
197270|265|25826|48.932|177.09|357.12|None|0|None|0|None
197271|265|25827|48.932|177.09|357.12|None|0|None|0|None
197272|265|25828|48.932|177.09|357.12|None|0|None|0|None
197273|265|25778|53.447|260.36|79.8|None|None|None|None|None
197274|265|25779|53.447|260.36|79.8|None|None|None|None|None
197275|265|25780|53.447|260.36|79.8|None|None|None|None|None
197276|265|2123|53.801|259.76|79.2|None|None|None|None|None
197277|265|2124|53.801|259.76|79.2|None|None|None|None|None
197278|265|2125|53.801|259.76|79.2|None|None|None|None|None
197279|265|24931|133.513|201.09|20.59|None|0|None|None|None
197280|265|24932|133.513|201.09|20.59|None|0|None|None|None
197281|265|24933|133.513|201.09|20.59|None|0|None|None|None
