# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
266|Lowell Point|2022-05-08 03:39:08|2022-05-08 03:41:18|60.093|-149.4461|0.0|60.093|-149.4461|60.0935|-149.4438|rock slide|None|None|None|None|76500.0|None|None|None|None|None|None|None|None|140.0|120.0|160.0|None|None|None|None|None|None|None|None|None|None|4|0|None|None|2.0|1|None|None|0.0|None|0|0.0|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
623|266|254|Photographs of the event can be found at https://blogs.agu.org/landslideblog/2022/05/09/lowell-point-landslide/ (Petley, 2022a).|None|None|None
624|266|255|This event blocked Lowell Point Road near Seward, Alaska, cutting off access between Seward and the community of Lowell Point (Anchorage Daily News, 2022).|None|None|None
640|266|None|H and L estimated using imagery accessed using Planet Labs Explorer.|None|None|None
641|266|264|Volume provided by Metco Alaska based on the amount of material cleared from the road and hillslope (Peterson, written commun., 2022).|None|None|None
732|266|310|Several bystander videos have been compiled in a CNN article about the event at https://edition.cnn.com/2022/05/08/us/alaska-landslide-seward/index.html. No injuries or casualties were reported (Sarisohn and Smart, 2022).|None|None|None
733|266|311|An additional bystander video was posted to YouTube by kellenbrent, shot by Patrick Higgins: https://www.youtube.com/watch?v=Q_jXnAjGrAw (kellenbrent, 2022).|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1380|266|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/266_LowellPoint_08May2022/photos_figures/266_LowellPoint_08May2022_waveforms_raw.png|None
1381|266|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/266_LowellPoint_08May2022/photos_figures/266_LowellPoint_08May2022_waveforms_1-5Hz.png|None
1382|266|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/266_LowellPoint_08May2022/photos_figures/266_LowellPoint_08May2022_spectrogram.png|None
1383|266|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/266_LowellPoint_08May2022/photos_figures/266_LowellPoint_08May2022_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
254|266|None|Petley, D., 9 May 2022, The Landslide Blog, The Lowell Point landslide in Alaska [BlogPost], Accessed 26 May 2022, at https://blogs.agu.org/landslideblog/2022/05/09/lowell-point-landslide/|Petley (2022)a|None|https://blogs.agu.org/landslideblog/2022/05/09/lowell-point-landslide/
255|266|None|Anchorage Daily News, 8 May 2022, Road along bay in Seward remains buried under landslide [Article], Accessed 26 May 2022, at https://www.adn.com/alaska-news/2022/05/07/landslide-closes-lowell-point-road-in-seward/|Anchorage Daily News (2022)|None|https://www.adn.com/alaska-news/2022/05/07/landslide-closes-lowell-point-road-in-seward/
264|266|None|Peterson, C., 2022, written communication.|Peterson (written commun., 2022)|None|None
310|266|None|Sarisohn, H., and Smart, S., 9 May 2022, Landslide buries primary road connecting Alaska resort community to city of Seward [Article], CNN, Accessed 1 Sept 2023, at https://edition.cnn.com/2022/05/08/us/alaska-landslide-seward/index.html|Sarisohn and Smart (2022)|None|https://edition.cnn.com/2022/05/08/us/alaska-landslide-seward/index.html
311|266|None|kellenbrent, 8 May 2022, Landslide Caught On Tape! Seward, Alaska - May 7, 2022, YouTube, Accessed 1 Sept 2023, at https://www.youtube.com/watch?v=Q_jXnAjGrAw|kellenbrent (2022)|None|https://www.youtube.com/watch?v=Q_jXnAjGrAw

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
197656|266|25509|136.548|31.46|212.62|None|None|None|None|None
197657|266|25510|136.548|31.46|212.62|None|None|None|None|None
197658|266|25511|136.548|31.46|212.62|None|None|None|None|None
197659|266|37780|135.99|30.23|211.34|None|None|None|None|None
197660|266|37781|135.99|30.23|211.34|None|None|None|None|None
197661|266|37782|135.99|30.23|211.34|None|None|None|None|None
197662|266|959|90.114|245.63|64.36|None|0|None|0|None
197663|266|960|90.114|245.63|64.36|None|0|None|0|None
197664|266|961|90.114|245.63|64.36|None|0|None|0|None
197665|266|2329|82.351|242.19|61.06|None|None|None|None|None
197666|266|2330|82.351|242.19|61.06|None|None|None|None|None
197667|266|2331|82.351|242.19|61.06|None|None|None|None|None
197668|266|2335|120.44|309.4|127.91|None|0|None|0|None
197669|266|2336|120.44|309.4|127.91|None|0|None|0|None
197670|266|2337|120.44|309.4|127.91|None|0|None|0|None
197671|266|2347|118.772|238.59|57.04|None|0|None|0|None
197672|266|2348|118.772|238.59|57.04|None|0|None|0|None
197673|266|2349|118.772|238.59|57.04|None|0|None|0|None
197674|266|2356|172.094|64.51|246.98|None|None|None|None|None
197675|266|2357|172.094|64.51|246.98|None|None|None|None|None
197676|266|2358|172.094|64.51|246.98|None|None|None|None|None
197677|266|2359|124.321|340.5|159.83|None|0|None|0|None
197678|266|2360|124.321|340.5|159.83|None|0|None|0|None
197679|266|2361|124.321|340.5|159.83|None|0|None|0|None
197680|266|2362|189.089|8.35|188.8|None|0|None|0|None
197681|266|2363|189.089|8.35|188.8|None|0|None|0|None
197682|266|2364|189.089|8.35|188.8|None|0|None|0|None
197683|266|2365|156.093|54.85|236.89|None|None|None|None|None
197684|266|2366|156.093|54.85|236.89|None|None|None|None|None
197685|266|2367|156.093|54.85|236.89|None|None|None|None|None
197686|266|2372|166.428|77.02|259.58|None|None|None|None|None
197687|266|2373|166.428|77.02|259.58|None|None|None|None|None
197688|266|2374|166.428|77.02|259.58|None|None|None|None|None
197689|266|2375|132.716|249.5|67.59|None|0|None|0|None
197690|266|2376|132.716|249.5|67.59|None|0|None|0|None
197691|266|2377|132.716|249.5|67.59|None|0|None|0|None
197692|266|2381|156.635|19.68|200.54|None|0|None|0|None
197693|266|2382|156.635|19.68|200.54|None|0|None|0|None
197694|266|2383|156.635|19.68|200.54|None|0|None|0|None
197695|266|34114|176.847|270.96|88.21|None|None|None|None|None
197696|266|34115|176.847|270.96|88.21|None|None|None|None|None
197697|266|34116|176.847|270.96|88.21|None|None|None|None|None
197698|266|25542|114.33|94.43|276.2|None|None|None|None|None
197699|266|25543|114.33|94.43|276.2|None|None|None|None|None
197700|266|25544|114.33|94.43|276.2|None|None|None|None|None
197701|266|2399|104.962|35.18|216.15|None|None|None|None|None
197702|266|2400|104.962|35.18|216.15|None|None|None|None|None
197703|266|2401|104.962|35.18|216.15|None|None|None|None|None
197704|266|25425|189.55|111.6|294.28|None|0|None|0|None
197705|266|25426|189.55|111.6|294.28|None|0|None|0|None
197706|266|25427|189.55|111.6|294.28|None|0|None|0|None
197707|266|965|112.12|351.9|171.64|None|0|None|0|None
197708|266|966|112.12|351.9|171.64|None|0|None|0|None
197709|266|967|112.12|351.9|171.64|None|0|None|0|None
197710|266|2408|63.417|317.7|137.02|None|None|None|None|None
197711|266|2409|63.417|317.7|137.02|None|None|None|None|None
197712|266|2410|63.417|317.7|137.02|None|None|None|None|None
197713|266|971|168.351|335.67|154.54|None|0|None|0|None
197714|266|972|168.351|335.67|154.54|None|0|None|0|None
197715|266|973|168.351|335.67|154.54|None|0|None|0|None
197716|266|974|1.31|343.98|163.97|None|1|None|0|None
197717|266|975|1.31|343.98|163.97|None|1|None|0|None
197718|266|976|1.31|343.98|163.97|None|1|None|0|None
197719|266|2441|189.69|111.65|294.33|None|None|None|None|None
197720|266|2442|189.69|111.65|294.33|None|None|None|None|None
197721|266|2443|189.69|111.65|294.33|None|None|None|None|None
197722|266|1132|167.927|5.72|186.0|None|0|None|0|None
197723|266|1133|167.927|5.72|186.0|None|0|None|0|None
197724|266|1134|167.927|5.72|186.0|None|0|None|0|None
197725|266|34120|195.625|270.74|87.69|None|0|None|0|None
197726|266|34121|195.625|270.74|87.69|None|0|None|0|None
197727|266|33401|195.625|270.74|87.69|None|0|None|0|None
197728|266|2468|199.17|269.09|85.99|None|0|None|0|None
197729|266|2469|199.17|269.09|85.99|None|0|None|0|None
197730|266|2470|199.17|269.09|85.99|None|0|None|0|None
197731|266|34125|195.067|310.42|128.01|None|0|None|0|None
197732|266|34126|195.067|310.42|128.01|None|0|None|0|None
197733|266|34127|195.067|310.42|128.01|None|0|None|0|None
197734|266|2472|199.383|286.7|103.68|None|0|None|0|None
197735|266|2473|199.383|286.7|103.68|None|0|None|0|None
197736|266|2474|199.383|286.7|103.68|None|0|None|0|None
197737|266|2484|187.428|288.63|105.81|None|0|None|0|None
197738|266|2485|187.428|288.63|105.81|None|0|None|0|None
197739|266|2486|187.428|288.63|105.81|None|0|None|0|None
197740|266|1025|193.613|288.09|105.17|None|0|None|0|None
197741|266|1026|193.613|288.09|105.17|None|0|None|0|None
197742|266|1027|193.613|288.09|105.17|None|0|None|0|None
197743|266|2488|186.797|283.85|100.98|None|None|None|None|None
197744|266|2489|186.797|283.85|100.98|None|None|None|None|None
197745|266|2490|186.797|283.85|100.98|None|None|None|None|None
197746|266|33202|172.072|289.37|106.8|None|0|None|0|None
197747|266|33203|172.072|289.37|106.8|None|0|None|0|None
197748|266|33204|172.072|289.37|106.8|None|0|None|0|None
197749|266|1033|192.906|284.64|101.69|None|0|None|0|None
197750|266|1034|192.906|284.64|101.69|None|0|None|0|None
197751|266|1035|192.906|284.64|101.69|None|0|None|0|None
197752|266|2491|187.807|282.61|99.72|None|None|None|None|None
197753|266|2492|187.807|282.61|99.72|None|None|None|None|None
197754|266|2493|187.807|282.61|99.72|None|None|None|None|None
197755|266|33402|184.952|285.2|102.38|None|None|None|None|None
197756|266|33403|184.952|285.2|102.38|None|None|None|None|None
197757|266|33404|184.952|285.2|102.38|None|None|None|None|None
197758|266|33405|195.669|318.01|135.88|None|None|None|None|None
197759|266|33406|195.669|318.01|135.88|None|None|None|None|None
197760|266|33407|195.669|318.01|135.88|None|None|None|None|None
197761|266|1044|193.991|314.6|132.36|None|None|None|None|None
197762|266|1045|193.991|314.6|132.36|None|None|None|None|None
197763|266|1046|193.991|314.6|132.36|None|None|None|None|None
197764|266|33408|200.369|309.07|126.54|None|None|None|None|None
197765|266|33409|200.369|309.07|126.54|None|None|None|None|None
197766|266|33410|200.369|309.07|126.54|None|None|None|None|None
197767|266|2494|195.762|311.27|128.88|None|None|None|None|None
197768|266|2495|195.762|311.27|128.88|None|None|None|None|None
197769|266|2496|195.762|311.27|128.88|None|None|None|None|None
197770|266|2497|197.42|312.6|130.24|None|None|None|None|None
197771|266|2498|197.42|312.6|130.24|None|None|None|None|None
197772|266|2499|197.42|312.6|130.24|None|None|None|None|None
197773|266|1047|195.089|310.42|128.01|None|0|None|0|None
197774|266|1048|195.089|310.42|128.01|None|0|None|0|None
197775|266|1049|195.089|310.42|128.01|None|0|None|0|None
197776|266|33205|187.344|311.45|129.18|None|None|None|None|None
197777|266|33206|187.344|311.45|129.18|None|None|None|None|None
197778|266|33207|187.344|311.45|129.18|None|None|None|None|None
197779|266|1163|169.29|4.21|184.41|None|None|None|None|None
197780|266|1054|125.072|256.4|74.52|None|None|None|None|None
197781|266|1055|146.52|241.32|59.36|None|None|None|None|None
197782|266|1056|146.517|241.33|59.37|None|None|None|None|None
205707|266|37578|86.147|27.05|207.68|None|None|None|None|0
205708|266|37579|86.224|27.07|207.69|None|None|None|None|0
205709|266|37580|86.196|27.1|207.73|None|None|None|None|0
205710|266|37581|86.101|27.08|207.71|None|None|None|None|0
205711|266|37582|86.109|27.0|207.62|None|None|None|None|0
205712|266|37583|86.189|27.02|207.65|None|None|None|None|0

# 
# stations
# 
# Sid|Name|Network|Channel|LocationCode|Latitude|Longitude|ElevationMasl|Source
25509|BAE|AK|BHE||61.1319|-148.1234|578.0|IRIS
25510|BAE|AK|BHN||61.1319|-148.1234|578.0|IRIS
25511|BAE|AK|BHZ||61.1319|-148.1234|578.0|IRIS
37780|BAT|AK|BHE||61.1416|-148.1751|1027.0|IRIS
37781|BAT|AK|BHN||61.1416|-148.1751|1027.0|IRIS
37782|BAT|AK|BHZ||61.1416|-148.1751|1027.0|IRIS
959|BRLK|AK|BHE||59.7511|-150.9063|409.0|IRIS
960|BRLK|AK|BHN||59.7511|-150.9063|409.0|IRIS
961|BRLK|AK|BHZ||59.7511|-150.9063|409.0|IRIS
2329|BRSE|AK|BHE||59.7417|-150.7414|541.0|IRIS
2330|BRSE|AK|BHN||59.7417|-150.7414|541.0|IRIS
2331|BRSE|AK|BHZ||59.7417|-150.7414|541.0|IRIS
2335|CAPN|AK|BHE||60.7683|-151.1539|47.0|IRIS
2336|CAPN|AK|BHN||60.7683|-151.1539|47.0|IRIS
2337|CAPN|AK|BHZ||60.7683|-151.1539|47.0|IRIS
2347|CNP|AK|BHE||59.5251|-151.2373|564.0|IRIS
2348|CNP|AK|BHN||59.5251|-151.2373|564.0|IRIS
2349|CNP|AK|BHZ||59.5251|-151.2373|564.0|IRIS
2356|FID|AK|BHE||60.7277|-146.5987|500.0|IRIS
