# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
271|Siachen Glacier|2010-09-12 20:37:29|2010-09-12 20:41:10|35.4088|77.1718|0.0|35.4088|77.1718|35.4116|77.1373|landslide|None|None|None|None|None|1000000.0|None|190000000000.0|None|None|1000.0|990.0|1100.0|1320.0|None|None|None|None|None|None|None|None|None|None|None|None|4|1|None|None|682.0|0|None|None|694.0|0|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
644|271|4|L, Volume_low, and mass taken from Ekström and Stark (2013), where L was estimated using GeoEye imagery. Seven events occurred on Siachen glacier between 2010-09-09 and 2010-09-12 but only the largest event is reported in this database because "the other six events could not be tied to runout patterns in the imagery" (Ekström and Stark, 2013). Volume_low is taken from the description that the Siachen events involve "multiple collapses of bedrock volumes each exceeding 10^6 to 10^7 m3" (Ekström and Stark, 2013). It is unclear if these volumes are derived from the landslide force history or satellite imagery.|None|None|None
645|271|None|H and crown and toe locations estimated using Google Earth imagery captured on 2010-10-08.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1408|271|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_waveforms_raw.png|None
1409|271|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_waveforms_1-5Hz.png|None
1410|271|Elaine Collins|Long period (20-60 sec) ground displacement waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database, based on high frequency waveform). Waveforms are corrected for station response after detrending using a linear fit and tapering. Zero mean cosine filter applied with station correction may cause acausal arrivals. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_waveforms_20-60sec.png|None
1411|271|Elaine Collins|Displacement spectrum from closest broadband stations with detections, corrected for station response with no prefiltering after detrending using a linear fit and tapering. Note that long period signals often contain noise unrelated to the event signal of interest, especially on horizontal components (e.g. tilt), so interpret with care. Figure generation is automated and there may be artifacts present. Signals with clipped waveforms and data gaps have not been removed so check raw figures before interpreting.|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_displspectra.png|None
1412|271|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_spectrogram.png|None
1413|271|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/271_SiachenGlacier_12Sep2010/photos_figures/271_SiachenGlacier_12Sep2010_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
198960|271|42178|469.133|346.76|166.0|None|None|None|None|None
198961|271|42179|469.133|346.76|166.0|None|None|None|None|None
198962|271|42180|469.133|346.76|166.0|None|None|None|None|None
198963|271|42184|407.934|242.56|60.34|None|None|None|None|None
198964|271|42185|407.934|242.56|60.34|None|None|None|None|None
198965|271|42186|407.934|242.56|60.34|None|None|None|None|None
198966|271|42220|547.087|297.1|113.82|None|None|None|None|None
198967|271|42221|547.087|297.1|113.82|None|None|None|None|None
198968|271|42222|547.087|297.1|113.82|None|None|None|None|None
198969|271|42472|503.088|143.37|325.12|None|0|None|1|None
198970|271|42473|503.088|143.37|325.12|None|0|None|1|None
198971|271|42474|503.088|143.37|325.12|None|0|None|1|None
198972|271|42475|493.796|151.32|332.69|None|1|None|1|None
198973|271|42476|493.796|151.32|332.69|None|1|None|1|None
198974|271|42477|493.796|151.32|332.69|None|1|None|1|None
198975|271|42478|574.284|143.55|325.51|None|0|None|1|None
198976|271|42479|574.284|143.55|325.51|None|0|None|1|None
198977|271|42480|574.284|143.55|325.51|None|0|None|1|None
198978|271|42481|497.894|131.12|313.34|None|0|None|1|None
198979|271|42482|497.894|131.12|313.34|None|0|None|1|None
198980|271|42483|497.894|131.12|313.34|None|0|None|1|None
198981|271|42223|323.964|133.58|315.0|None|1|None|1|None
198982|271|42224|323.964|133.58|315.0|None|1|None|1|None
198983|271|42225|323.964|133.58|315.0|None|1|None|1|None
198984|271|42484|419.789|138.92|320.56|None|0|None|1|None
198985|271|42485|419.789|138.92|320.56|None|0|None|1|None
198986|271|42486|419.789|138.92|320.56|None|0|None|1|None
198987|271|42565|577.362|128.94|311.58|None|0|None|1|None
198988|271|42566|577.362|128.94|311.58|None|0|None|1|None
198989|271|42567|577.362|128.94|311.58|None|0|None|1|None
198990|271|42568|588.597|125.4|308.23|None|0|None|1|None
198991|271|42569|588.597|125.4|308.23|None|0|None|1|None
198992|271|42570|588.597|125.4|308.23|None|0|None|1|None
198993|271|42487|528.254|143.94|325.75|None|1|None|1|None
198994|271|42488|528.254|143.94|325.75|None|1|None|1|None
198995|271|42489|528.254|143.94|325.75|None|1|None|1|None
198996|271|42490|548.1|144.14|325.99|None|0|None|1|None
198997|271|42491|548.1|144.14|325.99|None|0|None|1|None
198998|271|42492|548.1|144.14|325.99|None|0|None|1|None
198999|271|42496|469.801|133.06|315.1|None|1|None|1|None
199000|271|42497|469.801|133.06|315.1|None|1|None|1|None
199001|271|42498|469.801|133.06|315.1|None|1|None|1|None
199002|271|42499|474.089|143.78|325.42|None|0|None|1|None
199003|271|42500|474.089|143.78|325.42|None|0|None|1|None
199004|271|42501|474.089|143.78|325.42|None|0|None|1|None
199005|271|42502|432.095|142.07|323.65|None|1|None|1|None
199006|271|42503|432.095|142.07|323.65|None|1|None|1|None
199007|271|42504|432.095|142.07|323.65|None|1|None|1|None
199008|271|42505|453.284|137.23|319.05|None|1|None|1|None
199009|271|42506|453.284|137.23|319.05|None|1|None|1|None
199010|271|42507|453.284|137.23|319.05|None|1|None|1|None
199011|271|42508|387.687|139.64|321.14|None|0|None|1|None
199012|271|42509|387.687|139.64|321.14|None|0|None|1|None
199013|271|42510|387.687|139.64|321.14|None|1|None|1|None
199014|271|42511|493.093|128.15|310.46|None|1|None|1|None
199015|271|42512|493.093|128.15|310.46|None|1|None|1|None
199016|271|42513|493.093|128.15|310.46|None|1|None|1|None
199017|271|42571|604.819|328.83|146.58|None|None|None|None|None
199018|271|42572|604.819|328.83|146.58|None|None|None|None|None
199019|271|42573|604.819|328.83|146.58|None|None|None|None|None
199020|271|42202|675.697|351.43|170.69|None|0|None|1|None
199021|271|42203|675.697|351.43|170.69|None|0|None|1|None
199022|271|42204|675.697|351.43|170.69|None|0|None|1|None
199023|271|42205|686.077|327.16|144.46|None|0|None|None|None
199024|271|42206|686.077|327.16|144.46|None|0|None|None|None
199025|271|42207|686.077|327.16|144.46|None|0|None|None|None
199026|271|42574|604.819|328.83|146.58|None|0|None|1|None
199027|271|42575|604.819|328.83|146.58|None|0|None|1|None
199028|271|42576|604.819|328.83|146.58|None|0|None|1|None
199029|271|42577|644.046|119.01|302.36|None|0|None|1|None
199030|271|42578|644.046|119.01|302.36|None|0|None|1|None
199031|271|42579|644.046|119.01|302.36|None|0|None|1|None
199032|271|42580|693.766|145.24|327.46|None|0|None|1|None
199033|271|42581|693.766|145.24|327.46|None|0|None|1|None
199034|271|42582|693.766|145.24|327.46|None|0|None|1|None
199035|271|42583|647.236|141.63|323.92|None|0|None|1|None
199036|271|42584|647.236|141.63|323.92|None|0|None|1|None
