# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
289|Steel Cliffs, Mount Hood|2022-10-11 21:44:50|2022-10-11 21:46:03|45.3663|-121.6975|0.2|None|None|None|None|rock fall|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|35.0|1|None|None|0.0|None|None|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
687|289|282|This event was recorded by the KGW Weather Camera, near Timberline Lodge, Mount Hood. Footage of the event is provided in Matt Zaffino's tweet: https://twitter.com/Zaffino/status/1580085730843713536 (Matt Zaffino, 2022).|None|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298
765|289|282|Location coordinates and uncertainty estimated using camera footage of the event (Matt Zaffino, 2022) and Google Earth.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1497|289|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|2023-10-12 10:52:07|EventData/289_SteelCliffsMountHood_11Oct2022/photos_figures/289_SteelCliffsMountHood_11Oct2022_waveforms_raw.png|None
1498|289|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/289_SteelCliffsMountHood_11Oct2022/photos_figures/289_SteelCliffsMountHood_11Oct2022_waveforms_1-5Hz.png|None
1499|289|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|2023-10-12 10:52:08|EventData/289_SteelCliffsMountHood_11Oct2022/photos_figures/289_SteelCliffsMountHood_11Oct2022_spectrogram.png|None
1500|289|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|2023-10-12 10:52:09|EventData/289_SteelCliffsMountHood_11Oct2022/photos_figures/289_SteelCliffsMountHood_11Oct2022_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
282|289|None|Matt Zaffino [@Zaffino], 12 Oct 2022, Twitter post, Accessed 17 Nov 2022, at https://twitter.com/Zaffino/status/1580085730843713536|Matt Zaffino (2022)|None|https://twitter.com/Zaffino/status/1580085730843713536

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
201072|289|43260|158.59|355.71|175.6|None|0|None|None|None
201073|289|43261|158.59|355.71|175.6|None|0|None|None|None
201074|289|43262|158.59|355.71|175.6|None|0|None|None|None
201075|289|2712|173.744|171.23|351.47|None|0|None|None|None
201076|289|2713|173.744|171.23|351.47|None|0|None|None|None
201077|289|2714|173.744|171.23|351.47|None|0|None|None|None
201078|289|34596|4.01|347.68|167.67|None|1|None|0|None
201079|289|34597|4.01|347.68|167.67|None|1|None|0|None
201080|289|34598|4.01|347.68|167.67|None|1|None|0|None
201081|289|25962|181.856|352.6|172.38|None|0|None|None|None
201082|289|25963|181.856|352.6|172.38|None|0|None|None|None
201083|289|25964|181.856|352.6|172.38|None|0|None|None|None
201084|289|2715|184.72|166.15|346.54|None|0|None|None|None
201085|289|2716|184.72|166.15|346.54|None|0|None|None|None
201086|289|2717|184.72|166.15|346.54|None|0|None|None|None
201087|289|43263|159.444|356.4|176.31|None|0|None|None|None
201088|289|43264|159.444|356.4|176.31|None|0|None|None|None
201089|289|43265|159.444|356.4|176.31|None|0|None|None|None
201090|289|2720|186.406|168.42|348.75|None|0|None|None|None
201091|289|2721|186.406|168.42|348.75|None|0|None|None|None
201092|289|2722|186.406|168.42|348.75|None|0|None|None|None
201093|289|25965|181.419|353.65|173.46|None|0|None|None|None
201094|289|25966|181.419|353.65|173.46|None|0|None|None|None
201095|289|25967|181.419|353.65|173.46|None|0|None|None|None
201096|289|43266|159.593|354.04|173.89|None|0|None|None|None
201097|289|43267|159.593|354.04|173.89|None|0|None|None|None
201098|289|43268|159.593|354.04|173.89|None|0|None|None|None
201099|289|34599|153.648|353.74|173.58|None|0|None|None|None
201100|289|34600|153.648|353.74|173.58|None|0|None|None|None
201101|289|34601|153.648|353.74|173.58|None|0|None|None|None
201102|289|34602|11.521|311.72|131.64|None|1|None|0|None
201103|289|34603|11.521|311.72|131.64|None|1|None|0|None
201104|289|34604|11.521|311.72|131.64|None|1|None|0|None
201105|289|43269|104.62|338.63|158.27|None|0|None|None|None
201106|289|43270|104.62|338.63|158.27|None|0|None|None|None
201107|289|43271|104.62|338.63|158.27|None|0|None|None|None
201108|289|36870|139.079|185.01|4.91|None|0|None|None|None
201109|289|36871|139.079|185.01|4.91|None|0|None|None|None
201110|289|36872|139.079|185.01|4.91|None|0|None|None|None
201111|289|34605|108.833|338.36|157.98|None|0|None|None|None
201112|289|34606|108.833|338.36|157.98|None|0|None|None|None
201113|289|34607|108.833|338.36|157.98|None|0|None|None|None
201114|289|34608|152.112|355.39|175.28|None|0|None|None|None
201115|289|34609|152.112|355.39|175.28|None|0|None|None|None
201116|289|34610|152.112|355.39|175.28|None|0|None|None|None
201117|289|36873|181.94|170.17|350.44|None|0|None|None|None
201118|289|36874|181.94|170.17|350.44|None|0|None|None|None
201119|289|36875|181.94|170.17|350.44|None|0|None|None|None
201120|289|43272|102.546|338.51|158.16|None|0|None|None|None
201121|289|43273|102.546|338.51|158.16|None|0|None|None|None
201122|289|43274|102.546|338.51|158.16|None|0|None|None|None
201123|289|34611|4.02|100.64|280.68|None|1|None|0|None
201124|289|34612|4.02|100.64|280.68|None|1|None|0|None
201125|289|34613|4.02|100.64|280.68|None|1|None|0|None
201126|289|43275|112.257|335.71|155.28|None|0|None|None|None
201127|289|43276|112.257|335.71|155.28|None|0|None|None|None
201128|289|43277|112.257|335.71|155.28|None|0|None|None|None
201129|289|43278|160.374|357.87|177.81|None|0|None|None|None
201130|289|43279|160.374|357.87|177.81|None|0|None|None|None
201131|289|43280|160.374|357.87|177.81|None|0|None|None|None
201132|289|43281|109.324|336.84|156.44|None|0|None|None|None
201133|289|43282|109.324|336.84|156.44|None|0|None|None|None
201134|289|43283|109.324|336.84|156.44|None|0|None|None|None
201135|289|2729|184.256|168.78|349.1|None|0|None|None|None
201136|289|2730|184.256|168.78|349.1|None|0|None|None|None
201137|289|2731|184.256|168.78|349.1|None|0|None|None|None
