# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
290|Nisqually, Mount Rainier 1|2021-09-13 17:16:07|2021-09-13 17:16:54|46.8435|-121.7478|0.1|None|None|None|None|ice fall|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|4|0|None|None|18.0|1|None|None|0.0|None|0|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.

# 
# gisfiles
# 
# GisId|Eventid|Type|Source|Description|FileExtension|ApplyAlso
193|290|Static map - pdf|QGIS - ecollins; Planet|Static map with pre- and post-event PlanetScope satellite imagery (~3m resolution). New ice deposits are visible in the post-event image to the left and right of the pre-event runout.|EventData/290_NisquallyMountRainier1_13Sep2021/maps_gis/290_NisquallyMountRainier1_20210913_map.pdf|291
196|290|Static map - png|QGIS - ecollins; Planet|Static map with pre- and post-event PlanetScope satellite imagery (~3m resolution). New ice deposits are visible in the post-event image to the left and right of the pre-event runout.|EventData/290_NisquallyMountRainier1_13Sep2021/maps_gis/290_NisquallyMountRainier1_20210913_map.png|291

# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
761|290|None|Location coordinates and location uncertainty based pre- and post-event PlanetScope satellite imagery, captured 2022-09-11 and 2022-09-16.|None|193|291
766|290|285|A photograph for this event exists but we do not have permission to distribute it. This photograph shows new ice deposits below the Nisqually glacier, SW of Gibraltar Rock.|None|None|291
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1501|290|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|2023-10-05 15:21:32|EventData/290_NisquallyMountRainier1_13Sep2021/photos_figures/290_NisquallyMountRainier1_13Sep2021_waveforms_raw.png|None
1502|290|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/290_NisquallyMountRainier1_13Sep2021/photos_figures/290_NisquallyMountRainier1_13Sep2021_waveforms_1-5Hz.png|None
1503|290|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|2023-08-08 10:43:38|EventData/290_NisquallyMountRainier1_13Sep2021/photos_figures/290_NisquallyMountRainier1_13Sep2021_spectrogram.png|None
1504|290|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|2023-10-05 15:42:09|EventData/290_NisquallyMountRainier1_13Sep2021/photos_figures/290_NisquallyMountRainier1_13Sep2021_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
201576|290|41547|108.846|337.49|157.08|None|None|None|None|None
201577|290|41548|108.846|337.49|157.08|None|None|None|None|None
201578|290|41549|108.846|337.49|157.08|None|None|None|None|None
201579|290|41550|111.703|338.25|157.85|None|None|None|None|None
201580|290|41551|111.703|338.25|157.85|None|None|None|None|None
201581|290|41552|111.703|338.25|157.85|None|None|None|None|None
201582|290|41553|113.092|335.91|155.46|None|None|None|None|None
201583|290|41554|113.092|335.91|155.46|None|None|None|None|None
201584|290|41555|113.092|335.91|155.46|None|None|None|None|None
201585|290|34596|160.206|178.91|358.94|None|None|None|None|None
201586|290|34597|160.206|178.91|358.94|None|None|None|None|None
201587|290|34598|160.206|178.91|358.94|None|None|None|None|None
201588|290|25962|25.47|309.59|129.4|None|0|None|0|None
201589|290|25963|25.47|309.59|129.4|None|0|None|0|None
201590|290|25964|25.47|309.59|129.4|None|0|None|0|None
201591|290|25965|22.949|314.91|134.75|None|0|None|0|None
201592|290|25966|22.949|314.91|134.75|None|0|None|0|None
201593|290|25967|22.949|314.91|134.75|None|0|None|0|None
201594|290|34599|17.231|228.69|48.57|None|0|None|0|None
201595|290|34600|17.231|228.69|48.57|None|0|None|0|None
201596|290|34601|17.231|228.69|48.57|None|0|None|0|None
201597|290|34602|156.504|181.72|1.68|None|None|None|None|None
201598|290|34603|156.504|181.72|1.68|None|None|None|None|None
201599|290|34604|156.504|181.72|1.68|None|None|None|None|None
201600|290|43269|74.985|207.2|26.88|None|0|None|0|None
201601|290|43270|74.985|207.2|26.88|None|0|None|0|None
201602|290|43271|74.985|207.2|26.88|None|0|None|0|None
201603|290|34605|72.669|209.96|29.62|None|0|None|0|None
201604|290|34606|72.669|209.96|29.62|None|0|None|0|None
201605|290|34607|72.669|209.96|29.62|None|0|None|0|None
201606|290|34608|15.05|213.96|33.88|None|0|None|0|None
201607|290|34609|15.05|213.96|33.88|None|0|None|0|None
201608|290|34610|15.05|213.96|33.88|None|0|None|0|None
201609|290|43272|76.526|206.14|25.82|None|0|None|0|None
201610|290|43273|76.526|206.14|25.82|None|0|None|0|None
201611|290|43274|76.526|206.14|25.82|None|0|None|0|None
201612|290|34611|165.022|177.27|357.34|None|None|None|None|None
201613|290|34612|165.022|177.27|357.34|None|None|None|None|None
201614|290|34613|165.022|177.27|357.34|None|None|None|None|None
201615|290|43275|74.908|214.41|34.01|None|0|None|0|None
201616|290|43276|74.908|214.41|34.01|None|0|None|0|None
201617|290|43277|74.908|214.41|34.01|None|0|None|0|None
201618|290|43281|74.695|211.62|31.25|None|0|None|0|None
201619|290|43282|74.695|211.62|31.25|None|0|None|0|None
201620|290|43283|74.695|211.62|31.25|None|0|None|0|None
201621|290|79|8.194|320.82|140.77|None|1|None|0|None
201622|290|80|8.194|320.82|140.77|None|1|None|0|None
201623|290|81|8.194|320.82|140.77|None|1|None|0|None
201624|290|34617|18.279|132.53|312.66|None|1|None|0|None
201625|290|34618|18.279|132.53|312.66|None|1|None|0|None
201626|290|34619|18.279|132.53|312.66|None|1|None|0|None
201627|290|34620|164.986|178.86|358.89|None|None|None|None|None
201628|290|34621|164.986|178.86|358.89|None|None|None|None|None
201629|290|34622|164.986|178.86|358.89|None|None|None|None|None
201630|290|82|8.197|77.11|257.19|None|None|None|None|None
201631|290|83|8.197|77.11|257.19|None|None|None|None|None
201632|290|84|8.197|77.11|257.19|None|None|None|None|None
201633|290|34626|6.256|176.33|356.33|None|1|None|0|None
201634|290|34627|6.256|176.33|356.33|None|1|None|0|None
201635|290|34628|6.256|176.33|356.33|None|1|None|0|None
201636|290|24385|23.358|288.85|108.64|None|0|None|0|None
201637|290|24386|23.358|288.85|108.64|None|0|None|0|None
201638|290|24387|23.358|288.85|108.64|None|0|None|0|None
201639|290|24388|24.456|290.24|110.02|None|0|None|0|None
201640|290|24389|24.456|290.24|110.02|None|0|None|0|None
201641|290|24390|24.456|290.24|110.02|None|0|None|0|None
201642|290|24391|22.777|287.38|107.17|None|0|None|0|None
201643|290|24392|22.777|287.38|107.17|None|0|None|0|None
201644|290|24393|22.777|287.38|107.17|None|0|None|0|None
201645|290|24394|20.775|297.88|117.71|None|0|None|0|None
