# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
292|Muddy River, Mount St Helens|2022-01-06 17:16:30|2022-01-06 17:32:53|46.1818|-122.1177|1.0|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|55.0|1|None|None|0.0|None|0|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
688|292|283|Photos of the snow avalanche were submitted the Northwest Avalanche Center by Shane Parker at https://nwac.us/public-obs/9849/, where he estimates a debris pile height of 30 ft (~9m) (NWAC, 2022a).|None|None|None
689|292|284|Photos of the snow avalanche were submitted to the Northwest Avalanche Center by Greg Shauer at https://nwac.us/public-obs/9737/ (NWAC, 2022b).|None|None|None
762|292|None|Location coordinates and location uncertainty based on Google Earth and the photographs submitted to the Northwest Avalanche Center.|None|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1509|292|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/292_MuddyRiverMountStHelens_06Jan2022/photos_figures/292_MuddyRiverMountStHelens_06Jan2022_waveforms_raw.png|None
1510|292|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/292_MuddyRiverMountStHelens_06Jan2022/photos_figures/292_MuddyRiverMountStHelens_06Jan2022_waveforms_1-5Hz.png|None
1511|292|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/292_MuddyRiverMountStHelens_06Jan2022/photos_figures/292_MuddyRiverMountStHelens_06Jan2022_spectrogram.png|None
1512|292|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/292_MuddyRiverMountStHelens_06Jan2022/photos_figures/292_MuddyRiverMountStHelens_06Jan2022_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
283|292|None|Northwest Avalanche Center, 13 Jan 2022, Shane Parker [Observation], Accessed 18 Nov 2022 at https://nwac.us/public-obs/9849/|NWAC (2022)a|None|https://nwac.us/public-obs/9849/
284|292|None|Northwest Avalanche Center, 10 Jan 2022, Greg Shauer [Observation], Accessed 18 Nov 2022 at https://nwac.us/public-obs/9737/.|NWAC (2022)b|None|https://nwac.us/public-obs/9737/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
202682|292|41547|174.43|355.43|175.29|None|None|None|None|None
202683|292|41548|174.43|355.43|175.29|None|None|None|None|None
202684|292|41549|174.43|355.43|175.29|None|None|None|None|None
202685|292|41550|177.601|355.6|175.46|None|None|None|None|None
202686|292|41551|177.601|355.6|175.46|None|None|None|None|None
202687|292|41552|177.601|355.6|175.46|None|None|None|None|None
202688|292|41553|177.502|354.05|173.87|None|None|None|None|None
202689|292|41554|177.502|354.05|173.87|None|None|None|None|None
202690|292|41555|177.502|354.05|173.87|None|None|None|None|None
202691|292|34596|92.376|159.7|340.0|None|0|None|0|None
202692|292|34597|92.376|159.7|340.0|None|0|None|0|None
202693|292|34598|92.376|159.7|340.0|None|0|None|0|None
202694|292|25962|90.067|5.44|185.52|None|0|None|0|None
202695|292|25963|90.067|5.44|185.52|None|0|None|0|None
202696|292|25964|90.067|5.44|185.52|None|0|None|0|None
202697|292|25965|90.434|7.57|187.69|None|0|None|0|None
202698|292|25966|90.434|7.57|187.69|None|0|None|0|None
202699|292|25967|90.434|7.57|187.69|None|0|None|0|None
202700|292|34599|63.958|13.89|194.04|None|0|None|0|None
202701|292|34600|63.958|13.89|194.04|None|0|None|0|None
202702|292|34601|63.958|13.89|194.04|None|0|None|0|None
202703|292|34602|86.414|163.68|343.9|None|0|None|0|None
202704|292|34603|86.414|163.68|343.9|None|0|None|0|None
202705|292|34604|86.414|163.68|343.9|None|0|None|0|None
202706|292|43269|8.785|319.4|139.34|None|1|None|0|None
202707|292|43270|8.785|319.4|139.34|None|1|None|0|None
202708|292|43271|8.785|319.4|139.34|None|1|None|0|None
202709|292|34605|12.966|323.29|143.22|None|1|None|0|None
202710|292|34606|12.966|323.29|143.22|None|1|None|0|None
202711|292|34607|12.966|323.29|143.22|None|1|None|0|None
202712|292|34608|64.163|18.07|198.25|None|0|None|0|None
202713|292|34609|64.163|18.07|198.25|None|0|None|0|None
202714|292|34610|64.163|18.07|198.25|None|0|None|0|None
202715|292|43272|6.945|312.2|132.15|None|1|None|0|None
202716|292|43273|6.945|312.2|132.15|None|1|None|0|None
202717|292|43274|6.945|312.2|132.15|None|1|None|0|None
202718|292|34611|98.442|158.0|338.34|None|0|None|0|None
202719|292|34612|98.442|158.0|338.34|None|0|None|0|None
202720|292|34613|98.442|158.0|338.34|None|0|None|0|None
202721|292|43275|17.972|309.88|129.75|None|0|None|0|None
202722|292|43276|17.972|309.88|129.75|None|0|None|0|None
202723|292|43277|17.972|309.88|129.75|None|0|None|0|None
202724|292|43281|14.397|312.52|132.42|None|1|None|0|None
202725|292|43282|14.397|312.52|132.42|None|1|None|0|None
202726|292|43283|14.397|312.52|132.42|None|1|None|0|None
202727|292|79|83.107|16.1|196.31|None|0|None|0|None
202728|292|80|83.107|16.1|196.31|None|0|None|0|None
202729|292|81|83.107|16.1|196.31|None|0|None|0|None
202730|292|34617|74.122|34.3|214.7|None|0|None|0|None
202731|292|34618|74.122|34.3|214.7|None|0|None|0|None
202732|292|34619|74.122|34.3|214.7|None|0|None|0|None
202733|292|34620|96.953|160.54|340.84|None|0|None|0|None
202734|292|34621|96.953|160.54|340.84|None|0|None|0|None
202735|292|34622|96.953|160.54|340.84|None|0|None|0|None
202736|292|82|83.641|25.67|206.01|None|None|None|None|None
202737|292|83|83.641|25.67|206.01|None|None|None|None|None
202738|292|84|83.641|25.67|206.01|None|None|None|None|None
202739|292|34626|73.137|23.09|203.36|None|0|None|0|None
202740|292|34627|73.137|23.09|203.36|None|0|None|0|None
202741|292|34628|73.137|23.09|203.36|None|0|None|0|None
202742|292|24385|81.193|4.31|184.37|None|0|None|0|None
202743|292|24386|81.193|4.31|184.37|None|0|None|0|None
202744|292|24387|81.193|4.31|184.37|None|0|None|0|None
202745|292|24388|82.042|3.68|183.73|None|0|None|0|None
202746|292|24389|82.042|3.68|183.73|None|0|None|0|None
202747|292|24390|82.042|3.68|183.73|None|0|None|0|None
202748|292|24391|80.483|4.62|184.68|None|0|None|0|None
202749|292|24392|80.483|4.62|184.68|None|0|None|0|None
202750|292|24393|80.483|4.62|184.68|None|0|None|0|None
202751|292|24394|83.732|6.75|186.84|None|0|None|0|None
202752|292|24395|83.732|6.75|186.84|None|0|None|0|None
