# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
293|Shoestring Notch, Mount St Helens|2022-01-06 13:31:12|2022-01-06 13:50:04|46.1894|-122.1655|1.0|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|15.0|1|None|None|0.0|None|0|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
690|293|285|This event is verified to have occurred in Shoestring Notch (Thelen, written commun., 2022).|None|None|None
767|293|285|Photographs for this event exist but we do not have permission to distribute them. These photographs show the event's runout path, located near the eastern side of Mount St. Helens, and large snow balls (~0.5m diameter) within the avalanche deposits.|None|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1513|293|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|2023-08-08 10:49:40|EventData/293_ShoestringNotchMountStHelens_06Jan2022/photos_figures/293_ShoestringNotchMountStHelens_06Jan2022_waveforms_raw.png|None
1514|293|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/293_ShoestringNotchMountStHelens_06Jan2022/photos_figures/293_ShoestringNotchMountStHelens_06Jan2022_waveforms_1-5Hz.png|None
1515|293|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|2023-08-08 10:43:39|EventData/293_ShoestringNotchMountStHelens_06Jan2022/photos_figures/293_ShoestringNotchMountStHelens_06Jan2022_spectrogram.png|None
1516|293|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|2023-08-08 10:52:37|EventData/293_ShoestringNotchMountStHelens_06Jan2022/photos_figures/293_ShoestringNotchMountStHelens_06Jan2022_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
285|293|289,290,291,292,295,296,297,298|Thelen, W., 2022, written communication.|Thelen (written commun., 2022)|None|None

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
203181|293|41547|173.331|356.59|176.49|None|0|None|None|None
203182|293|41548|173.331|356.59|176.49|None|0|None|None|None
203183|293|41549|173.331|356.59|176.49|None|0|None|None|None
203184|293|41550|176.511|356.74|176.64|None|0|None|None|None
203185|293|41551|176.511|356.74|176.64|None|0|None|None|None
203186|293|41552|176.511|356.74|176.64|None|0|None|None|None
203187|293|41553|176.314|355.18|175.03|None|0|None|None|None
203188|293|41554|176.314|355.18|175.03|None|0|None|None|None
203189|293|41555|176.314|355.18|175.03|None|0|None|None|None
203190|293|34596|94.503|157.75|338.08|None|0|None|None|None
203191|293|34597|94.503|157.75|338.08|None|0|None|None|None
203192|293|34598|94.503|157.75|338.08|None|0|None|None|None
203193|293|25962|89.654|7.81|187.92|None|0|None|None|None
203194|293|25963|89.654|7.81|187.92|None|0|None|None|None
203195|293|25964|89.654|7.81|187.92|None|0|None|None|None
203196|293|25965|90.161|9.93|190.08|None|0|None|None|None
203197|293|25966|90.161|9.93|190.08|None|0|None|None|None
203198|293|25967|90.161|9.93|190.08|None|0|None|None|None
203199|293|34599|64.135|17.24|197.42|None|0|None|None|None
203200|293|34600|64.135|17.24|197.42|None|0|None|None|None
203201|293|34601|64.135|17.24|197.42|None|0|None|None|None
203202|293|34602|88.324|161.5|341.76|None|0|None|None|None
203203|293|34603|88.324|161.5|341.76|None|0|None|None|None
203204|293|34604|88.324|161.5|341.76|None|0|None|None|None
203205|293|43269|6.167|340.77|160.75|None|1|None|0|None
203206|293|43270|6.167|340.77|160.75|None|1|None|0|None
203207|293|43271|6.167|340.77|160.75|None|1|None|0|None
203208|293|34605|10.376|336.93|156.89|None|0|None|0|None
203209|293|34606|10.376|336.93|156.89|None|0|None|0|None
203210|293|34607|10.376|336.93|156.89|None|0|None|0|None
203211|293|34608|64.614|21.38|201.6|None|0|None|None|None
203212|293|34609|64.614|21.38|201.6|None|0|None|None|None
203213|293|34610|64.614|21.38|201.6|None|0|None|None|None
203214|293|43272|4.087|339.11|159.1|None|1|None|0|None
203215|293|43273|4.087|339.11|159.1|None|1|None|0|None
203216|293|43274|4.087|339.11|159.1|None|1|None|0|None
203217|293|34611|100.657|156.2|336.57|None|0|None|None|None
203218|293|34612|100.657|156.2|336.57|None|0|None|None|None
203219|293|34613|100.657|156.2|336.57|None|0|None|None|None
203220|293|43275|14.698|316.55|136.45|None|0|None|0|None
203221|293|43276|14.698|316.55|136.45|None|0|None|0|None
203222|293|43277|14.698|316.55|136.45|None|0|None|0|None
203223|293|43281|11.262|322.05|141.98|None|0|None|0|None
203224|293|43282|11.262|322.05|141.98|None|0|None|0|None
203225|293|43283|11.262|322.05|141.98|None|0|None|0|None
203226|293|79|83.403|18.66|198.91|None|0|None|None|None
203227|293|80|83.403|18.66|198.91|None|0|None|None|None
203228|293|81|83.403|18.66|198.91|None|0|None|None|None
203229|293|34617|75.586|36.94|217.37|None|0|None|None|None
203230|293|34618|75.586|36.94|217.37|None|0|None|None|None
203231|293|34619|75.586|36.94|217.37|None|0|None|None|None
203232|293|34620|99.031|158.66|338.99|None|0|None|None|None
203233|293|34621|99.031|158.66|338.99|None|0|None|None|None
203234|293|34622|99.031|158.66|338.99|None|0|None|None|None
203235|293|82|84.557|28.14|208.52|None|0|None|None|None
203236|293|83|84.557|28.14|208.52|None|0|None|None|None
203237|293|84|84.557|28.14|208.52|None|0|None|None|None
203238|293|34626|73.9|25.94|206.25|None|0|None|None|None
203239|293|34627|73.9|25.94|206.25|None|0|None|None|None
203240|293|34628|73.9|25.94|206.25|None|0|None|None|None
203241|293|24385|80.714|6.94|187.03|None|0|None|None|None
203242|293|24386|80.714|6.94|187.03|None|0|None|None|None
203243|293|24387|80.714|6.94|187.03|None|0|None|None|None
203244|293|24388|81.521|6.27|186.35|None|0|None|None|None
