# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
295|Mount St Helens|2022-05-16 22:08:46|2022-05-16 22:12:31|46.2046|-122.1994|0.4|None|None|None|None|snow avalanche|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|12.0|1|None|None|0.0|None|1|2.0|1|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
763|295|285|This event travelled from the northwestern dome into the crater (Thelen, written commun., 2022). Location coordinates and uncertainty estimated from this information and Google Earth.|None|None|None
768|295|285|Photographs for this event exist but we do not have permission to distribute them. These photographs include aerial images of the avalanche source area and toe and oblique views of the runout from the research camera at Johnston Ridge Observatory, north of Mount St. Helens.|None|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1526|295|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_waveforms_raw.png|None
1527|295|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_waveforms_1-5Hz.png|None
1528|295|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_spectrogram.png|None
1529|295|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_spectra.png|None
1530|295|Elaine Collins|Raw infrasound waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_INFRAwaveforms_raw.png|None
1531|295|Elaine Collins|Filtered infrasound (0.5-2 Hz) waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present.|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_INFRAwaveforms_05-2Hz.png|None
1532|295|Elaine Collins|Spectrograms of filtered infrasound waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/295_MountStHelens_16May2022/photos_figures/295_MountStHelens_16May2022_INFRAspectrogram.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
204469|295|41547|171.506|357.4|177.33|None|None|None|None|None
204470|295|41548|171.506|357.4|177.33|None|None|None|None|None
204471|295|41549|171.506|357.4|177.33|None|None|None|None|None
204472|295|41550|174.693|357.54|177.46|None|None|None|None|None
204473|295|41551|174.693|357.54|177.46|None|None|None|None|None
204474|295|41552|174.693|357.54|177.46|None|None|None|None|None
204475|295|41553|174.428|355.96|175.84|None|None|None|None|None
204476|295|41554|174.428|355.96|175.84|None|None|None|None|None
204477|295|41555|174.428|355.96|175.84|None|None|None|None|None
204478|295|34596|97.074|156.67|337.02|None|None|None|None|None
204479|295|34597|97.074|156.67|337.02|None|None|None|None|None
204480|295|34598|97.074|156.67|337.02|None|None|None|None|None
204481|295|25962|88.38|9.61|189.75|None|None|None|None|None
204482|295|25963|88.38|9.61|189.75|None|None|None|None|None
204483|295|25964|88.38|9.61|189.75|None|None|None|None|None
204484|295|25965|88.994|11.76|191.93|None|None|None|None|None
204485|295|25966|88.994|11.76|191.93|None|None|None|None|None
204486|295|25967|88.994|11.76|191.93|None|None|None|None|None
204487|295|34599|63.367|19.93|200.14|None|None|None|None|None
204488|295|34600|63.367|19.93|200.14|None|None|None|None|None
204489|295|34601|63.367|19.93|200.14|None|None|None|None|None
204490|295|34602|90.778|160.25|340.53|None|None|None|None|None
204491|295|34603|90.778|160.25|340.53|None|None|None|None|None
204492|295|34604|90.778|160.25|340.53|None|None|None|None|None
204493|295|43269|4.174|8.04|188.05|None|None|None|None|None
204494|295|43270|4.174|8.04|188.05|None|None|None|None|None
204495|295|43271|4.174|8.04|188.05|None|None|None|None|None
204496|295|34605|7.989|349.52|169.5|None|1|None|0|None
204497|295|34606|7.989|349.52|169.5|None|1|None|0|None
204498|295|34607|7.989|349.52|169.5|None|1|None|0|None
204499|295|34608|64.066|24.08|204.33|None|None|None|None|None
204500|295|34609|64.066|24.08|204.33|None|None|None|None|None
204501|295|34610|64.066|24.08|204.33|None|None|None|None|None
204502|295|43272|2.423|28.55|208.56|None|1|None|0|None
204503|295|43273|2.423|28.55|208.56|None|1|None|0|None
204504|295|43274|2.423|28.55|208.56|None|1|None|0|None
204505|295|34611|103.273|155.23|335.62|None|None|None|None|None
204506|295|34612|103.273|155.23|335.62|None|None|None|None|None
204507|295|34613|103.273|155.23|335.62|None|None|None|None|None
204508|295|43275|11.695|320.14|140.07|None|0|None|0|None
204509|295|43276|11.695|320.14|140.07|None|0|None|0|None
204510|295|43277|11.695|320.14|140.07|None|0|None|0|None
204511|295|43281|8.382|329.03|148.99|None|0|None|0|None
204512|295|43282|8.382|329.03|148.99|None|0|None|0|None
204513|295|43283|8.382|329.03|148.99|None|0|None|0|None
204514|295|79|82.694|20.73|201.01|None|None|None|None|None
204515|295|80|82.694|20.73|201.01|None|None|None|None|None
204516|295|81|82.694|20.73|201.01|None|None|None|None|None
204517|295|34617|75.871|39.27|219.72|None|None|None|None|None
204518|295|34618|75.871|39.27|219.72|None|None|None|None|None
204519|295|34619|75.871|39.27|219.72|None|None|None|None|None
204520|295|34620|101.574|157.61|337.96|None|None|None|None|None
204521|295|34621|101.574|157.61|337.96|None|None|None|None|None
204522|295|34622|101.574|157.61|337.96|None|None|None|None|None
204523|295|82|84.358|30.22|210.62|None|None|None|None|None
204524|295|83|84.358|30.22|210.62|None|None|None|None|None
204525|295|84|84.358|30.22|210.62|None|None|None|None|None
204526|295|34626|73.589|28.32|208.66|None|None|None|None|None
204527|295|34627|73.589|28.32|208.66|None|None|None|None|None
204528|295|34628|73.589|28.32|208.66|None|None|None|None|None
204529|295|24385|79.402|8.93|189.05|None|None|None|None|None
204530|295|24386|79.402|8.93|189.05|None|None|None|None|None
204531|295|24387|79.402|8.93|189.05|None|None|None|None|None
204532|295|24388|80.175|8.24|188.34|None|None|None|None|None
204533|295|24389|80.175|8.24|188.34|None|None|None|None|None
204534|295|24390|80.175|8.24|188.34|None|None|None|None|None
204535|295|24391|78.729|9.28|189.41|None|None|None|None|None
204536|295|24392|78.729|9.28|189.41|None|None|None|None|None
204537|295|24393|78.729|9.28|189.41|None|None|None|None|None
204538|295|24394|82.215|11.26|191.42|None|None|None|None|None
204539|295|24395|82.215|11.26|191.42|None|None|None|None|None
204540|295|24396|82.215|11.26|191.42|None|None|None|None|None
