# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
296|Mount St Helens 1|2022-09-01 20:45:53|2022-09-01 20:47:05|46.1985|-122.1759|0.4|None|None|None|None|rock fall|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|4.0|1|None|None|0.0|None|0|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
695|296|285|This event, verified by field personnel at CVO doing fieldwork in the crater, occurred on the eastern wall of Mount St. Helens (Thelen, written commun., 2022). Location coordinates and uncertainty estimated from the eastern portion of the crater wall using Google Earth.|None|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1533|296|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/296_MountStHelens1_01Sep2022/photos_figures/296_MountStHelens1_01Sep2022_waveforms_raw.png|None
1534|296|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/296_MountStHelens1_01Sep2022/photos_figures/296_MountStHelens1_01Sep2022_waveforms_1-5Hz.png|None
1535|296|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/296_MountStHelens1_01Sep2022/photos_figures/296_MountStHelens1_01Sep2022_spectrogram.png|None
1536|296|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/296_MountStHelens1_01Sep2022/photos_figures/296_MountStHelens1_01Sep2022_spectra.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
204999|296|34596|95.591|157.54|337.87|None|None|None|None|None
205000|296|34597|95.591|157.54|337.87|None|None|None|None|None
205001|296|34598|95.591|157.54|337.87|None|None|None|None|None
205002|296|25962|88.886|8.34|188.46|None|None|None|None|None
205003|296|25963|88.886|8.34|188.46|None|None|None|None|None
205004|296|25964|88.886|8.34|188.46|None|None|None|None|None
205005|296|25965|89.425|10.48|190.64|None|None|None|None|None
205006|296|25966|89.425|10.48|190.64|None|None|None|None|None
205007|296|25967|89.425|10.48|190.64|None|None|None|None|None
205008|296|34599|63.518|18.09|198.28|None|None|None|None|None
205009|296|34600|63.518|18.09|198.28|None|None|None|None|None
205010|296|34601|63.518|18.09|198.28|None|None|None|None|None
205011|296|34602|89.388|161.23|341.5|None|None|None|None|None
205012|296|34603|89.388|161.23|341.5|None|None|None|None|None
205013|296|34604|89.388|161.23|341.5|None|None|None|None|None
205014|296|43269|5.114|345.21|165.19|None|0|None|0|None
205015|296|43270|5.114|345.21|165.19|None|0|None|0|None
205016|296|43271|5.114|345.21|165.19|None|0|None|0|None
205017|296|34605|9.29|338.91|158.88|None|0|None|0|None
205018|296|34606|9.29|338.91|158.88|None|0|None|0|None
205019|296|34607|9.29|338.91|158.88|None|0|None|0|None
205020|296|34608|64.068|22.26|202.49|None|None|None|None|None
205021|296|34609|64.068|22.26|202.49|None|None|None|None|None
205022|296|34610|64.068|22.26|202.49|None|None|None|None|None
205023|296|43272|3.03|346.02|166.01|None|0|None|0|None
205024|296|43273|3.03|346.02|166.01|None|0|None|0|None
205025|296|43274|3.03|346.02|166.01|None|0|None|0|None
205026|296|43275|13.562|316.22|136.13|None|0|None|0|None
205027|296|43276|13.562|316.22|136.13|None|0|None|0|None
205028|296|43277|13.562|316.22|136.13|None|0|None|0|None
205029|296|43281|10.123|322.22|142.16|None|0|None|0|None
205030|296|43282|10.123|322.22|142.16|None|0|None|0|None
205031|296|43283|10.123|322.22|142.16|None|0|None|0|None
205032|296|79|82.809|19.32|199.58|None|None|None|None|None
205033|296|80|82.809|19.32|199.58|None|None|None|None|None
205034|296|81|82.809|19.32|199.58|None|None|None|None|None
205035|296|34617|75.328|37.78|218.22|None|None|None|None|None
205036|296|34618|75.328|37.78|218.22|None|None|None|None|None
205037|296|34619|75.328|37.78|218.22|None|None|None|None|None
205038|296|82|84.132|28.85|209.23|None|None|None|None|None
205039|296|83|84.132|28.85|209.23|None|None|None|None|None
205040|296|84|84.132|28.85|209.23|None|None|None|None|None
205041|296|34626|73.435|26.74|207.06|None|None|None|None|None
205042|296|34627|73.435|26.74|207.06|None|None|None|None|None
205043|296|34628|73.435|26.74|207.06|None|None|None|None|None
205044|296|24385|79.934|7.52|187.62|None|None|None|None|None
205045|296|24386|79.934|7.52|187.62|None|None|None|None|None
205046|296|24387|79.934|7.52|187.62|None|None|None|None|None
205047|296|24388|80.731|6.84|186.93|None|None|None|None|None
205048|296|24389|80.731|6.84|186.93|None|None|None|None|None
205049|296|24390|80.731|6.84|186.93|None|None|None|None|None
205050|296|24391|79.249|7.86|187.96|None|None|None|None|None
205051|296|24392|79.249|7.86|187.96|None|None|None|None|None
205052|296|24393|79.249|7.86|187.96|None|None|None|None|None
205053|296|24394|82.665|9.89|190.02|None|None|None|None|None
205054|296|24395|82.665|9.89|190.02|None|None|None|None|None
