# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
298|Mount St Helens|2022-09-03 20:52:15|2022-09-03 20:55:01|46.2014|-122.1753|0.2|None|None|None|None|rock fall|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|2|0|None|None|18.0|1|None|None|0.0|None|0|None|None|IRIS|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
764|298|285|This event was reported as a rockfall on the eastern crater wall of Mount St. Helens (Thelen, written commun., 2022). Location coordinates estimated using this information and Google Earth.|None|None|None
769|298|None|Location coordinates and uncertainty estimated using Google Earth and photograph of the event.|1602|None|None
760|289|285|This event was reported by Thelen (written commun., 2022).|None|None|290,291,292,293,295,296,297,298

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
1541|298|Elaine Collins|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|2023-10-11 09:03:31|EventData/298_MountStHelens_03Sep2022/photos_figures/298_MountStHelens_03Sep2022_waveforms_raw.png|None
1542|298|Elaine Collins|High frequency (1-5 Hz) ground velocity waveforms from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/298_MountStHelens_03Sep2022/photos_figures/298_MountStHelens_03Sep2022_waveforms_1-5Hz.png|None
1543|298|Elaine Collins|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|2023-10-11 09:03:32|EventData/298_MountStHelens_03Sep2022/photos_figures/298_MountStHelens_03Sep2022_spectrogram.png|None
1544|298|Elaine Collins|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|2023-10-11 09:03:33|EventData/298_MountStHelens_03Sep2022/photos_figures/298_MountStHelens_03Sep2022_spectra.png|None
1602|298|Liz Westby|Photograph of rock fall runout path on east wall of the crater, taken by Liz Westby.|None|None|2023-10-10 14:27:11|EventData/298_MountStHelens_03Sep2022/photos_figures/298_MountStHelens_03Sep2022_source-LizWestby_5.png|None


# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
205471|298|34596|96.024|157.62|337.96|None|None|None|None|None
205472|298|34597|96.024|157.62|337.96|None|None|None|None|None
205473|298|34598|96.024|157.62|337.96|None|None|None|None|None
205474|298|25962|88.44|8.4|188.53|None|None|None|None|None
205475|298|25963|88.44|8.4|188.53|None|None|None|None|None
205476|298|25964|88.44|8.4|188.53|None|None|None|None|None
205477|298|25965|88.983|10.55|190.71|None|None|None|None|None
205478|298|25966|88.983|10.55|190.71|None|None|None|None|None
205479|298|25967|88.983|10.55|190.71|None|None|None|None|None
205480|298|34599|63.095|18.25|198.44|None|None|None|None|None
205481|298|34600|63.095|18.25|198.44|None|None|None|None|None
205482|298|34601|63.095|18.25|198.44|None|None|None|None|None
205483|298|34602|89.83|161.31|341.57|None|None|None|None|None
205484|298|34603|89.83|161.31|341.57|None|None|None|None|None
205485|298|34604|89.83|161.31|341.57|None|None|None|None|None
205486|298|43269|4.666|344.14|164.13|None|1|None|0|None
205487|298|43270|4.666|344.14|164.13|None|1|None|0|None
205488|298|43271|4.666|344.14|164.13|None|1|None|0|None
205489|298|34605|8.854|338.04|158.01|None|1|None|0|None
205490|298|34606|8.854|338.04|158.01|None|1|None|0|None
205491|298|34607|8.854|338.04|158.01|None|1|None|0|None
205492|298|34608|63.658|22.44|202.67|None|None|None|None|None
205493|298|34609|63.658|22.44|202.67|None|None|None|None|None
205494|298|34610|63.658|22.44|202.67|None|None|None|None|None
205495|298|43272|2.581|344.24|164.23|None|1|None|0|None
205496|298|43273|2.581|344.24|164.23|None|1|None|0|None
205497|298|43274|2.581|344.24|164.23|None|1|None|0|None
205498|298|43275|13.215|314.95|134.86|None|0|None|0|None
205499|298|43276|13.215|314.95|134.86|None|0|None|0|None
205500|298|43277|13.215|314.95|134.86|None|0|None|0|None
205501|298|43281|9.747|320.72|140.66|None|0|None|0|None
205502|298|43282|9.747|320.72|140.66|None|0|None|0|None
205503|298|43283|9.747|320.72|140.66|None|0|None|0|None
205504|298|79|82.389|19.45|199.71|None|None|None|None|None
205505|298|80|82.389|19.45|199.71|None|None|None|None|None
205506|298|81|82.389|19.45|199.71|None|None|None|None|None
205507|298|34617|74.987|38.01|218.45|None|None|None|None|None
205508|298|34618|74.987|38.01|218.45|None|None|None|None|None
205509|298|34619|74.987|38.01|218.45|None|None|None|None|None
205510|298|82|83.748|29.02|209.4|None|None|None|None|None
205511|298|83|83.748|29.02|209.4|None|None|None|None|None
205512|298|84|83.748|29.02|209.4|None|None|None|None|None
205513|298|34626|73.042|26.92|207.24|None|None|None|None|None
205514|298|34627|73.042|26.92|207.24|None|None|None|None|None
205515|298|34628|73.042|26.92|207.24|None|None|None|None|None
205516|298|24385|79.487|7.59|187.69|None|None|None|None|None
205517|298|24386|79.487|7.59|187.69|None|None|None|None|None
205518|298|24387|79.487|7.59|187.69|None|None|None|None|None
205519|298|24388|80.282|6.9|186.99|None|None|None|None|None
205520|298|24389|80.282|6.9|186.99|None|None|None|None|None
205521|298|24390|80.282|6.9|186.99|None|None|None|None|None
205522|298|24391|78.802|7.93|188.03|None|None|None|None|None
205523|298|24392|78.802|7.93|188.03|None|None|None|None|None
205524|298|24393|78.802|7.93|188.03|None|None|None|None|None
205525|298|24394|82.222|9.96|190.1|None|None|None|None|None
205526|298|24395|82.222|9.96|190.1|None|None|None|None|None
205527|298|24396|82.222|9.96|190.1|None|None|None|None|None
205528|298|24397|73.269|13.64|193.8|None|None|None|None|None
205529|298|24398|73.269|13.64|193.8|None|None|None|None|None
205530|298|24399|73.269|13.64|193.8|None|None|None|None|None
205531|298|34629|0.798|260.39|80.38|None|1|None|0|None
