# 
# events
# 
# Eventid|Name|Starttime|Endtime|Latitude|Longitude|LocuncertKm|CrownLat|CrownLon|TipLat|TipLon|Type|AreaTotal|AreaSource|AreaSourceLow|AreaSourceHigh|Volume|VolumeLow|VolumeHigh|Mass|MassLow|MassHigh|H|HLow|HHigh|L|LLow|LHigh|HFreefall|HFreefallLow|HFreefallHigh|UpstreamDrainarea|PeakDischarge|PeakDischargeLow|PeakDischargeHigh|PeakFlowheight|PeakFlowheightLow|PeakFlowheightHigh|Otherdataquality1to5|LPpotential|MaxdistvhfKm|MaxdistvhfReached|MaxdisthfKm|MaxdisthfReached|MaxdistipKm|MaxdistipReached|MaxdistlpKm|MaxdistlpReached|InfraDetected|MaxdistinfraKm|MaxdistinfraReached|DatLocation|Sources
2|Mount Spurr|2012-06-25 12:52:39|2012-06-25 13:38:42|61.22594|-152.168681|1.0|None|None|None|None|outburst flood|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|1|0|None|None|36.0|0|None|None|0.0|None|None|None|None|IRIS, EventData/2_MountSpurr_25Jun2012/2_MountSpurr_25Jun2012_seismic_data.zip|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.


# 
# information
# 
# Iid|Eventid|RefId|Note|PhoId|GISId|ApplyAlso
216|2|None|The location of this event was taken as the base of the Kidazqeni Glacier, location uncertainty was taken as half the distance from the closest station CKN to the next closest station SPCR|None|None|None
269|2|96|Matt Haney (written communication) "The events occured between 12:52-13:45UTC. Evidence is mounting that the signal on station CKN, which was clipped, is related to a flow event. A possibility is a release from a subglacial lake that caused a flow near the toe of the Kidazqeni Glacier. Very shallow, one event was as shallow as -3.2 km (negative depths are above sea level) which is assumed to be at the surface. Magnitudes are as high as ML=0.83. The fact that AEIC autolocated them is indicative of the events being fairly good sized. "|None|None|None
354|2|113|This event occurred before all Alaska data was archived at IRIS. The miniseed files for nearby stations was shared by the Alaska Earthquake Center. We have extracted waveforms from all stations within the maximum radius for which seismic waves were observable for this event, up to 600 km maximum, for 5 minutes before the event approximate start time and 5 minutes after the approximate end time. Metadata information for many stations is available at IRIS, but the metadata for the exact time period may or may not be present.
SH? channels were all changed to EH? channels in the referenced files for consistency with how the stations are currently archived at IRIS. Note that the AV and AK network codes have switched for some stations now that they are archived at IRIS.
Files are named by STATION.NETWORK.LOCATION.CHANNEL.YYYYMMDDHHMMSS.m and are in miniseed format.|None|None|51,54,55,56,57,66,68,69,70,71,72
361|2|None|Seismic signal note: errant spikes and nan values in data from several stations, likely due to telemetry issues. These were replaced with the mean value of the first 100 samples of each trace (did not use nan because several obspy functions crash if nan values are in the data). Fixed files are included in the database. The flow signal is not visible more than a few tens of kilometers, but the discrete events may be visible for more than 100km, but it becomes hard to tell which events are from Spurr so we did seek the maximum extent for these events.|None|None|None

# 
# photos
# 
# PhotoId|Eventid|Photographer|Description|Latitude|Longitude|Date|FileExtension|ApplyAlso
690|2|Kate Allstadt|Raw waveforms from closest stations. Data was demeaned but no other processing was applied. Dashed lines show approximate start and end times of event (from database). Figure generation is automated and there may be artifacts present.|None|None|None|EventData/2_MountSpurr_25Jun2012/photos_figures/2_MountSpurr_25Jun2012_waveforms_raw.png|None
691|2|Kate Allstadt|High frequency (1-5 Hz) ground velocity waveforms for station response from closest stations with detections. Dashed lines show approximate start and end times of event (from database). Waveforms are corrected for station response after removing the mean. Figure generation is automated and there may be artifacts present. Clipped waveforms have not been removed before station correction so check raw plots before interpreting high amplitude signals.|None|None|None|EventData/2_MountSpurr_25Jun2012/photos_figures/2_MountSpurr_25Jun2012_waveforms_1-5Hz.png|None
692|2|Kate Allstadt|Spectrograms of velocity waveforms corrected for station sensitivity from closest stations with detections. Figure generation is automated and there may be artifacts present|None|None|None|EventData/2_MountSpurr_25Jun2012/photos_figures/2_MountSpurr_25Jun2012_spectrogram.png|None
693|2|Kate Allstadt|Multitaper spectra (same units as Power Spectral Density) of velocity waveforms corrected for station sensitivity from closest stations with detections. Linear trend was removed and a taper was applied before generating spectra. Figure generation is automated and there may be artifacts present. Since station response was not removed to avoid adding artifacts at low frequencies for short and intermediate period stations, the lower frequency amplitudes should be interpreted with care.|None|None|None|EventData/2_MountSpurr_25Jun2012/photos_figures/2_MountSpurr_25Jun2012_spectra.png|None

# 
# reference
# 
# Refid|Eventid|ApplyAlso|LongRef|ShortRef|FileExtension|Url
96|2|None|Haney, M.M., 2012, written communication|Haney (written commun., 2012)a|None|None
113|2|51,54,55,56,57,66,68,69,70,71,72|Alaska Earthquake Center|Alaska Earthquake Center|None|http://earthquake.alaska.edu/

# 
# sta_nearby
# 
# SRid|Eventid|Sid|StasourceRadiusKm|Az|Baz|DetectVHF|DetectHF|DetectIP|DetectLP|DetectINFRA
6083|2|1539|408.783|90.72|277.34|None|None|None|None|None
6084|2|1540|408.783|90.72|277.34|None|None|None|None|None
6085|2|1541|408.783|90.72|277.34|None|None|None|None|None
6086|2|2326|325.957|10.18|191.23|None|None|None|None|None
6087|2|2327|325.957|10.18|191.23|None|None|None|None|None
6088|2|2328|325.957|10.18|191.23|None|None|None|None|None
6089|2|959|178.373|156.55|337.65|None|None|None|None|None
6090|2|960|178.373|156.55|337.65|None|None|None|None|None
6091|2|961|178.373|156.55|337.65|None|None|None|None|None
6092|2|2332|359.757|22.83|205.38|None|None|None|None|None
6093|2|2333|359.757|22.83|205.38|None|None|None|None|None
6094|2|2334|359.757|22.83|205.38|None|None|None|None|None
6095|2|2338|244.435|0.99|181.06|None|None|None|None|None
6096|2|2339|244.435|0.99|181.06|None|None|None|None|None
6097|2|2340|244.435|0.99|181.06|None|None|None|None|None
6098|2|2341|440.632|28.25|212.13|None|None|None|None|None
6099|2|2342|440.632|28.25|212.13|None|None|None|None|None
6100|2|2343|440.632|28.25|212.13|None|None|None|None|None
6101|2|2344|296.15|358.59|178.46|None|None|None|None|None
6102|2|2345|296.15|358.59|178.46|None|None|None|None|None
6103|2|2346|296.15|358.59|178.46|None|None|None|None|None
6104|2|2347|196.342|164.42|345.23|None|None|None|None|None
6105|2|2348|196.342|164.42|345.23|None|None|None|None|None
6106|2|2349|196.342|164.42|345.23|None|None|None|None|None
6107|2|1542|493.673|92.15|280.09|None|None|None|None|None
6108|2|1543|493.673|92.15|280.09|None|None|None|None|None
6109|2|1544|493.673|92.15|280.09|None|None|None|None|None
6110|2|2353|323.781|48.38|232.62|None|None|None|None|None
6111|2|2354|323.781|48.38|232.62|None|None|None|None|None
6112|2|2355|323.781|48.38|232.62|None|None|None|None|None
6113|2|1709|344.05|88.99|274.59|None|None|None|None|None
6114|2|1710|344.05|88.99|274.59|None|None|None|None|None
6115|2|1711|344.05|88.99|274.59|None|None|None|None|None
6116|2|1715|497.292|53.61|240.8|None|None|None|None|None
6117|2|1716|497.292|53.61|240.8|None|None|None|None|None
6118|2|1717|497.292|53.61|240.8|None|None|None|None|None
6119|2|1721|356.447|99.4|285.01|None|None|None|None|None
6120|2|1722|356.447|99.4|285.01|None|None|None|None|None
6121|2|1723|356.447|99.4|285.01|None|None|None|None|None
6122|2|962|107.281|92.72|274.47|None|None|None|None|None
6123|2|963|107.281|92.72|274.47|None|None|None|None|None
6124|2|964|107.281|92.72|274.47|None|None|None|None|None
6125|2|2356|306.565|97.99|282.86|None|None|None|None|None
6126|2|2357|306.565|97.99|282.86|None|None|None|None|None
6127|2|2358|306.565|97.99|282.86|None|None|None|None|None
6128|2|2523|459.05|330.75|146.56|None|None|None|None|None
6129|2|2524|459.05|330.75|146.56|None|None|None|None|None
6130|2|2525|459.05|330.75|146.56|None|None|None|None|None
6131|2|2362|183.044|69.2|252.05|None|None|None|None|None
6132|2|2363|183.044|69.2|252.05|None|None|None|None|None
6133|2|2364|183.044|69.2|252.05|None|None|None|None|None
6134|2|2365|276.66|95.8|280.24|None|None|None|None|None
6135|2|2366|276.66|95.8|280.24|None|None|None|None|None
6136|2|2367|276.66|95.8|280.24|None|None|None|None|None
6137|2|2580|483.215|27.75|212.01|None|None|None|None|None
6138|2|2581|483.215|27.75|212.01|None|None|None|None|None
6139|2|2582|483.215|27.75|212.01|None|None|None|None|None
6140|2|1724|392.223|67.33|253.51|None|None|None|None|None
6141|2|1725|392.223|67.33|253.51|None|None|None|None|None
6142|2|1726|392.223|67.33|253.51|None|None|None|None|None
6143|2|1727|391.855|67.46|253.64|None|None|None|None|None
6144|2|1728|391.855|67.46|253.64|None|None|None|None|None
6145|2|1729|391.855|67.46|253.64|None|None|None|None|None
6146|2|2368|443.246|34.58|219.23|None|None|None|None|None
6147|2|2369|443.246|34.58|219.23|None|None|None|None|None
6148|2|2370|443.246|34.58|219.23|None|None|None|None|None
6149|2|2372|321.798|104.21|289.15|None|None|None|None|None
6150|2|2373|321.798|104.21|289.15|None|None|None|None|None
6151|2|2374|321.798|104.21|289.15|None|None|None|None|None
6152|2|1563|441.734|99.51|286.41|None|None|None|None|None
6153|2|1564|441.734|99.51|286.41|None|None|None|None|None
6154|2|1565|441.734|99.51|286.41|None|None|None|None|None
6155|2|2375|177.091|170.52|350.97|None|None|None|None|None
6156|2|2376|177.091|170.52|350.97|None|None|None|None|None
6157|2|2377|177.091|170.52|350.97|None|None|None|None|None
6158|2|1572|448.557|105.41|292.16|None|None|None|None|None
6159|2|1573|448.557|105.41|292.16|None|None|None|None|None
6160|2|1574|448.557|105.41|292.16|None|None|None|None|None
6161|2|2378|335.318|82.19|267.67|None|None|None|None|None
6162|2|2379|335.318|82.19|267.67|None|None|None|None|None
6163|2|2380|335.318|82.19|267.67|None|None|None|None|None
6164|2|2381|199.793|82.38|265.64|None|None|None|None|None
6165|2|2382|199.793|82.38|265.64|None|None|None|None|None
